Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m8-VR-002.txt
Log File Name:                   MOB_d1_m8-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            462804356
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m8-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
2400000	241.813822	1	-1.648114695426	1.278030922253	-0.079327108582	0.134255457645	0.001170857591	0.902117770576	N\A	0.094556373896	0.014477321022	0.035528786960	49	26	
2450000	226.108901	1	-2.058962003192	1.567763030431	-0.124252750178	0.117734819368	0.000678033481	0.881786729861	N\A	0.109328247138	0.015746150130	0.050120413679	47	22	
2500000	227.834697	1	-1.775580471742	1.378284114494	-0.087672578236	0.079622982378	0.000689411714	0.873929604693	N\A	0.119574828606	0.016984261541	0.049999131294	50	29	
2550000	242.984307	1	-2.183415302061	1.547954576018	-0.126395414473	0.151962957772	0.000984625554	0.913893622564	N\A	0.088937485929	0.014696733682	0.034828608741	39	34	
2600000	229.538625	1	-1.511444773163	1.306736157611	-0.094727895768	0.144843945785	0.000375591375	0.880647344286	N\A	0.100238861043	0.015142222192	0.048268720937	56	34	
2650000	228.922255	1	-1.759205472890	1.382312965401	-0.108251397647	0.191253190813	0.000572482732	0.900814374513	N\A	0.104766323826	0.015228017032	0.038992070836	49	28	
2700000	235.184253	1	-1.511282138997	1.142303117861	-0.048016430888	0.087125674711	0.000498583116	0.879508779277	N\A	0.109020931972	0.015750719269	0.047038974248	38	28	
2750000	239.144882	1	-1.453725391577	1.251902290292	-0.103558242028	0.208010655169	0.000491043981	0.916954897453	N\A	0.089312586286	0.013332547744	0.042955841314	42	25	
2800000	239.834141	1	-1.730108889114	1.322374033077	-0.094245043671	0.171397696908	0.000342873906	0.902974864982	N\A	0.108194997983	0.015258263724	0.036939561894	43	24	
2850000	245.427566	1	-1.947696171486	1.485239039979	-0.098759243341	0.045535927775	0.000488920811	0.901881480083	N\A	0.097354469124	0.015098640561	0.037769283700	48	25	
2900000	241.311957	1	-1.665559932052	1.323888343639	-0.096627441992	0.149398295227	0.000520005312	0.887160334357	N\A	0.104225271519	0.015224317182	0.044451737068	42	30	
2950000	245.856302	1	-2.185976991952	1.578721026828	-0.118374122766	0.090296019292	0.000310119573	0.928849104055	N\A	0.102622406015	0.014205646857	0.032102312246	61	31	
3000000	201.705676	1	-1.559593294448	1.255651297284	-0.074684796189	0.109450298229	0.000589174716	0.878747803272	N\A	0.113437539256	0.016513735909	0.045589559192	43	17	
3050000	250.775513	1	-1.457485351428	1.235177964527	-0.102912662104	0.235166810869	0.000665219705	0.911982900923	N\A	0.099903363546	0.014534374979	0.037217068735	47	27	
3100000	214.308835	1	-1.911554647616	1.442225672488	-0.118966460004	0.181567701711	0.000615713319	0.865160028771	N\A	0.120454120630	0.015812471605	0.052655313158	48	27	
3150000	222.880712	1	-1.677400546113	1.308812045988	-0.096595819752	0.172295113757	0.000439842323	0.872804535895	N\A	0.109692140939	0.016024814113	0.047059187241	64	29	
3200000	223.139228	1	-1.857175797598	1.386870277514	-0.118321851330	0.246568042799	0.000366412518	0.883162163387	N\A	0.111505548866	0.015650600886	0.044801919368	58	31	
3250000	229.711996	1	-1.473237175665	1.226253424295	-0.083942225304	0.140220031752	0.000721257722	0.903600303501	N\A	0.105387788481	0.015029367144	0.043268567188	37	23	
3300000	228.673987	1	-1.686585362128	1.418203753113	-0.118039949485	0.193641495577	0.000251796521	0.896140112395	N\A	0.106103269479	0.015498300271	0.044627329947	49	42	
3350000	239.556299	1	-2.196672114482	1.599442300343	-0.113158372168	0.037849243834	0.000506928648	0.887782591790	N\A	0.108813489545	0.015683570337	0.044740383187	37	37	
3400000	213.666646	1	-1.921910499357	1.462148868583	-0.097356138280	0.082825653983	0.000622684462	0.888693531193	N\A	0.097956910298	0.014400371686	0.042216824244	62	30	
3450000	234.495140	1	-1.420775527815	1.072669320950	-0.059958598069	0.194272894845	0.000862160590	0.900230824640	N\A	0.088277354982	0.014405973078	0.026765271685	50	31	
