Species_TTOL	CEREB	rest_of_brain	BOD	BOD2
Anourosorex_squamipes	1.599	2.5613393948666	1.86328760196422	3.47184068763358
Atelerix_algirus	2.562	3.45937494595256	1.86328760196422	3.47184068763358
Blarina_brevicauda	1.626	2.56526016953364	1.86328760196422	3.47184068763358
Chrysochloris_asiatica	1.861	2.8124927980164	1.86328760196422	3.47184068763358
Chrysochloris_stuhlmanni	1.871	2.83356529108882	1.86328760196422	3.47184068763358
Crocidura_attenuata	1.386	2.29369840905507	1.86328760196422	3.47184068763358
Crocidura_flavescens	1.715	2.58207746336137	1.86328760196422	3.47184068763358
Crocidura_hildegardeae	1.362	2.30064063157812	1.86328760196422	3.47184068763358
Crocidura_denti	1.455	2.36479451634544	1.86328760196422	3.47184068763358
Crocidura_russula	1.322	2.26471093422473	1.86328760196422	3.47184068763358
Crocidura_suaveolens	1.34	2.25063238800831	1.86328760196422	3.47184068763358
Cryptotis_parvus	1.384	2.36248471949945	1.86328760196422	3.47184068763358
Desmana_moschata	2.711	3.55635615102067	1.86328760196422	3.47184068763358
Echinops_telfairi	1.765	2.74834886210844	1.86328760196422	3.47184068763358
Echinosorex_gymnura	2.904	3.7443098228403	1.86328760196422	3.47184068763358
Erinaceus_europaeus	2.597	3.47896517613914	1.86328760196422	3.47184068763358
Euroscaptor_micrura	2.064	2.88161190363473	1.86328760196422	3.47184068763358
Galemys_pyrenaicus	2.264	3.0873915761491	1.86328760196422	3.47184068763358
Geogale_aurita	1.097	2.08153227068238	1.86328760196422	3.47184068763358
Hemicentetes_semispinosus	2.081	2.87971667978679	1.86328760196422	3.47184068763358
Hemiechinus_auritus	2.292	3.22302557506589	1.86328760196422	3.47184068763358
Hylomys_suillus	2.196	3.04265473490601	1.86328760196422	3.47184068763358
Limnogale_mergulus	2.246	3.01708868959485	1.86328760196422	3.47184068763358
Microgale_dobsoni	1.756	2.70344201843958	1.86328760196422	3.47184068763358
Microgale_talazaci	1.977	2.85130596152045	1.86328760196422	3.47184068763358
Micropotamogale_lamottei	1.918	2.86835860528116	1.86328760196422	3.47184068763358
Micropotamogale_ruwenzorii	2.174	3.0239960099372	1.86328760196422	3.47184068763358
Myosorex_sclateri	1.627	2.52863027572128	1.86328760196422	3.47184068763358
Neomys_anomalus	1.511	2.4253493121911	1.86328760196422	3.47184068763358
Neomys_fodiens	1.613	2.4844525337294	1.86328760196422	3.47184068763358
Oryzorictes_hova	1.91	2.72555444984195	1.86328760196422	3.47184068763358
Parascalops_breweri	2.083	2.9176407015745	1.86328760196422	3.47184068763358
Potamogale_velox	2.794	3.58573403914356	1.86328760196422	3.47184068763358
Ruwenzorisorex_suncoides	1.722	2.54319142403048	1.86328760196422	3.47184068763358
Scalopus_aquaticus	2.296	3.09133564705225	1.86328760196422	3.47184068763358
Scutisorex_somereni	1.924	2.77648055519446	1.86328760196422	3.47184068763358
Setifer_setosus	2.167	3.13780347988815	1.86328760196422	3.47184068763358
Solenodon_paradoxus	2.881	3.63091110993978	1.86328760196422	3.47184068763358
Sorex_alpinus	1.498	2.39429748323639	1.86328760196422	3.47184068763358
Sorex_araneus	1.342	2.30376222600923	1.86328760196422	3.47184068763358
Sorex_cinereus	1.217	2.19894571979351	1.86328760196422	3.47184068763358
Sorex_fumeus	1.369	2.35557876339451	1.86328760196422	3.47184068763358
Sorex_hoyi	0.94	1.95473569737117	1.86328760196422	3.47184068763358
Sorex_minutus	1.083	2.03191366086741	1.86328760196422	3.47184068763358
Suncus_etruscus	0.771	1.76381793243763	1.86328760196422	3.47184068763358
Suncus_murinus	1.631	2.54992986543294	1.86328760196422	3.47184068763358
Sylvisorex_granti	1.272	2.19026550669	1.86328760196422	3.47184068763358
Suncus_megalura	1.396	2.24721153694055	1.86328760196422	3.47184068763358
Talpa_europaea	2.241	2.9763963558453	1.86328760196422	3.47184068763358
Tenrec_ecaudatus	2.493	3.35823796436117	1.86328760196422	3.47184068763358
Aepyprymnus_rufescens	3.172778	4.0785367274352	1.86328760196422	3.47184068763358
Antechinus_flavipes	1.933993	2.78774994860876	1.86328760196422	3.47184068763358
Antechinus_minimus	1.959995	2.86153430048589	1.86328760196422	3.47184068763358
Bettongia_gaimardi	3.194653	4.04663551459762	1.86328760196422	3.47184068763358
Bettongia_penicillata	3.075255	3.98021273823091	1.86328760196422	3.47184068763358
Burramys_parvus	2.017451	2.92464113314859	1.86328760196422	3.47184068763358
Cercartetus_nanus	1.85187	2.67775290596171	1.86328760196422	3.47184068763358
Dactylopsila_trivirgata	2.920123	3.76646475332113	1.86328760196422	3.47184068763358
Dasycercus_cristicauda	2.329601	3.16814378922862	1.86328760196422	3.47184068763358
Dasyuroides_byrnei	2.3638	3.1709361619783	1.86328760196422	3.47184068763358
Dasyurus_geoffroii	2.907519	3.70221513935253	1.86328760196422	3.47184068763358
Dasyurus_hallucatus	2.610021	3.45874340368618	1.86328760196422	3.47184068763358
Dendrolagus_lumholtzi	3.530584	4.32056441398414	1.86328760196422	3.47184068763358
Distoechurus_pennatus	2.128399	2.99668674974598	1.86328760196422	3.47184068763358
Dorcopsis	3.354108	4.18833195300086	1.86328760196422	3.47184068763358
Echymipera_kalubu	2.807603	3.52847956017657	1.86328760196422	3.47184068763358
Gymnobelideus_leadbeateri	2.569023	3.34769853893654	1.86328760196422	3.47184068763358
Hypsiprymnodon_moschatus	2.870872	3.74212014161771	1.86328760196422	3.47184068763358
Isoodon_macrourus	2.78326	3.58290385753117	1.86328760196422	3.47184068763358
Isoodon_obesulus_obesulus	2.846894	3.62554911049539	1.86328760196422	3.47184068763358
Osphranter_antilopinus	3.876737	4.71459609027679	1.86328760196422	3.47184068763358
Macropus_giganteus	3.87944	4.77506983526938	1.86328760196422	3.47184068763358
Notamacropus_irma	3.469969	4.36841530467472	1.86328760196422	3.47184068763358
Notamacropus_parma	3.284882	4.20117855029655	1.86328760196422	3.47184068763358
Notamacropus_parryi	3.64953	4.51970786965636	1.86328760196422	3.47184068763358
Osphranter_robustus	3.782616	4.66347772236744	1.86328760196422	3.47184068763358
Osphranter_rufus	3.925931	4.6959083965357	1.86328760196422	3.47184068763358
Thylamys_pallidior	1.893762	2.76345797589405	1.86328760196422	3.47184068763358
Marmosops_impavidus	2.177536	3.05568408388292	1.86328760196422	3.47184068763358
Monodelphis_brevicaudata	2.022016	2.94537022663038	1.86328760196422	3.47184068763358
Notoryctes_typhlops	1.992995	2.91376083971985	1.86328760196422	3.47184068763358
Petauroides_volans	2.848497	3.62032345471659	1.86328760196422	3.47184068763358
Petaurus_australis	2.955976	3.77024778429207	1.86328760196422	3.47184068763358
Petaurus_breviceps	2.467904	3.32467344517594	1.86328760196422	3.47184068763358
Petaurus_norfolcensis	2.649821	3.45766979672993	1.86328760196422	3.47184068763358
Petrogale_inornata	3.428135	4.23497248958282	1.86328760196422	3.47184068763358
Petrogale_lateralis	3.359835	4.16786355239828	1.86328760196422	3.47184068763358
Petrogale_penicillata	3.504335	4.31879823891567	1.86328760196422	3.47184068763358
Petrogale_purpureicollis	3.460447	4.24652097310723	1.86328760196422	3.47184068763358
Petropseudes_dahli	2.885248	3.69722055952986	1.86328760196422	3.47184068763358
Phascolarctos_cinereus	3.444981	4.22355030391757	1.86328760196422	3.47184068763358
Planigale_ingrami	1.068186	1.97840863192174	1.86328760196422	3.47184068763358
Planigale_maculata	1.404834	2.30272041723985	1.86328760196422	3.47184068763358
Potorous_tridactylus_tridactylus	3.123656	3.99808497676137	1.86328760196422	3.47184068763358
Pseudochirulus_canescens	2.548389	3.33597913853393	1.86328760196422	3.47184068763358
Pseudochirulus_forbesi	2.647383	3.47922966682932	1.86328760196422	3.47184068763358
Sarcophilus_harrisii	3.328991	4.14834965764349	1.86328760196422	3.47184068763358
Sminthopsis_crassicaudata	1.638489	2.53750425778387	1.86328760196422	3.47184068763358
Sminthopsis_leucopus	1.758912	2.66164229549523	1.86328760196422	3.47184068763358
Phalanger_gymnotis	3.25358	4.06032757480693	1.86328760196422	3.47184068763358
Thylacinus_cynocephalus	3.972157	4.70915133299125	1.86328760196422	3.47184068763358
Thylogale_billardierii	3.578181	4.34805949126278	1.86328760196422	3.47184068763358
Thylogale_stigmatica	3.364739	4.25065668458073	1.86328760196422	3.47184068763358
Trichosurus_vulpecula	3.207365	4.00237325530746	1.86328760196422	3.47184068763358
Vombatus_ursinus	3.830313	4.68410274637518	1.86328760196422	3.47184068763358
Wallabia_bicolor	3.764624	4.55349934894676	1.86328760196422	3.47184068763358
Balionycteris_maculata	1.763	2.68604357258994	1.86328760196422	3.47184068763358
Casinycteris_argynnis	2.068	2.89835140151989	1.86328760196422	3.47184068763358
Chironax_melanocephalus	1.863	2.75718362381577	1.86328760196422	3.47184068763358
Cynopterus_brachyotis	2.09	2.966833649282	1.86328760196422	3.47184068763358
Cynopterus_horsfieldii	2.258	3.11468350641045	1.86328760196422	3.47184068763358
Cynopterus_sphinx	2.201	3.05354966776212	1.86328760196422	3.47184068763358
Dobsonia_inermis	2.553	3.40766797562694	1.86328760196422	3.47184068763358
Dobsonia_moluccensis	2.785	3.63531672034154	1.86328760196422	3.47184068763358
Dobsonia_praedatrix	2.574	3.45265177566025	1.86328760196422	3.47184068763358
Eidolon_helvum	2.666	3.60406636908379	1.86328760196422	3.47184068763358
Eonycteris_spelaea	2.237	3.09326062869164	1.86328760196422	3.47184068763358
