Species_TTOL	CEREB	rest_of_brain	BOD	BOD2
Epomophorus_labiatus	2.316	3.17341455082117	1.86328760196422	3.47184068763358
Epomops_franqueti	2.504	3.3178958890353	1.86328760196422	3.47184068763358
Hypsignathus_monstrosus	2.696	3.51177917774895	1.86328760196422	3.47184068763358
Macroglossus_minimus	1.899	2.72492739657078	1.86328760196422	3.47184068763358
Megaerops_ecaudatus	1.954	2.87855040696948	1.86328760196422	3.47184068763358
Megaloglossus_woermanni	2.014	2.80962194180342	1.86328760196422	3.47184068763358
Melonycteris_melanops	2.179	3.08827988670424	1.86328760196422	3.47184068763358
Melonycteris_woodfordi	2.126	2.98478330621441	1.86328760196422	3.47184068763358
Epomophorus_pusillus	2.034	2.8916991691473	1.86328760196422	3.47184068763358
Myonycteris_torquata	2.193	3.04038415947288	1.86328760196422	3.47184068763358
Notopteris_macdonaldi	2.325	3.14143861060649	1.86328760196422	3.47184068763358
Nyctimene_albiventer	2.049	2.89166094946112	1.86328760196422	3.47184068763358
Nyctimene_robinsoni	2.21	3.06521908417013	1.86328760196422	3.47184068763358
Nyctimene_vizcaccia	2.132	2.97019608506253	1.86328760196422	3.47184068763358
Paranyctimene_raptor	2.005	2.83904237199348	1.86328760196422	3.47184068763358
Pteropus_alecto	2.926	3.82069860124938	1.86328760196422	3.47184068763358
Pteropus_conspicillatus	2.995	3.89493121910952	1.86328760196422	3.47184068763358
Pteropus_hypomelanus	2.789	3.69716131393364	1.86328760196422	3.47184068763358
Pteropus_lylei	2.852	3.75598421253182	1.86328760196422	3.47184068763358
Pteropus_neohibernicus	3.003	3.92848620624869	1.86328760196422	3.47184068763358
Pteropus_poliocephalus	2.945	3.83016987335255	1.86328760196422	3.47184068763358
Pteropus_samoensis	2.86	3.73626675041077	1.86328760196422	3.47184068763358
Pteropus_scapulatus	2.834	3.70549571470575	1.86328760196422	3.47184068763358
Pteropus_temminckii	2.762	3.66354900940771	1.86328760196422	3.47184068763358
Pteropus_tonganus	2.864	3.75825829746648	1.86328760196422	3.47184068763358
Pteropus_vampyrus	3.009	3.92972371176801	1.86328760196422	3.47184068763358
Rousettus_aegyptiacus	2.46	3.32486399626551	1.86328760196422	3.47184068763358
Rousettus_amplexicaudatus	2.278	3.1617898919156	1.86328760196422	3.47184068763358
Scotonycteris_zenkeri	1.949	2.8251361190744	1.86328760196422	3.47184068763358
Sphaerias_blanfordi	2.061	2.89058047078486	1.86328760196422	3.47184068763358
Syconycteris_australis	1.827	2.75449107699007	1.86328760196422	3.47184068763358
Anoura_caudifer	1.87	2.5806238378183	1.86328760196422	3.47184068763358
Anoura_geoffroyi	2.04	2.74657171798292	1.86328760196422	3.47184068763358
Ardops_nichollsi	1.928	2.72119019257957	1.86328760196422	3.47184068763358
Artibeus_cinereus	1.912	2.64696591916355	1.86328760196422	3.47184068763358
Artibeus_concolor	2.058	2.77277474031503	1.86328760196422	3.47184068763358
Artibeus_jamaicensis	2.24	2.98333261088124	1.86328760196422	3.47184068763358
Artibeus_lituratus	2.346	3.06496819373968	1.86328760196422	3.47184068763358
Aselliscus_stoliczkanus	1.535	2.14627742243429	1.86328760196422	3.47184068763358
Aselliscus_tricuspidatus	1.364	2.0993562087761	1.86328760196422	3.47184068763358
Brachyphylla_cavernarum	2.247	3.05292228999784	1.86328760196422	3.47184068763358
Cardioderma_cor	2.048	2.79992584642206	1.86328760196422	3.47184068763358
Carollia_perspicillata	1.964	2.71324648190518	1.86328760196422	3.47184068763358
Chalinolobus_gouldii	1.698	2.35195774032069	1.86328760196422	3.47184068763358
Chalinolobus_morio	1.542	2.24071974568802	1.86328760196422	3.47184068763358
Chiroderma_salvini	2.187	2.88624082329356	1.86328760196422	3.47184068763358
Chiroderma_trinitatum	1.989	2.70539048497075	1.86328760196422	3.47184068763358
Chiroderma_villosum	2.122	2.82351695180044	1.86328760196422	3.47184068763358
Choeroniscus_minor	1.894	2.5659450134905	1.86328760196422	3.47184068763358
Coleura_afra	1.691	2.38684133903795	1.86328760196422	3.47184068763358
Cormura_brevirostris	1.59	2.31547900333038	1.86328760196422	3.47184068763358
Craseonycteris_thonglongyai	1.117	1.91186407137902	1.86328760196422	3.47184068763358
Desmodus_rotundus	2.221	2.97496949473285	1.86328760196422	3.47184068763358
Diphylla_ecaudata	2.121	2.87975236516861	1.86328760196422	3.47184068763358
Emballonura_monticola	1.502	2.19689550326823	1.86328760196422	3.47184068763358
Emballonura_raffrayana	1.494	2.21750313113026	1.86328760196422	3.47184068763358
Eptesicus_brasiliensis	1.558	2.27704088235613	1.86328760196422	3.47184068763358
Eptesicus_fuscus_bahamensis	1.588	2.3513653086034	1.86328760196422	3.47184068763358
Eumops_auripendulus	2.135	2.75999624802448	1.86328760196422	3.47184068763358
Eumops_glaucinus	2.173	2.79101278730558	1.86328760196422	3.47184068763358
Furipterus_horrens	1.449	2.07959239815975	1.86328760196422	3.47184068763358
Glischropus_tylopus	1.255	1.97312302120491	1.86328760196422	3.47184068763358
Glossophaga_longirostris	1.966	2.6169266719764	1.86328760196422	3.47184068763358
Glossophaga_soricina	1.912	2.57354501835856	1.86328760196422	3.47184068763358
Harpiocephalus_harpia	1.837	2.62086344715862	1.86328760196422	3.47184068763358
Hesperoptenus_blanfordi	1.398	2.16984821507198	1.86328760196422	3.47184068763358
Hipposideros_armiger	2.153	2.87560056473481	1.86328760196422	3.47184068763358
Hipposideros_ater	1.613	2.30545128539469	1.86328760196422	3.47184068763358
Hipposideros_caffer	1.808	2.4627759440208	1.86328760196422	3.47184068763358
Macronycteris_commersoni	2.109	2.84697711567035	1.86328760196422	3.47184068763358
Hipposideros_diadema	2.093	2.82568898250015	1.86328760196422	3.47184068763358
Hipposideros_fulvus	1.62	2.34735841257385	1.86328760196422	3.47184068763358
Hipposideros_lankadiva	2.105	2.83381440820857	1.86328760196422	3.47184068763358
Hipposideros_larvatus	1.843	2.59070379701993	1.86328760196422	3.47184068763358
Hipposideros_ridleyi	1.673	2.40319100137588	1.86328760196422	3.47184068763358
Hipposideros_speoris	1.705	2.42782469906196	1.86328760196422	3.47184068763358
Hipposideros_turpis	2.041	2.74970813235674	1.86328760196422	3.47184068763358
Ia_io	2.163	2.85693377655639	1.86328760196422	3.47184068763358
Kerivoula_papillosa	1.819	2.47004291344843	1.86328760196422	3.47184068763358
Lasiurus_borealis	1.612	2.20786055220101	1.86328760196422	3.47184068763358
Leptonycteris_curasoae	2.077	2.76007259430502	1.86328760196422	3.47184068763358
Leptonycteris_nivalis	2.019	2.74009904764629	1.86328760196422	3.47184068763358
Lonchophylla_mordax	1.899	2.61273847911539	1.86328760196422	3.47184068763358
Hsunycteris_thomasi	1.79	2.50023862095974	1.86328760196422	3.47184068763358
Lophostoma_silvicolum	2.101	2.85331808051172	1.86328760196422	3.47184068763358
Macroderma_gigas	2.479	3.20498065502424	1.86328760196422	3.47184068763358
Macrophyllum_macrophyllum	1.741	2.4790378028068	1.86328760196422	3.47184068763358
Megaderma_lyra	2.211	2.93241161841455	1.86328760196422	3.47184068763358
Megaderma_spasma	2.071	2.78365497627165	1.86328760196422	3.47184068763358
Mesophylla_macconnelli	1.798	2.5144416036305	1.86328760196422	3.47184068763358
Micronycteris_brachyotis	1.883	2.58328686142129	1.86328760196422	3.47184068763358
Micronycteris_megalotis	1.694	2.41295245824855	1.86328760196422	3.47184068763358
Micronycteris_minuta	1.739	2.43110917339505	1.86328760196422	3.47184068763358
Micronycteris_schmidtorum	1.76	2.46261324325241	1.86328760196422	3.47184068763358
Gardnerycteris_crenulatum	1.73	2.48743694137244	1.86328760196422	3.47184068763358
Miniopterus_australis	1.599	2.28796870242141	1.86328760196422	3.47184068763358
Miniopterus_inflatus	1.9	2.48807198431177	1.86328760196422	3.47184068763358
Miniopterus_magnater	1.865	2.4849865990346	1.86328760196422	3.47184068763358
Miniopterus_pusillus	1.673	2.31097785415854	1.86328760196422	3.47184068763358
Miniopterus_tristis	1.856	2.49587912679333	1.86328760196422	3.47184068763358
Molossus_molossus	1.769	2.47483774200244	1.86328760196422	3.47184068763358
Molossus_rufus	1.972	2.69716719929339	1.86328760196422	3.47184068763358
Monophyllus_plethodon	1.949	2.62023584937206	1.86328760196422	3.47184068763358
Mormoops_megalophylla	2.024	2.56247160047249	1.86328760196422	3.47184068763358
Murina_cyclotis	1.601	2.37139315447136	1.86328760196422	3.47184068763358
Murina_huttoni	1.611	2.38592275334146	1.86328760196422	3.47184068763358
Myotis_adversus	1.643	2.3772871201093	1.86328760196422	3.47184068763358
Myotis_albescens	1.386	2.07780309246655	1.86328760196422	3.47184068763358
Myotis_annectans	1.56	2.31710569964846	1.86328760196422	3.47184068763358
Myotis_bechsteinii	1.628	2.39586985328546	1.86328760196422	3.47184068763358
Myotis_bocagii	1.528	2.25339686523018	1.86328760196422	3.47184068763358
Myotis_dasycneme	1.697	2.46431986810657	1.86328760196422	3.47184068763358
Myotis_myotis	1.94	2.65907694339085	1.86328760196422	3.47184068763358
Myotis_nigricans	1.377	2.11100026230064	1.86328760196422	3.47184068763358
Myotis_siligorensis	1.243	1.98557890358024	1.86328760196422	3.47184068763358
Natalus_tumidirostris	1.602	2.36796538095518	1.86328760196422	3.47184068763358
Noctilio_albiventris	1.986	2.74963685311494	1.86328760196422	3.47184068763358
Noctilio_leporinus	2.288	3.04342425236468	1.86328760196422	3.47184068763358
Nyctalus_noctula	1.906	2.52928534798622	1.86328760196422	3.47184068763358
Nycteris_arge	1.792	2.51972165509131	1.86328760196422	3.47184068763358
Nycteris_grandis	2.143	2.82882341601125	1.86328760196422	3.47184068763358
Nycteris_hispida	1.742	2.43216548536531	1.86328760196422	3.47184068763358
Nycteris_javanica	1.955	2.65047090615567	1.86328760196422	3.47184068763358
Nycteris_macrotis	1.851	2.56570573628551	1.86328760196422	3.47184068763358
Nycteris_thebaica	1.763	2.4880134922472	1.86328760196422	3.47184068763358
Nyctophilus_geoffroyi	1.465	2.1954325071819	1.86328760196422	3.47184068763358
Otomops_martiensseni	2.304	2.85387267955123	1.86328760196422	3.47184068763358
Peropteryx_macrotis	1.483	2.18774408447669	1.86328760196422	3.47184068763358
Phylloderma_stenops	2.31	3.10305487853701	1.86328760196422	3.47184068763358
Phyllostomus_discolor	2.231	3.01289560068157	1.86328760196422	3.47184068763358
Phyllostomus_elongatus	2.233	2.91962973558399	1.86328760196422	3.47184068763358
Phyllostomus_hastatus	2.449	3.15775224544109	1.86328760196422	3.47184068763358
Pipistrellus_javanicus	1.29	2.04743835568333	1.86328760196422	3.47184068763358
Pipistrellus_tenuis	1.193	1.94445839594312	1.86328760196422	3.47184068763358
Afronycteris_nana	1.267	1.97624949883145	1.86328760196422	3.47184068763358
Hypsugo_pulveratus	1.348	2.12583275320563	1.86328760196422	3.47184068763358
Perimyotis_subflavus	1.328	2.0689992385851	1.86328760196422	3.47184068763358
Pteronotus_gymnonotus	1.848	2.50919392843789	1.86328760196422	3.47184068763358
Pteronotus_parnellii_mesoamericanus	2.053	2.71076396835588	1.86328760196422	3.47184068763358
Pteronotus_personatus	1.656	2.33437416842607	1.86328760196422	3.47184068763358
Rhinolophus_cornutus	1.607	2.26307067478927	1.86328760196422	3.47184068763358
Rhinolophus_eloquens	1.906	2.58228368121921	1.86328760196422	3.47184068763358
Rhinolophus_hipposideros	1.483	2.14741999328989	1.86328760196422	3.47184068763358
Rhinolophus_landeri	1.751	2.41927248180996	1.86328760196422	3.47184068763358
Rhinolophus_lepidus	1.505	2.24246038366786	1.86328760196422	3.47184068763358
Rhinolophus_luctus	2.151	2.76563752486781	1.86328760196422	3.47184068763358
Rhinolophus_macrotis	1.627	2.29216841823355	1.86328760196422	3.47184068763358
Rhinolophus_malayanus	1.604	2.28065583157794	1.86328760196422	3.47184068763358
Rhinolophus_megaphyllus	1.719	2.39284327871508	1.86328760196422	3.47184068763358
Rhinolophus_pearsonii	1.806	2.49680535567541	1.86328760196422	3.47184068763358
Rhinolophus_pusillus	1.476	2.19036275728536	1.86328760196422	3.47184068763358
Rhinolophus_trifoliatus	1.845	2.51948592306197	1.86328760196422	3.47184068763358
Rhinolophus_yunnanensis	1.905	2.61598611233896	1.86328760196422	3.47184068763358
Rhinonicteris_aurantia	1.701	2.36980993185743	1.86328760196422	3.47184068763358
Rhinophylla_pumilio	1.716	2.52389337701925	1.86328760196422	3.47184068763358
Rhinopoma_hardwickii	1.629	2.41517493551946	1.86328760196422	3.47184068763358
Rhinopoma_microphyllum	1.781	2.56167523073907	1.86328760196422	3.47184068763358
Rhogeessa_parvula	1.255	2.02540404611476	1.86328760196422	3.47184068763358
Rhynchonycteris_naso	1.354	2.04732050651951	1.86328760196422	3.47184068763358
Saccopteryx_bilineata	1.577	2.33483311530367	1.86328760196422	3.47184068763358
Saccopteryx_canescens	1.33	2.08934484317686	1.86328760196422	3.47184068763358
Saccopteryx_leptura	1.438	2.18322541361085	1.86328760196422	3.47184068763358
Scotomanes_ornatus	1.74	2.55494722650546	1.86328760196422	3.47184068763358
Scotophilus_dinganii	1.911	2.6152095371468	1.86328760196422	3.47184068763358
Scotophilus_kuhlii	1.765	2.50605597481635	1.86328760196422	3.47184068763358
Sphaeronycteris_toxophyllum	1.918	2.69540272673135	1.86328760196422	3.47184068763358
Sturnira_lilium	1.983	2.7664442150746	1.86328760196422	3.47184068763358
Sturnira_ludovici	2.035	2.79971581818209	1.86328760196422	3.47184068763358
Sturnira_tildae	2.015	2.82056767486967	1.86328760196422	3.47184068763358
Tadarida_aegyptiaca	1.847	2.56759514736225	1.86328760196422	3.47184068763358
Taphozous_australis	2.017	2.68911434548403	1.86328760196422	3.47184068763358
Taphozous_hildegardeae	2.06	2.71134274302204	1.86328760196422	3.47184068763358
Taphozous_mauritianus	2.057	2.71797961523504	1.86328760196422	3.47184068763358
Taphozous_melanopogon	2.052	2.70480831622297	1.86328760196422	3.47184068763358
Tonatia_bidens	2.126	2.87212442061372	1.86328760196422	3.47184068763358
Lophostoma_schulzi	1.925	2.67681030271887	1.86328760196422	3.47184068763358
Trachops_cirrhosus	2.258	2.97719852358353	1.86328760196422	3.47184068763358
Triaenops_persicus	1.82	2.41026109600416	1.86328760196422	3.47184068763358
Tylonycteris_pachypus	1.068	1.87843900376487	1.86328760196422	3.47184068763358
Tylonycteris_robustula	1.314	2.03440793493338	1.86328760196422	3.47184068763358
Uroderma_bilobatum	2.013	2.76341624316696	1.86328760196422	3.47184068763358
Vampyressa_pusilla	1.823	2.55572901399533	1.86328760196422	3.47184068763358
Vampyrum_spectrum	2.726	3.38883839645361	1.86328760196422	3.47184068763358
Alouatta_seniculus	3.756	4.69064476860801	1.86328760196422	3.47184068763358
Aotus_trivirgatus	3.273	4.20956514451613	1.86328760196422	3.47184068763358
Ateles_geoffroyi	4.095	5.00423671459412	1.86328760196422	3.47184068763358
Avahi_laniger	3.173	3.99079117597203	1.86328760196422	3.47184068763358
Plecturocebus_moloch	3.21	4.24999973790912	1.86328760196422	3.47184068763358
Callimico_goeldii	3.093	4.02141427425862	1.86328760196422	3.47184068763358
Callithrix_jacchus	2.879	3.86010428447601	1.86328760196422	3.47184068763358
Cebuella_pygmaea	2.67	3.63358773263483	1.86328760196422	3.47184068763358
Cebus_albifrons	3.896	4.8258408678735	1.86328760196422	3.47184068763358
Cercopithecus_ascanius	3.766	4.80297404128273	1.86328760196422	3.47184068763358
Cercopithecus_mitis_mitis	3.83	4.84835244065239	1.86328760196422	3.47184068763358
Cheirogaleus_major	2.976	3.80396492768725	1.86328760196422	3.47184068763358
Cheirogaleus_medius	2.64	3.4708780230274	1.86328760196422	3.47184068763358
Daubentonia_madagascariensis	3.81	4.6294722319675	1.86328760196422	3.47184068763358
Erythrocebus_patas	3.941	5.01330305301563	1.86328760196422	3.47184068763358
Eulemur_fulvus_fulvus	3.522	4.34468914865517	1.86328760196422	3.47184068763358
Galago_senegalensis	2.827	3.65384583826705	1.86328760196422	3.47184068763358
Galagoides_demidoff	2.616	3.50526524207999	1.86328760196422	3.47184068763358
Gorilla_gorilla	4.84	5.67214160105073	1.86328760196422	3.47184068763358
Homo_sapiens	5.138	6.09769523952942	1.86328760196422	3.47184068763358
Hylobates_lar	4.082	4.98887970833346	1.86328760196422	3.47184068763358
Indri_indri	3.741	4.55944787748954	1.86328760196422	3.47184068763358
Lagothrix_lagotricha	4.052	4.980177796679	1.86328760196422	3.47184068763358
Lepilemur_mustelinus	3.066	3.85550540645094	1.86328760196422	3.47184068763358
Lophocebus_albigena	4.03	4.9893093148895	1.86328760196422	3.47184068763358
Loris_tardigradus_tardigradus	2.862	3.79701647977618	1.86328760196422	3.47184068763358
Macaca_mulatta	3.953	4.94427327976376	1.86328760196422	3.47184068763358
Microcebus_murinus	2.369	3.22499777943092	1.86328760196422	3.47184068763358
Miopithecus_talapoin	3.528	4.57720824492106	1.86328760196422	3.47184068763358
Nasalis_larvatus	4.083	4.97211427746941	1.86328760196422	3.47184068763358
Nycticebus_coucang	3.117	4.07016900764897	1.86328760196422	3.47184068763358
Otolemur_crassicaudatus	3.15	3.98509131950917	1.86328760196422	3.47184068763358
Pan_troglodytes	4.64	5.58232825551133	1.86328760196422	3.47184068763358
Papio_cynocephalus	4.271	5.28121407692444	1.86328760196422	3.47184068763358
Perodicticus_potto	3.23	4.12079897970986	1.86328760196422	3.47184068763358
Pithecia_monachus	3.592	4.51688705271499	1.86328760196422	3.47184068763358
Piliocolobus_badius	3.937	4.86832778778568	1.86328760196422	3.47184068763358
Propithecus_verreauxi	3.597	4.40135338583513	1.86328760196422	3.47184068763358
Pygathrix_nemaeus	3.906	4.86047259819674	1.86328760196422	3.47184068763358
Saguinus_midas	3.026	3.98108200720884	1.86328760196422	3.47184068763358
Saguinus_oedipus	2.993	3.97903342592802	1.86328760196422	3.47184068763358
Saimiri_sciureus_sciureus	3.354	4.35321967494396	1.86328760196422	3.47184068763358
Tarsius_tarsier	2.631	3.53020840861181	1.86328760196422	3.47184068763358
Varecia_variegata	3.632	4.47260429620756	1.86328760196422	3.47184068763358
