Species_TTOL	PAL	BOD	BOD2
Anourosorex_squamipes	1.667	1.307	1.708249
Atelerix_algirus	2.517	2.867	8.219689
Blarina_brevicauda	1.602	1.267	1.605289
Chrysochloris_asiatica	1.94	1.69	2.8561
Chrysochloris_stuhlmanni	1.996	1.626	2.643876
Crocidura_attenuata	1.375	0.968	0.937024
Crocidura_flavescens	1.632	1.467	2.152089
Crocidura_hildegardeae	1.455	0.996	0.992016
Crocidura_denti	1.453	1.079	1.164241
Crocidura_russula	1.342	1.049	1.100401
Crocidura_suaveolens	1.334	1.013	1.026169
Cryptotis_parvus	1.441	0.991226075692495	0.982529133132744
Desmana_moschata	2.322	2.646	7.001316
Echinops_telfairi	1.934	1.942	3.771364
Echinosorex_gymnura	2.774	2.921	8.532241
Erinaceus_europaeus	2.54	2.929	8.579041
Euroscaptor_micrura	1.857	1.617	2.614689
Galemys_pyrenaicus	1.801	1.778	3.161284
Geogale_aurita	1.072	1	1
Hemicentetes_semispinosus	2.013	2.062	4.251844
Hemiechinus_auritus	2.266	2.371	5.621641
Hylomys_suillus	2.063	1.756	3.083536
Limnogale_mergulus	1.736	1.964	3.857296
Microgale_dobsoni	1.85	1.504	2.262016
Microgale_talazaci	1.995	1.683	2.832489
Micropotamogale_lamottei	1.638	1.808	3.268864
Micropotamogale_ruwenzorii	1.722	1.986	3.944196
Myosorex_sclateri	1.684	1.23	1.5129
Neomys_anomalus	1.336	1.037	1.075369
Neomys_fodiens	1.358	1.182	1.397124
Oryzorictes_hova	1.787	1.645	2.706025
Parascalops_breweri	1.914	1.731	2.996361
Potamogale_velox	2.031	2.791	7.789681
Ruwenzorisorex_suncoides	1.431	1.262	1.592644
Scalopus_aquaticus	2.104	2.061	4.247721
Scutisorex_somereni	1.881	1.792	3.211264
Setifer_setosus	2.365	2.373	5.631129
Solenodon_paradoxus	2.704	2.826	7.986276
Sorex_alpinus	1.418	1.033	1.067089
Sorex_araneus	1.412	0.987	0.974169
Sorex_cinereus	1.312	0.633	0.400689
Sorex_fumeus	1.438	0.924	0.853776
Sorex_hoyi	1.021	0.42	0.1764
Sorex_minutus	1.104	0.633	0.400689
Suncus_etruscus	0.82	0.762	0.580644
Suncus_murinus	1.634	1.529	2.337841
Sylvisorex_granti	1.338	0.591	0.349281
Suncus_megalura	1.375	0.74	0.5476
Talpa_europaea	1.883	1.908	3.640464
Tenrec_ecaudatus	2.517	2.935	8.614225
Aepyprymnus_rufescens	2.763428	3.392697	11.510392933809
Antechinus_flavipes	1.79795	1.568202	2.459257512804
Antechinus_minimus	1.926342	1.724276	2.973127724176
Bettongia_gaimardi	2.799961	3.176091	10.087554040281
Bettongia_penicillata	2.7577	3.079181	9.481355630761
Burramys_parvus	1.759668	1.770852	3.135916805904
Cercartetus_nanus	1.431364	1.278754	1.635211792516
Dactylopsila_trivirgata	2.605736	2.643453	6.987843763209
Dasycercus_cristicauda	2.089905	2	4
Dasyuroides_byrnei	2.11059	2.146128	4.605865392384
Dasyurus_geoffroii	2.584557	2.69897	7.2844390609
Dasyurus_hallucatus	2.406029	3.021189	9.127582973721
Dendrolagus_lumholtzi	2.819412	3.78533	14.3287232089
Distoechurus_pennatus	1.812245	1.633468	2.668217707024
Dorcopsis	2.889806	3.462398	11.988199910404
Echymipera_kalubu	2.588047	2.819544	7.949828367936
Gymnobelideus_leadbeateri	2.102434	2.041393	4.167285380449
Hypsiprymnodon_moschatus	2.611405	2.748188	7.552537283344
Isoodon_macrourus	2.655427	3.033424	9.201661163776
Isoodon_obesulus_obesulus	2.661339	3.004321	9.025944671041
Osphranter_antilopinus	3.209783	4.537819	20.591801276761
Macropus_giganteus	3.278067	4.563481	20.825358837361
Notamacropus_irma	2.968763	3.819544	14.588916367936
Notamacropus_parma	2.795463	3.536558	12.507242487364
Notamacropus_parryi	3.09237	4.170262	17.391085148644
Osphranter_robustus	3.192846	4.409933	19.447509064489
Osphranter_rufus	3.142076	4.494155	20.197429164025
Thylamys_pallidior	1.686636	1.477121	2.181886448641
Marmosops_impavidus	2.044932	1.845098	3.404386629604
Monodelphis_brevicaudata	1.980912	1.924279	3.702849669841
Notoryctes_typhlops	2.077368	1.531479	2.345427927441
Petauroides_volans	2.204391	3.09691	9.5908515481
Petaurus_australis	2.509471	2.748188	7.552537283344
Petaurus_breviceps	2.104828	2.113943	4.468755007249
Petaurus_norfolcensis	2.19173	2.374748	5.639428063504
Petrogale_inornata	2.817036	3.628389	13.165206735321
Petrogale_lateralis	2.71592	3.556303	12.647291027809
Petrogale_penicillata	2.847388	3.690196	13.617546518416
Petrogale_purpureicollis	2.783832	3.740363	13.990315371769
Petropseudes_dahli	2.341632	3.127105	9.778785681025
Phascolarctos_cinereus	2.733358	3.968483	15.748857321289
Planigale_ingrami	0.877371	0.826075	0.682399905625
Planigale_maculata	1.287802	1.041393	1.084499380449
Potorous_tridactylus_tridactylus	2.860038	3.089905	9.547512909025
Pseudochirulus_canescens	2.061829	2.447158	5.988582276964
Pseudochirulus_forbesi	2.177825	2.70757	7.3309353049
Sarcophilus_harrisii	3.134177	3.732394	13.930764971236
Sminthopsis_crassicaudata	1.535294	1.146128	1.313609392384
Sminthopsis_leucopus	1.658965	1.361728	1.854303145984
Phalanger_gymnotis	2.844912	3.451786	11.914826589796
Thylacinus_cynocephalus	3.328176	4.342423	18.856637510929
Thylogale_billardierii	2.904986	3.845098	14.784778629604
Thylogale_stigmatica	2.889358	3.653213	13.345965223369
Trichosurus_vulpecula	2.674677	3.30103	10.8967990609
Vombatus_ursinus	3.248439	4.357935	18.991597464225
Wallabia_bicolor	3.08636	4.198657	17.628720603649
Balionycteris_maculata	1.465	1.158	1.340964
Casinycteris_argynnis	1.639	1.428	2.039184
Chironax_melanocephalus	1.553	1.248	1.557504
Cynopterus_brachyotis	1.698	1.53	2.3409
Cynopterus_horsfieldii	1.81	1.773	3.143529
Cynopterus_sphinx	1.786	1.713	2.934369
Dobsonia_inermis	2.226	2.173	4.721929
Dobsonia_moluccensis	2.454	2.543	6.466849
Dobsonia_praedatrix	2.279	2.25	5.0625
Eidolon_helvum	2.386	2.418	5.846724
Eonycteris_spelaea	1.836	1.769	3.129361
Epomophorus_labiatus	1.918	1.806	3.261636
Epomops_franqueti	2.061	2.072	4.293184
Hypsignathus_monstrosus	2.208	2.491	6.205081
Macroglossus_minimus	1.455	1.164	1.354896
Megaerops_ecaudatus	1.593	1.38	1.9044
Megaloglossus_woermanni	1.489	1.253	1.570009
Melonycteris_melanops	1.882	1.675	2.805625
Melonycteris_woodfordi	1.736	1.549	2.399401
Epomophorus_pusillus	1.68	1.4	1.96
Myonycteris_torquata	1.827	1.561	2.436721
Notopteris_macdonaldi	1.973	1.841	3.389281
Nyctimene_albiventer	1.723	1.473	2.169729
Nyctimene_robinsoni	1.888	1.673	2.798929
Nyctimene_vizcaccia	1.851	1.549	2.399401
Paranyctimene_raptor	1.661	1.417	2.007889
Pteropus_alecto	2.495	2.775	7.700625
Pteropus_conspicillatus	2.576	2.875	8.265625
Pteropus_hypomelanus	2.444	2.591	6.713281
Pteropus_lylei	2.439	2.497	6.235009
Pteropus_neohibernicus	2.598	2.924	8.549776
Pteropus_poliocephalus	2.491	2.842	8.076964
Pteropus_samoensis	2.441	2.491	6.205081
Pteropus_scapulatus	2.362	2.574	6.625476
Pteropus_temminckii	2.371	2.398	5.750404
Pteropus_tonganus	2.483	2.652	7.033104
Pteropus_vampyrus	2.617	3.027	9.162729
Rousettus_aegyptiacus	2.106	2.111	4.456321
