Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m2-VR-001.txt
Log File Name:                   MOB_d1_m2-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1614660062
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m2-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1500000	181.080005	1	1.025638728383	0.526762440081	-0.618502174330	-1.339970013160	-0.260131976752	-0.387561840036	-0.178020757752	0.213476367614	0.205899470340	-0.122742765952	0.180585510208	0.034994452206	0.000399518959	0.830726319191	N\A	0.114535381552	0.328895253506	0.307447350344	0.350319260144	0.317145755882	0.393765775976	0.119125626208	0.118401492690	0.127641030217	0.122750725956	0.121731545814	60	27	
1550000	188.926615	1	0.603592577703	0.454238932086	-0.065539113621	-1.015964848277	0.138106274026	0.085998659561	0.639590210066	0.186795198174	0.294657132542	-0.079498104641	0.153502587414	0.057749547696	0.000495623657	0.821212440983	N\A	0.069185915086	0.297589700576	0.267764851706	0.307140204262	0.285520181496	0.380417789622	0.079168584090	0.074846792400	0.085385288565	0.083289943172	0.078412567788	44	26	
1600000	212.403703	1	0.652401097876	0.670503416628	-0.175757890840	-0.974819585985	0.156622031116	-0.070967240345	0.347502314874	-0.022604706601	0.051157553414	-0.258251124572	-0.031633325719	-0.175332176455	0.000926724398	0.849479646256	N\A	0.093204207261	0.356519802848	0.333087580666	0.391246883673	0.336844639052	0.501380409012	0.098774665509	0.096782398547	0.108116531036	0.099038408805	0.102108455443	43	32	
1650000	205.009215	1	0.857042844326	0.541123039206	-0.064028494645	-1.000325483660	-1.162712877723	0.097585365335	-0.259495038283	0.062520645293	0.206104102129	0.100585337833	0.095733792576	-0.016501641645	0.001135096113	0.847618229347	N\A	0.104693579917	0.381462801827	0.365491413943	0.428237010487	0.365517674071	0.766462276172	0.110653485519	0.108063584431	0.119360229634	0.111097839989	0.111238907981	43	27	
1700000	202.174410	1	0.467447189703	0.501384193657	-0.056686589077	-0.758320981274	-0.243069546384	0.286277439953	0.459783707948	0.202095299138	0.272324220826	0.029001707349	0.134033522115	0.057660740968	0.001065789369	0.846732866021	N\A	0.100684604175	0.363377229408	0.345677469189	0.408898934058	0.347305769381	0.532226883003	0.107478275726	0.103989659424	0.118259342753	0.106358610150	0.107102721037	44	23	
1750000	193.442352	1	0.778593586937	0.559800536994	0.107363228540	-0.494662006310	-0.222627182943	0.091685466062	0.060895942896	0.108195949365	0.186494516847	-0.160004191478	0.031479676004	-0.089641259795	0.000863723048	0.837589951164	N\A	0.093349860922	0.361990825740	0.345576642011	0.395331718188	0.345036759489	0.496111727698	0.098945167116	0.097982804525	0.109187082205	0.100621304788	0.099497835198	55	16	
1800000	207.284153	1	0.226574795660	0.680399779944	0.016808292338	-0.711721781893	0.123132679127	0.371504709269	0.840207104223	-0.068249312983	0.062534431737	-0.310820906955	-0.091131618068	-0.104711960072	0.001273804191	0.851169687373	N\A	0.109272670087	0.388889235834	0.370976304335	0.395652508443	0.373345160643	0.578307927819	0.114236684972	0.112593724201	0.117676674927	0.115577210576	0.113481899216	45	29	
1850000	193.787971	1	0.630118531778	0.584941597907	0.111105591330	-0.621334944812	0.212600551443	0.267430991059	-0.021352486600	0.116022314906	0.166293902729	-0.211781820575	-0.025403569970	0.013542461610	0.000512433573	0.856168524605	N\A	0.068838575839	0.276418497639	0.255579703306	0.364270700626	0.270172132452	0.370563928412	0.076796506012	0.073873075922	0.095281921620	0.081340168514	0.074581579486	55	26	
1900000	205.278720	1	0.204257228729	0.766692622563	0.824406153195	-0.279547561687	0.779209828801	0.637860934095	0.526873450256	-0.192775551516	-0.077113368534	-0.325418668976	-0.157152406758	-0.186492826937	0.000374354524	0.850165244796	N\A	0.135800336329	0.341385877141	0.325403475233	0.355883651377	0.328864035930	0.362689842304	0.139670578986	0.138579572378	0.144018031259	0.141043072844	0.138685240870	41	27	
1950000	202.752999	1	0.462804820016	0.644157483580	0.241411587165	-0.796653257648	-0.037071401149	0.282296669549	0.543921156842	0.012761996083	0.097064539277	-0.225059105548	-0.102610248101	-0.060982687981	0.000409268272	0.895267400220	N\A	0.063570730178	0.268902607389	0.240541831857	0.293616457204	0.245544196889	0.332537528291	0.074514062465	0.066245453913	0.084188288681	0.073914243820	0.068870593177	44	33	
