Species_TTOL	CEREB	rest_of_brain	rest_of_brain2	BOD	BOD2
Eidolon_helvum	2.666	3.60406636908379	12.9892943927608	2.418	5.846724
Eonycteris_spelaea	2.237	3.09326062869164	9.56826131701383	1.769	3.129361
Epomophorus_labiatus	2.316	3.17341455082117	10.0705599113635	1.806	3.261636
Epomops_franqueti	2.504	3.3178958890353	11.0084331304774	2.072	4.293184
Hypsignathus_monstrosus	2.696	3.51177917774895	12.3325929932711	2.491	6.205081
Macroglossus_minimus	1.899	2.72492739657078	7.42522931658202	1.164	1.354896
Megaerops_ecaudatus	1.954	2.87855040696948	8.28605244546414	1.38	1.9044
Megaloglossus_woermanni	2.014	2.80962194180342	7.89397545586321	1.253	1.570009
Melonycteris_melanops	2.179	3.08827988670424	9.53747265862198	1.675	2.805625
Melonycteris_woodfordi	2.126	2.98478330621441	8.90893138505621	1.549	2.399401
Epomophorus_pusillus	2.034	2.8916991691473	8.36192408484716	1.4	1.96
Myonycteris_torquata	2.193	3.04038415947288	9.24393583717363	1.561	2.436721
Notopteris_macdonaldi	2.325	3.14143861060649	9.86863654420925	1.841	3.389281
Nyctimene_albiventer	2.049	2.89166094946112	8.36170304663836	1.473	2.169729
Nyctimene_robinsoni	2.21	3.06521908417013	9.39556803396076	1.673	2.798929
Nyctimene_vizcaccia	2.132	2.97019608506253	8.82206478372075	1.549	2.399401
Paranyctimene_raptor	2.005	2.83904237199348	8.06016158997434	1.417	2.007889
Pteropus_alecto	2.926	3.82069860124938	14.597737801589	2.775	7.700625
Pteropus_conspicillatus	2.995	3.89493121910952	15.170489201594	2.875	8.265625
Pteropus_hypomelanus	2.789	3.69716131393364	13.6690017812475	2.591	6.713281
Pteropus_lylei	2.852	3.75598421253182	14.1074174047883	2.497	6.235009
Pteropus_neohibernicus	3.003	3.92848620624869	15.4330038726862	2.924	8.549776
Pteropus_poliocephalus	2.945	3.83016987335255	14.6702012587375	2.842	8.076964
Pteropus_samoensis	2.86	3.73626675041077	13.959689230225	2.491	6.205081
Pteropus_scapulatus	2.834	3.70549571470575	13.7306984917027	2.574	6.625476
Pteropus_temminckii	2.762	3.66354900940771	13.4215913443322	2.398	5.750404
Pteropus_tonganus	2.864	3.75825829746648	14.1245054304756	2.652	7.033104
Pteropus_vampyrus	3.009	3.92972371176801	15.4427284508318	3.027	9.162729
Rousettus_aegyptiacus	2.46	3.32486399626551	11.0547205936626	2.111	4.456321
Rousettus_amplexicaudatus	2.278	3.1617898919156	9.99691532061967	1.856	3.444736
Scotonycteris_zenkeri	1.949	2.8251361190744	7.98139409129878	1.328	1.763584
Sphaerias_blanfordi	2.061	2.89058047078486	8.35545545808283	1.47	2.1609
Syconycteris_australis	1.827	2.75449107699007	7.5872210932179	1.207	1.456849
Anoura_caudifer	1.87	2.5806238378183	6.65961939231605	1.025	1.050625
Anoura_geoffroyi	2.04	2.74657171798292	7.54365620202365	1.204	1.449616
Ardops_nichollsi	1.928	2.72119019257957	7.40487606419122	1.352	1.827904
Artibeus_cinereus	1.912	2.64696591916355	7.00642857721331	1.1	1.21
Artibeus_concolor	2.058	2.77277474031503	7.68827976052911	1.288	1.658944
Artibeus_jamaicensis	2.24	2.98333261088124	8.9002734671475	1.613	2.601769
Artibeus_lituratus	2.346	3.06496819373968	9.39403002863586	1.748	3.055504
Aselliscus_stoliczkanus	1.535	2.14627742243429	4.60650677405116	0.69	0.4761
Aselliscus_tricuspidatus	1.364	2.0993562087761	4.40729649132678	0.643	0.413449
Brachyphylla_cavernarum	2.247	3.05292228999784	9.32033450876568	1.648	2.715904
Cardioderma_cor	2.048	2.79992584642206	7.83958474546228	1.415	2.002225
Carollia_perspicillata	1.964	2.71324648190518	7.36170647157086	1.25	1.5625
Chalinolobus_gouldii	1.698	2.35195774032069	5.53170521225439	1.068	1.140624
Chalinolobus_morio	1.542	2.24071974568802	5.02082497871619	0.919	0.844561
Chiroderma_salvini	2.187	2.88624082329356	8.33038609004629	1.417	2.007889
Chiroderma_trinitatum	1.989	2.70539048497075	7.31913767617029	1.137	1.292769
Chiroderma_villosum	2.122	2.82351695180044	7.97224797710447	1.394	1.943236
Choeroniscus_minor	1.894	2.5659450134905	6.58407381225677	0.982	0.964324
Coleura_afra	1.691	2.38684133903795	5.69701157774045	1.061	1.125721
Cormura_brevirostris	1.59	2.31547900333038	5.36144301486384	0.914	0.835396
Craseonycteris_thonglongyai	1.117	1.91186407137902	3.65522422742997	0.408	0.166464
Desmodus_rotundus	2.221	2.97496949473285	8.85044349459105	1.56	2.4336
Diphylla_ecaudata	2.121	2.87975236516861	8.29297368469423	1.49	2.2201
Emballonura_monticola	1.502	2.19689550326823	4.82634985228017	0.724	0.524176
Emballonura_raffrayana	1.494	2.21750313113026	4.91732013657249	0.771	0.594441
Eptesicus_brasiliensis	1.558	2.27704088235613	5.18491517992119	0.964	0.929296
Eptesicus_fuscus_bahamensis	1.588	2.3513653086034	5.52891881450355	1.134	1.285956
Eumops_auripendulus	2.135	2.75999624802448	7.6175792891092	1.529	2.337841
Eumops_glaucinus	2.173	2.79101278730558	7.78975237890325	1.562	2.439844
Furipterus_horrens	1.449	2.07959239815975	4.32470454248383	0.535	0.286225
Glischropus_tylopus	1.255	1.97312302120491	3.89321445680878	0.69	0.4761
Glossophaga_longirostris	1.966	2.6169266719764	6.84830520650148	1.053	1.108809
Glossophaga_soricina	1.912	2.57354501835856	6.62313396151816	0.996	0.992016
Harpiocephalus_harpia	1.837	2.62086344715862	6.86892520865216	1.13	1.2769
Hesperoptenus_blanfordi	1.398	2.16984821507198	4.70824127645104	0.863	0.744769
Hipposideros_armiger	2.153	2.87560056473481	8.26907860790317	1.748	3.055504
Hipposideros_ater	1.613	2.30545128539469	5.31510562932804	0.839	0.703921
Hipposideros_caffer	1.808	2.4627759440208	6.06526535044753	1.041	1.083681
Macronycteris_commersoni	2.109	2.84697711567035	8.10527869715067	1.997	3.988009
Hipposideros_diadema	2.093	2.82568898250015	7.98451822582275	1.622	2.630884
Hipposideros_fulvus	1.62	2.34735841257385	5.51009151708124	0.845	0.714025
Hipposideros_lankadiva	2.105	2.83381440820857	8.0305041001705	1.686	2.842596
Hipposideros_larvatus	1.843	2.59070379701993	6.7117461638935	1.312	1.721344
Hipposideros_ridleyi	1.673	2.40319100137588	5.775326989094	0.982	0.964324
Hipposideros_speoris	1.705	2.42782469906196	5.89433276937531	1.061	1.125721
Hipposideros_turpis	2.041	2.74970813235674	7.5608948131488	1.542	2.377764
Ia_io	2.163	2.85693377655639	8.16207060362878	1.727	2.982529
Kerivoula_papillosa	1.819	2.47004291344843	6.10111199427681	1.004	1.008016
Lasiurus_borealis	1.612	2.20786055220101	4.87464821796536	0.892	0.795664
Leptonycteris_curasoae	2.077	2.76007259430502	7.61800072583367	1.389	1.929321
Leptonycteris_nivalis	2.019	2.74009904764629	7.50814279091213	1.358	1.844164
Lonchophylla_mordax	1.899	2.61273847911539	6.82640236025021	1.029	1.058841
Hsunycteris_thomasi	1.79	2.50023862095974	6.25119316173868	0.839	0.703921
Lophostoma_silvicolum	2.101	2.85331808051172	8.14142406857511	1.509	2.277081
Macroderma_gigas	2.479	3.20498065502424	10.2719009990796	2.078	4.318084
Macrophyllum_macrophyllum	1.741	2.4790378028068	6.14562842774516	0.934	0.872356
Megaderma_lyra	2.211	2.93241161841455	8.59903789981263	1.587	2.518569
Megaderma_spasma	2.071	2.78365497627165	7.74873502692193	1.354	1.833316
Mesophylla_macconnelli	1.798	2.5144416036305	6.32241657806794	0.875	0.765625
Micronycteris_brachyotis	1.883	2.58328686142129	6.67337100839185	1.167	1.361889
Micronycteris_megalotis	1.694	2.41295245824855	5.8223395657677	0.813	0.660969
Micronycteris_minuta	1.739	2.43110917339505	5.91029181296557	0.839	0.703921
Micronycteris_schmidtorum	1.76	2.46261324325241	6.06446398584217	0.892	0.795664
Gardnerycteris_crenulatum	1.73	2.48743694137244	6.18734253730427	1.072	1.149184
Miniopterus_australis	1.599	2.28796870242141	5.2348007832599	0.851	0.724201
Miniopterus_inflatus	1.9	2.48807198431177	6.19050219911712	1.173	1.375929
Miniopterus_magnater	1.865	2.4849865990346	6.17515839738155	1.176	1.382976
Miniopterus_pusillus	1.673	2.31097785415854	5.34061864241123	0.934	0.872356
Miniopterus_tristis	1.856	2.49587912679333	6.22941261556266	1.193	1.423249
Molossus_molossus	1.769	2.47483774200244	6.12482184923971	1.137	1.292769
Molossus_rufus	1.972	2.69716719929339	7.27471090094414	1.526	2.328676
Monophyllus_plethodon	1.949	2.62023584937206	6.86563590633451	1.176	1.382976
Mormoops_megalophylla	2.024	2.56247160047249	6.56626070322802	1.196	1.430416
Murina_cyclotis	1.601	2.37139315447136	5.62350549307361	0.851	0.724201
Murina_huttoni	1.611	2.38592275334146	5.69262738491251	0.944	0.891136
Myotis_adversus	1.643	2.3772871201093	5.65149405143757	1.049	1.100401
Myotis_albescens	1.386	2.07780309246655	4.31726569106356	0.602	0.362404
Myotis_annectans	1.56	2.31710569964846	5.3689788233434	0.991	0.982081
Myotis_bechsteinii	1.628	2.39586985328546	5.74019235388207	0.978	0.956484
Myotis_bocagii	1.528	2.25339686523018	5.07779743222921	0.845	0.714025
Myotis_dasycneme	1.697	2.46431986810657	6.07287241234477	1.176	1.382976
Myotis_myotis	1.94	2.65907694339085	7.07069019087282	1.408	1.982464
Myotis_nigricans	1.377	2.11100026230064	4.45632210743337	0.663	0.439569
Myotis_siligorensis	1.243	1.98557890358024	3.9425235823429	0.539	0.290521
Natalus_tumidirostris	1.602	2.36796538095518	5.60726004540222	0.839	0.703921
Noctilio_albiventris	1.986	2.74963685311494	7.56050282400782	1.515	2.295225
Noctilio_leporinus	2.288	3.04342425236468	9.26243117988151	1.763	3.108169
Nyctalus_noctula	1.906	2.52928534798622	6.39728437153778	1.431	2.047761
Nycteris_arge	1.792	2.51972165509131	6.34899721913611	1.025	1.050625
Nycteris_grandis	2.143	2.82882341601125	8.00224191897357	1.474	2.172676
Nycteris_hispida	1.742	2.43216548536531	5.91542894820225	0.892	0.795664
Nycteris_javanica	1.955	2.65047090615567	7.02499602437764	1.265	1.600225
Nycteris_macrotis	1.851	2.56570573628551	6.5828459252084	1.161	1.347921
Nycteris_thebaica	1.763	2.4880134922472	6.19021113760409	0.949	0.900601
Nyctophilus_geoffroyi	1.465	2.1954325071819	4.819923893591	0.857	0.734449
Otomops_martiensseni	2.304	2.85387267955123	8.1445892710889	1.618	2.617924
Peropteryx_macrotis	1.483	2.18774408447669	4.78622417916275	0.748	0.559504
Phylloderma_stenops	2.31	3.10305487853701	9.62894957921231	1.664	2.768896
Phyllostomus_discolor	2.231	3.01289560068157	9.07753990060635	1.563	2.442969
Phyllostomus_elongatus	2.233	2.91962973558399	8.52423779290623	1.652	2.729104
Phyllostomus_hastatus	2.449	3.15775224544109	9.97139924358827	1.963	3.853369
Pipistrellus_javanicus	1.29	2.04743835568333	4.19200382032326	0.653	0.426409
Pipistrellus_tenuis	1.193	1.94445839594312	3.78091845355368	0.591	0.349281
Afronycteris_nana	1.267	1.97624949883145	3.90556208163155	0.591	0.349281
Hypsugo_pulveratus	1.348	2.12583275320563	4.51916489460183	0.724	0.524176
Perimyotis_subflavus	1.328	2.0689992385851	4.28075784926571	0.724	0.524176
Pteronotus_gymnonotus	1.848	2.50919392843789	6.29605417050955	1.134	1.285956
Pteronotus_parnellii_mesoamericanus	2.053	2.71076396835588	7.34824129213654	1.305	1.703025
Pteronotus_personatus	1.656	2.33437416842607	5.44930275821491	0.908	0.824464
Rhinolophus_cornutus	1.607	2.26307067478927	5.12148887909114	0.82	0.6724
Rhinolophus_eloquens	1.906	2.58228368121921	6.66818901029102	1.281	1.640961
Rhinolophus_hipposideros	1.483	2.14741999328989	4.61141262758114	0.663	0.439569
Rhinolophus_landeri	1.751	2.41927248180996	5.85287934124292	0.987	0.974169
Rhinolophus_lepidus	1.505	2.24246038366786	5.0286285723198	0.778	0.605284
Rhinolophus_luctus	2.151	2.76563752486781	7.64875091895694	1.516	2.298256
Rhinolophus_macrotis	1.627	2.29216841823355	5.2540360575473	0.799	0.638401
Rhinolophus_malayanus	1.604	2.28065583157794	5.20139102211046	0.806	0.649636
Rhinolophus_megaphyllus	1.719	2.39284327871508	5.72569895649193	0.991	0.982081
Rhinolophus_pearsonii	1.806	2.49680535567541	6.23403698412942	1.143	1.306449
Rhinolophus_pusillus	1.476	2.19036275728536	4.79768900850274	0.672	0.451584
Rhinolophus_trifoliatus	1.845	2.51948592306197	6.34780931650745	1.164	1.354896
Rhinolophus_yunnanensis	1.905	2.61598611233896	6.84338333995029	1.371	1.879641
Rhinonicteris_aurantia	1.701	2.36980993185743	5.61599911313013	0.934	0.872356
Rhinophylla_pumilio	1.716	2.52389337701925	6.37003777856165	0.949	0.900601
Rhinopoma_hardwickii	1.629	2.41517493551946	5.83306996916144	1.111	1.234321
Rhinopoma_microphyllum	1.781	2.56167523073907	6.56217998778205	1.468	2.155024
Rhogeessa_parvula	1.255	2.02540404611476	4.10226155001805	0.653	0.426409
Rhynchonycteris_naso	1.354	2.04732050651951	4.19152125641528	0.58	0.3364
Saccopteryx_bilineata	1.577	2.33483311530367	5.45144567631863	0.924	0.853776
Saccopteryx_canescens	1.33	2.08934484317686	4.36536187370975	0.531	0.281961
Saccopteryx_leptura	1.438	2.18322541361085	4.76647320663625	0.708	0.501264
Scotomanes_ornatus	1.74	2.55494722650546	6.52775533022796	1.338	1.790244
Scotophilus_dinganii	1.911	2.6152095371468	6.83932092318357	1.386	1.920996
Scotophilus_kuhlii	1.765	2.50605597481635	6.28031654891271	1.31	1.7161
Sphaeronycteris_toxophyllum	1.918	2.69540272673135	7.26519585927081	1.265	1.600225
Sturnira_lilium	1.983	2.7664442150746	7.6532135951197	1.305	1.703025
Sturnira_ludovici	2.035	2.79971581818209	7.83840866257902	1.413	1.996569
Sturnira_tildae	2.015	2.82056767486967	7.95560200851967	1.387	1.923769
Tadarida_aegyptiaca	1.847	2.56759514736225	6.59254484075817	1.248	1.557504
Taphozous_australis	2.017	2.68911434548403	7.23133596308799	1.38	1.9044
Taphozous_hildegardeae	2.06	2.71134274302204	7.3513794701383	1.438	2.067844
Taphozous_mauritianus	2.057	2.71797961523504	7.3874131888332	1.462	2.137444
Taphozous_melanopogon	2.052	2.70480831622297	7.31598802750896	1.356	1.838736
Tonatia_bidens	2.126	2.87212442061372	8.24909868748569	1.468	2.155024
Lophostoma_schulzi	1.925	2.67681030271887	7.1653133967419	1.328	1.763584
Trachops_cirrhosus	2.258	2.97719852358353	8.86371104882793	1.567	2.455489
Triaenops_persicus	1.82	2.41026109600416	5.80935855091118	1.137	1.292769
Tylonycteris_pachypus	1.068	1.87843900376487	3.52853309086516	0.681	0.463761
Tylonycteris_robustula	1.314	2.03440793493338	4.1388156457199	0.857	0.734449
Uroderma_bilobatum	2.013	2.76341624316696	7.636469332999	1.21	1.4641
Vampyressa_pusilla	1.823	2.55572901399533	6.53175079297756	0.934	0.872356
Vampyrum_spectrum	2.726	3.38883839645361	11.4842256772783	2.238	5.008644
Alouatta_seniculus	3.756	4.69064476860801	22.0021483452696	3.806	14.485636
Aotus_trivirgatus	3.273	4.20956514451613	17.7204387059251	2.919	8.520561
Ateles_geoffroyi	4.095	5.00423671459412	25.0423850956918	3.903	15.233409
Avahi_laniger	3.173	3.99079117597203	15.9264142102162	3.109	9.665881
Plecturocebus_moloch	3.21	4.24999973790912	18.0624977722276	2.954	8.726116
Callimico_goeldii	3.093	4.02141427425862	16.171772765211	2.681	7.187761
Callithrix_jacchus	2.879	3.86010428447601	14.9004050870301	2.447	5.987809
Cebuella_pygmaea	2.67	3.63358773263483	13.2029598107543	2.146	4.605316
Cebus_albifrons	3.896	4.8258408678735	23.2887400820381	3.491	12.187081
Cercopithecus_ascanius	3.766	4.80297404128273	23.0685596412358	3.531	12.467961
Cercopithecus_mitis_mitis	3.83	4.84835244065239	23.5065213887799	3.799	14.432401
Cheirogaleus_major	2.976	3.80396492768725	14.4701491710746	2.653	7.038409
Cheirogaleus_medius	2.64	3.4708780230274	12.0469942507346	2.248	5.053504
Daubentonia_madagascariensis	3.81	4.6294722319675	21.4320131465581	3.447	11.881809
Erythrocebus_patas	3.941	5.01330305301563	25.1332075013758	3.892	15.147664
Eulemur_fulvus_fulvus	3.522	4.34468914865517	18.876323798442	3.146	9.897316
Galago_senegalensis	2.827	3.65384583826705	13.3505894098214	2.27	5.1529
Galagoides_demidoff	2.616	3.50526524207999	12.2868844173341	1.908	3.640464
Gorilla_gorilla	4.84	5.67214160105073	32.1731903423703	5.021	25.210441
Homo_sapiens	5.138	6.09769523952942	37.1818872341798	4.813	23.164969
Hylobates_lar	4.082	4.98887970833346	24.8889207442213	3.756	14.107536
Indri_indri	3.741	4.55944787748954	20.7885649475439	3.796	14.409616
Lagothrix_lagotricha	4.052	4.980177796679	24.8021708865345	3.716	13.808656
Lepilemur_mustelinus	3.066	3.85550540645094	14.8649219391724	2.961	8.767521
Lophocebus_albigena	4.03	4.9893093148895	24.8932074396431	3.898	15.194404
Loris_tardigradus_tardigradus	2.862	3.79701647977618	14.4173341476919	2.508	6.290064
Macaca_mulatta	3.953	4.94427327976376	24.4458382649859	3.892	15.147664
Microcebus_murinus	2.369	3.22499777943092	10.4006106773343	1.732	2.999824
Miopithecus_talapoin	3.528	4.57720824492106	20.9508353173733	3.079	9.480241
Nasalis_larvatus	4.083	4.97211427746941	24.7219203882152	4.146	17.189316
Nycticebus_coucang	3.117	4.07016900764897	16.5662757508262	2.903	8.427409
Otolemur_crassicaudatus	3.15	3.98509131950917	15.8809528248273	2.929	8.579041
Pan_troglodytes	4.64	5.58232825551133	31.1623887522802	4.663	21.743569
Papio_cynocephalus	4.271	5.28121407692444	27.8912221263048	4.398	19.342404
Perodicticus_potto	3.23	4.12079897970986	16.9809842311778	3.061	9.369721
Pithecia_monachus	3.592	4.51688705271499	20.4022686469843	3.176	10.086976
