Species_TTOL	CEREB	rest_of_brain	rest_of_brain2	BOD	BOD2
Anourosorex_squamipes	1.599	2.5613393948666	6.56045949569562	1.307	1.708249
Atelerix_algirus	2.562	3.45937494595256	11.9672750166842	2.867	8.219689
Blarina_brevicauda	1.626	2.56526016953364	6.58055973739577	1.267	1.605289
Chrysochloris_asiatica	1.861	2.8124927980164	7.91011573889411	1.69	2.8561
Chrysochloris_stuhlmanni	1.871	2.83356529108882	8.02909225886326	1.626	2.643876
Crocidura_attenuata	1.386	2.29369840905507	5.26105239170176	0.968	0.937024
Crocidura_flavescens	1.715	2.58207746336137	6.66712402679868	1.467	2.152089
Crocidura_hildegardeae	1.362	2.30064063157812	5.29294731566815	0.996	0.992016
Crocidura_denti	1.455	2.36479451634544	5.59225310453746	1.079	1.164241
Crocidura_russula	1.322	2.26471093422473	5.12891561559707	1.049	1.100401
Crocidura_suaveolens	1.34	2.25063238800831	5.065346145952	1.013	1.026169
Cryptotis_parvus	1.384	2.36248471949945	5.5813340498684	0.991226075692495	0.982529133132744
Desmana_moschata	2.711	3.55635615102067	12.6476690729026	2.646	7.001316
Echinops_telfairi	1.765	2.74834886210844	7.55342146785276	1.942	3.771364
Echinosorex_gymnura	2.904	3.7443098228403	14.0198560494184	2.921	8.532241
Erinaceus_europaeus	2.597	3.47896517613914	12.1031986967888	2.929	8.579041
Euroscaptor_micrura	2.064	2.88161190363473	8.30368716316934	1.617	2.614689
Galemys_pyrenaicus	2.264	3.0873915761491	9.53198674447644	1.778	3.161284
Geogale_aurita	1.097	2.08153227068238	4.33277659389213	1	1
Hemicentetes_semispinosus	2.081	2.87971667978679	8.29276815584225	2.062	4.251844
Hemiechinus_auritus	2.292	3.22302557506589	10.3878938575288	2.371	5.621641
Hylomys_suillus	2.196	3.04265473490601	9.25774783584598	1.756	3.083536
Limnogale_mergulus	2.246	3.01708868959485	9.10282416088118	1.964	3.857296
Microgale_dobsoni	1.756	2.70344201843958	7.30859874706469	1.504	2.262016
Microgale_talazaci	1.977	2.85130596152045	8.12994568620207	1.683	2.832489
Micropotamogale_lamottei	1.918	2.86835860528116	8.22748108849048	1.808	3.268864
Micropotamogale_ruwenzorii	2.174	3.0239960099372	9.14455186811612	1.986	3.944196
Myosorex_sclateri	1.627	2.52863027572128	6.39397107129426	1.23	1.5129
Neomys_anomalus	1.511	2.4253493121911	5.88231928614584	1.037	1.075369
Neomys_fodiens	1.613	2.4844525337294	6.17250439235441	1.182	1.397124
Oryzorictes_hova	1.91	2.72555444984195	7.42864705905324	1.645	2.706025
Parascalops_breweri	2.083	2.9176407015745	8.51262726348414	1.731	2.996361
Potamogale_velox	2.794	3.58573403914356	12.8574885994728	2.791	7.789681
Ruwenzorisorex_suncoides	1.722	2.54319142403048	6.4678226192622	1.262	1.592644
Scalopus_aquaticus	2.296	3.09133564705225	9.55635608273596	2.061	4.247721
Scutisorex_somereni	1.924	2.77648055519446	7.70884427337294	1.792	3.211264
Setifer_setosus	2.167	3.13780347988815	9.84581067839821	2.373	5.631129
Solenodon_paradoxus	2.881	3.63091110993978	13.1835154882841	2.826	7.986276
Sorex_alpinus	1.498	2.39429748323639	5.73266043823212	1.033	1.067089
Sorex_araneus	1.342	2.30376222600923	5.30732039398702	0.987	0.974169
Sorex_cinereus	1.217	2.19894571979351	4.83536227859818	0.633	0.400689
Sorex_fumeus	1.369	2.35557876339451	5.5487513105552	0.924	0.853776
Sorex_hoyi	0.94	1.95473569737117	3.82099164657714	0.42	0.1764
Sorex_minutus	1.083	2.03191366086741	4.12867312521959	0.633	0.400689
Suncus_etruscus	0.771	1.76381793243763	3.11105369878857	0.762	0.580644
Suncus_murinus	1.631	2.54992986543294	6.50214231862683	1.529	2.337841
Sylvisorex_granti	1.272	2.19026550669	4.797262989796	0.591	0.349281
Suncus_megalura	1.396	2.24721153694055	5.04995969175869	0.74	0.5476
Talpa_europaea	2.241	2.9763963558453	8.85893526708917	1.908	3.640464
Tenrec_ecaudatus	2.493	3.35823796436117	11.2777622252766	2.935	8.614225
Aepyprymnus_rufescens	3.172778	4.0785367274352	16.6344618370378	3.392697	11.510392933809
Antechinus_flavipes	1.933993	2.78774994860876	7.77154977596817	1.568202	2.459257512804
Antechinus_minimus	1.959995	2.86153430048589	8.18837855285726	1.724276	2.973127724176
Bettongia_gaimardi	3.194653	4.04663551459762	16.3752589880027	3.176091	10.087554040281
Bettongia_penicillata	3.075255	3.98021273823091	15.8420934415756	3.079181	9.481355630761
Burramys_parvus	2.017451	2.92464113314859	8.55352575770467	1.770852	3.135916805904
Cercartetus_nanus	1.85187	2.67775290596171	7.17036062538641	1.278754	1.635211792516
Dactylopsila_trivirgata	2.920123	3.76646475332113	14.1862567380104	2.643453	6.987843763209
Dasycercus_cristicauda	2.329601	3.16814378922862	10.0371350692279	2	4
Dasyuroides_byrnei	2.3638	3.1709361619783	10.0548361433417	2.146128	4.605865392384
Dasyurus_geoffroii	2.907519	3.70221513935253	13.706396938051	2.69897	7.2844390609
Dasyurus_hallucatus	2.610021	3.45874340368618	11.9629059325426	3.021189	9.127582973721
Dendrolagus_lumholtzi	3.530584	4.32056441398414	18.6672768553861	3.78533	14.3287232089
Distoechurus_pennatus	2.128399	2.99668674974598	8.98013147610311	1.633468	2.668217707024
Dorcopsis	3.354108	4.18833195300086	17.542124548528	3.462398	11.988199910404
Echymipera_kalubu	2.807603	3.52847956017657	12.4501680065838	2.819544	7.949828367936
Gymnobelideus_leadbeateri	2.569023	3.34769853893654	11.2070855075978	2.041393	4.167285380449
Hypsiprymnodon_moschatus	2.870872	3.74212014161771	14.0034631543009	2.748188	7.552537283344
Isoodon_macrourus	2.78326	3.58290385753117	12.8372000523117	3.033424	9.201661163776
Isoodon_obesulus_obesulus	2.846894	3.62554911049539	13.1446063526139	3.004321	9.025944671041
Osphranter_antilopinus	3.876737	4.71459609027679	22.2274162944531	4.537819	20.591801276761
Macropus_giganteus	3.87944	4.77506983526938	22.8012919316995	4.563481	20.825358837361
Notamacropus_irma	3.469969	4.36841530467472	19.0830522741163	3.819544	14.588916367936
Notamacropus_parma	3.284882	4.20117855029655	17.6499012114718	3.536558	12.507242487364
Notamacropus_parryi	3.64953	4.51970786965636	20.4277592270336	4.170262	17.391085148644
Osphranter_robustus	3.782616	4.66347772236744	21.7480244670174	4.409933	19.447509064489
Osphranter_rufus	3.925931	4.6959083965357	22.0515556686545	4.494155	20.197429164025
Thylamys_pallidior	1.893762	2.76345797589405	7.63669998453245	1.477121	2.181886448641
Marmosops_impavidus	2.177536	3.05568408388292	9.33720522049542	1.845098	3.404386629604
Monodelphis_brevicaudata	2.022016	2.94537022663038	8.67520577192069	1.924279	3.702849669841
Notoryctes_typhlops	1.992995	2.91376083971985	8.49000223108495	1.531479	2.345427927441
Petauroides_volans	2.848497	3.62032345471659	13.106741916771	3.09691	9.5908515481
Petaurus_australis	2.955976	3.77024778429207	14.2147683549593	2.748188	7.552537283344
Petaurus_breviceps	2.467904	3.32467344517594	11.053453517058	2.113943	4.468755007249
Petaurus_norfolcensis	2.649821	3.45766979672993	11.9554804232184	2.374748	5.639428063504
Petrogale_inornata	3.428135	4.23497248958282	17.9349919875233	3.628389	13.165206735321
Petrogale_lateralis	3.359835	4.16786355239828	17.3710865914101	3.556303	12.647291027809
Petrogale_penicillata	3.504335	4.31879823891567	18.6520182284611	3.690196	13.617546518416
Petrogale_purpureicollis	3.460447	4.24652097310723	18.0329403750396	3.740363	13.990315371769
Petropseudes_dahli	2.885248	3.69722055952986	13.6694398658103	3.127105	9.778785681025
Phascolarctos_cinereus	3.444981	4.22355030391757	17.8383771697222	3.968483	15.748857321289
Planigale_ingrami	1.068186	1.97840863192174	3.91410071486245	0.826075	0.682399905625
Planigale_maculata	1.404834	2.30272041723985	5.30252131997327	1.041393	1.084499380449
Potorous_tridactylus_tridactylus	3.123656	3.99808497676137	15.984683481405	3.089905	9.547512909025
Pseudochirulus_canescens	2.548389	3.33597913853393	11.1287568127336	2.447158	5.988582276964
Pseudochirulus_forbesi	2.647383	3.47922966682932	12.1050390745452	2.70757	7.3309353049
Sarcophilus_harrisii	3.328991	4.14834965764349	17.2088048820708	3.732394	13.930764971236
Sminthopsis_crassicaudata	1.638489	2.53750425778387	6.43892785827126	1.146128	1.313609392384
Sminthopsis_leucopus	1.758912	2.66164229549523	7.08433970916911	1.361728	1.854303145984
Phalanger_gymnotis	3.25358	4.06032757480693	16.4862600147375	3.451786	11.914826589796
Thylacinus_cynocephalus	3.972157	4.70915133299125	22.1761062770133	4.342423	18.856637510929
Thylogale_billardierii	3.578181	4.34805949126278	18.9056213395604	3.845098	14.784778629604
Thylogale_stigmatica	3.364739	4.25065668458073	18.0680822501708	3.653213	13.345965223369
Trichosurus_vulpecula	3.207365	4.00237325530746	16.0189916748004	3.30103	10.8967990609
Vombatus_ursinus	3.830313	4.68410274637518	21.9408185385995	4.357935	18.991597464225
Wallabia_bicolor	3.764624	4.55349934894676	20.7343563208586	4.198657	17.628720603649
Balionycteris_maculata	1.763	2.68604357258994	7.21483007385172	1.158	1.340964
Casinycteris_argynnis	2.068	2.89835140151989	8.40044084669229	1.428	2.039184
Chironax_melanocephalus	1.863	2.75718362381577	7.60206153543787	1.248	1.557504
Cynopterus_brachyotis	2.09	2.966833649282	8.80210190251193	1.53	2.3409
Cynopterus_horsfieldii	2.258	3.11468350641045	9.70125334510528	1.773	3.143529
Cynopterus_sphinx	2.201	3.05354966776212	9.32416557349017	1.713	2.934369
Dobsonia_inermis	2.553	3.40766797562694	11.6122010321134	2.173	4.721929
Dobsonia_moluccensis	2.785	3.63531672034154	13.2155276571947	2.543	6.466849
Dobsonia_praedatrix	2.574	3.45265177566025	11.9208042839698	2.25	5.0625
