Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m2-fab-001.txt
Log File Name:                   DIE_d1_m2-fab-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3552200207
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m2-fab-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1500000	431.876807	1	-0.096332932106	0.662821172707	0.906594960476	0.626875642755	1.358833139651	0.883847457506	1.120182280927	0.001742552066	0.040238987427	-0.117055208011	-0.080023968854	-0.105138207974	0.000226852811	0.954324833468	N\A	0.051650708274	0.180485606692	0.171561979626	0.215289628795	0.187698945155	0.252739334611	0.053973709432	0.053048051271	0.059762076458	0.059695554765	0.056753938838	35	6	
1550000	452.110494	1	-0.255707052813	0.658455738215	1.064511209224	0.941496805226	1.452395866887	1.014060573168	1.160426393312	0.045076595552	0.026058378593	-0.050350467743	-0.064615762327	-0.085580508802	0.000126833942	0.961366424077	N\A	0.031450899428	0.141181473796	0.129726411461	0.145955325037	0.134923924371	0.189115318937	0.034563321161	0.033722349750	0.039753232601	0.039249842071	0.038620936810	40	5	
1600000	438.970979	1	0.166198276200	0.541882137335	0.902620654294	0.653817082932	1.347944807804	0.889396834874	0.403077706410	0.120732960861	0.139060669414	0.031479041720	0.001784700332	0.052474821272	0.000232384679	0.954325158662	N\A	0.048992909681	0.181615262531	0.169687438728	0.198830835013	0.186798589010	0.238875885244	0.051881127271	0.050394002885	0.057105713113	0.056835982725	0.052948625603	40	9	
1650000	439.426927	1	-0.733932754383	0.660626520951	1.572705411739	1.325775582230	1.974971102986	1.722168694487	1.695728670216	0.052824010471	0.037069713465	-0.046764407046	-0.149632836127	-0.066306750167	0.000221440114	0.961117334232	N\A	0.045560488005	0.165155249689	0.159032994453	0.199401028273	0.179166226310	0.249873625992	0.047844211456	0.046914787596	0.055642681046	0.053327041753	0.051927578168	37	5	
1700000	444.410446	1	0.255676070943	0.769809298777	0.753338844848	0.681572574141	0.952415204145	0.490449649450	1.699393806549	-0.058717813325	-0.082260975344	-0.172367989795	-0.123609710247	-0.154295757447	0.000364889086	0.961907108511	N\A	0.044867207728	0.186343504936	0.182055149291	0.226429572402	0.211444932736	0.300980232079	0.048463982738	0.045960912531	0.054220211048	0.058396310529	0.049092763221	38	13	
1750000	431.885025	1	0.472582517825	0.761873552457	0.572286223028	0.346036827172	0.924086721172	0.529601812630	0.536487142424	-0.083459423154	-0.066783446284	-0.120828933536	-0.207912156518	-0.182661808088	0.000207893400	0.956866334990	N\A	0.053201217308	0.187875760897	0.188221320337	0.223146069162	0.207204111281	0.262423531201	0.055078898132	0.054690129464	0.061901858495	0.059944736607	0.056740853423	46	11	
1800000	433.495843	1	0.866323373378	0.648206086981	0.040966479327	-0.154045005850	0.782078869539	0.097156874656	-0.242878211880	0.049512953151	0.048249005861	-0.077607017628	-0.104204647428	-0.054720437369	0.000248543054	0.962487485937	N\A	0.058243053823	0.171532777301	0.167643552291	0.203652979529	0.190753175228	0.260205557433	0.060065539450	0.059177562912	0.065168454111	0.065942743463	0.062589023516	48	3	
1850000	433.293757	1	0.507563882006	0.679167847907	0.228253172918	0.003054153674	0.912445557154	0.261967708918	0.422821955620	0.002471240309	0.028144138507	-0.116735814793	-0.126890340315	-0.082296517740	0.000332578287	0.956544818918	N\A	0.060048001409	0.204714161969	0.198855112294	0.231201860028	0.224046610525	0.304471392335	0.061796960038	0.061226940622	0.066356661534	0.068623711919	0.065910569609	26	8	
1900000	429.268474	1	0.285898228520	0.829168507728	0.648978653552	0.415583402437	0.816862033428	0.382166786751	0.951963583674	-0.105428365296	-0.135778996836	-0.179137067419	-0.251763059529	-0.305879415269	0.000271632345	0.960892340457	N\A	0.070383361827	0.214019917356	0.208409382189	0.231331838067	0.213008707822	0.283945567476	0.071815159247	0.071261566788	0.078402771618	0.075047316640	0.073896117849	37	9	
1950000	451.736357	1	0.426010934027	0.813379098326	0.361760457562	0.092804036672	0.681554584544	0.132186644585	0.694864814138	-0.116225794311	-0.142202363957	-0.189750017507	-0.201193732520	-0.277576026840	0.000362043035	0.964619365759	N\A	0.019773007590	0.174290742267	0.167021595256	0.229515522204	0.174976580546	0.295259041703	0.025717182646	0.022537051746	0.042595580384	0.032400116156	0.031875684387	49	7	
