Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m3-glob-006.txt
Log File Name:                   SEP_d1_m3-glob-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3086299512
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m3-glob-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
2400000	401.268791	1	0.131279303169	0.689145300434	-0.031771198039	0.000189972538	0.921164470674	N\A	0.022584742769	0.004691712176	31	10	-0.001580687146	Global Trend	
2450000	413.562636	1	0.111091785799	0.693257851830	-0.028528585929	0.000229270250	0.934386362469	N\A	0.021182516665	0.004530044755	31	5	-0.001886985770	Global Trend	
2500000	427.720441	1	0.008722183070	0.755229666771	-0.038557903214	0.000225630573	0.939778946940	N\A	0.019093650714	0.003993906564	44	12	-0.001242204895	Global Trend	
2550000	418.710186	1	-0.143884915739	0.741877029604	-0.034017361720	0.000245132702	0.952632918095	N\A	0.017857610533	0.004222216776	34	9	0.001845302924	Global Trend	
2600000	423.436876	1	-0.011979511684	0.740160054322	-0.033068680160	0.000177338600	0.933586945932	N\A	0.020828696887	0.004408950843	36	13	-0.000912652812	Global Trend	
2650000	411.973493	1	-0.086068499512	0.672099768192	-0.023928527609	0.000241830722	0.928583208894	N\A	0.021101727067	0.004659256536	31	12	0.001963506708	Global Trend	
2700000	433.013017	1	0.097937763068	0.687339692521	-0.024054091385	0.000160740041	0.938909664334	N\A	0.019895734913	0.004260769338	31	13	-0.001574614944	Global Trend	
2750000	430.325755	1	-0.013816289635	0.686097166052	-0.025951453400	0.000192276811	0.941913666004	N\A	0.020535325308	0.004507356469	34	14	0.000486373286	Global Trend	
2800000	414.875546	1	0.128772947672	0.680440300025	-0.022139297821	0.000225168603	0.934978734958	N\A	0.021139812799	0.004408729202	24	7	-0.002203167117	Global Trend	
2850000	417.335575	1	0.047851596432	0.684534509567	-0.023326786883	0.000210151601	0.943466626640	N\A	0.020315759964	0.004407151920	51	7	-0.000951698772	Global Trend	
2900000	424.107194	1	-0.037987269548	0.712832402055	-0.030674140914	0.000191476942	0.938627817708	N\A	0.020940373466	0.004420784538	32	11	-0.000590301629	Global Trend	
2950000	413.303936	1	-0.050508694067	0.743541492103	-0.035750983303	0.000292931772	0.927651366775	N\A	0.022268703864	0.005057582667	38	7	-0.000259368641	Global Trend	
3000000	402.930913	1	-0.037148687981	0.759168486561	-0.041348269349	0.000186663796	0.935466641497	N\A	0.022201635576	0.004990289459	36	7	-0.000480515006	Global Trend	
3050000	423.966541	1	-0.001594326278	0.697447323307	-0.026312934760	0.000180478507	0.941545847486	N\A	0.020980998093	0.004606629542	35	12	-0.000115466188	Global Trend	
3100000	436.774766	1	0.077178326545	0.689484713037	-0.027404813142	0.000159968153	0.942751110034	N\A	0.019295603525	0.003817169793	35	11	-0.000957870088	Global Trend	
3150000	424.420290	1	0.108428965151	0.696048328447	-0.028070880404	0.000247695638	0.937882360288	N\A	0.020829843065	0.004346490734	33	7	-0.002719086271	Global Trend	
3200000	425.321676	1	-0.007939287385	0.734624535654	-0.033460112284	0.000150214646	0.945784337563	N\A	0.020233744432	0.004383721032	41	11	-0.000935557507	Global Trend	
3250000	416.854117	1	-0.117102321264	0.740380029116	-0.037066323506	0.000222846441	0.934714440755	N\A	0.021022642250	0.004363142118	32	11	0.001331454856	Global Trend	
3300000	422.273838	1	-0.056297671823	0.712084934982	-0.030444070423	0.000197145253	0.941892088457	N\A	0.021110962524	0.004785934107	24	11	0.000726326865	Global Trend	
