Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m2-fab-003.txt
Log File Name:                   HIP_d1_m2-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1639277894
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m2-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1500000	361.692243	1	1.341005454103	0.428766346818	-0.293777445244	-0.811839265146	-0.287129879510	-0.542928316712	-0.304214438818	0.073411394051	0.131884906983	0.136175914249	0.167525729204	0.091987131078	0.000279538834	0.905329744258	N\A	0.104877021113	0.307207921992	0.298900107942	0.315551694699	0.302403183640	0.361652457515	0.106479492244	0.106319170235	0.108721058659	0.108900416766	0.107546570277	40	12	
1550000	379.791285	1	0.818099376265	0.537198436784	0.403486378859	-0.271854171421	0.227560215825	0.061520029543	0.240176336074	-0.051692359286	0.108315178151	0.014886798264	0.010692004437	-0.028222832594	0.000371832955	0.923655630522	N\A	0.060892926669	0.216004724979	0.205354628127	0.240197530491	0.203591889670	0.319291936464	0.063676732783	0.062803996306	0.066917055460	0.064680211089	0.067216736866	44	13	
1600000	363.822265	1	0.689113112135	0.582572185198	0.970963655797	0.543865646882	0.198894651355	0.209695413977	0.076826087522	-0.064926304797	0.043204485172	0.030722974692	0.004919119192	-0.106953409777	0.000348674689	0.910273775546	N\A	0.084233410130	0.248371627287	0.238757928234	0.264076719781	0.242881925048	0.333059541208	0.086227863775	0.085910190526	0.089902189408	0.088962980109	0.087883548731	46	13	
1650000	378.446912	1	0.267038486270	0.445925402501	0.115772460654	-0.392209334985	0.061528354771	-0.147838772524	0.215878671542	0.076263696376	0.188851871166	0.115993744163	0.125099227083	0.089217561717	0.000413095476	0.931518047882	N\A	0.065578309863	0.194846786462	0.182069683352	0.194917893521	0.182043776188	0.284843536415	0.068755400004	0.067251992445	0.070580421457	0.069158580204	0.068752757917	43	20	
1700000	354.160689	1	0.504672071789	0.684155178867	0.725559687026	0.111221088193	0.490786334548	0.469315490837	0.374563264335	-0.240236340847	-0.069095730321	-0.098979613920	-0.051552490345	-0.119936074745	0.000487632291	0.918583597157	N\A	0.046474650401	0.162705770652	0.150489040324	0.166631389598	0.179668439850	0.295970233119	0.049371397105	0.049103159544	0.053813086306	0.063709025493	0.053063903888	40	11	
1750000	361.850375	1	0.757459606819	0.635972271640	0.530068313829	-0.125032103992	0.374717304593	0.155434571208	0.009175881817	-0.175460410009	-0.027108303879	-0.051864135239	-0.069139478571	-0.161806507477	0.000789352538	0.931549465064	N\A	0.030081594205	0.103169820409	0.090887951566	0.148176511378	0.097809008562	0.308202315354	0.032556889109	0.035757493725	0.043792237415	0.038388903168	0.038585000908	40	10	
1800000	363.725050	1	0.929583751637	0.656219727736	0.750065513967	0.018142419774	0.753461194634	0.428863454428	0.220025516618	-0.168149980552	-0.007007387003	-0.157142883363	-0.083339681958	-0.160695772799	0.000337495747	0.923343087366	N\A	0.114608719427	0.377314410457	0.371326679300	0.387766168873	0.383044544215	0.434017739692	0.115616621107	0.115551471755	0.118661944338	0.120134919289	0.117248892993	39	12	
1850000	369.603781	1	0.705279238772	0.564669159532	0.101918755005	-0.432534844712	0.498193213161	0.163977599504	0.349085102053	-0.085754489638	0.063098093141	-0.053313456301	0.024180207247	-0.025531427380	0.000312108722	0.917460286588	N\A	0.063212830927	0.186523918270	0.174314099105	0.205529098640	0.194120604376	0.276824639460	0.065914614201	0.065200581310	0.069264075176	0.072001688036	0.066826431275	44	13	
1900000	374.599018	1	0.366754294726	0.627906131461	-0.029045662258	-0.505929444190	0.754973151247	-0.041392175656	0.871484316342	-0.108607967978	0.018173528253	-0.113169276006	-0.092899494121	-0.119560629354	0.000155069977	0.936312016904	N\A	0.043640194527	0.166396323386	0.152543616993	0.164824476993	0.168003155757	0.207388464206	0.046754973563	0.046976089906	0.050338447932	0.055909577748	0.045998113174	43	22	
1950000	363.580800	1	0.711918846393	0.634103765954	-0.319777137044	-0.989773649324	0.545115112587	-0.388877863938	0.165140530398	-0.117581181965	0.041155032641	-0.111610772116	-0.046684363489	-0.095406050470	0.000171453623	0.917554466422	N\A	0.073851575652	0.203907296514	0.189873030554	0.197948674873	0.197873836204	0.243718350794	0.077268797996	0.076113835889	0.077386182977	0.079814419950	0.076982268905	41	16	
2000000	355.750820	1	0.756968962341	0.515308450918	-0.392801438578	-0.802766229213	-0.245911911516	-0.515162663605	0.010053499537	0.042919134908	0.115105558012	0.048160471521	0.106658307095	0.038023360797	0.000176284731	0.915005987145	N\A	0.040948479674	0.172237662907	0.157818863398	0.167482948445	0.167011854538	0.284867452656	0.045767307113	0.045015666203	0.046689663842	0.052330286015	0.048051953488	45	13	
2050000	365.336481	1	1.132687019349	0.408976828522	-0.787617797145	-1.429233741048	-0.545507319207	-0.809209415481	-0.114990774500	0.111519018221	0.221785674854	0.224512292981	0.092606931913	0.134272012138	0.000076159157	0.919011426523	N\A	0.059759420198	0.190315149116	0.176196439765	0.217092136923	0.190509590075	0.212190064482	0.063448092176	0.061978672655	0.070159690390	0.067897864835	0.062558232434	38	12	
2100000	341.220058	1	1.061612857868	0.559829758088	-0.828861462535	-1.428778779467	-0.026757134480	-0.968902330263	-0.147759945302	-0.077489589909	0.096757325047	0.021985328793	0.059957074798	-0.034836633485	0.000096731862	0.909981428460	N\A	0.023705079418	0.180448847750	0.153016125646	0.168114466993	0.165033178865	0.168155387151	0.029560240393	0.031432036524	0.037337242856	0.046572679278	0.034973164715	39	11	
2150000	358.164786	1	0.677816419180	0.677689857091	-0.261073707282	-0.871358958699	0.532619160471	-0.586611660739	0.473902719463	-0.178578669666	-0.073844618785	-0.181477279222	-0.118806665752	-0.194331406874	0.000152132549	0.923199168048	N\A	0.053089164248	0.173268123468	0.160829148531	0.167741394177	0.208799204139	0.231786911679	0.056789085666	0.055297226772	0.056707631526	0.073238140511	0.060384807518	42	18	
2200000	352.188010	1	0.669551745544	0.565451406841	0.286721067882	-0.230870444096	0.383609223932	0.083244217991	0.843869781904	-0.059364426305	0.039945354392	-0.025240891300	0.008885618823	-0.105895596618	0.000213589736	0.909996682293	N\A	0.044745607397	0.192742002572	0.172182986414	0.187892567923	0.185060331267	0.338090622504	0.051750950505	0.047146571601	0.051051010899	0.055385306032	0.055828519719	31	14	
2250000	357.607236	1	0.642070787790	0.655586023178	-0.217789619918	-0.971834264097	-0.524661200684	-0.335526556201	0.438415288066	-0.174682447531	-0.023384567731	-0.096066443073	-0.164005207973	-0.148283449459	0.000048440879	0.920795542200	N\A	0.041925730624	0.153289673758	0.136397236424	0.146851346283	0.140022698854	0.148892118823	0.045145759096	0.045665874314	0.047328333896	0.050061132693	0.050973517867	46	17	
2300000	349.040456	1	0.627999991337	0.708573795393	0.376825090287	-0.320899491438	-0.338302514653	-0.089349288172	0.273790136777	-0.203841605860	-0.076081690902	-0.150173014742	-0.111299348796	-0.157782333819	0.000118736020	0.919663579996	N\A	0.053605316590	0.163803338999	0.144228864171	0.152094611246	0.166269431792	0.200678055552	0.058245628902	0.055900478046	0.057227195899	0.066171265322	0.061461405334	48	14	
2350000	378.301867	1	0.729082466604	0.644371845077	1.009869592843	0.372237977257	0.330170133423	0.267217071262	0.210632476317	-0.163137522080	-0.035120732560	-0.088196181665	-0.072120747803	-0.149978180029	0.000032506580	0.920826806335	N\A	0.025236606786	0.131190849189	0.110482936521	0.153340023936	0.118216660628	0.144983856140	0.032076381862	0.030362132085	0.038737543605	0.037817402879	0.036888063050	57	14	
2400000	364.626395	1	0.718037720167	0.659545409725	1.530850827003	1.167605069750	0.325228548717	0.819455319914	0.146763453610	-0.105555184909	-0.046209119559	-0.100613127279	-0.082096387022	-0.115062394873	0.000012840414	0.923440727811	N\A	0.030239670664	0.125562396678	0.111612859787	0.139734489670	0.123026990930	0.152730623580	0.036720024311	0.034586873071	0.042983688653	0.044003958330	0.038476006447	33	11	
2450000	368.147243	1	1.127188827572	0.475182135039	0.949069662483	0.291089285415	-0.257053962458	-0.371606710665	0.045628243933	0.024421482572	0.178451301173	0.150472812670	0.112391419167	-0.000036912192	0.000238282601	0.910228661151	N\A	0.086819955094	0.236116305894	0.225842571317	0.243472856814	0.237353417630	0.295204832785	0.088959181410	0.088365193340	0.091343259559	0.092181826577	0.091287155955	37	17	
2500000	367.523683	1	1.048217068780	0.436319283792	0.928906055060	0.341608097704	0.116927330362	-0.183127092892	-0.115227241735	0.079950618109	0.202722875111	0.120902689872	0.183239854368	0.075072736465	0.000118181430	0.911296042210	N\A	0.063314399548	0.193656452084	0.180489404923	0.213212327693	0.208430778438	0.255626150217	0.066896552620	0.065316558145	0.068942493937	0.072379912699	0.067956874133	33	14	
