Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m2-VR-004.txt
Log File Name:                   PAL_d1_m2-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3352460265
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m2-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1500000	284.341391	1	5.225357923658	-2.172172675536	-4.321032350158	-4.816132502312	-4.486439407958	-3.822974054329	-3.914121705488	2.829544158460	2.825932060506	2.660166830315	2.627185097029	2.624919397837	0.000480359374	0.893638086117	N\A	0.500198617732	0.897020308789	0.893804901987	0.890393886283	0.901392061762	0.918303142134	0.500817312705	0.500563854361	0.501206185896	0.502066240624	0.500782284032	45	26	
1550000	286.515054	1	5.153922404737	-1.758910488864	-4.097862179761	-4.803871790181	-4.046190705980	-4.158969219294	-4.247403615150	2.318582611896	2.405379932065	2.226585898864	2.425389810388	2.250504867399	0.000558913957	0.893242154615	N\A	0.583618442302	1.054458520524	1.050160175557	1.058801342436	1.056090628557	1.088077502058	0.584152542234	0.583886923458	0.584749161291	0.585351510506	0.584259980383	44	24	
1600000	293.244271	1	4.139050002989	-1.360806281133	-3.543223046396	-3.805517632817	-3.146696547631	-3.146970713452	-3.125554726157	2.039639474303	2.023221739277	1.887717143763	1.929858777082	1.857822995683	0.000503924381	0.904649813641	N\A	0.381985131106	0.695515592957	0.693114375968	0.703229341094	0.701850857251	0.745669681675	0.383376986413	0.382359461378	0.383116235739	0.383990369852	0.382886624631	52	31	
1650000	277.845831	1	3.919897509728	-1.177502967148	-2.997954573887	-3.549031438291	-3.298706224873	-2.688230388206	-3.118476573413	1.755335644479	1.865326248598	1.699959588896	1.703722955883	1.747926320957	0.000563668135	0.882604140812	N\A	0.375160462109	0.688845437340	0.685888521076	0.707663032049	0.697361704617	0.745975924408	0.375963724290	0.375756178580	0.376826953636	0.377452401565	0.376247551611	36	24	
1700000	295.650016	1	3.596415069057	-0.843643372814	-2.630545839957	-3.222951653205	-2.812185567973	-2.638903747715	-2.643807321815	1.499588632953	1.476168882123	1.384024306470	1.377766837932	1.340880420055	0.000457981059	0.899457820585	N\A	0.373602898699	0.728187495615	0.719969368933	0.683715063248	0.743696813914	0.720143370352	0.374204402557	0.374051874871	0.375441194048	0.375668006689	0.374695465865	45	24	
1750000	298.724979	1	2.233648518848	-0.296000995537	-1.352248797904	-1.796041314837	-1.539177917910	-1.157054593194	-1.064519613974	0.927198764638	0.937130120515	0.823656298235	0.871088463688	0.764432786677	0.000565149188	0.900643856012	N\A	0.162383494743	0.400038483756	0.396416590935	0.411541139867	0.398083337264	0.480941104964	0.163554656106	0.163521574596	0.166806512382	0.166879473707	0.164709651697	27	28	
1800000	298.746740	1	1.522645333770	0.297359647662	-0.838704113450	-1.442370032563	-0.548653363674	-0.757059627278	-0.402260798453	0.248898731821	0.365802804830	0.198807671352	0.308636598504	0.174970372304	0.000345234238	0.879156999329	N\A	0.104734208825	0.306122109512	0.283897097115	0.296517362279	0.289236521089	0.354912153850	0.110358253863	0.106702465797	0.109107248076	0.111003785480	0.107431126093	47	29	
1850000	313.212770	1	0.602739154370	0.717454614306	0.038744914175	-0.518855130802	0.353125934553	0.247067747289	0.589488368615	-0.123536031390	-0.056069041548	-0.253125649928	-0.197584057910	-0.228880142999	0.000444602631	0.896132808544	N\A	0.088061728570	0.270169040291	0.262425095902	0.297366358513	0.310619904359	0.366636753092	0.090902085191	0.090044069308	0.096754088993	0.095280593147	0.092111046316	58	31	
1900000	304.244311	1	0.773021517821	0.517960394125	0.039131701556	-0.545790107283	-0.286301113114	0.061821805560	0.337680208335	0.104013887288	0.142224643354	-0.023815299190	0.101935367887	-0.003896411941	0.000674292946	0.885400530596	N\A	0.079503184881	0.277588980216	0.267510623810	0.336771575662	0.282542974601	0.422506435358	0.084118682664	0.081865769164	0.090998210574	0.086665689345	0.084085051712	32	21	
1950000	296.319367	1	0.309224917319	0.686912419448	0.479669026090	0.024213562919	0.452107279731	0.706066123265	0.836002148518	-0.029253802887	-0.044095175856	-0.182782695226	-0.149359494350	-0.193254948137	0.000465887351	0.898517190831	N\A	0.111335885374	0.293516572072	0.284675476405	0.319298116626	0.293866483527	0.390003831314	0.114565850144	0.113546898455	0.116471808116	0.116799555892	0.112904890204	39	34	
