Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m9-VR-004.txt
Log File Name:                   STR_d1_m9-VR-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            140794087
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m9-VR-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
1000000	530.277047	1	-1.432388669089	1.079375182761	-0.001772282400	-0.069059149442	0.004370209278	0.000173785275	0.978942502980	N\A	0.087082633062	0.012608315358	0.037700986857	0.007321131772	40	21	
1050000	532.165374	1	-1.574967981302	1.170866864596	-0.011988785982	-0.087601595876	0.006299967129	0.000098887448	0.988989244553	N\A	0.089355506863	0.011651061008	0.038377133621	0.006785431998	51	28	
1100000	545.478219	1	-1.961274127485	1.497847992593	-0.063492200621	-0.196489337421	0.028702209020	0.000112436051	0.981336994320	N\A	0.070314028440	0.009234327850	0.033349463478	0.005628957277	35	21	
1150000	517.690128	1	-1.708755053192	1.313914154337	-0.039734792295	-0.136622136916	0.021205159856	0.000061440027	0.977601093193	N\A	0.084827652120	0.011534302216	0.039577466629	0.006988248194	47	26	
1200000	535.277365	1	-1.497618795063	1.082638873234	0.003813402333	-0.071096172229	0.001350702566	0.000099926337	0.980797766394	N\A	0.090008279687	0.012218734604	0.038606845126	0.006884440518	48	25	
1250000	547.775090	1	-1.468019418385	1.099676920320	-0.006317596268	-0.060506169275	0.005239581273	0.000139344788	0.981298958352	N\A	0.085371829682	0.011912603951	0.035664765319	0.006738900985	45	25	
1300000	527.372933	1	-1.532528846460	1.129110145710	0.001845734350	-0.089792457601	-0.001293862584	0.000139169563	0.977215504939	N\A	0.088465050893	0.013735081649	0.037415065321	0.007810198387	45	22	
1350000	531.863952	1	-1.714823925749	1.263239828156	-0.019451589177	-0.136637049481	0.008077885360	0.000092412994	0.979182425333	N\A	0.096995472132	0.014089262287	0.040409147764	0.007828504491	38	29	
1400000	524.307583	1	-1.720221824566	1.312799462696	-0.041714737008	-0.107820372832	0.016362728142	0.000108787647	0.982276705229	N\A	0.067164754228	0.009032537642	0.032450384670	0.005461156490	38	28	
1450000	539.489984	1	-1.487724882619	1.082931274935	0.003586168736	-0.055724848057	-0.003956114402	0.000138196027	0.989666581851	N\A	0.081051932401	0.012800941413	0.030484695463	0.007040667704	57	21	
1500000	526.279799	1	-1.554408101824	1.161933412045	-0.012741802873	-0.117288889830	0.015390892713	0.000091055657	0.982541503130	N\A	0.086815053479	0.012300085682	0.038641127791	0.007757231331	48	22	
1550000	528.548891	1	-1.689428085114	1.224605417688	-0.010920227286	-0.154662836761	0.013736736046	0.000058688139	0.978912909141	N\A	0.085137086785	0.011783587081	0.037457351797	0.006458323504	43	30	
1600000	530.556576	1	-1.427842166396	1.086134467387	0.002589279182	-0.113807233374	0.011278110845	0.000029395863	0.979138123862	N\A	0.099052836858	0.014654293073	0.038432300385	0.007596127283	51	30	
1650000	523.645146	1	-1.903376331582	1.387455831711	-0.038524066647	-0.170976243420	0.019471829265	0.000111938720	0.980038880196	N\A	0.088611604184	0.012951034908	0.039196963178	0.007779685158	48	26	
1700000	524.338299	1	-1.499796636081	1.088089484461	0.011110885393	-0.094394539763	-0.003737524654	0.000208775647	0.986241756299	N\A	0.088365734162	0.014137150777	0.032774085110	0.006951300527	45	17	
1750000	532.251944	1	-1.664064009949	1.258741097362	-0.025802952040	-0.132789349546	0.015777855202	0.000111397052	0.983037904072	N\A	0.081359958419	0.011832740889	0.034859057941	0.006786390014	55	20	
1800000	514.534519	1	-1.829860438390	1.309465208521	-0.017972986353	-0.144719811925	0.003177381215	0.000272399921	0.979505856201	N\A	0.100947279482	0.012859127131	0.044544872977	0.007584806010	41	24	
1850000	527.867515	1	-1.724473945661	1.290949515689	-0.028383178310	-0.147120807794	0.017772066068	0.000206357320	0.975940996972	N\A	0.087032115806	0.011670118133	0.039273655023	0.006684874021	50	22	
1900000	523.733829	1	-1.351545501659	0.971534293440	0.015558803625	0.006880781813	-0.012266814912	0.000088034528	0.975124706447	N\A	0.099150664553	0.013983556911	0.041914574338	0.008088763326	48	35	
1950000	525.470254	1	-1.540942262956	1.151061729325	-0.015979931760	-0.078087046314	0.008738748842	0.000081892334	0.977501408424	N\A	0.083749385312	0.012253491534	0.036988124201	0.007228321311	43	21	
2000000	542.844277	1	-1.666287608900	1.246768243489	-0.026643320676	-0.109525157439	0.014006703367	0.000096109614	0.980387621745	N\A	0.088719753461	0.012334413638	0.037752233476	0.007091633607	38	32	
2050000	541.573504	1	-1.477085631043	1.091847458531	0.004748635870	-0.067260549477	-0.005779152998	0.000105174626	0.982066222575	N\A	0.080516741607	0.011578128982	0.035495864995	0.006581694644	44	22	
2100000	533.819036	1	-1.748904801944	1.311682524642	-0.028585509920	-0.152333759162	0.013372024059	0.000126933021	0.982630876279	N\A	0.089594495305	0.013489368254	0.037442580161	0.007439801158	40	32	
2150000	523.837543	1	-1.407857314881	1.011424829440	0.020016193382	-0.070705682137	-0.004239334348	0.000109941515	0.981565217552	N\A	0.092769388316	0.012825657196	0.040405181040	0.007483279300	43	30	
2200000	545.954927	1	-1.520635787168	1.112072725909	-0.003720427874	-0.077002797096	0.003142978172	0.000134859563	0.981430873372	N\A	0.092786182429	0.013407296576	0.039132783565	0.007729723976	54	29	
2250000	525.651160	1	-1.551668236673	1.084806716304	0.012588874735	-0.069144452817	-0.007845415668	0.000126637292	0.979933929122	N\A	0.090553909594	0.014186016999	0.035248634379	0.007671953559	51	31	
2300000	544.178831	1	-1.712375219203	1.275782335347	-0.022164722379	-0.160442194684	0.015894126590	0.000111806742	0.985975046768	N\A	0.083887548615	0.010989668737	0.036376365945	0.006318163327	44	22	
2350000	521.121309	1	-1.546512454933	1.103286801039	-0.000279181380	-0.058275962952	0.000724531146	0.000075589877	0.974820234005	N\A	0.109504368889	0.014966141635	0.046808174237	0.008587987150	40	30	
2400000	535.025737	1	-1.359385061296	0.998027443569	0.012524133959	-0.018320448796	-0.009121794330	0.000224789390	0.983009071498	N\A	0.091564048466	0.013688672873	0.037599399291	0.007903800711	28	37	
2450000	536.329997	1	-1.544975245100	1.132820563017	-0.012720930360	-0.038011469094	0.000421618194	0.000105035801	0.980869343716	N\A	0.076426993627	0.011642060036	0.033612150554	0.006920731794	58	26	
2500000	526.454183	1	-1.679997055375	1.224532058058	-0.017371319641	-0.079975054332	0.000865594632	0.000195116548	0.980711770963	N\A	0.089628076965	0.013202550122	0.037596685341	0.007525586539	46	25	
2550000	544.756756	1	-1.728376772324	1.282968157435	-0.033109180596	-0.120126342310	0.016712974616	0.000119677612	0.987037478788	N\A	0.078672509740	0.012581072993	0.030860838884	0.007305269703	42	27	
2600000	522.866275	1	-1.711439749601	1.257912402807	-0.024148294254	-0.124402331988	0.012780899016	0.000154213078	0.976889477923	N\A	0.095505384916	0.013909556630	0.040332766388	0.007825077341	37	25	
2650000	537.467488	1	-1.399825981700	0.990743072551	0.022330858326	-0.037103679109	-0.013980778694	0.000097342838	0.987077779045	N\A	0.080488951867	0.011493894054	0.035496860048	0.006951507357	44	30	
2700000	532.617003	1	-1.574130221386	1.164485514491	-0.001245240842	-0.128221335885	0.004557176955	0.000201446778	0.977750423706	N\A	0.090532629864	0.013455877730	0.037951832830	0.007613844327	42	27	
2750000	523.648316	1	-1.698680905307	1.251354866699	-0.028519272274	-0.088242065903	0.008005355847	0.000139230044	0.975241792268	N\A	0.081870961164	0.010490655222	0.038927717049	0.006505239670	53	36	
