Species_TTOL	MES	rest_of_brain
Pteropus_alecto	2.5	3.82069860124938
Pteropus_conspicillatus	2.525	3.89493121910952
Pteropus_hypomelanus	2.379	3.69716131393364
Pteropus_lylei	2.381	3.75598421253182
Pteropus_neohibernicus	2.558	3.92848620624869
Pteropus_poliocephalus	2.528	3.83016987335255
Pteropus_samoensis	2.4	3.73626675041077
Pteropus_scapulatus	2.373	3.70549571470575
Pteropus_temminckii	2.353	3.66354900940771
Pteropus_tonganus	2.394	3.75825829746648
Pteropus_vampyrus	2.581	3.92972371176801
Rousettus_aegyptiacus	2.038	3.32486399626551
Rousettus_amplexicaudatus	1.914	3.1617898919156
Scotonycteris_zenkeri	1.623	2.8251361190744
Sphaerias_blanfordi	1.69	2.89058047078486
Syconycteris_australis	1.517	2.75449107699007
Anoura_caudifer	1.394	2.5806238378183
Anoura_geoffroyi	1.538	2.74657171798292
Ardops_nichollsi	1.528	2.72119019257957
Artibeus_cinereus	1.473	2.64696591916355
Artibeus_concolor	1.634	2.77277474031503
Artibeus_jamaicensis	1.77	2.98333261088124
Artibeus_lituratus	1.838	3.06496819373968
Aselliscus_stoliczkanus	1.152	2.14627742243429
Aselliscus_tricuspidatus	1.146	2.0993562087761
Brachyphylla_cavernarum	1.834	3.05292228999784
Cardioderma_cor	1.823	2.79992584642206
Carollia_perspicillata	1.561	2.71324648190518
Chalinolobus_gouldii	1.373	2.35195774032069
Chalinolobus_morio	1.286	2.24071974568802
Chiroderma_salvini	1.741	2.88624082329356
Chiroderma_trinitatum	1.549	2.70539048497075
Chiroderma_villosum	1.713	2.82351695180044
Choeroniscus_minor	1.382	2.5659450134905
Coleura_afra	1.42	2.38684133903795
Cormura_brevirostris	1.436	2.31547900333038
Craseonycteris_thonglongyai	1.025	1.91186407137902
Desmodus_rotundus	1.766	2.97496949473285
Diphylla_ecaudata	1.724	2.87975236516861
Emballonura_monticola	1.301	2.19689550326823
Emballonura_raffrayana	1.33	2.21750313113026
Eptesicus_brasiliensis	1.336	2.27704088235613
Eptesicus_fuscus_bahamensis	1.354	2.3513653086034
Eumops_auripendulus	1.779	2.75999624802448
Eumops_glaucinus	1.809	2.79101278730558
Furipterus_horrens	1.104	2.07959239815975
Glischropus_tylopus	1.049	1.97312302120491
Glossophaga_longirostris	1.444	2.6169266719764
Glossophaga_soricina	1.412	2.57354501835856
Harpiocephalus_harpia	1.481	2.62086344715862
Hesperoptenus_blanfordi	1.281	2.16984821507198
Hipposideros_armiger	1.89	2.87560056473481
Hipposideros_ater	1.369	2.30545128539469
Hipposideros_caffer	1.477	2.4627759440208
Macronycteris_commersoni	1.769	2.84697711567035
Hipposideros_diadema	1.84	2.82568898250015
Hipposideros_fulvus	1.401	2.34735841257385
Hipposideros_lankadiva	1.799	2.83381440820857
Hipposideros_larvatus	1.61	2.59070379701993
Hipposideros_ridleyi	1.453	2.40319100137588
