Species_TTOL	DIE	BOD
Anourosorex_squamipes	1.405	1.307
Atelerix_algirus	2.4	2.867
Blarina_brevicauda	1.42	1.267
Chrysochloris_asiatica	1.723	1.69
Chrysochloris_stuhlmanni	1.713	1.626
Crocidura_attenuata	1.114	0.968
Crocidura_flavescens	1.4	1.467
Crocidura_hildegardeae	1.146	0.996
Crocidura_denti	1.212	1.079
Crocidura_russula	1.143	1.049
Crocidura_suaveolens	1.104	1.013
Cryptotis_parvus	1.233	0.991226075692495
Desmana_moschata	2.536	2.646
Echinops_telfairi	1.605	1.942
Echinosorex_gymnura	2.597	2.921
Erinaceus_europaeus	2.385	2.929
Euroscaptor_micrura	1.784	1.617
Galemys_pyrenaicus	2.019	1.778
Geogale_aurita	0.898	1
Hemicentetes_semispinosus	1.679	2.062
Hemiechinus_auritus	2.147	2.371
Hylomys_suillus	1.934	1.756
Limnogale_mergulus	1.908	1.964
Microgale_dobsoni	1.513	1.504
Microgale_talazaci	1.657	1.683
Micropotamogale_lamottei	1.798	1.808
Micropotamogale_ruwenzorii	1.948	1.986
Myosorex_sclateri	1.373	1.23
Neomys_anomalus	1.332	1.037
Neomys_fodiens	1.382	1.182
Oryzorictes_hova	1.567	1.645
Parascalops_breweri	1.82	1.731
Potamogale_velox	2.478	2.791
Ruwenzorisorex_suncoides	1.418	1.262
Scalopus_aquaticus	1.962	2.061
Scutisorex_somereni	1.61	1.792
Setifer_setosus	1.969	2.373
Solenodon_paradoxus	2.435	2.826
Sorex_alpinus	1.23	1.033
Sorex_araneus	1.17	0.987
Sorex_cinereus	1.037	0.633
Sorex_fumeus	1.199	0.924
Sorex_hoyi	0.839	0.42
Sorex_minutus	0.886	0.633
Suncus_etruscus	0.643	0.762
Suncus_murinus	1.382	1.529
Sylvisorex_granti	1.004	0.591
Suncus_megalura	1.09	0.74
Talpa_europaea	1.907	1.908
Tenrec_ecaudatus	2.187	2.935
Aepyprymnus_rufescens	3.032135	3.392697
Antechinus_flavipes	1.70927	1.568202
Antechinus_minimus	1.800029	1.724276
Bettongia_gaimardi	3.007705	3.176091
Bettongia_penicillata	2.933791	3.079181
Burramys_parvus	1.9154	1.770852
Cercartetus_nanus	1.583199	1.278754
Dactylopsila_trivirgata	2.659346	2.643453
Dasycercus_cristicauda	2.120903	2
Dasyuroides_byrnei	2.115943	2.146128
Dasyurus_geoffroii	2.60021	2.69897
Dasyurus_hallucatus	2.389343	3.021189
Dendrolagus_lumholtzi	3.272538	3.78533
Distoechurus_pennatus	1.93902	1.633468
Dorcopsis	3.171726	3.462398
Echymipera_kalubu	2.423246	2.819544
Gymnobelideus_leadbeateri	2.276002	2.041393
Hypsiprymnodon_moschatus	2.647285	2.748188
Isoodon_macrourus	2.42341	3.033424
Isoodon_obesulus_obesulus	2.516271	3.004321
Osphranter_antilopinus	3.631241	4.537819
Macropus_giganteus	3.658393	4.563481
Notamacropus_irma	3.33666	3.819544
Notamacropus_parma	3.172311	3.536558
Notamacropus_parryi	3.470704	4.170262
Osphranter_robustus	3.498999	4.409933
Osphranter_rufus	3.656577	4.494155
Thylamys_pallidior	1.678518	1.477121
Marmosops_impavidus	1.928396	1.845098
Monodelphis_brevicaudata	1.85248	1.924279
Notoryctes_typhlops	1.854306	1.531479
Petauroides_volans	2.57588	3.09691
Petaurus_australis	2.746089	2.748188
Petaurus_breviceps	2.300378	2.113943
Petaurus_norfolcensis	2.442009	2.374748
Petrogale_inornata	3.156852	3.628389
Petrogale_lateralis	3.061075	3.556303
Petrogale_penicillata	3.276002	3.690196
Petrogale_purpureicollis	3.182415	3.740363
Petropseudes_dahli	2.671636	3.127105
Phascolarctos_cinereus	3.189209	3.968483
Planigale_ingrami	0.920123	0.826075
Planigale_maculata	1.214844	1.041393
Potorous_tridactylus_tridactylus	2.932271	3.089905
Pseudochirulus_canescens	2.253096	2.447158
Pseudochirulus_forbesi	2.426023	2.70757
Sarcophilus_harrisii	3.026533	3.732394
Sminthopsis_crassicaudata	1.475671	1.146128
Sminthopsis_leucopus	1.636488	1.361728
Phalanger_gymnotis	3.023664	3.451786
Thylacinus_cynocephalus	3.60401	4.342423
Thylogale_billardierii	3.262925	3.845098
Thylogale_stigmatica	3.218536	3.653213
Trichosurus_vulpecula	2.912859	3.30103
Vombatus_ursinus	3.621124	4.357935
Wallabia_bicolor	3.471878	4.198657
Balionycteris_maculata	1.613	1.158
Casinycteris_argynnis	1.857	1.428
Chironax_melanocephalus	1.681	1.248
Cynopterus_brachyotis	1.892	1.53
Cynopterus_horsfieldii	2.037	1.773
Cynopterus_sphinx	1.978	1.713
Dobsonia_inermis	2.303	2.173
Dobsonia_moluccensis	2.543	2.543
Dobsonia_praedatrix	2.38	2.25
Eidolon_helvum	2.564	2.418
Eonycteris_spelaea	2.023	1.769
Epomophorus_labiatus	2.134	1.806
Epomops_franqueti	2.283	2.072
Hypsignathus_monstrosus	2.477	2.491
Macroglossus_minimus	1.668	1.164
Megaerops_ecaudatus	1.818	1.38
Megaloglossus_woermanni	1.728	1.253
Melonycteris_melanops	2.023	1.675
Melonycteris_woodfordi	1.911	1.549
Epomophorus_pusillus	1.831	1.4
Myonycteris_torquata	1.997	1.561
Notopteris_macdonaldi	2.073	1.841
Nyctimene_albiventer	1.817	1.473
Nyctimene_robinsoni	1.977	1.673
Nyctimene_vizcaccia	1.9	1.549
Paranyctimene_raptor	1.762	1.417
Pteropus_alecto	2.759	2.775
Pteropus_conspicillatus	2.836	2.875
Pteropus_hypomelanus	2.637	2.591
Pteropus_lylei	2.711	2.497
Pteropus_neohibernicus	2.857	2.924
Pteropus_poliocephalus	2.784	2.842
Pteropus_samoensis	2.671	2.491
Pteropus_scapulatus	2.64	2.574
Pteropus_temminckii	2.622	2.398
Pteropus_tonganus	2.713	2.652
Pteropus_vampyrus	2.837	3.027
Rousettus_aegyptiacus	2.284	2.111
Rousettus_amplexicaudatus	2.093	1.856
Scotonycteris_zenkeri	1.763	1.328
Sphaerias_blanfordi	1.833	1.47
Syconycteris_australis	1.685	1.207
Anoura_caudifer	1.476	1.025
Anoura_geoffroyi	1.618	1.204
Ardops_nichollsi	1.609	1.352
Artibeus_cinereus	1.513	1.1
Artibeus_concolor	1.649	1.288
Artibeus_jamaicensis	1.861	1.613
Artibeus_lituratus	1.933	1.748
Aselliscus_stoliczkanus	0.991	0.69
Aselliscus_tricuspidatus	0.991	0.643
Brachyphylla_cavernarum	1.984	1.648
Cardioderma_cor	1.737	1.415
Carollia_perspicillata	1.577	1.25
Chalinolobus_gouldii	1.23	1.068
Chalinolobus_morio	1.137	0.919
Chiroderma_salvini	1.774	1.417
Chiroderma_trinitatum	1.584	1.137
Chiroderma_villosum	1.697	1.394
Choeroniscus_minor	1.474	0.982
Coleura_afra	1.31	1.061
Cormura_brevirostris	1.265	0.914
Craseonycteris_thonglongyai	0.875	0.408
Desmodus_rotundus	1.874	1.56
Diphylla_ecaudata	1.803	1.49
Emballonura_monticola	1.17	0.724
Emballonura_raffrayana	1.173	0.771
Eptesicus_brasiliensis	1.185	0.964
Eptesicus_fuscus_bahamensis	1.279	1.134
Eumops_auripendulus	1.668	1.529
Eumops_glaucinus	1.665	1.562
Furipterus_horrens	0.964	0.535
Glischropus_tylopus	0.892	0.69
Glossophaga_longirostris	1.502	1.053
