Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m9-VR-006.txt
Log File Name:                   MES_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1203485681
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
2150000	550.315565	1	-1.091414939288	1.112824102550	-0.047406764173	0.037416581525	0.001818181527	0.000055203245	0.982740911429	N\A	0.058786926063	0.007056331858	0.029205134914	0.004225539662	51	31	
2200000	556.455654	1	-0.701035332561	0.808676166312	-0.014653813036	0.150232641227	-0.013998637374	0.000043822234	0.970880764391	N\A	0.070469429219	0.008260154967	0.036283083764	0.005314847625	41	30	
2250000	570.756323	1	-0.854622956303	0.974564191803	-0.036183002284	0.072744875485	-0.001699222945	0.000063483555	0.974858195260	N\A	0.070621389511	0.008209621740	0.035142969716	0.005230949661	45	26	
2300000	555.437452	1	-0.898669373815	0.998478820269	-0.035995931963	0.044181794765	0.002354010073	0.000069384810	0.977743871875	N\A	0.066522529163	0.008353200257	0.032151426088	0.005504753383	42	25	
2350000	558.875738	1	-0.690559153769	0.812070335545	-0.016608210014	0.152836688666	-0.010645183227	0.000048216395	0.974482274964	N\A	0.064981659474	0.007405078806	0.033665710296	0.004719092495	50	33	
2400000	571.775498	1	-0.679593796215	0.797366886733	-0.020371025994	0.212460846728	-0.017368693411	0.000062901164	0.976866643321	N\A	0.067342325012	0.007883165279	0.034493665597	0.005014986068	37	17	
2450000	564.222385	1	-0.842794600883	0.892727453465	-0.018309937305	0.108311603491	-0.012676097289	0.000062659319	0.974482041494	N\A	0.064540911715	0.007901035693	0.032556107889	0.005136827120	52	24	
2500000	566.129722	1	-0.919331734272	1.013007545597	-0.040675070841	0.056540720953	0.001228809316	0.000074952323	0.972463484528	N\A	0.067002333290	0.008348850895	0.033684113390	0.005619660636	50	26	
2550000	577.353041	1	-0.718071353681	0.858240384864	-0.022531095404	0.131776627292	-0.011422170249	0.000073335318	0.974297932873	N\A	0.068657842907	0.008639892034	0.033493194091	0.005560460169	41	28	
2600000	550.591865	1	-0.988729192616	0.984483410438	-0.031369612589	0.110418050955	-0.011831989048	0.000069420225	0.979733489283	N\A	0.055181962188	0.005788269441	0.030986773857	0.004595484053	53	31	
2650000	570.863410	1	-0.928141760506	0.997244060080	-0.037802861857	0.074893773538	-0.001037358645	0.000079395447	0.979863601126	N\A	0.062127709996	0.007440749420	0.031659140743	0.005014048109	37	20	
2700000	563.150107	1	-0.934770100669	1.013312847052	-0.037914166879	0.044210018373	0.002230365978	0.000070352322	0.980672387906	N\A	0.052143070859	0.006990624523	0.025507570264	0.004417896046	51	25	
2750000	567.391719	1	-0.732949856668	0.854010365194	-0.024899951993	0.150930579473	-0.008716233431	0.000072595288	0.974887684564	N\A	0.068777644458	0.008300660492	0.034563396480	0.005471888003	41	26	
2800000	541.792916	1	-0.938928383369	0.981298238516	-0.036708482266	0.071034692896	0.002957070561	0.000091985402	0.971030967502	N\A	0.078582278083	0.009921131464	0.038316971942	0.006435833123	42	27	
2850000	565.314487	1	-0.940626210923	1.006541428353	-0.032425966391	0.057340530569	-0.002395992894	0.000080600016	0.975144909297	N\A	0.068069961016	0.008409926786	0.032863614274	0.005232100571	47	25	
2900000	570.685530	1	-1.135439845377	1.137755384230	-0.059363516219	0.029057467974	0.010052300757	0.000061808183	0.980799401245	N\A	0.052387379666	0.007688053859	0.027138670882	0.005103907883	52	20	
2950000	564.671444	1	-0.960258687997	0.998052757595	-0.038432103760	0.087233129475	-0.004501190773	0.000194188450	0.975277500173	N\A	0.064999791660	0.007288307220	0.032763734713	0.004558158085	52	26	
3000000	565.871005	1	-0.920409816182	1.001449511894	-0.036192799493	0.061825778903	-0.001690509319	0.000078502239	0.981722834107	N\A	0.063509524388	0.009323354607	0.028430504559	0.005803616978	46	25	
3050000	575.531192	1	-0.913204187242	1.011940229457	-0.038256819497	0.040073262284	0.001992755507	0.000077884708	0.978444887160	N\A	0.059741763762	0.007606636595	0.028633268598	0.004682167491	44	22	
3100000	567.970028	1	-0.649437725189	0.749600871887	-0.011723211300	0.218540569218	-0.025181667081	0.000057964091	0.973762122614	N\A	0.073342497970	0.008451994090	0.037563815518	0.005697256745	41	26	
3150000	558.842073	1	-0.990737726875	1.057122848552	-0.044863196759	0.040707064258	0.001546969863	0.000071512117	0.978170835804	N\A	0.044943303900	0.005823990957	0.025341102949	0.004507698226	41	25	
3200000	569.342503	1	-0.776284326502	0.870911964079	-0.021475044971	0.146131381821	-0.015710844460	0.000064046643	0.977911162500	N\A	0.053998399856	0.006820231647	0.027934251289	0.004191210631	48	34	
3250000	561.592243	1	-0.906573717322	0.930913096774	-0.028593483848	0.120259464901	-0.011379481883	0.000051180185	0.977216472142	N\A	0.063013476036	0.006980916217	0.032291338980	0.004811574123	47	30	
3300000	572.432502	1	-0.889891136107	0.985736538462	-0.040735392697	0.088682508288	-0.001494243559	0.000086843912	0.974142221333	N\A	0.069759687739	0.009451237872	0.031847717020	0.005430273626	40	23	
3350000	557.908545	1	-0.833417992544	0.943825202602	-0.029371549590	0.085609506537	-0.006620544454	0.000101587146	0.976205950904	N\A	0.067470843165	0.008685314449	0.033462051120	0.005432879613	45	24	
3400000	553.491525	1	-0.867913002288	0.967880042616	-0.028482710208	0.044584985362	-0.001583221670	0.000061143453	0.972908333956	N\A	0.060815582197	0.007133206262	0.031211044050	0.004654488692	50	29	
3450000	570.576505	1	-0.996579508876	1.021885939280	-0.047439723143	0.121094158277	-0.005163630584	0.000054820510	0.974827312413	N\A	0.082655951222	0.011353989454	0.037417375461	0.006758316981	49	21	
3500000	563.906471	1	-0.775905637509	0.882701944458	-0.027199595464	0.140165378403	-0.007292489424	0.000062088555	0.973081564235	N\A	0.068061743874	0.008037217305	0.035226199252	0.005406766583	42	17	
3550000	561.032925	1	-0.665289500519	0.806292452751	-0.018638173699	0.189810372847	-0.018856322907	0.000071279230	0.980697474713	N\A	0.065067353880	0.007856194068	0.029354458740	0.004534721970	42	27	
3600000	552.223518	1	-1.072819617145	1.078380178316	-0.045437332816	0.043253333889	0.001250706349	0.000097236399	0.972025965764	N\A	0.070582780940	0.008622739149	0.034925073434	0.005581428516	35	28	
3650000	558.532387	1	-0.778051062882	0.873822382797	-0.021593656968	0.131014035503	-0.014035108026	0.000057152947	0.972768720581	N\A	0.062891443509	0.007568313575	0.032450814203	0.005302246348	43	29	
3700000	576.579535	1	-0.894132105273	0.970008684522	-0.028192114820	0.065674166404	-0.006428443105	0.000071181587	0.976453914270	N\A	0.063462573127	0.007697301040	0.030993380148	0.004523769168	44	22	
3750000	574.499127	1	-1.038496324070	1.064541676016	-0.039518847993	0.012600951469	0.005705627366	0.000076219649	0.977655770772	N\A	0.054679682724	0.007309383092	0.027038740506	0.004665604857	51	22	
3800000	543.493409	1	-0.924749533170	0.956554194294	-0.032293240108	0.075827263161	-0.001249009461	0.000113108808	0.972028117424	N\A	0.077220642099	0.009773635109	0.037270774764	0.006074733318	51	25	
3850000	562.510434	1	-0.847125648611	0.932401467549	-0.027223073002	0.095954474487	-0.006642191721	0.000058732431	0.973355172100	N\A	0.060919171552	0.007499702244	0.030874839549	0.004627614764	41	23	
3900000	554.103155	1	-0.795315641290	0.891912291804	-0.018280069173	0.087881804820	-0.008112621016	0.000061697684	0.975137566138	N\A	0.062593864055	0.007604391381	0.032513331002	0.005159109705	44	34	
3950000	578.622552	1	-1.005806276201	1.066992691920	-0.052415665201	0.068547815055	0.003459994268	0.000067884190	0.977185028688	N\A	0.080563899486	0.011572219021	0.034309510479	0.006509081886	48	28	
4000000	570.583674	1	-1.077522290273	1.084207342305	-0.045970067904	0.050510384049	-0.000185977075	0.000066206226	0.974068850757	N\A	0.064289091214	0.007861980181	0.032076091267	0.004980294159	39	34	
4050000	573.286107	1	-1.075044729299	1.108191191073	-0.047649574939	0.002804479587	0.008700934163	0.000080471689	0.979905620371	N\A	0.056505377446	0.007868619261	0.028805002224	0.005055431721	41	25	
4100000	565.727908	1	-0.849949904991	0.946635954814	-0.024411265785	0.051643615963	-0.003707852507	0.000047636321	0.975035349699	N\A	0.064218069404	0.007425324566	0.033850896497	0.005238356679	41	23	
4150000	564.973896	1	-0.724553393539	0.867781565050	-0.026428159480	0.143212579876	-0.011266732135	0.000062831552	0.972462864144	N\A	0.064845993279	0.007804998505	0.034002810635	0.005298772312	34	32	
4200000	560.795169	1	-0.790098947398	0.892723490338	-0.025306321421	0.123386849713	-0.008355255937	0.000044392660	0.975962104462	N\A	0.069623309711	0.007916830678	0.034375575000	0.004924053020	50	37	
4250000	565.854963	1	-0.960614921692	1.018020021526	-0.040804551473	0.080619624659	-0.004073429747	0.000089986656	0.971875369807	N\A	0.067577142726	0.008458682551	0.033572713496	0.005263919030	43	33	
4300000	581.336312	1	-1.028826837889	1.066004707132	-0.043298621830	0.032401332271	0.001539386148	0.000061893778	0.981523079427	N\A	0.048139843860	0.006842925367	0.025559480029	0.004456882385	40	25	
4350000	565.112159	1	-0.931384472152	1.017978855920	-0.040927537972	0.058861292925	0.002125811893	0.000051916921	0.982031709061	N\A	0.038177986458	0.005805779343	0.019082032430	0.003744544454	53	32	
4400000	556.538973	1	-0.843606243632	0.907839989115	-0.023357315963	0.087633182861	-0.006396236566	0.000070634004	0.973722674087	N\A	0.064607453227	0.008212906030	0.031797149336	0.005027495315	38	26	
4450000	570.617014	1	-1.047115834506	1.045518299938	-0.043411628924	0.061209594987	0.000375685098	0.000050083703	0.976914492612	N\A	0.053961275152	0.006616896060	0.028600182205	0.004596488277	48	29	
4500000	577.481779	1	-1.020026312377	1.059557174030	-0.040489909750	0.043160412126	-0.003292192292	0.000073021852	0.975707480113	N\A	0.066013087091	0.008231756830	0.032012357999	0.005028178142	48	20	
4550000	578.002629	1	-0.846994824682	0.920895642996	-0.026994594989	0.114521555286	-0.010409701665	0.000067430504	0.975091322000	N\A	0.063548104592	0.007891555583	0.032109349179	0.005180882212	47	21	
4600000	571.019341	1	-1.126994190242	1.176301252818	-0.058193322086	-0.037791416726	0.013239845904	0.000061687029	0.975404868694	N\A	0.058245168215	0.007151486210	0.027209864398	0.004151028360	39	24	
4650000	563.582862	1	-0.956107874439	1.023753604286	-0.042954466461	0.076767639646	-0.000846837365	0.000058014308	0.972219752649	N\A	0.065153346934	0.007767283145	0.033364705745	0.005310744165	39	26	
4700000	556.222180	1	-0.916572873086	1.016099859026	-0.029582287552	-0.001754002390	0.004614526659	0.000068380408	0.984260175638	N\A	0.039021452869	0.006136943467	0.022664106663	0.004401130976	44	23	
4750000	564.937456	1	-0.912601408699	0.971820706754	-0.041194589784	0.119064711862	-0.004001916021	0.000076430784	0.972777064483	N\A	0.074818830480	0.010796955193	0.034590538635	0.006323097197	48	23	
4800000	579.865564	1	-0.824085229369	0.968480958390	-0.042672159912	0.089060581333	0.003030205966	0.000093948295	0.974243160137	N\A	0.071064491638	0.009465657634	0.033103408066	0.005368277859	49	26	
4850000	570.655144	1	-0.796409510458	0.899664568450	-0.022939267619	0.096346104885	-0.005872587704	0.000068560655	0.980430373892	N\A	0.049505211249	0.006999382902	0.026165247745	0.005006718382	50	25	
4900000	561.303088	1	-0.945992961323	1.016972022390	-0.045632794132	0.085419495403	0.002950230482	0.000068589131	0.974994690830	N\A	0.064984682575	0.007811834049	0.033582996145	0.005325350534	38	35	
4950000	566.916753	1	-0.792576578226	0.890953705503	-0.017454619700	0.104153565440	-0.011088911627	0.000069215310	0.977968218789	N\A	0.055538813685	0.007581403170	0.029997930835	0.005328138440	62	29	
