Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m7-glob-005.txt
Log File Name:                   MED_d1_m7-glob-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2711328556
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m7-glob-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	615.573019	1	-0.071885433852	0.603504449616	0.255264233046	-0.012474114705	0.000162147803	0.986788267303	N\A	0.023243886468	0.021396259118	0.002609091943	54	8	-0.006072463763	Global Trend	
1050000	612.681637	1	-0.271711365196	0.673965984540	0.194491492582	-0.008886965895	0.000140379300	0.982453342588	N\A	0.028049640343	0.024311676991	0.003137223807	43	8	-0.000665210033	Global Trend	
1100000	623.789635	1	-0.199340416277	0.628809843685	0.251331973260	-0.015985098185	0.000126066455	0.983535922216	N\A	0.024621914356	0.021559927580	0.002797554632	32	6	-0.000965896058	Global Trend	
1150000	640.756715	1	-0.039538397586	0.558210893532	0.294813768430	-0.015288598091	0.000060382651	0.984996685970	N\A	0.024287839590	0.020940737604	0.002766003233	35	8	-0.000753277537	Global Trend	
1200000	625.082253	1	-0.212103700354	0.659996494076	0.209068146398	-0.011229816244	0.000051815214	0.981414835720	N\A	0.021580402931	0.019599965743	0.002649729922	36	13	-0.001699271861	Global Trend	
1250000	603.975414	1	-0.072372395943	0.483762111176	0.327745693162	-0.015184535107	0.000083257677	0.985016725820	N\A	0.025507230780	0.023569709742	0.002756290292	35	7	0.003618657284	Global Trend	
1300000	631.061655	1	-0.179715867187	0.632515895166	0.223779543800	-0.010484859174	0.000077104758	0.985817282593	N\A	0.025202941523	0.022000874489	0.002042709329	45	8	-0.002260747879	Global Trend	
1350000	609.938430	1	-0.202754700259	0.598096942101	0.239829705985	-0.007741679074	0.000065865800	0.984708806025	N\A	0.025435665613	0.022169186341	0.002775606902	52	6	0.000522204337	Global Trend	
1400000	606.598400	1	-0.196664304095	0.632526706522	0.212562760600	-0.009054848049	0.000040967831	0.981864599829	N\A	0.025415052761	0.022640438643	0.002782176772	37	7	-0.000714764166	Global Trend	
1450000	636.484079	1	-0.039454705528	0.582046524770	0.247003837207	-0.009436579325	0.000056481174	0.983486534009	N\A	0.023544779831	0.021662019227	0.002582917466	55	8	-0.002501299674	Global Trend	
