Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m9-VR-006.txt
Log File Name:                   NEO_d1_m9-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            864253674
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m9-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
2150000	640.962658	1	-1.545537586766	1.510460551929	-0.039294915501	-0.185389900894	0.018070781305	0.000196090687	0.993316738228	N\A	0.053908856948	0.005302275021	0.028255711139	0.003676088543	56	25	
2200000	630.498984	1	-1.368380571744	1.385376034821	-0.030066628994	-0.126134423458	0.014228975353	0.000271984533	0.992724982977	N\A	0.052976706783	0.005493638792	0.027393463865	0.003826414884	43	28	
2250000	652.227668	1	-1.642409327704	1.561634586273	-0.045789909926	-0.187010552163	0.018433832923	0.000101525844	0.993105555736	N\A	0.054956287109	0.005428799007	0.028324899484	0.003670183584	50	36	
2300000	649.744540	1	-1.668116269660	1.533831632709	-0.042468946924	-0.173439703769	0.018680967319	0.000067391589	0.992600744750	N\A	0.055728973244	0.005718381499	0.028163796923	0.003800942129	48	30	
2350000	642.889595	1	-1.486274878589	1.460460400049	-0.035034119598	-0.146565642934	0.014401960819	0.000109856258	0.992666978744	N\A	0.056471980566	0.005478830318	0.029160290039	0.003662737066	41	31	
2400000	632.808363	1	-1.478227764035	1.470616378697	-0.036103374061	-0.165789036642	0.017986159634	0.000015990084	0.992354808804	N\A	0.055921237679	0.006089570124	0.027266067875	0.003937240258	58	38	
2450000	650.097621	1	-1.449315343345	1.437396363713	-0.035716920866	-0.146581609440	0.016599100197	0.000062962456	0.993896138803	N\A	0.063751959515	0.007091911072	0.030555042665	0.004413688452	39	31	
2500000	645.517546	1	-1.471473174465	1.464480291359	-0.035679947259	-0.178922431063	0.019846074735	0.000030638752	0.992308406076	N\A	0.055120587125	0.005523793067	0.028794055123	0.003807158295	53	31	
2550000	641.923611	1	-1.650334735772	1.541024473311	-0.042579627915	-0.171663811583	0.015951182888	0.000087835193	0.993936742747	N\A	0.056976947030	0.005820896137	0.029516431465	0.003993492569	45	31	
2600000	635.369506	1	-1.505005056322	1.478764916914	-0.037593614531	-0.153860618303	0.016589820378	0.000059910774	0.992540016230	N\A	0.049201796653	0.005689572280	0.024181183702	0.003818086115	45	42	
2650000	664.315070	1	-1.443373989218	1.436215050629	-0.034212648605	-0.146262377067	0.017630728738	0.000060810844	0.991904861458	N\A	0.054005353921	0.005836206164	0.026892543401	0.003859183220	50	21	
2700000	645.553493	1	-1.460676008092	1.431630487636	-0.030854969287	-0.164643412750	0.017082336929	0.000023396364	0.991681233138	N\A	0.057468568867	0.006322409679	0.027795749610	0.004011842870	37	25	
2750000	652.728394	1	-1.393893544978	1.369167597138	-0.026300703261	-0.103341542435	0.008646334642	0.000022899204	0.994044641594	N\A	0.051144253604	0.005132787774	0.025639004298	0.003499180784	51	28	
2800000	634.567326	1	-1.470140509550	1.426559008385	-0.034103115330	-0.120297845924	0.014259001463	0.000015233736	0.992290951260	N\A	0.058163857243	0.006504788079	0.028342153460	0.004264450921	50	35	
