Species_TTOL	MOB	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Myosorex_sclateri	1.539	1.23	0	0	0	1	0	0	0	0	1.23	0
Neomys_anomalus	1.117	1.037	0	0	0	1	0	0	0	0	1.037	0
Neomys_fodiens	1.215	1.182	0	0	0	1	0	0	0	0	1.182	0
Oryzorictes_hova	1.672	1.645	0	0	0	0	0	0	0	0	0	0
Parascalops_breweri	1.77	1.731	0	0	0	1	0	0	0	0	1.731	0
Potamogale_velox	1.924	2.791	0	0	0	0	0	0	0	0	0	0
Ruwenzorisorex_suncoides	1.246	1.262	0	0	0	1	0	0	0	0	1.262	0
Scalopus_aquaticus	1.938	2.061	0	0	0	1	0	0	0	0	2.061	0
Scutisorex_somereni	1.769	1.792	0	0	0	1	0	0	0	0	1.792	0
Setifer_setosus	2.329	2.373	0	0	0	0	0	0	0	0	0	0
Solenodon_paradoxus	2.672	2.826	0	0	0	1	0	0	0	0	2.826	0
Sorex_alpinus	1.22	1.033	0	0	0	1	0	0	0	0	1.033	0
Sorex_araneus	1.236	0.987	0	0	0	1	0	0	0	0	0.987	0
Sorex_cinereus	1.068	0.633	0	0	0	1	0	0	0	0	0.633	0
Sorex_fumeus	1.179	0.924	0	0	0	1	0	0	0	0	0.924	0
Sorex_hoyi	0.806	0.42	0	0	0	1	0	0	0	0	0.42	0
Sorex_minutus	0.949	0.633	0	0	0	1	0	0	0	0	0.633	0
Suncus_etruscus	0.672	0.762	0	0	0	1	0	0	0	0	0.762	0
Suncus_murinus	1.567	1.529	0	0	0	1	0	0	0	0	1.529	0
Sylvisorex_granti	1.188	0.591	0	0	0	1	0	0	0	0	0.591	0
Suncus_megalura	1.23	0.74	0	0	0	1	0	0	0	0	0.74	0
Talpa_europaea	1.78	1.908	0	0	0	1	0	0	0	0	1.908	0
Tenrec_ecaudatus	2.501	2.935	0	0	0	0	0	0	0	0	0	0
Aepyprymnus_rufescens	2.641375	3.392697	0	0	0	0	1	0	0	0	0	3.392697
Antechinus_flavipes	1.705864	1.568202	0	0	0	0	1	0	0	0	0	1.568202
Antechinus_minimus	1.703291	1.724276	0	0	0	0	1	0	0	0	0	1.724276
Bettongia_gaimardi	2.579326	3.176091	0	0	0	0	1	0	0	0	0	3.176091
Bettongia_penicillata	2.66736	3.079181	0	0	0	0	1	0	0	0	0	3.079181
Burramys_parvus	1.576341	1.770852	0	0	0	0	1	0	0	0	0	1.770852
Cercartetus_nanus	1.298853	1.278754	0	0	0	0	1	0	0	0	0	1.278754
Dactylopsila_trivirgata	2.457428	2.643453	0	0	0	0	1	0	0	0	0	2.643453
Dasycercus_cristicauda	1.990339	2	0	0	0	0	1	0	0	0	0	2
Dasyuroides_byrnei	2.029789	2.146128	0	0	0	0	1	0	0	0	0	2.146128
Dasyurus_geoffroii	2.536432	2.69897	0	0	0	0	1	0	0	0	0	2.69897
Dasyurus_hallucatus	2.401917	3.021189	0	0	0	0	1	0	0	0	0	3.021189
Dendrolagus_lumholtzi	2.602711	3.78533	0	0	0	0	1	0	0	0	0	3.78533
Distoechurus_pennatus	1.61066	1.633468	0	0	0	0	1	0	0	0	0	1.633468
Dorcopsis	2.6861	3.462398	0	0	0	0	1	0	0	0	0	3.462398
Echymipera_kalubu	2.376759	2.819544	0	0	0	0	1	0	0	0	0	2.819544
Gymnobelideus_leadbeateri	1.933933	2.041393	0	0	0	0	1	0	0	0	0	2.041393
Hypsiprymnodon_moschatus	2.523356	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Isoodon_macrourus	2.590284	3.033424	0	0	0	0	1	0	0	0	0	3.033424
Isoodon_obesulus_obesulus	2.513351	3.004321	0	0	0	0	1	0	0	0	0	3.004321
Osphranter_antilopinus	2.977129	4.537819	0	0	0	0	1	0	0	0	0	4.537819
Macropus_giganteus	2.924383	4.563481	0	0	0	0	1	0	0	0	0	4.563481
Notamacropus_irma	2.813247	3.819544	0	0	0	0	1	0	0	0	0	3.819544
Notamacropus_parma	2.46449	3.536558	0	0	0	0	1	0	0	0	0	3.536558
Notamacropus_parryi	2.896802	4.170262	0	0	0	0	1	0	0	0	0	4.170262
Osphranter_robustus	2.961753	4.409933	0	0	0	0	1	0	0	0	0	4.409933
Osphranter_rufus	2.863144	4.494155	0	0	0	0	1	0	0	0	0	4.494155
Thylamys_pallidior	1.519828	1.477121	0	0	0	0	1	0	0	0	0	1.477121
Marmosops_impavidus	1.963788	1.845098	0	0	0	0	1	0	0	0	0	1.845098
Monodelphis_brevicaudata	1.922206	1.924279	0	0	0	0	1	0	0	0	0	1.924279
Notoryctes_typhlops	1.955207	1.531479	0	0	0	0	1	0	0	0	0	1.531479
Petauroides_volans	1.835691	3.09691	0	0	0	0	1	0	0	0	0	3.09691
Petaurus_australis	2.281715	2.748188	0	0	0	0	1	0	0	0	0	2.748188
Petaurus_breviceps	1.869818	2.113943	0	0	0	0	1	0	0	0	0	2.113943
Petaurus_norfolcensis	2.035029	2.374748	0	0	0	0	1	0	0	0	0	2.374748
Petrogale_inornata	2.529943	3.628389	0	0	0	0	1	0	0	0	0	3.628389
Petrogale_lateralis	2.651472	3.556303	0	0	0	0	1	0	0	0	0	3.556303
Petrogale_penicillata	2.576802	3.690196	0	0	0	0	1	0	0	0	0	3.690196
Petrogale_purpureicollis	2.58995	3.740363	0	0	0	0	1	0	0	0	0	3.740363
Petropseudes_dahli	2.096215	3.127105	0	0	0	0	1	0	0	0	0	3.127105
Phascolarctos_cinereus	2.569374	3.968483	0	0	0	0	1	0	0	0	0	3.968483
Planigale_ingrami	0.869818	0.826075	0	0	0	0	1	0	0	0	0	0.826075
Planigale_maculata	1.152288	1.041393	0	0	0	0	1	0	0	0	0	1.041393
Potorous_tridactylus_tridactylus	2.835564	3.089905	0	0	0	0	1	0	0	0	0	3.089905
Pseudochirulus_canescens	1.980003	2.447158	0	0	0	0	1	0	0	0	0	2.447158
Pseudochirulus_forbesi	1.914872	2.70757	0	0	0	0	1	0	0	0	0	2.70757
Sarcophilus_harrisii	3.03623	3.732394	0	0	0	0	1	0	0	0	0	3.732394
Sminthopsis_crassicaudata	1.409933	1.146128	0	0	0	0	1	0	0	0	0	1.146128
Sminthopsis_leucopus	1.419956	1.361728	0	0	0	0	1	0	0	0	0	1.361728
Phalanger_gymnotis	2.5867	3.451786	0	0	0	0	1	0	0	0	0	3.451786
Thylacinus_cynocephalus	3.254548	4.342423	0	0	0	0	1	0	0	0	0	4.342423
Thylogale_billardierii	2.674953	3.845098	0	0	0	0	1	0	0	0	0	3.845098
Thylogale_stigmatica	2.645422	3.653213	0	0	0	0	1	0	0	0	0	3.653213
Trichosurus_vulpecula	2.488127	3.30103	0	0	0	0	1	0	0	0	0	3.30103
Vombatus_ursinus	3.028571	4.357935	0	0	0	0	1	0	0	0	0	4.357935
Wallabia_bicolor	2.91339	4.198657	0	0	0	0	1	0	0	0	0	4.198657
Balionycteris_maculata	1.494	1.158	1	0	0	0	0	1.158	0	0	0	0
Casinycteris_argynnis	1.456	1.428	1	0	0	0	0	1.428	0	0	0	0
Chironax_melanocephalus	1.554	1.248	1	0	0	0	0	1.248	0	0	0	0
Cynopterus_brachyotis	1.775	1.53	1	0	0	0	0	1.53	0	0	0	0
Cynopterus_horsfieldii	1.82	1.773	1	0	0	0	0	1.773	0	0	0	0
Cynopterus_sphinx	1.846	1.713	1	0	0	0	0	1.713	0	0	0	0
Dobsonia_inermis	2.163	2.173	1	0	0	0	0	2.173	0	0	0	0
Dobsonia_moluccensis	2.405	2.543	1	0	0	0	0	2.543	0	0	0	0
Dobsonia_praedatrix	2.3	2.25	1	0	0	0	0	2.25	0	0	0	0
Eidolon_helvum	2.32	2.418	1	0	0	0	0	2.418	0	0	0	0
Eonycteris_spelaea	1.826	1.769	1	0	0	0	0	1.769	0	0	0	0
Epomophorus_labiatus	1.939	1.806	1	0	0	0	0	1.806	0	0	0	0
Epomops_franqueti	2.033	2.072	1	0	0	0	0	2.072	0	0	0	0
Hypsignathus_monstrosus	2.134	2.491	1	0	0	0	0	2.491	0	0	0	0
Macroglossus_minimus	1.43	1.164	1	0	0	0	0	1.164	0	0	0	0
Megaerops_ecaudatus	1.658	1.38	1	0	0	0	0	1.38	0	0	0	0
Megaloglossus_woermanni	1.403	1.253	1	0	0	0	0	1.253	0	0	0	0
Melonycteris_melanops	1.804	1.675	1	0	0	0	0	1.675	0	0	0	0
Melonycteris_woodfordi	1.649	1.549	1	0	0	0	0	1.549	0	0	0	0
Epomophorus_pusillus	1.573	1.4	1	0	0	0	0	1.4	0	0	0	0
Myonycteris_torquata	1.749	1.561	1	0	0	0	0	1.561	0	0	0	0
Notopteris_macdonaldi	1.799	1.841	1	0	0	0	0	1.841	0	0	0	0
Nyctimene_albiventer	1.72	1.473	1	0	0	0	0	1.473	0	0	0	0
Nyctimene_robinsoni	1.909	1.673	1	0	0	0	0	1.673	0	0	0	0
Nyctimene_vizcaccia	1.865	1.549	1	0	0	0	0	1.549	0	0	0	0
Paranyctimene_raptor	1.623	1.417	1	0	0	0	0	1.417	0	0	0	0
Pteropus_alecto	2.377	2.775	1	0	0	0	0	2.775	0	0	0	0
Pteropus_conspicillatus	2.486	2.875	1	0	0	0	0	2.875	0	0	0	0
Pteropus_hypomelanus	2.341	2.591	1	0	0	0	0	2.591	0	0	0	0
Pteropus_lylei	2.318	2.497	1	0	0	0	0	2.497	0	0	0	0
Pteropus_neohibernicus	2.537	2.924	1	0	0	0	0	2.924	0	0	0	0
Pteropus_poliocephalus	2.403	2.842	1	0	0	0	0	2.842	0	0	0	0
Pteropus_samoensis	2.329	2.491	1	0	0	0	0	2.491	0	0	0	0
Pteropus_scapulatus	2.249	2.574	1	0	0	0	0	2.574	0	0	0	0
Pteropus_temminckii	2.288	2.398	1	0	0	0	0	2.398	0	0	0	0
Pteropus_tonganus	2.351	2.652	1	0	0	0	0	2.652	0	0	0	0
Pteropus_vampyrus	2.576	3.027	1	0	0	0	0	3.027	0	0	0	0
Rousettus_aegyptiacus	2.059	2.111	1	0	0	0	0	2.111	0	0	0	0
Rousettus_amplexicaudatus	2.006	1.856	1	0	0	0	0	1.856	0	0	0	0
Scotonycteris_zenkeri	1.568	1.328	1	0	0	0	0	1.328	0	0	0	0
Sphaerias_blanfordi	1.525	1.47	1	0	0	0	0	1.47	0	0	0	0
Syconycteris_australis	1.497	1.207	1	0	0	0	0	1.207	0	0	0	0
Anoura_caudifer	1.004	1.025	0	1	0	0	0	0	1.025	0	0	0
Anoura_geoffroyi	1.26	1.204	0	1	0	0	0	0	1.204	0	0	0
Ardops_nichollsi	1.447	1.352	0	1	0	0	0	0	1.352	0	0	0
Artibeus_cinereus	1.276	1.1	0	1	0	0	0	0	1.1	0	0	0
Artibeus_concolor	1.412	1.288	0	1	0	0	0	0	1.288	0	0	0
Artibeus_jamaicensis	1.588	1.613	0	1	0	0	0	0	1.613	0	0	0
Artibeus_lituratus	1.733	1.748	0	1	0	0	0	0	1.748	0	0	0
Aselliscus_stoliczkanus	0.225	0.69	0	1	0	0	0	0	0.69	0	0	0
Aselliscus_tricuspidatus	0.316	0.643	0	1	0	0	0	0	0.643	0	0	0
Brachyphylla_cavernarum	1.625	1.648	0	1	0	0	0	0	1.648	0	0	0
Cardioderma_cor	0.907	1.415	0	1	0	0	0	0	1.415	0	0	0
Carollia_perspicillata	1.42	1.25	0	1	0	0	0	0	1.25	0	0	0
Chalinolobus_gouldii	0.759	1.068	0	1	0	0	0	0	1.068	0	0	0
Chalinolobus_morio	0.498	0.919	0	1	0	0	0	0	0.919	0	0	0
Chiroderma_salvini	1.493	1.417	0	1	0	0	0	0	1.417	0	0	0
Chiroderma_trinitatum	1.324	1.137	0	1	0	0	0	0	1.137	0	0	0
Chiroderma_villosum	1.438	1.394	0	1	0	0	0	0	1.394	0	0	0
Choeroniscus_minor	0.971	0.982	0	1	0	0	0	0	0.982	0	0	0
Coleura_afra	0.6	1.061	0	1	0	0	0	0	1.061	0	0	0
Cormura_brevirostris	0.358	0.914	0	1	0	0	0	0	0.914	0	0	0
Craseonycteris_thonglongyai	-0.18	0.408	0	1	0	0	0	0	0.408	0	0	0
Desmodus_rotundus	1.519	1.56	0	1	0	0	0	0	1.56	0	0	0
Diphylla_ecaudata	1.559	1.49	0	1	0	0	0	0	1.49	0	0	0
Emballonura_monticola	0.072	0.724	0	1	0	0	0	0	0.724	0	0	0
Emballonura_raffrayana	0.107	0.771	0	1	0	0	0	0	0.771	0	0	0
Eptesicus_brasiliensis	0.652	0.964	0	1	0	0	0	0	0.964	0	0	0
Eptesicus_fuscus_bahamensis	0.79	1.134	0	1	0	0	0	0	1.134	0	0	0
Eumops_auripendulus	1.097	1.529	0	1	0	0	0	0	1.529	0	0	0
Eumops_glaucinus	1.152	1.562	0	1	0	0	0	0	1.562	0	0	0
Furipterus_horrens	0.137	0.535	0	1	0	0	0	0	0.535	0	0	0
Glischropus_tylopus	0.358	0.69	0	1	0	0	0	0	0.69	0	0	0
Glossophaga_longirostris	1.111	1.053	0	1	0	0	0	0	1.053	0	0	0
Glossophaga_soricina	1.061	0.996	0	1	0	0	0	0	0.996	0	0	0
Harpiocephalus_harpia	1.362	1.13	0	1	0	0	0	0	1.13	0	0	0
Hesperoptenus_blanfordi	0.633	0.863	0	1	0	0	0	0	0.863	0	0	0
Hipposideros_armiger	1.182	1.748	0	1	0	0	0	0	1.748	0	0	0
Hipposideros_ater	0.533	0.839	0	1	0	0	0	0	0.839	0	0	0
Hipposideros_caffer	0.731	1.041	0	1	0	0	0	0	1.041	0	0	0
Macronycteris_commersoni	1.375	1.997	0	1	0	0	0	0	1.997	0	0	0
Hipposideros_diadema	1.152	1.622	0	1	0	0	0	0	1.622	0	0	0
Hipposideros_fulvus	0.713	0.845	0	1	0	0	0	0	0.845	0	0	0
Hipposideros_lankadiva	1.188	1.686	0	1	0	0	0	0	1.686	0	0	0
Hipposideros_larvatus	0.984	1.312	0	1	0	0	0	0	1.312	0	0	0
Hipposideros_ridleyi	0.672	0.982	0	1	0	0	0	0	0.982	0	0	0
Hipposideros_speoris	0.724	1.061	0	1	0	0	0	0	1.061	0	0	0
Hipposideros_turpis	1.017	1.542	0	1	0	0	0	0	1.542	0	0	0
Ia_io	1.228	1.727	0	1	0	0	0	0	1.727	0	0	0
Kerivoula_papillosa	0.58	1.004	0	1	0	0	0	0	1.004	0	0	0
Lasiurus_borealis	0.599	0.892	0	1	0	0	0	0	0.892	0	0	0
Leptonycteris_curasoae	1.283	1.389	0	1	0	0	0	0	1.389	0	0	0
Leptonycteris_nivalis	1.255	1.358	0	1	0	0	0	0	1.358	0	0	0
Lonchophylla_mordax	1.049	1.029	0	1	0	0	0	0	1.029	0	0	0
Hsunycteris_thomasi	0.975	0.839	0	1	0	0	0	0	0.839	0	0	0
Lophostoma_silvicolum	1.164	1.509	0	1	0	0	0	0	1.509	0	0	0
Macroderma_gigas	1.334	2.078	0	1	0	0	0	0	2.078	0	0	0
Macrophyllum_macrophyllum	0.642	0.934	0	1	0	0	0	0	0.934	0	0	0
Megaderma_lyra	1.255	1.587	0	1	0	0	0	0	1.587	0	0	0
Megaderma_spasma	1.021	1.354	0	1	0	0	0	0	1.354	0	0	0
Mesophylla_macconnelli	1.057	0.875	0	1	0	0	0	0	0.875	0	0	0
Micronycteris_brachyotis	1.338	1.167	0	1	0	0	0	0	1.167	0	0	0
Micronycteris_megalotis	1.013	0.813	0	1	0	0	0	0	0.813	0	0	0
Micronycteris_minuta	1.079	0.839	0	1	0	0	0	0	0.839	0	0	0
Micronycteris_schmidtorum	1.053	0.892	0	1	0	0	0	0	0.892	0	0	0
Gardnerycteris_crenulatum	0.863	1.072	0	1	0	0	0	0	1.072	0	0	0
Miniopterus_australis	0.65	0.851	0	1	0	0	0	0	0.851	0	0	0
Miniopterus_inflatus	0.831	1.173	0	1	0	0	0	0	1.173	0	0	0
Miniopterus_magnater	0.779	1.176	0	1	0	0	0	0	1.176	0	0	0
Miniopterus_pusillus	0.6	0.934	0	1	0	0	0	0	0.934	0	0	0
Miniopterus_tristis	0.787	1.193	0	1	0	0	0	0	1.193	0	0	0
Molossus_molossus	0.874	1.137	0	1	0	0	0	0	1.137	0	0	0
Molossus_rufus	1.111	1.526	0	1	0	0	0	0	1.526	0	0	0
Monophyllus_plethodon	1.134	1.176	0	1	0	0	0	0	1.176	0	0	0
Mormoops_megalophylla	0.823	1.196	0	1	0	0	0	0	1.196	0	0	0
Murina_cyclotis	1.107	0.851	0	1	0	0	0	0	0.851	0	0	0
Murina_huttoni	1.143	0.944	0	1	0	0	0	0	0.944	0	0	0
Myotis_adversus	0.744	1.049	0	1	0	0	0	0	1.049	0	0	0
Myotis_albescens	0.462	0.602	0	1	0	0	0	0	0.602	0	0	0
Myotis_annectans	0.703	0.991	0	1	0	0	0	0	0.991	0	0	0
Myotis_bechsteinii	0.893	0.978	0	1	0	0	0	0	0.978	0	0	0
Myotis_bocagii	0.612	0.845	0	1	0	0	0	0	0.845	0	0	0
Myotis_dasycneme	0.838	1.176	0	1	0	0	0	0	1.176	0	0	0
Myotis_myotis	1.124	1.408	0	1	0	0	0	0	1.408	0	0	0
Myotis_nigricans	0.459	0.663	0	1	0	0	0	0	0.663	0	0	0
Myotis_siligorensis	0.336	0.539	0	1	0	0	0	0	0.539	0	0	0
Natalus_tumidirostris	0.554	0.839	0	1	0	0	0	0	0.839	0	0	0
Noctilio_albiventris	0.943	1.515	0	1	0	0	0	0	1.515	0	0	0
Noctilio_leporinus	1.262	1.763	0	1	0	0	0	0	1.763	0	0	0
Nyctalus_noctula	0.889	1.431	0	1	0	0	0	0	1.431	0	0	0
Nycteris_arge	0.593	1.025	0	1	0	0	0	0	1.025	0	0	0
Nycteris_grandis	0.785	1.474	0	1	0	0	0	0	1.474	0	0	0
Nycteris_hispida	0.35	0.892	0	1	0	0	0	0	0.892	0	0	0
Nycteris_javanica	0.529	1.265	0	1	0	0	0	0	1.265	0	0	0
Nycteris_macrotis	0.618	1.161	0	1	0	0	0	0	1.161	0	0	0
Nycteris_thebaica	0.462	0.949	0	1	0	0	0	0	0.949	0	0	0
Nyctophilus_geoffroyi	0.652	0.857	0	1	0	0	0	0	0.857	0	0	0
Otomops_martiensseni	1.155	1.618	0	1	0	0	0	0	1.618	0	0	0
Peropteryx_macrotis	0.225	0.748	0	1	0	0	0	0	0.748	0	0	0
Phylloderma_stenops	1.942	1.664	0	1	0	0	0	0	1.664	0	0	0
Phyllostomus_discolor	1.6	1.563	0	1	0	0	0	0	1.563	0	0	0
Phyllostomus_elongatus	1.31	1.652	0	1	0	0	0	0	1.652	0	0	0
Phyllostomus_hastatus	1.631	1.963	0	1	0	0	0	0	1.963	0	0	0
Pipistrellus_javanicus	0.497	0.653	0	1	0	0	0	0	0.653	0	0	0
Pipistrellus_tenuis	0.391	0.591	0	1	0	0	0	0	0.591	0	0	0
Afronycteris_nana	0.299	0.591	0	1	0	0	0	0	0.591	0	0	0
Hypsugo_pulveratus	0.575	0.724	0	1	0	0	0	0	0.724	0	0	0
Perimyotis_subflavus	0.548	0.724	0	1	0	0	0	0	0.724	0	0	0
Pteronotus_gymnonotus	0.862	1.134	0	1	0	0	0	0	1.134	0	0	0
Pteronotus_parnellii_mesoamericanus	1.072	1.305	0	1	0	0	0	0	1.305	0	0	0
Pteronotus_personatus	0.686	0.908	0	1	0	0	0	0	0.908	0	0	0
Rhinolophus_cornutus	0.553	0.82	0	1	0	0	0	0	0.82	0	0	0
Rhinolophus_eloquens	0.972	1.281	0	1	0	0	0	0	1.281	0	0	0
Rhinolophus_hipposideros	0.294	0.663	0	1	0	0	0	0	0.663	0	0	0
Rhinolophus_landeri	0.747	0.987	0	1	0	0	0	0	0.987	0	0	0
Rhinolophus_lepidus	0.622	0.778	0	1	0	0	0	0	0.778	0	0	0
Rhinolophus_luctus	0.838	1.516	0	1	0	0	0	0	1.516	0	0	0
Rhinolophus_macrotis	0.594	0.799	0	1	0	0	0	0	0.799	0	0	0
Rhinolophus_malayanus	0.598	0.806	0	1	0	0	0	0	0.806	0	0	0
Rhinolophus_megaphyllus	0.66	0.991	0	1	0	0	0	0	0.991	0	0	0
Rhinolophus_pearsonii	0.641	1.143	0	1	0	0	0	0	1.143	0	0	0
Rhinolophus_pusillus	0.533	0.672	0	1	0	0	0	0	0.672	0	0	0
Rhinolophus_trifoliatus	0.513	1.164	0	1	0	0	0	0	1.164	0	0	0
Rhinolophus_yunnanensis	0.946	1.371	0	1	0	0	0	0	1.371	0	0	0
Rhinonicteris_aurantia	0.588	0.934	0	1	0	0	0	0	0.934	0	0	0
Rhinophylla_pumilio	1.274	0.949	0	1	0	0	0	0	0.949	0	0	0
Rhinopoma_hardwickii	0.789	1.111	0	1	0	0	0	0	1.111	0	0	0
Rhinopoma_microphyllum	0.944	1.468	0	1	0	0	0	0	1.468	0	0	0
Rhogeessa_parvula	0.447	0.653	0	1	0	0	0	0	0.653	0	0	0
Rhynchonycteris_naso	-0.041	0.58	0	1	0	0	0	0	0.58	0	0	0
Saccopteryx_bilineata	0.299	0.924	0	1	0	0	0	0	0.924	0	0	0
Saccopteryx_canescens	0.045	0.531	0	1	0	0	0	0	0.531	0	0	0
Saccopteryx_leptura	0.134	0.708	0	1	0	0	0	0	0.708	0	0	0
Scotomanes_ornatus	0.914	1.338	0	1	0	0	0	0	1.338	0	0	0
Scotophilus_dinganii	1.041	1.386	0	1	0	0	0	0	1.386	0	0	0
Scotophilus_kuhlii	0.83	1.31	0	1	0	0	0	0	1.31	0	0	0
Sphaeronycteris_toxophyllum	1.072	1.265	0	1	0	0	0	0	1.265	0	0	0
Sturnira_lilium	1.453	1.305	0	1	0	0	0	0	1.305	0	0	0
Sturnira_ludovici	1.496	1.413	0	1	0	0	0	0	1.413	0	0	0
Sturnira_tildae	1.513	1.387	0	1	0	0	0	0	1.387	0	0	0
Tadarida_aegyptiaca	1	1.248	0	1	0	0	0	0	1.248	0	0	0
Taphozous_australis	0.936	1.38	0	1	0	0	0	0	1.38	0	0	0
Taphozous_hildegardeae	1.041	1.438	0	1	0	0	0	0	1.438	0	0	0
Taphozous_mauritianus	0.992	1.462	0	1	0	0	0	0	1.462	0	0	0
Taphozous_melanopogon	1.004	1.356	0	1	0	0	0	0	1.356	0	0	0
Tonatia_bidens	1.481	1.468	0	1	0	0	0	0	1.468	0	0	0
Lophostoma_schulzi	0.954	1.328	0	1	0	0	0	0	1.328	0	0	0
Trachops_cirrhosus	1.371	1.567	0	1	0	0	0	0	1.567	0	0	0
Triaenops_persicus	0.718	1.137	0	1	0	0	0	0	1.137	0	0	0
Tylonycteris_pachypus	0.25	0.681	0	1	0	0	0	0	0.681	0	0	0
Tylonycteris_robustula	0.459	0.857	0	1	0	0	0	0	0.857	0	0	0
Uroderma_bilobatum	1.458	1.21	0	1	0	0	0	0	1.21	0	0	0
Vampyressa_pusilla	1.164	0.934	0	1	0	0	0	0	0.934	0	0	0
Vampyrum_spectrum	1.964	2.238	0	1	0	0	0	0	2.238	0	0	0
Alouatta_seniculus	1.617	3.806	0	0	1	0	0	0	0	3.806	0	0
Aotus_trivirgatus	1.748	2.919	0	0	1	0	0	0	0	2.919	0	0
Ateles_geoffroyi	1.956	3.903	0	0	1	0	0	0	0	3.903	0	0
Avahi_laniger	1.95	3.109	0	0	1	0	0	0	0	3.109	0	0
Plecturocebus_moloch	1.283	2.954	0	0	1	0	0	0	0	2.954	0	0
Callimico_goeldii	1.431	2.681	0	0	1	0	0	0	0	2.681	0	0
Callithrix_jacchus	1.358	2.447	0	0	1	0	0	0	0	2.447	0	0
Cebuella_pygmaea	1.09	2.146	0	0	1	0	0	0	0	2.146	0	0
Cebus_albifrons	1.601	3.491	0	0	1	0	0	0	0	3.491	0	0
Cercopithecus_ascanius	1.998	3.531	0	0	1	0	0	0	0	3.531	0	0
Cercopithecus_mitis_mitis	2.068	3.799	0	0	1	0	0	0	0	3.799	0	0
Cheirogaleus_major	2.199	2.653	0	0	1	0	0	0	0	2.653	0	0
Cheirogaleus_medius	2.009	2.248	0	0	1	0	0	0	0	2.248	0	0
Daubentonia_madagascariensis	2.836	3.447	0	0	1	0	0	0	0	3.447	0	0
Erythrocebus_patas	1.714	3.892	0	0	1	0	0	0	0	3.892	0	0
Eulemur_fulvus_fulvus	2.316	3.146	0	0	1	0	0	0	0	3.146	0	0
Galago_senegalensis	1.899	2.27	0	0	1	0	0	0	0	2.27	0	0
Galagoides_demidoff	1.92	1.908	0	0	1	0	0	0	0	1.908	0	0
Gorilla_gorilla	2.5	5.021	0	0	1	0	0	0	0	5.021	0	0
Homo_sapiens	2.057	4.813	0	0	1	0	0	0	0	4.813	0	0
Hylobates_lar	1.642	3.756	0	0	1	0	0	0	0	3.756	0	0
Indri_indri	2.225	3.796	0	0	1	0	0	0	0	3.796	0	0
Lagothrix_lagotricha	1.866	3.716	0	0	1	0	0	0	0	3.716	0	0
Lepilemur_mustelinus	2.053	2.961	0	0	1	0	0	0	0	2.961	0	0
