Species_TTOL	MOB	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Anourosorex_squamipes	1.509	1.307	0	0	0	1	0	0	0	0	1.307	0
Atelerix_algirus	2.466	2.867	0	0	0	1	0	0	0	0	2.867	0
Blarina_brevicauda	1.461	1.267	0	0	0	1	0	0	0	0	1.267	0
Chrysochloris_asiatica	1.768	1.69	0	0	0	0	0	0	0	0	0	0
Chrysochloris_stuhlmanni	1.782	1.626	0	0	0	0	0	0	0	0	0	0
Crocidura_attenuata	1.294	0.968	0	0	0	1	0	0	0	0	0.968	0
Crocidura_flavescens	1.549	1.467	0	0	0	1	0	0	0	0	1.467	0
Crocidura_hildegardeae	1.29	0.996	0	0	0	1	0	0	0	0	0.996	0
Crocidura_denti	1.288	1.079	0	0	0	1	0	0	0	0	1.079	0
Crocidura_russula	1.233	1.049	0	0	0	1	0	0	0	0	1.049	0
Crocidura_suaveolens	1.212	1.013	0	0	0	1	0	0	0	0	1.013	0
Cryptotis_parvus	1.312	0.991226075692495	0	0	0	1	0	0	0	0	0.991226075692495	0
Desmana_moschata	2.151	2.646	0	0	0	1	0	0	0	0	2.646	0
Echinops_telfairi	1.856	1.942	0	0	0	0	0	0	0	0	0	0
Echinosorex_gymnura	2.631	2.921	0	0	0	1	0	0	0	0	2.921	0
Erinaceus_europaeus	2.526	2.929	0	0	0	1	0	0	0	0	2.929	0
Euroscaptor_micrura	1.726	1.617	0	0	0	1	0	0	0	0	1.617	0
Galemys_pyrenaicus	1.593	1.778	0	0	0	1	0	0	0	0	1.778	0
Geogale_aurita	1.068	1	0	0	0	0	0	0	0	0	0	0
Hemicentetes_semispinosus	1.969	2.062	0	0	0	0	0	0	0	0	0	0
Hemiechinus_auritus	2.242	2.371	0	0	0	1	0	0	0	0	2.371	0
Hylomys_suillus	1.933	1.756	0	0	0	1	0	0	0	0	1.756	0
Limnogale_mergulus	1.635	1.964	0	0	0	0	0	0	0	0	0	0
Microgale_dobsoni	1.728	1.504	0	0	0	0	0	0	0	0	0	0
Microgale_talazaci	1.835	1.683	0	0	0	0	0	0	0	0	0	0
Micropotamogale_lamottei	1.533	1.808	0	0	0	0	0	0	0	0	0	0
Micropotamogale_ruwenzorii	1.528	1.986	0	0	0	0	0	0	0	0	0	0
