Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m7-fab-005.txt
Log File Name:                   HIP_d1_m7-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2351757517
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m7-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
2350000	464.439811	1	-0.762419158389	0.861240696980	0.063608973740	-0.010650788292	0.000092445258	0.960140261869	N\A	0.036813169957	0.033117760014	0.004547179412	41	8	
2400000	463.554673	1	-0.700439063327	0.919099682394	0.013250848710	-0.009381477957	0.000131395438	0.960328690671	N\A	0.036640991217	0.031245525779	0.004018511333	36	8	
2450000	462.377231	1	-0.783616415630	0.876360425213	0.066725312148	-0.014944188738	0.000115817317	0.958340323626	N\A	0.035182080119	0.032156936442	0.004537890555	35	7	
2500000	464.429101	1	-0.882310757926	0.903777767902	0.068609588325	-0.016682953662	0.000108846556	0.960096368737	N\A	0.036350345393	0.032096238360	0.004115737563	43	7	
2550000	458.514428	1	-0.963502642145	0.986145756149	-0.013612126616	-0.013385781043	0.000118062453	0.958954389345	N\A	0.038772107436	0.034432113484	0.004081267380	36	8	
2600000	476.261514	1	-0.922940983702	0.942582051331	0.026953445459	-0.014854354842	0.000122102565	0.964603384753	N\A	0.031854701100	0.027831545016	0.003688612555	36	6	
2650000	464.136895	1	-0.668778203755	0.824779744649	0.104662275277	-0.016605905705	0.000074966605	0.959811372915	N\A	0.037032815036	0.032238144078	0.004160260057	36	7	
2700000	455.594451	1	-0.839931437092	0.892871285148	0.074773003845	-0.017080077730	0.000108286261	0.949616448836	N\A	0.038549484306	0.035623492929	0.004897062041	43	4	
2750000	447.144123	1	-0.859283683574	0.903744662126	0.074047224792	-0.021003207876	0.000117644240	0.953370750413	N\A	0.039204250486	0.035671803506	0.004768384859	47	5	
2800000	465.672815	1	-0.953202036176	0.947259763182	0.057619828551	-0.021051556521	0.000144190721	0.954775749829	N\A	0.034892336020	0.031092196955	0.004081633174	36	6	
2850000	448.307037	1	-0.927015443602	0.958391125138	-0.006224594805	-0.011297792065	0.000099958743	0.957408208120	N\A	0.037216398609	0.034202488504	0.004631947212	42	6	
2900000	446.131451	1	-0.822952287285	0.875914669461	0.088649687792	-0.017020971319	0.000107139701	0.952617834748	N\A	0.040091716515	0.036203546061	0.004863562124	33	3	
2950000	462.846728	1	-0.929786563936	0.930289245152	0.061029818521	-0.021338640706	0.000125588483	0.954994840471	N\A	0.036539432891	0.034227635690	0.004758683402	41	4	
3000000	463.199253	1	-0.741842857431	0.871633423423	0.025429360976	-0.003936307267	0.000127036107	0.962215736374	N\A	0.033298736110	0.030084401070	0.004071209042	42	6	
3050000	446.518686	1	-0.832741033381	0.895855937017	0.047053144122	-0.011751831913	0.000122635199	0.957778199471	N\A	0.036373870508	0.030807605502	0.004228793610	42	3	
3100000	451.462476	1	-0.790935048316	0.860082870138	0.099331868443	-0.018948087501	0.000128281061	0.973205949721	N\A	0.030640273652	0.027285133336	0.003192647255	31	4	
3150000	458.859856	1	-0.928534325858	0.951144572853	0.015548578141	-0.014980111230	0.000124852695	0.959440422019	N\A	0.034543875283	0.030902950705	0.004301917388	31	4	
3200000	451.020505	1	-0.852798969222	0.908582043552	0.035042693235	-0.012359394223	0.000128891506	0.951612941578	N\A	0.038903218154	0.034033130963	0.004579597546	33	3	
3250000	469.441889	1	-0.919387550190	0.924374810528	0.078702395534	-0.022091730943	0.000079176453	0.965913296746	N\A	0.035194967815	0.030028681935	0.003736353167	42	8	
3300000	465.668783	1	-0.867297822533	0.915454405605	0.018245192316	-0.006142072086	0.000078259480	0.960067257896	N\A	0.035805604108	0.031343535619	0.004145047136	37	8	
3350000	462.966612	1	-0.800073544918	0.857154128608	0.094585109478	-0.015522125134	0.000061610423	0.963853757415	N\A	0.035747767690	0.032193241122	0.004171254897	43	9	
3400000	465.375949	1	-0.817124244821	0.887433398166	0.066699176923	-0.014799994736	0.000085331106	0.958545324122	N\A	0.033951821083	0.029944471001	0.003968601323	39	6	
3450000	443.489730	1	-0.810639275916	0.882616936310	0.090065414887	-0.020322230479	0.000107287361	0.953513087112	N\A	0.038589193917	0.035755476027	0.004965398107	43	6	
3500000	448.773875	1	-0.821121457793	0.886721494073	0.065098580105	-0.015853604781	0.000093336082	0.958288893008	N\A	0.036840656921	0.033752764710	0.004919896650	44	3	
3550000	468.994092	1	-0.834639262890	0.938438471654	-0.003140910517	-0.008919104512	0.000014897176	0.957370753783	N\A	0.037497719332	0.033923917776	0.004604306974	39	9	
3600000	465.373668	1	-0.906794880924	0.964497012072	0.002170206801	-0.012349450585	0.000008510036	0.954975871655	N\A	0.036280505322	0.032923961734	0.004337819268	36	6	
3650000	474.544397	1	-0.914053267366	0.934011018944	0.036378926163	-0.014688572150	0.000081773129	0.962912091026	N\A	0.032943857763	0.029993509222	0.004300665784	40	8	
3700000	459.935285	1	-0.834854829019	0.898875168007	0.037937667057	-0.010131483441	0.000099911544	0.960787733365	N\A	0.034006047364	0.031601449016	0.004401783795	40	5	
3750000	466.576287	1	-0.936534152895	0.930246762589	0.059916838697	-0.018514890520	0.000164443761	0.974151563111	N\A	0.030493784884	0.027645811065	0.003964851900	32	6	
3800000	451.139395	1	-0.831869559058	0.881028285219	0.075953695981	-0.014498353169	0.000090728314	0.956259947219	N\A	0.039878913310	0.033927641662	0.004102861116	38	5	
3850000	459.911299	1	-0.900207377644	0.920332340782	0.047113243973	-0.012790576180	0.000119582046	0.972046313297	N\A	0.035030564078	0.026094382014	0.003432557788	47	6	
3900000	444.416701	1	-0.870085796069	0.920409436580	0.020515554960	-0.008178703468	0.000112352660	0.953476835469	N\A	0.038569232769	0.034820390433	0.004794281443	28	5	
3950000	465.407987	1	-0.943996074220	0.969812910567	0.012315555345	-0.016938538307	0.000064144379	0.957720193184	N\A	0.036270434021	0.032288752819	0.004225477280	39	9	
4000000	458.074415	1	-0.752018623873	0.842197313815	0.141709379583	-0.024642868435	0.000117057964	0.960362610625	N\A	0.036261377428	0.032985541391	0.004472983141	42	11	
4050000	469.037431	1	-0.932845280152	0.968075685004	-0.041133359660	-0.002479062706	0.000111483893	0.955115823850	N\A	0.036475833248	0.032198527066	0.004466750383	32	11	
4100000	479.482568	1	-0.927853978584	0.965788460832	-0.000753598060	-0.010398830093	0.000026297578	0.970251524301	N\A	0.024069544457	0.021855585513	0.003487258878	41	11	
4150000	489.593721	1	-0.916899795562	0.956099177301	0.006628670099	-0.012097660679	0.000024417752	0.962398382675	N\A	0.033922390541	0.030044191202	0.004253805565	43	13	
4200000	493.366708	1	-0.886921931239	0.943946335006	0.033068213017	-0.016314264753	0.000100391832	0.971375807952	N\A	0.031448867258	0.026918293856	0.003840161652	33	16	
4250000	462.035922	1	-1.110264784081	1.034843013619	-0.053743098606	-0.008366655342	0.000154081317	0.957737132088	N\A	0.036888563638	0.032614175975	0.004161307955	41	7	
4300000	463.064292	1	-0.822705420560	0.894893910876	0.071438600700	-0.020603821176	0.000095898419	0.958839970011	N\A	0.036607775782	0.032464180772	0.004187718006	40	7	
4350000	461.577653	1	-0.818226576298	0.884968776028	0.078061756890	-0.018846856616	0.000109676117	0.953654269041	N\A	0.037427864580	0.033459499938	0.004714515437	31	6	
