Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m2-glob-002.txt
Log File Name:                   CEREB_d1_m2-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2505878637
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m2-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1500000	362.477303	1	1.252207591089	0.478630359245	0.101879877621	0.022963727885	0.298491834739	-0.281614768686	-0.547753564493	0.172904754698	0.197788050504	0.182606062441	0.202375883077	0.172201409748	0.000340256089	0.996665644741	N\A	0.097613372013	0.140208734616	0.123493767068	0.161468609294	0.159863931407	0.218528935875	0.098469436270	0.098973606385	0.100862975021	0.107119615731	0.099636444790	33	8	0.110840701341	Global Trend	
1550000	401.321596	1	1.013657499102	0.653709144260	0.114102795894	-0.078895752741	0.053122935083	0.246589866937	0.159944791095	0.024209705234	0.041120442023	0.097816446761	-0.105190908629	-0.029600385180	0.000341242856	0.955758227672	N\A	0.081550733341	0.123671960806	0.108656352790	0.155222205417	0.118223349405	0.208315299817	0.082657960894	0.082547849596	0.088110994924	0.084138223799	0.084256033087	34	12	0.003933584517	Global Trend	
1600000	395.945141	1	0.936369408399	0.740600419149	0.254828288760	0.163115916129	0.666670333632	-0.030841426151	-0.409201193965	-0.075560167646	-0.065107560936	-0.106741430592	-0.037676729084	-0.099159827614	0.000336162782	0.999602709326	N\A	0.041539349920	0.107793207243	0.088685785709	0.139965760069	0.110645749469	0.189065341389	0.046212060601	0.044219952757	0.050512624728	0.051804482680	0.046571769626	36	16	-0.426202616864	Global Trend	
1650000	393.620553	1	0.504239177366	0.977571032107	0.569916065711	0.418218236710	0.916702671000	0.839472426850	0.494360562175	-0.296823550189	-0.297728844172	-0.287720828594	-0.393561416082	-0.389113230267	0.000250848104	0.950074121726	N\A	0.077715502246	0.242148029616	0.232649062435	0.247894733248	0.221523621338	0.302389663117	0.079330404215	0.079029229903	0.082995619042	0.082256156065	0.080422061619	44	9	0.000045883523	Global Trend	
1700000	391.734389	1	0.125212494354	1.120418312626	0.999659512288	0.849968704473	1.601037701151	1.090268900998	0.421543745314	-0.443695833970	-0.389544595736	-0.558650815456	-0.543527409007	-0.471086889647	0.000548033469	0.948546103589	N\A	0.063665734233	0.208832950226	0.193346823107	0.223401064428	0.196554040336	0.317290779485	0.066550746613	0.065101189751	0.070993119517	0.068738586717	0.068516906633	33	12	-0.000023146305	Global Trend	
1750000	405.193402	1	0.260259543018	1.262618231787	0.087050470371	-0.075679848279	1.254872952840	0.804863941990	0.808786853899	-0.623201274983	-0.519373386359	-0.667740811724	-0.700030064789	-0.632498235434	0.000196088653	0.999915950665	N\A	0.040128379589	0.100058487128	0.080857094879	0.124914432247	0.098881604206	0.166320766769	0.044040567026	0.042653264069	0.050049947740	0.046120213028	0.045264669453	50	16	0.376123310499	Global Trend	
1800000	391.690070	1	-0.012573135915	1.324809908417	-0.485864199978	-0.620265876707	1.642571250478	1.150010076479	1.301256536538	-0.629068377776	-0.611874428404	-0.657193231517	-0.685847987386	-0.731439342478	0.000389751845	0.984917286513	N\A	0.045889828396	0.107537334742	0.092006688219	0.147898994964	0.115064117016	0.219850035059	0.048639862554	0.048393006539	0.054839752688	0.056979849910	0.052391346589	32	19	-0.060500429982	Global Trend	
1850000	392.425945	1	-0.043905848739	1.188499211117	-0.385163164861	-0.483415909817	1.396052685246	0.965808114956	1.056433287447	-0.549423179841	-0.472954896352	-0.557906263206	-0.605101991900	-0.543959596293	0.000465977803	0.958068406333	N\A	0.068583539954	0.131903703280	0.114752378581	0.152200422649	0.128406343866	0.222543997023	0.069566626572	0.070277427658	0.074099719473	0.073516683221	0.071879659637	32	15	-0.003578347379	Global Trend	
1900000	389.517848	1	0.256016436693	1.116353283245	-0.176566569110	-0.482666110276	1.417843085743	0.816837641372	0.573452085618	-0.488099381992	-0.352711950162	-0.542430880160	-0.436553890340	-0.461200002896	0.000323102821	0.978551773274	N\A	0.069612038318	0.110254978066	0.104792968699	0.142062963941	0.136252182052	0.204260561672	0.071004050378	0.071580200392	0.073474284098	0.078449541714	0.071621422391	34	14	-0.033604068195	Global Trend	
1950000	388.363864	1	-0.440105939045	1.103820044210	-0.505185958459	-0.751234941501	1.209205182157	0.687392791568	1.480498339125	-0.450487760057	-0.407986820941	-0.456529910462	-0.468212003643	-0.459076993586	0.000355478807	0.981329368258	N\A	0.048669024953	0.114311961289	0.093553007980	0.129953575789	0.107692764667	0.199693289582	0.052056143222	0.051215470229	0.054646648095	0.054346551831	0.052961273620	47	13	-0.040644572276	Global Trend	
