Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-bm-004.txt
Log File Name:                   MES_d1_m2-bm-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            443392144
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-bm-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1550000	354.847551	1	1.008679548741	0.537961093599	-0.019778822994	-0.116040804283	0.375406741785	-0.163792036991	-0.206652909992	0.098154510364	0.049114050070	-0.049924331266	-0.015856610353	-0.033641642452	0.000318676496	0.897129891059	N\A	0.054655671616	0.233252845087	0.210982973799	0.221151966661	0.214337391346	0.290618192051	0.060814785536	0.058690273342	0.061011217550	0.063403288391	0.057950653017	
1600000	354.617137	1	0.621821417290	0.507403230607	0.033678899885	-0.058057516153	0.414002617914	-0.205433942817	0.613825425818	0.123318058000	0.126662571314	-0.034350130103	0.015138924188	0.035407392012	0.000319103686	0.896991992411	N\A	0.054692292648	0.233409131885	0.211124339077	0.221300145487	0.214481004190	0.290812915448	0.060855533370	0.058729597685	0.061052096999	0.063445770603	0.057989481791	
1650000	357.573827	1	0.595146817433	0.680526136049	0.273606697920	0.239533559663	0.775987122447	0.145886623188	0.211081843702	-0.077691348399	-0.069584373008	-0.211200446875	-0.070700745798	-0.152114009825	0.000313665153	0.898747573657	N\A	0.054224225182	0.231411570334	0.209317495194	0.219406215038	0.212645433302	0.288324080955	0.060334719670	0.058226978164	0.060529601068	0.062902789140	0.057493196327	
1700000	356.087408	1	0.310662335590	0.623190223337	0.223409482417	0.311725413167	0.708438683841	0.356023087927	0.824558638147	0.024136605668	-0.023871641021	-0.136320546187	-0.049960471573	-0.081096798585	0.000316387585	0.897868761142	N\A	0.054459034241	0.232413659954	0.210223910068	0.220356317449	0.213566259263	0.289572620812	0.060595989217	0.058479120485	0.060791714518	0.063175179289	0.057742161127	
1750000	354.081193	1	0.515685676157	0.602712556674	0.696062726990	0.487648629420	0.787549676249	0.164746375150	0.299190840584	-0.040960588382	0.009923809443	-0.086693540837	0.008552877921	-0.070805229254	0.000320099548	0.896670523851	N\A	0.054777568331	0.233773061102	0.211453522065	0.221645194492	0.214815420857	0.291266348079	0.060950418717	0.058821168295	0.061147288826	0.063544694623	0.058079898419	
1800000	356.242740	1	0.577742287262	0.701762257217	0.330837407278	0.403089153552	0.651501081946	0.249112934625	0.208467829657	-0.074393078018	-0.085737136038	-0.188617965218	-0.151749787649	-0.177220163816	0.000316101987	0.897960953521	N\A	0.054434449004	0.232308738061	0.210129005618	0.220256838778	0.213469845927	0.289441894815	0.060568633485	0.058452720401	0.060764270426	0.063146659195	0.057716093740	
1850000	356.027155	1	0.236799017462	0.631809278275	0.131120282837	0.376043715215	0.984500690078	0.255310013463	1.017548272062	0.019434401612	-0.021161639593	-0.169800280555	-0.081983588422	-0.116913747162	0.000316498438	0.897832977287	N\A	0.054468573848	0.232454371928	0.210260735056	0.220394917334	0.213603669731	0.289623345338	0.060606603836	0.058489364290	0.060802363421	0.063186245705	0.057752275840	
1900000	355.518425	1	0.510434371006	0.560255482403	0.172682543600	0.108263327304	0.722045550150	0.167912690433	0.675328660211	0.067272280023	0.015329101565	-0.103794828604	-0.000994705569	-0.066389419633	0.000317435941	0.897530347637	N\A	0.054549185068	0.232798394715	0.210571912186	0.220721092631	0.213919794265	0.290051975825	0.060696299085	0.058575926113	0.060892348386	0.063279758717	0.057837746802	
1950000	357.136908	1	0.273839909560	0.591802486810	0.351101346126	0.428157392346	1.056787572056	0.207863893623	0.917912309572	0.053281729821	0.023636175561	-0.127769284671	-0.035601994752	-0.077797013315	0.000314462946	0.898490042661	N\A	0.054293139829	0.231705675907	0.209583520967	0.219685062766	0.212915688618	0.288690517771	0.060411400266	0.058300979990	0.060606529343	0.062982733548	0.057566265576	
2000000	359.193839	1	0.478274984852	0.561283933462	0.270507294639	0.232389635705	0.547210478330	0.132433491677	0.759868196497	0.043931951706	0.079326332024	-0.082542273325	0.001414404215	-0.070442805632	0.000310724713	0.899696760065	N\A	0.053969465413	0.230324337497	0.208334066173	0.218375386540	0.211646368747	0.286969458073	0.060051251180	0.057953412401	0.060245216974	0.062607255180	0.057223078067	
2050000	357.956771	1	0.636690745185	0.537746270936	0.184579653249	-0.076263161378	0.461649112564	-0.092813754166	0.511213454071	0.055931742799	0.094331053154	-0.050449569783	0.018987486021	-0.015140216498	0.000312967580	0.898972753063	N\A	0.054163895886	0.231154104286	0.209084610779	0.219162106021	0.212408846259	0.288003294654	0.060267591903	0.058162195448	0.060462256479	0.062832804167	0.057429230010	
