Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m8-VR-005.txt
Log File Name:                   MED_d1_m8-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1932368563
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m8-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
2400000	596.775068	1	-0.325785603585	0.745366806298	-0.034224767497	0.252139057979	0.000073608834	0.983774224063	N\A	0.029766183792	0.003252079912	0.014510807489	42	37	
2450000	579.526260	1	-0.584967591012	0.863550549359	-0.036108300005	0.190361745571	0.000063946576	0.980155445333	N\A	0.038894693975	0.004258821141	0.016398861147	48	28	
2500000	592.847538	1	-0.421768168514	0.790390236964	-0.030090391054	0.195843246366	0.000068883086	0.981588844306	N\A	0.036856221380	0.004200094055	0.016208755764	49	26	
2550000	587.901660	1	-0.453641974376	0.803439773550	-0.034032500522	0.212003640535	0.000078358985	0.978452913945	N\A	0.039168759268	0.004433593528	0.016436810435	57	35	
2600000	605.280424	1	-0.469757488977	0.822164492925	-0.039366460064	0.223529337730	0.000097778615	0.984125215619	N\A	0.031029023588	0.002929947287	0.011769511211	36	30	
2650000	605.980164	1	-0.337755658424	0.727195247552	-0.022019765828	0.210819264085	0.000060015324	0.981755435260	N\A	0.038016159814	0.005225832471	0.017910639364	46	30	
2700000	610.668795	1	-0.502756478836	0.846882075079	-0.038816274411	0.201218237465	0.000036284069	0.983027615796	N\A	0.034565955142	0.003536319160	0.014833968705	40	32	
2750000	588.438929	1	-0.443802562071	0.790814251955	-0.031548579724	0.204447196485	0.000064885950	0.981124988350	N\A	0.036561809139	0.004087817927	0.016540181459	42	33	
2800000	617.808149	1	-0.370975957318	0.756279865473	-0.031156323354	0.231793749039	0.000063662936	0.984908106976	N\A	0.034086525853	0.003986813447	0.015788408642	48	24	
2850000	594.076832	1	-0.459701862109	0.812254570947	-0.035795730258	0.217144778219	0.000063520352	0.982409426191	N\A	0.039228260926	0.004677772294	0.017643098514	44	26	
2900000	598.559255	1	-0.248693189618	0.687503691144	-0.023932820377	0.240664273807	0.000053337744	0.979221644839	N\A	0.039839960723	0.005089514650	0.018404965537	51	20	
2950000	612.317052	1	-0.382119623650	0.760474111881	-0.034138638470	0.240122449453	0.000046655672	0.983019846649	N\A	0.031776957948	0.003558362119	0.014032181923	52	30	
3000000	609.406481	1	-0.427208621927	0.784618949672	-0.029689809781	0.204527126426	0.000073211030	0.979997080711	N\A	0.037313802191	0.004328551404	0.016948634324	58	29	
3050000	601.054391	1	-0.403551740023	0.776578628987	-0.021362383602	0.170776172495	0.000055800628	0.980318609052	N\A	0.037166422536	0.004525363703	0.015470681916	61	32	
3100000	611.986090	1	-0.480967616565	0.816153875370	-0.039714273832	0.234168519841	0.000062895630	0.987296540608	N\A	0.032251632159	0.003780590273	0.015092792883	48	28	
3150000	612.583374	1	-0.504414156449	0.842418067019	-0.033012428548	0.182010300986	0.000050877533	0.985499808211	N\A	0.034746943668	0.003821714824	0.015256281038	55	17	
3200000	603.611393	1	-0.384742338935	0.787969342511	-0.034184172018	0.214129396808	0.000088071693	0.984674598048	N\A	0.036418861833	0.004363264797	0.016419474759	47	30	
3250000	628.066791	1	-0.511431194666	0.847704763701	-0.039588734558	0.204602590220	0.000081560025	0.986674070737	N\A	0.033926214679	0.003993157952	0.015875656328	37	26	
