Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m9-fab-001.txt
Log File Name:                   AMY_d1_m9-fab-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            554898647
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m9-fab-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
1000000	513.052287	1	-1.667597548033	1.278495377714	-0.073520463013	-0.017568972585	0.010010922182	0.000108710536	0.967850739671	N\A	0.086100014756	0.012295397124	0.034960740077	0.005723092427	29	3	
1050000	513.380232	1	-1.927070232445	1.443231511700	-0.101192914037	-0.040057763760	0.022396709197	0.000115188940	0.965200652152	N\A	0.095526420453	0.013282283358	0.041419592646	0.007243477699	36	5	
1100000	513.530933	1	-1.781772492161	1.331006353805	-0.081556508996	-0.007145347324	0.010693479999	0.000097306168	0.966440520527	N\A	0.088193570338	0.012707912169	0.036157263214	0.006680756155	34	4	
1150000	506.070023	1	-1.493294517192	1.080945761954	-0.030165163952	0.026753248399	-0.010801700443	0.000169736978	0.961536378634	N\A	0.083606825740	0.010694805139	0.039746286346	0.006469389921	32	3	
1200000	500.067552	1	-1.947850177522	1.473158090856	-0.108402604781	-0.025207099370	0.018621892147	0.000127536552	0.958630583903	N\A	0.105075900060	0.015499315319	0.043653500448	0.008123277650	41	4	
1250000	506.324921	1	-1.910994194183	1.442333972646	-0.097485316259	-0.054113472809	0.017324750684	0.000097710656	0.965492123249	N\A	0.093963118279	0.013512474890	0.040339506934	0.007547924872	29	3	
1300000	502.465257	1	-1.953784009272	1.456652939788	-0.096161580909	-0.108729714702	0.028277333607	0.000102954521	0.961891531602	N\A	0.107574118766	0.015377305083	0.045181178098	0.008597278911	32	4	
1350000	500.279099	1	-1.805820841819	1.350140963359	-0.084797122593	-0.038789674674	0.018478096883	0.000107586665	0.961073768269	N\A	0.093938846571	0.013287549886	0.041704231421	0.007563169822	25	5	
1400000	502.680262	1	-1.515958361838	1.158001466985	-0.064845193885	0.057458981472	0.004158775740	0.000119222383	0.963573116456	N\A	0.102993567453	0.013836434462	0.045991999424	0.008167943265	35	3	
1450000	507.457528	1	-1.598129793664	1.189890750701	-0.052635957905	-0.009879925601	0.002399348874	0.000109165185	0.965135388463	N\A	0.092812454167	0.013445455844	0.035447494102	0.006709683298	32	2	
1500000	515.228986	1	-1.656499109776	1.242294281039	-0.063936292267	-0.004577413358	0.004213124950	0.000107393329	0.962873157365	N\A	0.079760954508	0.009772035804	0.039290988702	0.006162777686	28	5	
1550000	506.409589	1	-1.428918847372	1.113869669311	-0.052284263944	0.007468057890	0.008362008094	0.000110938408	0.962865806428	N\A	0.094705640104	0.013327160984	0.041141395200	0.007487241253	31	5	
1600000	515.676712	1	-1.669693719902	1.267819608332	-0.078215463495	0.002920604931	0.011372457951	0.000117990241	0.959164631238	N\A	0.095607972849	0.013550005538	0.041595424973	0.007323233503	28	5	
1650000	497.026332	1	-1.344664358529	1.011681655285	-0.041708059932	0.119787645755	-0.009626583953	0.000119020785	0.955495419790	N\A	0.096991410642	0.013228415945	0.043678002370	0.007363616575	26	2	
1700000	490.383950	1	-1.921977348990	1.427095193947	-0.089939781056	-0.060705599006	0.016683580114	0.000156415226	0.957371222501	N\A	0.088074496134	0.011550286151	0.042578388610	0.006979254604	34	4	
1750000	514.936272	1	-1.684510719699	1.260739537824	-0.073630375928	0.029880657190	0.004114473977	0.000097914340	0.970261788834	N\A	0.075662997967	0.010546283481	0.030637286704	0.005815590111	34	4	
1800000	511.089545	1	-1.655817778803	1.245488336575	-0.063595509905	-0.035600932637	0.012132882879	0.000108184867	0.967995540087	N\A	0.086663877578	0.012681390380	0.035003102820	0.006692560265	28	3	
1850000	497.064795	1	-1.653010942854	1.239525451072	-0.070977001531	0.029581282573	0.006900929109	0.000137108358	0.960681336179	N\A	0.103387639740	0.014368928686	0.044731302263	0.007933466498	37	7	
1900000	511.710509	1	-1.455071856498	1.102989987418	-0.048237267124	0.054735590751	-0.006304209323	0.000117418567	0.977585965515	N\A	0.079946989574	0.010335167242	0.035958197951	0.006288249040	29	4	
1950000	501.176114	1	-1.506794108107	1.129567040454	-0.051070848317	0.027376827332	0.004127816960	0.000085195597	0.965077527246	N\A	0.087816531517	0.012288713312	0.038970026579	0.006874144827	32	2	
2000000	500.208974	1	-1.728429978062	1.258876058257	-0.067006497777	0.019360296853	0.001868611303	0.000120712998	0.960283672553	N\A	0.094862158886	0.013308611696	0.041328134781	0.007235105209	30	2	
2050000	510.010562	1	-1.701355151414	1.260984686945	-0.073523438031	0.020991407651	0.008593844906	0.000103076226	0.965971235524	N\A	0.093394884300	0.013434621456	0.039285552980	0.007204323558	32	2	
2100000	503.689015	1	-1.786134201427	1.295927108281	-0.062598159234	-0.030989703723	0.000778192861	0.000112906247	0.970876953922	N\A	0.091670804876	0.013906214061	0.031296716784	0.006588224431	35	2	
2150000	519.472573	1	-1.931329969458	1.410977627288	-0.091979038888	-0.017257029533	0.013256180802	0.000109126032	0.970616074406	N\A	0.093022524147	0.013032089681	0.038245790498	0.006783599203	38	8	
2200000	517.097430	1	-1.547421560073	1.152746799753	-0.053451044160	0.026366016609	0.002576338468	0.000094895382	0.964801918180	N\A	0.075739813640	0.009184625339	0.037573916950	0.005733718276	28	7	
2250000	509.217309	1	-1.896027994156	1.453775184947	-0.106141296856	-0.047736546203	0.024056308190	0.000121702284	0.975339264295	N\A	0.057358228188	0.007450033045	0.029022370337	0.005246801075	49	4	
2300000	492.731889	1	-1.648957662819	1.267855766302	-0.073974979745	-0.009191946338	0.010018911705	0.000107312412	0.961995269678	N\A	0.086999807988	0.012002724592	0.038221364024	0.006586959979	34	2	
2350000	516.589504	1	-1.585716840299	1.191762934830	-0.055098444162	-0.014137654912	0.006319919969	0.000110871134	0.965311227393	N\A	0.071183850183	0.009190260471	0.031518001165	0.005337032878	36	5	
2400000	512.998699	1	-1.723545958356	1.308098819852	-0.088067158067	0.018617409857	0.013975720705	0.000114969018	0.960238655086	N\A	0.088209464776	0.012226348897	0.038818179773	0.006752798292	38	4	
2450000	511.121703	1	-1.456979353962	1.142983667135	-0.071696719779	0.076729661326	0.008168135008	0.000092973772	0.960393717682	N\A	0.093429051613	0.012235994160	0.042986994566	0.007097567201	31	5	
2500000	518.481521	1	-1.695575955569	1.259024442816	-0.064210827233	-0.027669033350	0.009278162344	0.000102738813	0.966149326988	N\A	0.089505727951	0.012657872711	0.039181091546	0.007301274124	29	4	
2550000	513.781132	1	-1.761840388500	1.326746458256	-0.073257518115	-0.033070338660	0.009657785410	0.000029929756	0.962608854540	N\A	0.085488867086	0.011197669025	0.040163155557	0.007004762924	35	7	
2600000	522.504120	1	-1.868897080128	1.396988789360	-0.079788099951	-0.052230623282	0.010865788894	0.000105841410	0.972841105108	N\A	0.066325621972	0.010908870318	0.028973218707	0.006265098053	35	10	
2650000	500.705792	1	-1.713831824544	1.272353588913	-0.067894856471	-0.034653008164	0.011540532084	0.000118298543	0.966338128322	N\A	0.088535679756	0.011361182147	0.040597865542	0.006731720869	43	4	
2700000	495.528043	1	-1.571514555530	1.198754901635	-0.072213628247	0.069956370638	0.000533984381	0.000114725384	0.959897107459	N\A	0.101829093586	0.014410480117	0.043582709997	0.007899681506	31	2	
2750000	504.491035	1	-1.727768466674	1.316237466658	-0.077225238873	-0.056924781247	0.018079045321	0.000089328697	0.962572942027	N\A	0.092850220447	0.013168047824	0.039628865838	0.006886549432	32	5	
2800000	481.633032	1	-1.787641205171	1.408125711874	-0.104332801423	-0.041250235386	0.024305280121	0.000119023673	0.959695659753	N\A	0.084128601886	0.010950676414	0.039802852861	0.006547392434	36	7	
2850000	519.132959	1	-1.679095942223	1.242204325100	-0.073133972890	0.060167245587	0.000215165670	0.000109571037	0.959930967604	N\A	0.107653085389	0.014644533310	0.045918019460	0.007773002276	36	5	
2900000	517.752317	1	-1.786712533030	1.314832165708	-0.075101020397	-0.003162779441	0.005438339632	0.000111640187	0.965791803049	N\A	0.090751022251	0.012592193515	0.040046649212	0.007098302924	33	4	
2950000	501.351300	1	-1.745937134011	1.314636596776	-0.077233859623	-0.023605581560	0.009420724036	0.000074959416	0.960367245119	N\A	0.094704687104	0.013737290552	0.041222206870	0.007907902664	41	3	
3000000	505.477283	1	-1.624192729220	1.229793254618	-0.065785268187	0.005553972471	0.004713507589	0.000107648148	0.963964141743	N\A	0.074997626274	0.011217011461	0.034046076498	0.006533402751	35	2	
3050000	514.547822	1	-1.842192724220	1.386725219674	-0.089447660571	-0.041545697537	0.018058117523	0.000102743015	0.971084205965	N\A	0.093268144575	0.013115278760	0.038719433017	0.006923021853	32	3	
3100000	517.522199	1	-1.691354310256	1.252558802379	-0.067455034584	0.017890373967	0.003012274607	0.000107765870	0.961575877103	N\A	0.087781066642	0.011684365151	0.040885557515	0.006770185663	29	5	
3150000	511.159598	1	-1.711514180023	1.284258520867	-0.074012952736	-0.019812577130	0.012987086212	0.000106533595	0.964999999742	N\A	0.083308928786	0.011367919975	0.038131803271	0.006841162374	41	2	
3200000	517.322665	1	-1.753957076599	1.301883520972	-0.070176792028	-0.028329145836	0.008535346101	0.000087974383	0.965537583465	N\A	0.090243131226	0.012896667169	0.038623858596	0.006788980747	44	3	
3250000	508.339626	1	-1.657017724752	1.259466410762	-0.072687586849	0.001264101704	0.007530386532	0.000086780938	0.965850485854	N\A	0.087376472812	0.011094378335	0.041373992886	0.007186610330	33	4	
3300000	493.742714	1	-1.583211526952	1.194868694831	-0.065056337744	0.011168494543	0.014115388007	0.000099157087	0.961349244239	N\A	0.096114293232	0.013002322856	0.040198312284	0.006494793685	30	7	
3350000	517.035885	1	-1.557380059718	1.185325756154	-0.062151108989	0.012402454781	0.008173841901	0.000105292725	0.961895501471	N\A	0.087224610518	0.011481410879	0.040061523071	0.006540166493	30	3	
3400000	498.541868	1	-1.736546854802	1.303971553781	-0.079569531933	-0.007652119666	0.012415175676	0.000100479005	0.965050976184	N\A	0.068765925587	0.010244279130	0.032101356347	0.006272273098	34	6	
3450000	498.587832	1	-1.781444195044	1.308648605033	-0.083476453027	0.028142391309	0.007078140863	0.000093325723	0.962592841064	N\A	0.094496393885	0.013722849487	0.041771602091	0.008296072245	34	4	
3500000	501.452126	1	-1.795169838731	1.349631116270	-0.090593211158	0.019740360347	0.008670451557	0.000110215614	0.961731482900	N\A	0.090764338367	0.012385758821	0.038508978502	0.007243703264	31	4	
3550000	495.050205	1	-1.848595047108	1.396176809358	-0.094366861429	-0.043002805315	0.024119504706	0.000192460732	0.966457017026	N\A	0.076403404375	0.012352302489	0.032182550146	0.006919207909	32	3	
3600000	506.683712	1	-1.711414392155	1.298836953546	-0.083551835756	0.023018434057	0.008030657905	0.000115047994	0.967572046209	N\A	0.083873602044	0.011860758422	0.035847332214	0.006348835699	35	3	
3650000	513.150325	1	-1.807192492473	1.348544558629	-0.083087832535	-0.034916480757	0.015118824096	0.000079197429	0.964806042380	N\A	0.074401729776	0.011072113417	0.033290804157	0.006234143950	32	4	
3700000	509.607744	1	-1.587734910161	1.219341016350	-0.075920290818	0.046051951686	0.009156271418	0.000096963133	0.970646350383	N\A	0.083783451239	0.012484353261	0.037373748288	0.007039601711	34	4	
3750000	520.398647	1	-1.336213878806	1.053823151093	-0.046880599717	0.039160215920	0.005773212210	0.000093072144	0.965652939420	N\A	0.084620069072	0.011175205860	0.037537727251	0.006356357121	34	6	
3800000	505.367577	1	-1.754811894014	1.281923005774	-0.062160691380	-0.028316180973	0.003122745598	0.000118579936	0.960379586223	N\A	0.083815213191	0.010186043698	0.038971863493	0.006100497403	36	5	
3850000	499.126432	1	-1.510915250066	1.151812330252	-0.058725597152	0.041272505144	0.001735564453	0.000104895631	0.959925091466	N\A	0.099308618635	0.014058547790	0.042978525832	0.008134913901	30	4	
3900000	508.988651	1	-2.055420470167	1.545472857764	-0.113183556927	-0.078922810903	0.024127286734	0.000087155289	0.973264537013	N\A	0.085444776733	0.012531899674	0.031702513091	0.006349394219	40	2	
3950000	497.295997	1	-1.730384521650	1.304047614598	-0.073367311398	-0.053441579387	0.018249937299	0.000138671781	0.965749059599	N\A	0.088709572408	0.012658251797	0.040028464551	0.007169442070	26	2	
4000000	500.319276	1	-1.508129066134	1.132834204063	-0.055762444100	0.052393832033	0.001995281401	0.000121265302	0.963872100217	N\A	0.092818777714	0.013673191190	0.035839303635	0.007000683571	34	2	
4050000	502.636293	1	-1.512834448654	1.133540865698	-0.057182802373	0.056125294058	0.003515222757	0.000145671689	0.958645166612	N\A	0.092284099790	0.013336755057	0.040436115962	0.007391365161	28	4	
4100000	511.096666	1	-1.709186942204	1.250929804515	-0.059164262902	-0.010448164530	-0.002098604233	0.000080980968	0.961872493516	N\A	0.083518926127	0.010051108074	0.040156037204	0.006211115761	36	4	
4150000	509.694499	1	-1.834678384669	1.352917175667	-0.085144106547	-0.033138808346	0.015777508356	0.000095042159	0.969021474468	N\A	0.073861482555	0.011109251445	0.031915059861	0.005965080762	46	6	
4200000	507.985106	1	-1.583303126164	1.196166105335	-0.060394283884	-0.008296093392	0.010629759467	0.000124360806	0.971590565907	N\A	0.092773073529	0.013061597858	0.039241593670	0.007029890909	36	3	
4250000	510.492914	1	-1.695164943945	1.291681385892	-0.073036738613	-0.045286902663	0.016039212153	0.000114536430	0.963688580228	N\A	0.098381243687	0.014052589815	0.041499132943	0.007479390071	31	2	
4300000	505.928692	1	-1.596304933578	1.216581233509	-0.070224647494	0.023481097083	0.009587808843	0.000115138757	0.962619506207	N\A	0.100133788491	0.014701894174	0.041997471802	0.007829164336	32	3	
4350000	507.647195	1	-1.681926693060	1.260653966958	-0.070884087456	-0.004046348025	0.010387780103	0.000119428105	0.960922047959	N\A	0.092442550379	0.012592743367	0.041644375155	0.007033100879	22	4	
4400000	496.224317	1	-1.639004816243	1.222700428083	-0.070726503571	0.052758520929	0.003766358625	0.000089124614	0.963959539868	N\A	0.081877452021	0.012397632549	0.035178854940	0.006800470071	34	3	
4450000	510.654186	1	-1.854233674262	1.328846601811	-0.076607376466	-0.007321196468	0.005338619346	0.000070460201	0.962639619073	N\A	0.091463508858	0.013170239031	0.040515657811	0.007753639390	40	4	
4500000	489.161692	1	-1.759996993714	1.344802704488	-0.084077142904	-0.047737100036	0.019210184619	0.000093304555	0.957846605171	N\A	0.094169038108	0.013041397978	0.042838971967	0.007597652932	38	4	
4550000	498.024783	1	-1.593621552812	1.216960224280	-0.060467223578	-0.021785425374	0.004707478287	0.000162157070	0.964411335213	N\A	0.084607567011	0.011189483713	0.037370079521	0.006364288023	27	4	
4600000	507.764146	1	-1.640262030875	1.251797937107	-0.071088617953	-0.016322821504	0.012727154252	0.000100919171	0.971892554617	N\A	0.083650645626	0.012211739997	0.031182834199	0.006406571854	31	2	
4650000	492.519317	1	-1.721406523366	1.285545519759	-0.076391061457	0.021925763767	0.004357402080	0.000116660987	0.960148950561	N\A	0.101720625874	0.013840374526	0.046495937594	0.008228867569	33	5	
4700000	514.178696	1	-1.700700972907	1.273523355872	-0.073347701587	0.003332761626	0.008643162548	0.000098952083	0.967895110079	N\A	0.086988483064	0.012502657552	0.037845122935	0.006843400029	37	5	
4750000	509.828211	1	-1.892187728886	1.397561348361	-0.087398412358	-0.039548714135	0.015346764394	0.000084696928	0.971654018629	N\A	0.081740627785	0.011681928552	0.036597934172	0.006748530266	38	5	
4800000	504.748475	1	-1.611949250152	1.228637957114	-0.066586086339	-0.007438085738	0.010593940115	0.000106041580	0.964156849977	N\A	0.080796758300	0.011878672678	0.035398745473	0.006401930404	27	3	
4850000	511.206035	1	-1.714501652322	1.295406941479	-0.070801623012	-0.037515266963	0.009896840009	0.000085497485	0.967907277063	N\A	0.085736549245	0.011965786889	0.038817068352	0.006866287038	42	5	
4900000	524.182226	1	-1.469186841961	1.134872190063	-0.058147352724	0.042074686387	0.002352963955	0.000101576714	0.966591315338	N\A	0.078536770374	0.009573100961	0.037775674006	0.005755144496	28	5	
4950000	498.868940	1	-1.719528523048	1.283913804305	-0.070987582447	-0.006184615446	0.006344851536	0.000094547224	0.962121882318	N\A	0.093749922575	0.013096909119	0.040934797792	0.007109628160	37	4	
5000000	503.027438	1	-1.518859133730	1.159544090094	-0.060312300958	0.040990220352	0.002298780390	0.000111141727	0.960005256160	N\A	0.098451387741	0.013872604899	0.042999202743	0.007703881608	35	4	
5050000	512.208339	1	-1.722666095824	1.292927558446	-0.069569813930	-0.053478420211	0.015102304484	0.000112991949	0.964119054131	N\A	0.092913192843	0.013105692505	0.039548765705	0.007130021311	30	6	
5100000	516.307393	1	-1.953473379136	1.437575639949	-0.092928003689	-0.047516475626	0.015329355997	0.000120682389	0.974570563673	N\A	0.066868272406	0.011205742276	0.027594013873	0.006490748536	27	3	
5150000	510.393571	1	-1.552810681294	1.174522090354	-0.059058098176	0.010434875465	0.008121058560	0.000108949178	0.960710417262	N\A	0.093960008568	0.013222476002	0.041483513588	0.007344011745	31	3	
5200000	510.673176	1	-1.726083776079	1.268988054946	-0.069184481125	0.002930582704	0.006171138432	0.000105047157	0.968789450045	N\A	0.087192009944	0.012245266691	0.035626834472	0.006783356159	33	2	
5250000	510.218970	1	-1.847957621965	1.339467073675	-0.074764172255	-0.056012774790	0.017960986955	0.000105676511	0.970531263578	N\A	0.065921569022	0.010851284058	0.028612930679	0.006318564179	34	3	
