Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m5-glob-004.txt
Log File Name:                   HIP_d1_m5-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2356507777
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m5-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.233350
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.70 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
2400000	466.510198	1	-0.981457144252	1.056886559869	-0.028084447628	0.000111388114	0.970625552275	N\A	0.026240570790	0.004047133871	48	4	0.005041686872	Global Trend	
2450000	451.713139	1	-0.949786011168	1.022472263607	-0.021890708778	0.000114655140	0.999568979432	N\A	0.002113850066	0.001761177664	45	5	0.150169870170	Global Trend	
2500000	457.979350	1	-0.937264795972	1.023903496837	-0.023569321809	0.000018252234	0.999970254633	N\A	0.001924736262	0.001878317687	35	4	-0.101641155707	Global Trend	
2550000	475.862561	1	-0.959456082743	1.019269748383	-0.019748667031	0.000019922383	0.999974083831	N\A	0.001677304975	0.001673760125	47	10	0.095203138115	Global Trend	
2600000	469.293675	1	-0.944030199887	1.034608711407	-0.023559905035	0.000024704074	0.980282669179	N\A	0.011805818351	0.002370500953	41	7	0.003156098704	Global Trend	
2650000	466.360645	1	-0.918587883646	1.025413742150	-0.026358602979	0.000048091577	0.999754605695	N\A	0.002088542653	0.001905719100	48	4	0.076350214077	Global Trend	
2700000	456.380511	1	-0.922752897086	1.014161290185	-0.018929865217	0.000006671534	0.952934394863	N\A	0.032908604485	0.005258380212	41	6	0.000271144371	Global Trend	
2750000	456.120545	1	-0.939138458911	1.009946039417	-0.016845869831	0.000038645863	0.969000983053	N\A	0.023552489915	0.004284454800	43	6	-0.002287483847	Global Trend	
2800000	442.218806	1	-0.909740131188	1.024808471974	-0.025896860920	0.000109743313	0.999141994816	N\A	0.002752674229	0.001906127975	43	8	-0.069183078071	Global Trend	
2850000	457.281511	1	-0.930684953602	1.050091352536	-0.028377594722	0.000094474822	0.972512433437	N\A	0.016598427296	0.003011999199	39	3	0.009112157203	Global Trend	
2900000	452.257970	1	-0.949377797951	1.018506083298	-0.018984305799	0.000106583374	0.999946963261	N\A	0.002032220715	0.001944306150	42	3	-0.366804495838	Global Trend	
2950000	455.941002	1	-0.966612869382	1.080302351660	-0.036631047665	0.000144636372	0.956073013157	N\A	0.037131730989	0.005854373611	35	5	0.003834893958	Global Trend	
3000000	460.677031	1	-1.077132084547	1.102080350112	-0.036480222618	0.000106772311	0.953378602607	N\A	0.044754122080	0.007079221875	33	5	-0.001854684264	Global Trend	
3050000	468.754026	1	-0.964718040621	1.015770158058	-0.018174645430	0.000120132580	0.991649101512	N\A	0.006434320052	0.002071578357	45	7	0.027785186683	Global Trend	
3100000	473.628889	1	-0.970300737001	1.020301030166	-0.020589383005	0.000083556127	0.999772355631	N\A	0.001575537553	0.001238369598	38	6	0.161516968713	Global Trend	
3150000	456.514845	1	-0.971088972813	1.019444362007	-0.019093060282	0.000163336777	0.999903749182	N\A	0.002077310222	0.002020119923	32	8	0.672497201507	Global Trend	
3200000	461.087566	1	-0.943505321868	1.050040663311	-0.028003806811	0.000113781830	0.964953482962	N\A	0.019674348216	0.003377688758	39	6	0.011318091714	Global Trend	
3250000	460.611417	1	-1.074472728321	1.169566335178	-0.046586471961	0.000088980721	0.962463922214	N\A	0.028452640195	0.004591586856	47	3	0.004368007478	Global Trend	
3300000	469.542075	1	-0.925417293967	1.028893603157	-0.025491766281	0.000104376450	0.996055812866	N\A	0.004384879183	0.001958097972	32	6	0.049263721125	Global Trend	
3350000	457.501672	1	-0.939753767946	1.027221111386	-0.026601671859	0.000069679384	0.999863343654	N\A	0.001992523283	0.001823399049	42	4	-0.138936772177	Global Trend	
3400000	471.486499	1	-0.945207345084	1.035081626434	-0.025801650219	0.000044598694	0.957827949489	N\A	0.040573181049	0.006308200172	39	4	0.000872483560	Global Trend	
3450000	454.750489	1	-1.065947878298	1.069045541866	-0.028103299706	0.000105284242	0.957529381732	N\A	0.033820647529	0.005303054279	39	6	-0.004085002973	Global Trend	
3500000	450.603758	1	-0.958017071981	1.015588214757	-0.017962871147	0.000321181466	0.991252928411	N\A	0.007518640601	0.002175017356	47	1	-0.071057241465	Global Trend	
3550000	461.085628	1	-0.962328629079	1.020340723237	-0.021031848571	0.000229245209	0.997253097310	N\A	0.003890869403	0.001945749923	30	8	0.142671159533	Global Trend	
3600000	489.001867	1	-0.968898143676	1.021722599408	-0.022170343131	0.000109748142	0.999961462244	N\A	0.001635643907	0.001600482650	43	12	0.534790065415	Global Trend	
3650000	478.208869	1	-0.955680542748	0.990761398268	-0.015501565246	0.000128200115	0.966631387231	N\A	0.036653711482	0.005460988459	37	8	0.001377880289	Global Trend	
3700000	464.435758	1	-1.041856684048	1.088987503637	-0.028039730059	0.000104555607	0.963609832368	N\A	0.026055538766	0.004219774685	41	6	0.006091227108	Global Trend	
3750000	471.945766	1	-0.947926359096	1.023607027457	-0.023704453428	0.000129577621	0.999963614346	N\A	0.002018694175	0.001992875108	40	5	0.609451945536	Global Trend	
3800000	477.401085	1	-0.913751783033	1.022075029758	-0.021431625566	0.000171163170	0.999760887183	N\A	0.001889011397	0.001606014878	38	7	0.399490074478	Global Trend	
3850000	475.381576	1	-1.073145957004	1.072114910627	-0.030674215581	0.000138626964	0.990198039660	N\A	0.032511470448	0.005367652881	42	7	-0.006487482367	Global Trend	
3900000	471.489433	1	-0.951178088151	1.020868400759	-0.020681797856	0.000082234376	0.999682447812	N\A	0.001963317994	0.001697036106	39	10	0.143652608244	Global Trend	
3950000	463.391717	1	-0.944942406693	1.022418442854	-0.022477923656	0.000068084676	0.999992085870	N\A	0.001770006050	0.001753641753	45	9	-0.595305222935	Global Trend	
4000000	481.473902	1	-0.938615926963	1.023862803881	-0.022291868333	0.000052515890	0.999042441217	N\A	0.002564141601	0.001797189502	34	4	0.039000122553	Global Trend	
4050000	462.791187	1	-0.930086951560	1.026227947119	-0.022225347141	0.000116459367	0.994566929446	N\A	0.005001246877	0.001957339329	31	6	0.052996192471	Global Trend	
4100000	484.991281	1	-1.259268639554	1.153356665308	-0.039016639726	0.000117384132	0.990081617816	N\A	0.026740556165	0.004913880375	40	10	-0.003104601092	Global Trend	
4150000	467.041384	1	-1.066958832701	1.077701904519	-0.032509342815	0.000126942480	0.961240719950	N\A	0.035982992750	0.005868036276	46	6	-0.005111914460	Global Trend	
4200000	473.390604	1	-1.079560036122	1.021139425651	-0.019733046823	0.000217489730	0.999670161508	N\A	0.002182603404	0.001788650104	43	8	-0.333578052561	Global Trend	
4250000	472.998473	1	-0.999839513456	1.040008563625	-0.026117955066	0.000113872496	0.974237042375	N\A	0.016620659130	0.003146444202	34	10	-0.014934432947	Global Trend	
4300000	464.301469	1	-0.972514549651	1.027901175400	-0.027581965896	0.000112548606	0.999991529117	N\A	0.001799822586	0.001771904504	43	5	-0.927092000670	Global Trend	
4350000	473.106369	1	-0.891343935857	0.975054826442	-0.014225494404	0.000103170496	0.958287396493	N\A	0.053706722251	0.008463326449	49	8	-0.000713557893	Global Trend	
4400000	457.295197	1	-0.904601606081	1.038354173438	-0.021903681148	0.000156841099	0.989491056627	N\A	0.007142983791	0.002156299656	34	5	0.047464583338	Global Trend	
4450000	432.026024	1	-0.981946508420	1.025266014435	-0.024992684741	0.000147205014	0.999960993653	N\A	0.002198374874	0.002153662610	35	6	-0.580271770807	Global Trend	
4500000	459.859699	1	-1.158290891906	1.098769295509	-0.032233709681	0.000114838165	0.968260038570	N\A	0.023210890697	0.004011362631	38	3	-0.005520956428	Global Trend	
4550000	458.026918	1	-0.956490110216	1.019075524452	-0.022177420165	0.000123780171	0.993890374627	N\A	0.006073144231	0.002201630263	35	5	-0.047145358212	Global Trend	
