Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MED_d1_m7-glob-004.txt
Log File Name:                   MED_d1_m7-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1780848424
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MED_d1_m7-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.275310
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
2150000	637.420766	1	-0.260033118524	0.658178356157	0.207964883834	-0.010990665355	0.000078807299	0.981661908311	N\A	0.025483750791	0.022595134667	0.002700698991	42	9	-0.001485235836	Global Trend	
2200000	620.946033	1	-0.282444951068	0.668472807284	0.219732506136	-0.014517589669	0.000174511599	0.984453364817	N\A	0.023176872642	0.021503493596	0.002725360412	43	7	-0.006342185301	Global Trend	
2250000	617.012453	1	-0.190844079779	0.622250789215	0.250054896638	-0.014791180344	0.000295925289	0.986310098565	N\A	0.026087202885	0.021160641196	0.002484327360	36	8	-0.003216616873	Global Trend	
2300000	608.589490	1	-0.188357043552	0.602115034759	0.255389268176	-0.013234110647	0.000171945566	0.982627692457	N\A	0.025607077735	0.022857027488	0.002721533583	46	7	-0.000203975687	Global Trend	
2350000	623.544861	1	-0.247855000578	0.672959336541	0.196807529110	-0.009414280864	0.000053023755	0.982573321104	N\A	0.023681753787	0.021392456479	0.002748567820	39	11	-0.002085311463	Global Trend	
2400000	609.823740	1	-0.248405320884	0.661324153970	0.218445943174	-0.014115422258	0.000059333902	0.980670587307	N\A	0.026115615945	0.022703132932	0.002845205511	33	7	-0.000422255800	Global Trend	
2450000	620.354336	1	-0.273363908989	0.683145431907	0.203377485302	-0.011600550714	0.000034321038	0.984454564603	N\A	0.024719459217	0.021516386539	0.002721121391	42	7	-0.001400608742	Global Trend	
2500000	633.927817	1	-0.282362182698	0.675174331473	0.224279476331	-0.013390633091	0.000093706350	0.992345819160	N\A	0.022983177182	0.018458559995	0.002225051396	47	8	-0.004239853064	Global Trend	
2550000	623.803158	1	-0.252991321697	0.683837052481	0.211085831246	-0.015009320110	0.000125523918	0.986958032697	N\A	0.025295558033	0.021681562063	0.002872941111	50	6	-0.002722436197	Global Trend	
2600000	598.709400	1	-0.050198148652	0.525672877820	0.309424477852	-0.017340515616	0.000120986980	0.981265979100	N\A	0.024717630078	0.022355935259	0.002830415531	33	5	0.000039385682	Global Trend	
2650000	595.762527	1	-0.120375877216	0.591062905939	0.250368406853	-0.012271233648	0.000065680755	0.983137545254	N\A	0.025519925588	0.023058574635	0.003240007741	45	5	-0.000585171918	Global Trend	
2700000	617.098783	1	-0.156685665345	0.652106925748	0.217781297103	-0.012174174194	0.000067383478	0.983172300010	N\A	0.025593323725	0.022834204435	0.003007845884	35	8	-0.003593386309	Global Trend	
2750000	610.100025	1	-0.155165319034	0.534590173689	0.335461353051	-0.019674332721	0.000092807934	0.978690239296	N\A	0.026083143960	0.022630216422	0.002943357741	41	7	0.001566925812	Global Trend	
2800000	618.127283	1	-0.205840172727	0.593833311710	0.263503391502	-0.013126470321	0.000068993508	0.980492114659	N\A	0.026376758997	0.023415394413	0.002931516260	39	7	0.000414458566	Global Trend	
2850000	639.580837	1	-0.182806574391	0.607340748052	0.244490799974	-0.010681120842	0.000083774046	0.980892618713	N\A	0.023685337028	0.021132198669	0.002529042378	26	12	-0.000538453980	Global Trend	
2900000	617.650328	1	-0.136671459650	0.587400997201	0.273470678004	-0.016302278422	0.000135783433	0.983099956668	N\A	0.022671961219	0.020333585684	0.002419887157	36	10	-0.003789355605	Global Trend	
2950000	615.156943	1	-0.219564888291	0.669261175625	0.219489859204	-0.013330663998	0.000122800965	0.980077669522	N\A	0.024326300435	0.022029175789	0.002862492695	37	9	-0.005492415617	Global Trend	
3000000	608.605887	1	0.039837361696	0.567368883256	0.278746867781	-0.014503493444	0.000239525791	0.977473937714	N\A	0.026924416837	0.023158033592	0.002926480043	34	7	-0.008857908356	Global Trend	
3050000	642.739692	1	-0.347099843603	0.679896236378	0.218724308606	-0.016291723829	0.000076572682	0.987145300882	N\A	0.024787907587	0.020554413383	0.002382065910	40	10	0.000551930202	Global Trend	
3100000	626.523607	1	-0.191147418583	0.624631766935	0.268510198927	-0.018534949457	0.000085344828	0.982770000239	N\A	0.025286921527	0.022881910429	0.002828495503	37	8	-0.004910473180	Global Trend	
3150000	623.561503	1	-0.086306697700	0.523175525669	0.320522087176	-0.018590305789	0.000052312052	0.981433559690	N\A	0.023622753418	0.021600759096	0.002634528072	43	11	-0.001204546148	Global Trend	
3200000	621.011005	1	-0.233818398086	0.562858812772	0.311088622808	-0.020319561199	0.000114111935	0.982487389993	N\A	0.024707289208	0.021674882708	0.002688127843	31	8	0.001430187522	Global Trend	
3250000	623.927328	1	-0.122305000710	0.576983830645	0.282922550537	-0.015406767864	0.000096192472	0.985775740798	N\A	0.024803373659	0.022016602336	0.002029775615	35	5	-0.001404757679	Global Trend	
3300000	603.776812	1	-0.115064230049	0.599557612800	0.255246922030	-0.010902779929	0.000084777470	0.979744082366	N\A	0.026387362105	0.023788853972	0.002818675203	47	5	-0.003187826375	Global Trend	
