Species_TTOL	STR	BOD
Chalinolobus_morio	0.906	0.919
Chiroderma_salvini	1.531	1.417
Chiroderma_trinitatum	1.299	1.137
Chiroderma_villosum	1.441	1.394
Choeroniscus_minor	1.19	0.982
Coleura_afra	1.104	1.061
Cormura_brevirostris	0.967	0.914
Craseonycteris_thonglongyai	0.593	0.408
Desmodus_rotundus	1.783	1.56
Diphylla_ecaudata	1.659	1.49
Emballonura_monticola	0.938	0.724
Emballonura_raffrayana	0.903	0.771
Eptesicus_brasiliensis	0.987	0.964
Eptesicus_fuscus_bahamensis	1.037	1.134
Eumops_auripendulus	1.352	1.529
Eumops_glaucinus	1.415	1.562
Furipterus_horrens	0.794	0.535
Glischropus_tylopus	0.651	0.69
Glossophaga_longirostris	1.307	1.053
Glossophaga_soricina	1.272	0.996
Harpiocephalus_harpia	1.422	1.13
Hesperoptenus_blanfordi	0.768	0.863
Hipposideros_armiger	1.587	1.748
Hipposideros_ater	1.057	0.839
Hipposideros_caffer	1.193	1.041
Macronycteris_commersoni	1.582	1.997
Hipposideros_diadema	1.54	1.622
Hipposideros_fulvus	1.093	0.845
Hipposideros_lankadiva	1.58	1.686
Hipposideros_larvatus	1.393	1.312
Hipposideros_ridleyi	1.182	0.982
Hipposideros_speoris	1.17	1.061
Hipposideros_turpis	1.493	1.542
Ia_io	1.585	1.727
Kerivoula_papillosa	1.086	1.004
Lasiurus_borealis	0.799	0.892
Leptonycteris_curasoae	1.471	1.389
Leptonycteris_nivalis	1.468	1.358
Lonchophylla_mordax	1.324	1.029
Hsunycteris_thomasi	1.188	0.839
Lophostoma_silvicolum	1.548	1.509
Macroderma_gigas	1.89	2.078
Macrophyllum_macrophyllum	1.25	0.934
Megaderma_lyra	1.614	1.587
Megaderma_spasma	1.487	1.354
Mesophylla_macconnelli	1.193	0.875
Micronycteris_brachyotis	1.279	1.167
Micronycteris_megalotis	1.155	0.813
Micronycteris_minuta	1.167	0.839
Micronycteris_schmidtorum	1.201	0.892
Gardnerycteris_crenulatum	1.199	1.072
Miniopterus_australis	1.068	0.851
Miniopterus_inflatus	1.212	1.173
Miniopterus_magnater	1.225	1.176
Miniopterus_pusillus	1.061	0.934
Miniopterus_tristis	1.248	1.193
Molossus_molossus	1.1	1.137
Molossus_rufus	1.334	1.526
Monophyllus_plethodon	1.358	1.176
Mormoops_megalophylla	1.23	1.196
Murina_cyclotis	1.117	0.851
Murina_huttoni	1.13	0.944
Myotis_adversus	1.146	1.049
Myotis_albescens	0.828	0.602
Myotis_annectans	1.029	0.991
Myotis_bechsteinii	1.114	0.978
Myotis_bocagii	0.993	0.845
Myotis_dasycneme	1.114	1.176
Myotis_myotis	1.373	1.408
Myotis_nigricans	0.9	0.663
Myotis_siligorensis	0.744	0.539
Natalus_tumidirostris	1.173	0.839
Noctilio_albiventris	1.465	1.515
Noctilio_leporinus	1.792	1.763
Nyctalus_noctula	1.093	1.431
Nycteris_arge	1.29	1.025
Nycteris_grandis	1.573	1.474
Nycteris_hispida	1.201	0.892
Nycteris_javanica	1.33	1.265
Nycteris_macrotis	1.241	1.161
Nycteris_thebaica	1.199	0.949
Nyctophilus_geoffroyi	0.906	0.857
Otomops_martiensseni	1.462	1.618
Peropteryx_macrotis	0.872	0.748
Phylloderma_stenops	1.838	1.664
Phyllostomus_discolor	1.764	1.563
Phyllostomus_elongatus	1.634	1.652
Phyllostomus_hastatus	1.869	1.963
Pipistrellus_javanicus	0.693	0.653
Pipistrellus_tenuis	0.574	0.591
Afronycteris_nana	0.725	0.591
Hypsugo_pulveratus	0.804	0.724
Perimyotis_subflavus	0.726	0.724
Pteronotus_gymnonotus	1.253	1.134
Pteronotus_parnellii_mesoamericanus	1.441	1.305
Pteronotus_personatus	1.076	0.908
Rhinolophus_cornutus	0.989	0.82
Rhinolophus_eloquens	1.312	1.281
Rhinolophus_hipposideros	0.837	0.663
Rhinolophus_landeri	1.155	0.987
Rhinolophus_lepidus	1.017	0.778
Rhinolophus_luctus	1.4	1.516
Rhinolophus_macrotis	1.013	0.799
Rhinolophus_malayanus	0.989	0.806
Rhinolophus_megaphyllus	1.143	0.991
Rhinolophus_pearsonii	1.193	1.143
Rhinolophus_pusillus	0.951	0.672
Rhinolophus_trifoliatus	1.137	1.164
Rhinolophus_yunnanensis	1.31	1.371
Rhinonicteris_aurantia	1.104	0.934
Rhinophylla_pumilio	1.233	0.949
Rhinopoma_hardwickii	1.097	1.111
Rhinopoma_microphyllum	1.233	1.468
Rhogeessa_parvula	0.725	0.653
Rhynchonycteris_naso	0.772	0.58
Saccopteryx_bilineata	1.045	0.924
Saccopteryx_canescens	0.789	0.531
Saccopteryx_leptura	0.856	0.708
Scotomanes_ornatus	1.27	1.338
Scotophilus_dinganii	1.267	1.386
Scotophilus_kuhlii	1.13	1.31
Sphaeronycteris_toxophyllum	1.326	1.265
Sturnira_lilium	1.542	1.305
Sturnira_ludovici	1.548	1.413
Sturnira_tildae	1.611	1.387
Tadarida_aegyptiaca	1.199	1.248
Taphozous_australis	1.393	1.38
Taphozous_hildegardeae	1.352	1.438
Taphozous_mauritianus	1.305	1.462
Taphozous_melanopogon	1.362	1.356
Tonatia_bidens	1.551	1.468
Lophostoma_schulzi	1.38	1.328
Trachops_cirrhosus	1.699	1.567
Triaenops_persicus	1.068	1.137
Tylonycteris_pachypus	0.498	0.681
Tylonycteris_robustula	0.628	0.857
Uroderma_bilobatum	1.446	1.21
Vampyressa_pusilla	1.225	0.934
Vampyrum_spectrum	2.058	2.238
Alouatta_seniculus	3.452	3.806
Aotus_trivirgatus	2.936	2.919
Ateles_geoffroyi	3.695	3.903
Avahi_laniger	2.719	3.109
Plecturocebus_moloch	2.964	2.954
Callimico_goeldii	2.693	2.681
Callithrix_jacchus	2.571	2.447
Cebuella_pygmaea	2.241	2.146
Cebus_albifrons	3.513	3.491
Cercopithecus_ascanius	3.451	3.531
Cercopithecus_mitis_mitis	3.437	3.799
Cheirogaleus_major	2.515	2.653
Cheirogaleus_medius	2.161	2.248
Daubentonia_madagascariensis	3.442	3.447
Erythrocebus_patas	3.559	3.892
Eulemur_fulvus_fulvus	3.085	3.146
Galago_senegalensis	2.322	2.27
Galagoides_demidoff	2.228	1.908
Gorilla_gorilla	4.163	5.021
Homo_sapiens	4.458	4.813
Hylobates_lar	3.68	3.756
Indri_indri	3.268	3.796
Lagothrix_lagotricha	3.694	3.716
Lepilemur_mustelinus	2.563	2.961
Lophocebus_albigena	3.618	3.898
Loris_tardigradus_tardigradus	2.545	2.508
Macaca_mulatta	3.606	3.892
Microcebus_murinus	1.933	1.732
Miopithecus_talapoin	3.281	3.079
Nasalis_larvatus	3.572	4.146
Nycticebus_coucang	2.881	2.903
Otolemur_crassicaudatus	2.745	2.929
Pan_troglodytes	4.088	4.663
Papio_cynocephalus	3.856	4.398
Perodicticus_potto	2.852	3.061
Pithecia_monachus	3.283	3.176
Piliocolobus_badius	3.507	3.845
Propithecus_verreauxi	3.15	3.542
Pygathrix_nemaeus	3.501	3.875
Saguinus_midas	2.673	2.531
Saguinus_oedipus	2.656	2.58
Saimiri_sciureus_sciureus	3.018	2.82
Tarsius_tarsier	2.124	2.097
Varecia_variegata	3.202	3.477
