Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m2-fab-005.txt
Log File Name:                   AMY_d1_m2-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3717862612
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m2-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.287140
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.67 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	
1500000	388.517415	1	0.168035388090	0.663872417807	0.835705172066	0.738421155647	0.693440338379	0.399553087990	0.448421217231	-0.069601322714	-0.024555930053	-0.168959625430	-0.154716828079	-0.189248229973	0.000202851633	0.913321102793	N\A	0.052402848157	0.194580779504	0.175205177503	0.183043699061	0.178339792628	0.289732889861	0.058545730714	0.055005704538	0.057206856354	0.058382866452	0.057065138092	35	9	
1550000	392.798711	1	0.180620221282	0.611657622282	0.907288977526	0.901942866408	0.456037082651	0.857451418430	0.735894109864	-0.063830435204	0.051645824091	-0.063382174616	-0.068444779534	-0.170691920165	0.000202144008	0.914623193173	N\A	0.062068009242	0.199999122031	0.183490720397	0.196306080266	0.185966583710	0.244039804576	0.065711235439	0.064653922265	0.067961512014	0.067184905690	0.064309843334	30	12	
1600000	399.259360	1	-0.007494981308	0.851781061697	1.375457062255	1.199190801555	0.973850082500	1.165739910093	0.686687254043	-0.321704539445	-0.243863173229	-0.355063687744	-0.348064384789	-0.394816208729	0.000179967926	0.938670046958	N\A	0.075648694738	0.252840745453	0.240652867511	0.249661005962	0.242845086654	0.283079363066	0.078743137832	0.077677190373	0.079682221259	0.079440799881	0.076265960104	28	12	
1650000	385.680900	1	0.392381756779	0.541833031640	0.970956048957	0.666711780580	0.348553526606	0.777428192275	0.171633728485	0.017363596361	0.104057616135	-0.003952520796	0.001162821942	-0.071843225840	0.000169628368	0.915538939776	N\A	0.060457330000	0.195511564381	0.180663684721	0.196149500797	0.182891313918	0.233683597332	0.064422414694	0.062910522707	0.066608333797	0.065093859517	0.063164619830	28	11	
1700000	404.336651	1	-0.809622423894	0.620413469967	3.101455796761	1.974719399478	1.649871165408	2.266991373375	1.424560318636	-0.053143173872	0.027568315056	-0.077524568719	-0.109989619084	-0.152804542450	0.000339190753	0.926730356188	N\A	0.048466684760	0.351456941262	0.342988825273	0.354882330872	0.344757542869	0.410770188010	0.053854450916	0.050828117771	0.055014133290	0.054131757862	0.052513827069	41	14	
1750000	392.436545	1	-0.360730225231	0.761612903061	3.038723086619	1.888687202737	1.223036230408	2.038074890158	1.252750155132	-0.255911490215	-0.144258300694	-0.300818543556	-0.241825204677	-0.336003081271	0.000195847066	0.916960400185	N\A	0.061647835067	0.253594906582	0.241565426504	0.251617655019	0.244253566775	0.290100832912	0.065606731575	0.063819710726	0.067483794502	0.067209993178	0.064685536591	43	8	
1800000	391.295577	1	-0.041607529999	0.693246834432	2.210277267858	1.299685799341	0.733990171225	1.437083285100	1.003423112028	-0.166674007411	-0.070952549340	-0.211854149707	-0.185027141815	-0.258913834089	0.000180805638	0.936573036309	N\A	0.086430455000	0.226421768555	0.217763429789	0.228221172863	0.223178989049	0.266449528364	0.088831309558	0.087342361136	0.090308522670	0.090595854209	0.088201238817	32	10	
1850000	402.703029	1	0.672638549354	0.502446476923	1.126786720226	0.445029376116	0.073362101450	0.448511280076	-0.039666084885	0.062598142452	0.147596692605	-0.002303151123	0.101403945374	-0.025370511516	0.000355098260	0.945214820670	N\A	0.092261021256	0.257996788616	0.250852577300	0.278697969583	0.270930936802	0.339881134776	0.094138315850	0.092938768506	0.097159870338	0.098318108174	0.093887371023	36	12	
1900000	388.035967	1	-0.014156596049	0.601314920815	1.217832200747	0.450939573429	1.025401337035	0.940392885603	0.873543035514	-0.049818341968	0.034644338452	-0.135242842368	-0.018832385154	-0.091112298260	0.000252422061	0.921822135758	N\A	0.053720616775	0.204686032135	0.193269674396	0.204201477075	0.197257190268	0.271138446994	0.057070066304	0.056265710315	0.058942311125	0.060497053763	0.057826598020	36	10	
1950000	384.883693	1	0.031827546796	0.669261216920	0.606155207992	0.330010562425	0.757356699842	0.922772806404	0.776390793482	-0.149528279334	-0.000417108942	-0.178855504052	-0.142199543319	-0.227015905332	0.000240071430	0.921775992450	N\A	0.047691323478	0.209815406801	0.187951935962	0.193202036106	0.194671059142	0.259025665821	0.054651413106	0.050122572904	0.051457143790	0.056860815334	0.051521831278	42	9	
2000000	369.547913	1	-0.020786624500	0.756164535007	1.045932323516	1.055993813884	0.749159984275	1.171678204053	1.262856747246	-0.193725798314	-0.114650885219	-0.198415455656	-0.194222749784	-0.296015075109	0.000204594247	0.904538665808	N\A	0.122974495378	0.325675653698	0.314865815883	0.324840371890	0.317943901250	0.355131840850	0.125538555965	0.124191935321	0.126522490182	0.126582902637	0.124441443143	34	13	
2050000	391.030663	1	0.109383274167	0.635690807417	0.422866846993	0.424709468039	0.797785760543	0.302137805698	-0.979016888403	-0.049484167684	-0.024287798321	-0.131419034955	-0.068366385709	-0.200840898025	0.000182648189	0.918038601704	N\A	0.066129056313	0.207017878526	0.192150200201	0.207608026827	0.194604770339	0.247648250769	0.069913039515	0.067919598180	0.071974749813	0.070697796408	0.069255216650	42	12	
2100000	379.014909	1	-0.434244698964	0.976664298585	1.095100653975	0.906251875349	1.362188318921	0.730765783020	1.258578965966	-0.457679717788	-0.334919861403	-0.477053652769	-0.374913033340	-0.553333533392	0.000261409967	0.910559226889	N\A	0.125446212766	0.299572977203	0.285789427921	0.294939336427	0.288520703429	0.339292019868	0.127287387253	0.126540561786	0.128485776183	0.128935635953	0.126932970766	33	9	
2150000	380.286595	1	0.476002737266	0.646938543833	0.113487542423	-0.034901283911	0.498284835303	0.218004043008	0.045155401453	-0.083794889881	-0.001314334086	-0.124291591542	-0.141117219571	-0.204461225643	0.000206829432	0.918572729163	N\A	0.065802226161	0.213811902080	0.196459401570	0.202791179271	0.197056042434	0.255264761722	0.070790331944	0.068011851028	0.069832086727	0.069543578110	0.068424979725	40	11	
