Species_TTOL	AMY	BOD	BOD2
Anourosorex_squamipes	1.186	1.307	1.708249
Atelerix_algirus	2.014	2.867	8.219689
Blarina_brevicauda	1.039	1.267	1.605289
Chrysochloris_asiatica	1.302	1.69	2.8561
Chrysochloris_stuhlmanni	1.365	1.626	2.643876
Crocidura_attenuata	0.823	0.968	0.937024
Crocidura_flavescens	1.101	1.467	2.152089
Crocidura_hildegardeae	0.838	0.996	0.992016
Crocidura_denti	0.882	1.079	1.164241
Crocidura_russula	0.823	1.049	1.100401
Crocidura_suaveolens	0.774	1.013	1.026169
Cryptotis_parvus	0.959	0.991226075692495	0.982529133132744
Desmana_moschata	1.958	2.646	7.001316
Echinops_telfairi	1.352	1.942	3.771364
Echinosorex_gymnura	2.231	2.921	8.532241
Erinaceus_europaeus	2.036	2.929	8.579041
Euroscaptor_micrura	1.356	1.617	2.614689
Galemys_pyrenaicus	1.561	1.778	3.161284
Geogale_aurita	0.615	1	1
Hemicentetes_semispinosus	1.313	2.062	4.251844
Hemiechinus_auritus	1.852	2.371	5.621641
Hylomys_suillus	1.573	1.756	3.083536
Limnogale_mergulus	1.428	1.964	3.857296
Microgale_dobsoni	1.228	1.504	2.262016
Microgale_talazaci	1.388	1.683	2.832489
Micropotamogale_lamottei	1.28	1.808	3.268864
Micropotamogale_ruwenzorii	1.344	1.986	3.944196
Myosorex_sclateri	1.082	1.23	1.5129
Neomys_anomalus	0.913	1.037	1.075369
Neomys_fodiens	0.934	1.182	1.397124
Oryzorictes_hova	1.317	1.645	2.706025
Parascalops_breweri	1.354	1.731	2.996361
Potamogale_velox	1.794	2.791	7.789681
Ruwenzorisorex_suncoides	1.011	1.262	1.592644
Scalopus_aquaticus	1.49	2.061	4.247721
Scutisorex_somereni	1.252	1.792	3.211264
Setifer_setosus	1.83	2.373	5.631129
Solenodon_paradoxus	2.131	2.826	7.986276
Sorex_alpinus	0.906	1.033	1.067089
Sorex_araneus	0.886	0.987	0.974169
Sorex_cinereus	0.689	0.633	0.400689
Sorex_fumeus	0.871	0.924	0.853776
Sorex_hoyi	0.516	0.42	0.1764
Sorex_minutus	0.539	0.633	0.400689
Suncus_etruscus	0.238	0.762	0.580644
Suncus_murinus	1.045	1.529	2.337841
Sylvisorex_granti	0.704	0.591	0.349281
Suncus_megalura	0.747	0.74	0.5476
Talpa_europaea	1.422	1.908	3.640464
Tenrec_ecaudatus	1.948	2.935	8.614225
Aepyprymnus_rufescens	2.3126	3.392697	11.510392933809
Antechinus_flavipes	1.356026	1.568202	2.459257512804
Antechinus_minimus	1.390935	1.724276	2.973127724176
Bettongia_gaimardi	2.304275	3.176091	10.087554040281
Bettongia_penicillata	2.255273	3.079181	9.481355630761
Burramys_parvus	1.342423	1.770852	3.135916805904
Cercartetus_nanus	1.164353	1.278754	1.635211792516
Dactylopsila_trivirgata	2.009876	2.643453	6.987843763209
Dasycercus_cristicauda	1.640481	2	4
Dasyuroides_byrnei	1.661813	2.146128	4.605865392384
Dasyurus_geoffroii	2.112605	2.69897	7.2844390609
Dasyurus_hallucatus	1.926342	3.021189	9.127582973721
Dendrolagus_lumholtzi	2.472756	3.78533	14.3287232089
Distoechurus_pennatus	1.534026	1.633468	2.668217707024
Dorcopsis	2.465532	3.462398	11.988199910404
Echymipera_kalubu	1.943495	2.819544	7.949828367936
Gymnobelideus_leadbeateri	1.692847	2.041393	4.167285380449
Hypsiprymnodon_moschatus	2.168203	2.748188	7.552537283344
Isoodon_macrourus	1.993877	3.033424	9.201661163776
Isoodon_obesulus_obesulus	1.980458	3.004321	9.025944671041
Osphranter_antilopinus	2.838471	4.537819	20.591801276761
Macropus_giganteus	2.910358	4.563481	20.825358837361
Notamacropus_irma	2.563125	3.819544	14.588916367936
Notamacropus_parma	2.398287	3.536558	12.507242487364
Notamacropus_parryi	2.270077	4.170262	17.391085148644
Osphranter_robustus	2.816705	4.409933	19.447509064489
Osphranter_rufus	2.804889	4.494155	20.197429164025
Thylamys_pallidior	1.356026	1.477121	2.181886448641
Marmosops_impavidus	1.703291	1.845098	3.404386629604
Monodelphis_brevicaudata	1.625312	1.924279	3.702849669841
Notoryctes_typhlops	1.462398	1.531479	2.345427927441
Petauroides_volans	1.920645	3.09691	9.5908515481
Petaurus_australis	2.100371	2.748188	7.552537283344
Petaurus_breviceps	1.752048	2.113943	4.468755007249
Petaurus_norfolcensis	1.860937	2.374748	5.639428063504
Petrogale_inornata	2.410271	3.628389	13.165206735321
Petrogale_lateralis	2.374015	3.556303	12.647291027809
Petrogale_penicillata	2.140271	3.690196	13.617546518416
Petrogale_purpureicollis	2.436322	3.740363	13.990315371769
Petropseudes_dahli	2.053463	3.127105	9.778785681025
Phascolarctos_cinereus	2.402433	3.968483	15.748857321289
Planigale_ingrami	0.447158	0.826075	0.682399905625
Planigale_maculata	0.883093	1.041393	1.084499380449
Potorous_tridactylus_tridactylus	2.277151	3.089905	9.547512909025
Pseudochirulus_canescens	1.706718	2.447158	5.988582276964
Pseudochirulus_forbesi	1.806858	2.70757	7.3309353049
Sarcophilus_harrisii	2.576226	3.732394	13.930764971236
Sminthopsis_crassicaudata	1.071882	1.146128	1.313609392384
Sminthopsis_leucopus	1.176091	1.361728	1.854303145984
Phalanger_gymnotis	2.346744	3.451786	11.914826589796
Thylacinus_cynocephalus	2.860338	4.342423	18.856637510929
Thylogale_billardierii	2.516932	3.845098	14.784778629604
Thylogale_stigmatica	2.516006	3.653213	13.345965223369
Trichosurus_vulpecula	2.369401	3.30103	10.8967990609
Vombatus_ursinus	2.702603	4.357935	18.991597464225
Wallabia_bicolor	2.656194	4.198657	17.628720603649
Balionycteris_maculata	1.114	1.158	1.340964
Casinycteris_argynnis	1.238	1.428	2.039184
Chironax_melanocephalus	1.17	1.248	1.557504
Cynopterus_brachyotis	1.391	1.53	2.3409
Cynopterus_horsfieldii	1.462	1.773	3.143529
Cynopterus_sphinx	1.435	1.713	2.934369
Dobsonia_inermis	1.833	2.173	4.721929
Dobsonia_moluccensis	1.988	2.543	6.466849
Dobsonia_praedatrix	1.838	2.25	5.0625
Eidolon_helvum	1.997	2.418	5.846724
Eonycteris_spelaea	1.512	1.769	3.129361
Epomophorus_labiatus	1.571	1.806	3.261636
Epomops_franqueti	1.667	2.072	4.293184
Hypsignathus_monstrosus	1.755	2.491	6.205081
Macroglossus_minimus	1.114	1.164	1.354896
Megaerops_ecaudatus	1.243	1.38	1.9044
Megaloglossus_woermanni	1.193	1.253	1.570009
Melonycteris_melanops	1.528	1.675	2.805625
Melonycteris_woodfordi	1.365	1.549	2.399401
Epomophorus_pusillus	1.365	1.4	1.96
Myonycteris_torquata	1.391	1.561	2.436721
Notopteris_macdonaldi	1.595	1.841	3.389281
Nyctimene_albiventer	1.342	1.473	2.169729
Nyctimene_robinsoni	1.522	1.673	2.798929
Nyctimene_vizcaccia	1.428	1.549	2.399401
Paranyctimene_raptor	1.25	1.417	2.007889
Pteropus_alecto	2.064	2.775	7.700625
Pteropus_conspicillatus	2.151	2.875	8.265625
Pteropus_hypomelanus	1.999	2.591	6.713281
Pteropus_lylei	2.009	2.497	6.235009
Pteropus_neohibernicus	2.145	2.924	8.549776
Pteropus_poliocephalus	2.06	2.842	8.076964
Pteropus_samoensis	1.968	2.491	6.205081
Pteropus_scapulatus	1.938	2.574	6.625476
Pteropus_temminckii	1.968	2.398	5.750404
Pteropus_tonganus	2.035	2.652	7.033104
Pteropus_vampyrus	2.145	3.027	9.162729
Rousettus_aegyptiacus	1.706	2.111	4.456321
Rousettus_amplexicaudatus	1.602	1.856	3.444736
Scotonycteris_zenkeri	1.225	1.328	1.763584
Sphaerias_blanfordi	1.294	1.47	2.1609
Syconycteris_australis	1.149	1.207	1.456849
Anoura_caudifer	1.021	1.025	1.050625
Anoura_geoffroyi	1.22	1.204	1.449616
Ardops_nichollsi	1.27	1.352	1.827904
Artibeus_cinereus	1.068	1.1	1.21
Artibeus_concolor	1.283	1.288	1.658944
Artibeus_jamaicensis	1.436	1.613	2.601769
Artibeus_lituratus	1.542	1.748	3.055504
Aselliscus_stoliczkanus	0.705	0.69	0.4761
Aselliscus_tricuspidatus	0.742	0.643	0.413449
Brachyphylla_cavernarum	1.529	1.648	2.715904
Cardioderma_cor	1.382	1.415	2.002225
Carollia_perspicillata	1.207	1.25	1.5625
Chalinolobus_gouldii	1.041	1.068	1.140624
Chalinolobus_morio	0.805	0.919	0.844561
Chiroderma_salvini	1.382	1.417	2.007889
Chiroderma_trinitatum	1.201	1.137	1.292769
Chiroderma_villosum	1.314	1.394	1.943236
Choeroniscus_minor	1.057	0.982	0.964324
Coleura_afra	1.14	1.061	1.125721
Cormura_brevirostris	1.111	0.914	0.835396
Craseonycteris_thonglongyai	0.637	0.408	0.166464
Desmodus_rotundus	1.483	1.56	2.4336
Diphylla_ecaudata	1.334	1.49	2.2201
Emballonura_monticola	0.981	0.724	0.524176
Emballonura_raffrayana	0.908	0.771	0.594441
Eptesicus_brasiliensis	1.004	0.964	0.929296
Eptesicus_fuscus_bahamensis	0.966	1.134	1.285956
Eumops_auripendulus	1.441	1.529	2.337841
Eumops_glaucinus	1.398	1.562	2.439844
Furipterus_horrens	0.667	0.535	0.286225
Glischropus_tylopus	0.733	0.69	0.4761
Glossophaga_longirostris	1.097	1.053	1.108809
Glossophaga_soricina	1.079	0.996	0.992016
Harpiocephalus_harpia	1.241	1.13	1.2769
Hesperoptenus_blanfordi	0.938	0.863	0.744769
Hipposideros_armiger	1.491	1.748	3.055504
Hipposideros_ater	0.888	0.839	0.703921
Hipposideros_caffer	1.064	1.041	1.083681
Macronycteris_commersoni	1.439	1.997	3.988009
