Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m2-glob-003.txt
Log File Name:                   MES_d1_m2-glob-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4134380053
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m2-glob-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.297316
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.66 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	417.494005	1	2.328981738913	-1.567585602773	-1.576729988394	-1.488299355559	-1.926072855026	-1.585587642580	-1.383412577256	2.181467565857	2.184377399817	2.002518174355	2.072496353026	2.054120185001	0.000266102406	0.980436134267	N\A	0.509931536057	0.415394296888	0.413677512265	0.424325851007	0.423792447677	0.447146937599	0.510122679105	0.510053564213	0.509995587466	0.510715315098	0.510275743785	28	9	0.010491085010	Global Trend	
1050000	410.881359	1	2.196704903531	-1.553505301702	-1.411636001087	-1.456897673744	-1.647099137242	-1.651294052445	-1.356593053029	2.154807895247	2.206803979110	1.990096933499	2.090368340412	2.030538772535	0.000288577750	0.938547076205	N\A	0.420885965397	0.332233854230	0.330105176678	0.349934505367	0.343524658283	0.377131546216	0.421168026371	0.420995444799	0.421742408421	0.421694619898	0.421637954018	44	13	-0.000984713230	Global Trend	
1100000	408.398203	1	2.442557627869	-1.514258560122	-1.325257748654	-1.319761322267	-1.939063603049	-1.518902070423	-1.757549610689	2.123669401136	2.142996546611	2.026036121010	2.086331275024	1.969878974949	0.000384945265	0.981485736086	N\A	0.537492470462	0.436255884115	0.434837990976	0.453134483988	0.453461260648	0.476479023812	0.537776830474	0.537631584091	0.537237793700	0.538676108710	0.537763868032	40	10	0.018480392297	Global Trend	
1150000	422.960205	1	1.903506246716	-1.461239374544	-1.225481451020	-1.245985064824	-1.665097503418	-1.239666911997	-1.674784749765	2.056953969541	2.073928005649	1.958583965689	1.989049773411	1.991618287378	0.000295211021	0.941803490770	N\A	0.561341824606	0.431137551202	0.429626813598	0.441935556818	0.436767377257	0.465261458522	0.561485468799	0.561443937441	0.561608955204	0.562180374156	0.561687093209	36	9	-0.000357551882	Global Trend	
1200000	420.389690	1	2.234410749959	-1.426430205327	-1.418520500736	-1.383514203000	-1.742794159648	-1.615550980472	-1.326690869691	2.003134934586	2.047120369038	1.918622467536	2.054023929300	1.927880345053	0.000365783452	0.983021079573	N\A	0.260222320855	0.221773172994	0.216565308256	0.241451273823	0.223061735329	0.300878397082	0.260778591344	0.260528833069	0.260128128658	0.261254799314	0.260937758099	43	12	-0.032986462418	Global Trend	
1250000	429.134373	1	2.225114935961	-1.465175222452	-1.565663240219	-1.585749505377	-1.868976761557	-1.522616810953	-1.260064027357	2.098958061941	2.088665688593	1.937592180516	1.986119387403	2.003052009961	0.000529818854	0.952429166098	N\A	0.482378570788	0.400837085653	0.398689608004	0.403564418438	0.407205046632	0.457669225610	0.482738302853	0.482465918942	0.482551593348	0.483351196343	0.482581564575	38	9	0.004477121465	Global Trend	
1300000	423.739246	1	1.995001215431	-1.451847623252	-1.499048340551	-1.439015908445	-1.901373951737	-1.741387121456	-1.206599124674	2.094979880362	2.107511362387	1.919983212432	2.112956575885	1.965083299359	0.000452447742	0.984261888027	N\A	0.271936691321	0.246492653497	0.242471591383	0.253118944987	0.260166292563	0.347006380275	0.272567941838	0.272086674006	0.271895789162	0.274544395396	0.272402069470	46	11	0.029737934768	Global Trend	
1350000	405.109793	1	2.103508374366	-1.405577260638	-1.471841185704	-1.433336848269	-1.621868672915	-1.884219770118	-1.036812155980	1.990680971093	2.024140820277	1.832909446327	1.943353448116	1.916496804225	0.000349653816	0.939122593421	N\A	0.412978244657	0.362976071208	0.360076951712	0.366820048222	0.365057797173	0.445347529055	0.413470006553	0.413194093800	0.413297985300	0.413681410265	0.413709252596	39	14	0.002263442152	Global Trend	
1400000	428.988346	1	2.229518889378	-1.473753473420	-1.696861660809	-1.602548333678	-1.695828062234	-1.590358249238	-1.076850440506	2.121365050206	2.103057999697	1.973630223208	1.977314760518	1.962214155146	0.000249693112	0.999933547998	N\A	0.487049878474	0.393658454384	0.393750705111	0.407687473933	0.400303672804	0.428056398604	0.487290147600	0.487177064072	0.487494317433	0.487486334666	0.487339081396	38	8	-0.244350592483	Global Trend	
1450000	426.555204	1	2.437516368917	-1.548237432641	-1.648340532471	-1.656065967451	-1.505066852371	-1.715195803303	-1.372275413141	2.167928791736	2.183385149399	1.984833935473	2.059242891819	2.040252182887	0.000099576588	0.990496194333	N\A	0.390995385081	0.320409704848	0.318138615623	0.323302421096	0.324205204987	0.338491211605	0.391328704080	0.391254292515	0.391268935114	0.391836829485	0.391360895373	36	11	0.007446911387	Global Trend	
1500000	424.644466	1	2.603631828436	-1.641880297857	-1.796563463465	-1.729008492875	-1.373361020714	-1.708104817419	-1.677338398736	2.258184935967	2.267694026533	2.105593544104	2.135190448979	2.159881350581	0.000167848142	0.999997001330	N\A	0.580053424890	0.467668098675	0.467873074270	0.483710788687	0.471545930110	0.487728226586	0.580208913516	0.580155877395	0.580960412819	0.580502575669	0.580333997900	35	12	-0.683935918400	Global Trend	
1550000	409.482863	1	2.115512306195	-1.560503718617	-1.766817973198	-1.802464245388	-1.509412421737	-1.867691897035	-1.177905959744	2.194918305507	2.196070313420	2.030107581434	2.044878974044	2.090592083201	0.000274355248	0.948416299237	N\A	0.445520695112	0.372984634702	0.371536967288	0.388569669920	0.383953118915	0.407881285528	0.445770573764	0.445653430098	0.446033077518	0.446208574451	0.445579149307	31	12	0.001859693024	Global Trend	
1600000	421.470648	1	2.450170790825	-1.702425726019	-1.898294331920	-1.901843713535	-1.521952883792	-1.697144828182	-1.510130412743	2.277612424561	2.347715960692	2.231684454547	2.243791423049	2.225900172577	0.000285347004	0.950278866162	N\A	0.463991031071	0.377424201176	0.373948301763	0.388672168733	0.385597984839	0.415001948506	0.464382888553	0.464129701683	0.464239898308	0.464896063420	0.464272826297	35	16	-0.005821492425	Global Trend	
1650000	426.527735	1	2.686337922622	-1.722533763489	-1.800047112962	-1.732040279261	-1.236114833890	-2.148512185075	-1.775716763837	2.349008888966	2.335225529340	2.172138726187	2.324821173025	2.233536106081	0.000258857999	0.999918324349	N\A	0.448255668872	0.366725571934	0.365518747545	0.380112389591	0.378286255878	0.400752526317	0.448474946018	0.448351762238	0.448236098592	0.448956890972	0.448743135772	39	12	0.182564601498	Global Trend	
1700000	416.807464	1	2.549187224122	-1.850994650992	-1.736535258745	-1.709290329318	-1.328357112537	-1.953786642478	-1.713885913332	2.477134051460	2.469574525298	2.334703821458	2.506307847465	2.367013948021	0.000343206500	0.952685755524	N\A	0.673337757010	0.492029414376	0.490873408847	0.495342199220	0.495697694590	0.522541630367	0.673431065911	0.673423216160	0.673510553434	0.673939782590	0.673492324752	41	5	-0.000196542791	Global Trend	
1750000	418.715130	1	2.275396656654	-1.795365098626	-1.552615125556	-1.548000273154	-1.049314174822	-1.496565853333	-0.775516951892	2.428708698243	2.436334550270	2.282845239665	2.277592893399	2.326606916131	0.000472881714	0.938496151667	N\A	0.454356933246	0.312678641771	0.309525393331	0.315830038076	0.332257545471	0.381387080939	0.454637270680	0.454429535101	0.454625969113	0.455972046890	0.455228302853	37	9	-0.000488184358	Global Trend	
1800000	426.195612	1	2.791530736305	-1.740037893755	-2.024979219700	-1.966755858525	-1.446707759674	-2.023016106711	-1.391899434699	2.374037094747	2.359056318755	2.218807837414	2.297530051856	2.242519007420	0.000421032922	0.947360888565	N\A	0.542453533833	0.445314348941	0.443530302791	0.468902040953	0.454171042742	0.501169731002	0.542592285505	0.542538586678	0.543020346740	0.543648683423	0.543225802220	44	9	0.003302030953	Global Trend	
1850000	436.401652	1	4.167767585271	-1.687131936642	-2.826172341712	-2.791528562551	-2.310898142889	-3.005662130723	-3.084659530359	2.324747148759	2.316947971145	2.125850338117	2.231213600168	2.172090659448	0.000638003077	0.954251590280	N\A	0.705849414790	1.233266744840	1.232672248959	1.233622543427	1.237242583218	1.265887066421	0.705985230897	0.705932625718	0.706031049663	0.706756787755	0.706209596164	36	8	0.000024726558	Global Trend	
1900000	431.480630	1	2.556914714586	-1.325942260891	-1.723899852383	-1.675013672812	-0.990604600568	-1.582691749744	-1.892012884937	1.969696116154	1.938397250814	1.763750451136	1.818151297224	1.862167301871	0.000351507037	0.945634149540	N\A	0.374665666904	0.332963201045	0.330006426618	0.336066508400	0.341683749301	0.375803429471	0.375052507247	0.374859352641	0.375051719367	0.375966974725	0.375259904336	44	11	0.000733804755	Global Trend	
1950000	421.626229	1	2.322827915519	-1.404045439240	-1.641995005374	-1.687240284030	-0.898716472239	-1.830421726400	-1.301686052380	2.028896973691	2.039320261320	1.829639004767	1.953175582584	1.914496301971	0.000290906507	0.999939028160	N\A	0.703685395610	0.565037395646	0.564355432923	0.574435162752	0.576007432967	0.586120145055	0.703704266668	0.703843242207	0.703724897323	0.704076058284	0.704630987292	45	8	-0.220971185264	Global Trend	
2000000	414.821075	1	2.329018998673	-1.382878756982	-1.661520181637	-1.583467933758	-1.227598511797	-1.473461414721	-1.229221497339	1.973756519307	2.012402614971	1.856137186904	1.848962748777	1.859560498644	0.000160626164	0.993858394090	N\A	0.498025012112	0.405843492089	0.403785940636	0.425075292874	0.417849604039	0.432901782137	0.498272540438	0.498201400094	0.498849405956	0.498988957847	0.498284709941	36	10	0.012867951470	Global Trend	
2050000	412.435285	1	1.410693927800	-1.136869820553	-1.515698591250	-1.477269362688	-0.983953208719	-1.979346890689	-0.457375636272	1.758997545388	1.761294831345	1.609441825771	1.760287481960	1.663455066812	0.000335339144	0.999262311150	N\A	0.245493889160	0.211541671821	0.207747010706	0.234268799889	0.224850758912	0.285125268320	0.246069289741	0.245764150011	0.246103160536	0.247575545217	0.246700508976	39	12	-0.188455647368	Global Trend	
2100000	434.316243	1	1.345661838926	-0.940135440189	-1.392152506378	-1.354150525538	-0.907043139343	-1.260211547982	-0.563539070324	1.548838489293	1.558809065048	1.401684152397	1.445677962275	1.461883469821	0.000030595826	0.999997623713	N\A	0.277873098390	0.232614423085	0.228531419873	0.251247332748	0.253326007822	0.307322239874	0.278227773550	0.278103134109	0.277867482511	0.279415790612	0.278588402452	47	14	0.246126324411	Global Trend	
2150000	437.571287	1	2.123865442631	-0.943410823647	-1.346456886813	-1.318386946960	-0.927350644815	-1.411531506394	-0.549987903904	1.583850422676	1.578544694492	1.377732615391	1.487875839622	1.453102276203	0.000035704597	0.991827375264	N\A	0.430946646057	0.353226158979	0.350809409521	0.360263186324	0.361258980378	0.359856768525	0.431188964494	0.431015493196	0.431229847104	0.431302047452	0.430558502398	42	11	0.003850702553	Global Trend	
2200000	413.086135	1	1.963680603476	-1.002312857855	-1.474196838142	-1.517899505945	-0.735711743259	-1.416892145432	-0.528784927531	1.598413597813	1.634144662490	1.388252356522	1.574828081780	1.488321493775	0.000465708025	0.952311478177	N\A	0.478605988281	0.388340796907	0.387346486778	0.394123723827	0.394360964276	0.453138679208	0.478866430225	0.478723876843	0.479077683627	0.479527495713	0.479559529756	41	10	-0.008859209654	Global Trend	
2250000	412.115349	1	1.923045588552	-0.849542436840	-1.190374293012	-1.196769417676	-0.400752263683	-1.428638326332	-1.001953774985	1.456415430163	1.493215493790	1.300536929319	1.481014168853	1.338973720887	0.000328719710	0.999845657484	N\A	0.427117210476	0.348292301931	0.345586112483	0.361919937410	0.359862311603	0.394307419740	0.427504016239	0.427224792080	0.427728551076	0.428739203537	0.427436078747	30	6	-0.207796462935	Global Trend	
2300000	430.568399	1	1.514258028822	-0.621772962332	-1.084460170893	-1.023123837083	-0.245702951094	-1.163326682404	-0.663989687190	1.210478172751	1.270823460933	1.074840232357	1.119502525291	1.143307019964	0.000199055240	0.987972455735	N\A	0.278214936387	0.231823571352	0.227896910018	0.236012002887	0.265419403630	0.271230986487	0.278222702187	0.278400387813	0.278382615415	0.280703005861	0.277698310459	46	11	-0.017478388935	Global Trend	
2350000	433.647660	1	1.957203183955	-0.537427660881	-1.135967269838	-1.079520418855	-0.354938076862	-1.438367382075	-1.002501344562	1.165145637161	1.166243500203	0.957476522548	1.037266427793	1.045424360868	0.000148022087	0.947463266650	N\A	0.217212083345	0.470686385956	0.467448978364	0.471053193395	0.467964167271	0.516807455350	0.217791730182	0.217544000295	0.218032188695	0.218281111877	0.217624154481	43	12	-0.000038994874	Global Trend	
2400000	420.863428	1	1.643958074784	-0.498244388481	-0.866621259209	-0.791667052004	-0.346080542496	-1.020849522261	-0.748538494581	1.087804615686	1.129485387857	0.948327018921	1.050170489563	1.003999272873	0.000347966697	0.960500090935	N\A	0.330075016976	0.276702901936	0.274142809332	0.303265380572	0.290350356450	0.337183991040	0.330339006877	0.330260524852	0.331188741633	0.331469944421	0.330756702503	40	8	0.006636589654	Global Trend	
2450000	465.494716	1	2.313380249066	-0.368049209209	-1.613538200098	-1.540381548558	-1.049410118323	-1.517133155947	-1.182014519646	0.984940972785	0.984946324495	0.844027343773	0.905116652503	0.894648373767	0.000547696822	0.945280756028	N\A	0.076812184367	0.179056171170	0.169327628930	0.179973259623	0.181651016944	0.288965882062	0.080040213840	0.077620435765	0.080140131779	0.081372802682	0.079141063994	41	12	-0.000124051648	Global Trend	
2500000	421.904389	1	2.415775926780	-0.462913942082	-1.751355001992	-1.780125571317	-1.189327602679	-2.101035519073	-1.696811467187	1.054675306641	1.111859969494	0.910211516675	1.098891916268	0.960956585677	0.000298783002	0.935903350941	N\A	0.278014578246	0.491995081020	0.487352385309	0.506444811538	0.489571983662	0.535413978756	0.278786132642	0.278258651931	0.279779646092	0.279153005147	0.278592818137	30	6	0.000063456028	Global Trend	
2550000	432.767518	1	2.140770347911	-0.340634831695	-1.397167854995	-1.483993188595	-0.746317916562	-1.805456569556	-1.097907912194	0.963888119360	0.981144915796	0.760506496555	0.968635333100	0.861420103274	0.000343286617	0.946965685606	N\A	0.096626923520	0.214234844918	0.208964793233	0.230890787237	0.246109377284	0.319624169599	0.098591260399	0.097173553585	0.098797295606	0.107327658806	0.098787172651	36	9	0.000106683464	Global Trend	
2600000	443.710764	1	0.437424856289	-0.007221450227	-0.727884638755	-0.732676681711	-0.144298447739	-0.600152709240	0.816644131768	0.594413988466	0.626185656295	0.447715591880	0.486398916803	0.475731030003	0.000238612429	0.943484213912	N\A	0.147811390228	0.169564292544	0.165555009222	0.196711219030	0.191385845458	0.226838975654	0.148604876909	0.148175626273	0.148701144455	0.150266990685	0.148692595804	42	11	0.000702878622	Global Trend	
2650000	453.027514	1	0.937962432567	0.466386646760	-0.416938059087	-0.435652816876	0.562399032466	-0.534767216917	0.075295209715	0.192348340205	0.163947335049	-0.021019450288	0.051445587098	0.058360909337	0.000215120501	0.946657306135	N\A	0.053187017584	0.119813303369	0.111113375530	0.136109318358	0.134230849669	0.192989523839	0.055839277518	0.054500928649	0.057694278978	0.062016156333	0.056773883047	42	5	-0.000682496965	Global Trend	
2700000	465.048186	1	0.385309384875	0.638314764650	-0.342024456164	-0.360571893135	0.863808761955	0.116634669884	0.555555298886	-0.032819443535	0.000078702976	-0.168606871634	-0.041598318179	-0.143669711127	0.000232333998	0.961105630727	N\A	0.063754778499	0.096385544451	0.087914355504	0.122524593312	0.113510023178	0.173763165658	0.065250496772	0.064505869779	0.067004978136	0.070407382059	0.066906401475	36	9	-0.006720394720	Global Trend	
2750000	457.003558	1	0.670845366276	0.585473280103	-0.557560013414	-0.522194657548	0.944206359804	0.328756407140	0.451852068050	0.069840915465	0.062872159903	-0.155457232636	-0.083201423097	-0.117837688099	0.000213262304	0.995010218134	N\A	0.044859462725	0.081329399232	0.072726255655	0.117359040097	0.105329953627	0.174109528464	0.047159952156	0.046214621495	0.051099000835	0.054880344570	0.051797470929	37	7	0.069285185164	Global Trend	
