Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m7-VR-001.txt
Log File Name:                   PAL_d1_m7-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            96242216
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m7-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	395.740129	1	-1.126873411145	1.006661925592	0.001460337883	-0.013348308403	0.000238766158	0.939251281319	N\A	0.045076840497	0.039404144474	0.004789879782	50	17	
1050000	408.349834	1	-1.048181048152	0.930125221041	0.099153290656	-0.023305509485	0.000310859246	0.944674192757	N\A	0.041292959729	0.036670611071	0.004998695127	35	27	
1100000	385.780167	1	-0.873629587046	0.888974425949	0.112354232187	-0.025670663402	0.000381729358	0.935722196428	N\A	0.044808186529	0.039037852587	0.005024089146	57	33	
1150000	396.116590	1	-0.930355063773	0.922785609225	0.072773417757	-0.016043862523	0.000304572709	0.943377035709	N\A	0.048152255260	0.042663920249	0.004553100551	66	24	
1200000	394.599042	1	-1.037762686699	0.861625022018	0.140262557173	-0.025750006447	0.000210174529	0.938116803537	N\A	0.040124419479	0.035657965129	0.004348463935	42	25	
1250000	379.808145	1	-1.275073931115	1.019849840528	0.061519055236	-0.026082182993	0.000372506162	0.947223739533	N\A	0.045697140679	0.039329401889	0.005080490500	41	28	
1300000	399.824742	1	-1.073721485590	0.956790872862	0.063870217135	-0.019217397366	0.000353231199	0.942116973527	N\A	0.046287316461	0.039661900294	0.004914458380	50	24	
1350000	393.597321	1	-1.102059918236	0.874095764668	0.154548034914	-0.029935531089	0.000512372344	0.944817794971	N\A	0.045647400006	0.041100249501	0.004763280233	62	25	
1400000	403.343625	1	-1.025931882294	0.965964598327	0.075412785524	-0.025039180666	0.000377488076	0.937993103637	N\A	0.048278725072	0.042965088770	0.005446255703	58	23	
1450000	392.502036	1	-0.984705733885	0.875269752466	0.134682649921	-0.024610391584	0.000568132747	0.945153943437	N\A	0.044037991422	0.038540249988	0.004707453128	38	33	
1500000	398.234863	1	-1.210736091005	0.933002185047	0.114659679607	-0.027270260155	0.000372308549	0.944179437031	N\A	0.043521310044	0.038297420799	0.004144041618	44	30	
1550000	391.221267	1	-0.990476840781	0.974920497013	0.035839854458	-0.015996227644	0.000449863667	0.939590632196	N\A	0.048711677405	0.041607344166	0.004895122306	52	16	
1600000	399.058634	1	-1.074579769017	1.016177066098	0.041807602268	-0.023175153678	0.000405978385	0.943760256760	N\A	0.041024423427	0.036939001484	0.005132695229	43	31	
1650000	401.758400	1	-0.889623547966	0.920899444540	0.080776997393	-0.019654544798	0.000266652411	0.943618447504	N\A	0.045320940626	0.037358810825	0.004773288287	57	32	
1700000	381.883423	1	-1.065201496326	0.923334363327	0.084777882915	-0.024530447417	0.000146698253	0.938985255671	N\A	0.046862345678	0.040363987169	0.004097465720	62	34	
1750000	396.016995	1	-0.985292134700	0.966174996230	0.080902650634	-0.026470325309	0.000202566109	0.941408964193	N\A	0.041861989912	0.038339610205	0.005180984138	47	19	
1800000	388.610987	1	-0.794890687559	0.856535714893	0.146435092033	-0.022907383238	0.000337401641	0.939956700616	N\A	0.046474703183	0.041603374619	0.005309184005	43	22	
1850000	384.095987	1	-1.137966689967	0.927058287930	0.082182864343	-0.019511419158	0.000291494263	0.936544229996	N\A	0.042933044537	0.036890494868	0.004989301177	49	29	
1900000	392.987469	1	-1.077751375693	0.900691570765	0.120393961053	-0.028568243614	0.000357893719	0.943126224937	N\A	0.047633221791	0.040346944537	0.005404760521	50	27	
1950000	403.064832	1	-0.945918423163	0.877464388577	0.137041627418	-0.025250803433	0.000232294483	0.939833707993	N\A	0.046664042581	0.039559377918	0.004573266109	34	28	
2000000	390.746624	1	-0.800806848202	0.889945583223	0.096660481986	-0.020508922706	0.000364864070	0.936405233477	N\A	0.046273777916	0.039120577089	0.005037246566	52	28	
2050000	407.786737	1	-1.101686050758	1.047442655138	0.024585830285	-0.024100824387	0.000245579986	0.947572359181	N\A	0.042638438478	0.037983646755	0.004866105432	55	35	
2100000	405.637416	1	-1.032687113433	0.910259530589	0.111186858948	-0.024148188235	0.000243985932	0.938832483416	N\A	0.047109919777	0.040123562419	0.004697434539	52	26	
2150000	389.955825	1	-1.305844863564	1.033427817559	0.024818623354	-0.023142513065	0.000367304228	0.947072676903	N\A	0.043535477758	0.040614328672	0.005107474252	43	27	
2200000	380.415756	1	-1.188962056657	0.986386883057	0.053370617315	-0.022135932129	0.000327329914	0.937646715042	N\A	0.045952751320	0.041487508940	0.005160308987	47	32	
2250000	400.969839	1	-1.048716386565	0.874798816886	0.151728993001	-0.027611623935	0.000421632690	0.953224608388	N\A	0.042729879864	0.039355732432	0.005130287372	44	29	
2300000	391.138754	1	-1.178187931258	1.006302316266	0.047357821269	-0.022622179659	0.000321639626	0.941395659534	N\A	0.053540509129	0.044465853641	0.005095409815	45	28	
2350000	386.182420	1	-1.017010476001	0.933587294471	0.133491662256	-0.034593393778	0.000359028300	0.939624548093	N\A	0.051413848378	0.044870733390	0.005156872188	40	25	
2400000	404.523216	1	-0.878548235138	0.857471179361	0.110506366073	-0.016318662614	0.000641224197	0.946096164600	N\A	0.043829820930	0.037485407870	0.004858715069	47	30	
2450000	398.694098	1	-1.030979597385	0.968581375067	0.078763306408	-0.028995908590	0.000240371343	0.939643292064	N\A	0.042542586498	0.037617569805	0.004748316697	50	24	
2500000	392.108671	1	-1.071043730308	0.891763224479	0.145254581410	-0.026212648614	0.000721841984	0.952521977823	N\A	0.044507481701	0.039023494396	0.004951485513	39	29	
