Species_TTOL	PAL	rest_of_brain
Dactylopsila_trivirgata	2.605736	3.76646475332113
Dasycercus_cristicauda	2.089905	3.16814378922862
Dasyuroides_byrnei	2.11059	3.1709361619783
Dasyurus_geoffroii	2.584557	3.70221513935253
Dasyurus_hallucatus	2.406029	3.45874340368618
Dendrolagus_lumholtzi	2.819412	4.32056441398414
Distoechurus_pennatus	1.812245	2.99668674974598
Dorcopsis	2.889806	4.18833195300086
Echymipera_kalubu	2.588047	3.52847956017657
Gymnobelideus_leadbeateri	2.102434	3.34769853893654
Hypsiprymnodon_moschatus	2.611405	3.74212014161771
Isoodon_macrourus	2.655427	3.58290385753117
Isoodon_obesulus_obesulus	2.661339	3.62554911049539
Osphranter_antilopinus	3.209783	4.71459609027679
Macropus_giganteus	3.278067	4.77506983526938
Notamacropus_irma	2.968763	4.36841530467472
Notamacropus_parma	2.795463	4.20117855029655
Notamacropus_parryi	3.09237	4.51970786965636
Osphranter_robustus	3.192846	4.66347772236744
Osphranter_rufus	3.142076	4.6959083965357
Thylamys_pallidior	1.686636	2.76345797589405
Marmosops_impavidus	2.044932	3.05568408388292
Monodelphis_brevicaudata	1.980912	2.94537022663038
Notoryctes_typhlops	2.077368	2.91376083971985
Petauroides_volans	2.204391	3.62032345471659
Petaurus_australis	2.509471	3.77024778429207
Petaurus_breviceps	2.104828	3.32467344517594
Petaurus_norfolcensis	2.19173	3.45766979672993
Petrogale_inornata	2.817036	4.23497248958282
Petrogale_lateralis	2.71592	4.16786355239828
Petrogale_penicillata	2.847388	4.31879823891567
Petrogale_purpureicollis	2.783832	4.24652097310723
Petropseudes_dahli	2.341632	3.69722055952986
Phascolarctos_cinereus	2.733358	4.22355030391757
Planigale_ingrami	0.877371	1.97840863192174
Planigale_maculata	1.287802	2.30272041723985
Potorous_tridactylus_tridactylus	2.860038	3.99808497676137
Pseudochirulus_canescens	2.061829	3.33597913853393
Pseudochirulus_forbesi	2.177825	3.47922966682932
Sarcophilus_harrisii	3.134177	4.14834965764349
Sminthopsis_crassicaudata	1.535294	2.53750425778387
Sminthopsis_leucopus	1.658965	2.66164229549523
Phalanger_gymnotis	2.844912	4.06032757480693
Thylacinus_cynocephalus	3.328176	4.70915133299125
Thylogale_billardierii	2.904986	4.34805949126278
Thylogale_stigmatica	2.889358	4.25065668458073
Trichosurus_vulpecula	2.674677	4.00237325530746
Vombatus_ursinus	3.248439	4.68410274637518
Wallabia_bicolor	3.08636	4.55349934894676
Balionycteris_maculata	1.465	2.68604357258994
Casinycteris_argynnis	1.639	2.89835140151989
Chironax_melanocephalus	1.553	2.75718362381577
Cynopterus_brachyotis	1.698	2.966833649282
Cynopterus_horsfieldii	1.81	3.11468350641045
Cynopterus_sphinx	1.786	3.05354966776212
Dobsonia_inermis	2.226	3.40766797562694
Dobsonia_moluccensis	2.454	3.63531672034154
Dobsonia_praedatrix	2.279	3.45265177566025
Eidolon_helvum	2.386	3.60406636908379
