Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MES_d1_m7-VR-006.txt
Log File Name:                   MES_d1_m7-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2633184895
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MES_d1_m7-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	546.610084	1	-0.605064996419	0.760082892409	0.127688945352	-0.015724307908	0.000093640079	0.969358537322	N\A	0.026144806726	0.022783177075	0.002862387642	49	20	
1050000	549.901973	1	-0.447526689582	0.645770188700	0.242505174933	-0.024772852665	0.000075119593	0.971400118413	N\A	0.026491684095	0.024366179241	0.003207324070	47	24	
1100000	555.863692	1	-0.594457074275	0.717887328398	0.207678138446	-0.024907055073	0.000066966995	0.974136749045	N\A	0.025879036752	0.023593957043	0.002996370845	44	31	
1150000	569.530260	1	-0.600601348259	0.726350615451	0.199247518706	-0.025349843943	0.000064846396	0.974354394451	N\A	0.028620291700	0.025146006306	0.003204074652	38	28	
1200000	556.044204	1	-0.416902091313	0.640591671071	0.251427719552	-0.028718882151	0.000059126965	0.969374587428	N\A	0.025449721965	0.023241066097	0.002792723041	51	29	
1250000	550.400569	1	-0.512835601164	0.702485550583	0.171816174071	-0.018691972450	0.000070325813	0.973480587535	N\A	0.023701721235	0.022501358804	0.002758619291	44	25	
1300000	547.328250	1	-0.580487691615	0.737401531214	0.154710475363	-0.016464247877	0.000085008152	0.977233488020	N\A	0.025253702877	0.021806472794	0.002655586893	41	30	
1350000	559.093126	1	-0.524518222383	0.708924231256	0.179378640756	-0.018847285954	0.000074103873	0.972808333430	N\A	0.024554330994	0.022370310836	0.002988440654	48	31	
1400000	545.560457	1	-0.573124684298	0.741149541907	0.150534854660	-0.018399199566	0.000076113052	0.972344274158	N\A	0.022746570604	0.020984547135	0.002987736477	45	19	
1450000	560.377511	1	-0.450541959313	0.653180776894	0.246875856967	-0.025651219464	0.000050040147	0.973958385470	N\A	0.025089887731	0.022531417423	0.002828554540	38	30	
1500000	551.641754	1	-0.638293688610	0.765745801770	0.146397463278	-0.021850738262	0.000067461546	0.971610872600	N\A	0.026058597101	0.023357200654	0.002771903021	41	31	
1550000	558.522180	1	-0.570283432838	0.713895953470	0.204640404174	-0.025141368523	0.000071372270	0.974807604057	N\A	0.025161307205	0.022124362903	0.002791280436	37	27	
1600000	570.880562	1	-0.652147301027	0.771617903470	0.145846620625	-0.021387577561	0.000136981445	0.974325000783	N\A	0.026706823043	0.023317489115	0.003133715723	33	24	
1650000	565.869541	1	-0.510907454829	0.697618856318	0.194027352381	-0.020272716015	0.000085283842	0.975781853480	N\A	0.026696227217	0.022582287504	0.002752504623	47	28	
1700000	557.897155	1	-0.620961627124	0.707184016916	0.207409190329	-0.026332217587	0.000085383277	0.974058814382	N\A	0.027844405520	0.024569689164	0.002909563093	36	30	
1750000	558.156382	1	-0.659014312685	0.751392389592	0.182272527354	-0.023659556212	0.000091627588	0.978011891453	N\A	0.022659381352	0.022421367341	0.003059227303	50	35	
1800000	569.809391	1	-0.620008014566	0.745322147950	0.184236497217	-0.027451673144	0.000078798301	0.978043518642	N\A	0.024356770967	0.022120103462	0.002874647288	42	34	
1850000	554.312219	1	-0.641564585621	0.757137144465	0.170276522383	-0.026292867787	0.000063678267	0.974630444115	N\A	0.024330529452	0.022313261026	0.002665908480	43	31	
1900000	550.497768	1	-0.450055352431	0.637740364913	0.260100623718	-0.025053117996	0.000126070495	0.974445060763	N\A	0.023068103228	0.021542119581	0.002401508219	45	27	
1950000	562.820917	1	-0.636972781357	0.754390745104	0.163811400822	-0.019746562358	0.000056236727	0.977638822710	N\A	0.025230333506	0.023164911025	0.002930967941	50	26	
