Species_TTOL	AMY	BOD	GroupChiroptera_mega	GroupChiroptera_micro	GroupEuarchontoglires	GroupEulipotyphla	GroupMarsupials	BOD_GroupChiroptera_mega	BOD_GroupChiroptera_micro	BOD_GroupEuarchontoglires	BOD_GroupEulipotyphla	BOD_GroupMarsupials
Anourosorex_squamipes	1.186	1.307	0	0	0	1	0	0	0	0	1.307	0
Atelerix_algirus	2.014	2.867	0	0	0	1	0	0	0	0	2.867	0
Blarina_brevicauda	1.039	1.267	0	0	0	1	0	0	0	0	1.267	0
Chrysochloris_asiatica	1.302	1.69	0	0	0	0	0	0	0	0	0	0
Chrysochloris_stuhlmanni	1.365	1.626	0	0	0	0	0	0	0	0	0	0
Crocidura_attenuata	0.823	0.968	0	0	0	1	0	0	0	0	0.968	0
Crocidura_flavescens	1.101	1.467	0	0	0	1	0	0	0	0	1.467	0
Crocidura_hildegardeae	0.838	0.996	0	0	0	1	0	0	0	0	0.996	0
Crocidura_denti	0.882	1.079	0	0	0	1	0	0	0	0	1.079	0
Crocidura_russula	0.823	1.049	0	0	0	1	0	0	0	0	1.049	0
Crocidura_suaveolens	0.774	1.013	0	0	0	1	0	0	0	0	1.013	0
Cryptotis_parvus	0.959	0.991226075692495	0	0	0	1	0	0	0	0	0.991226075692495	0
Desmana_moschata	1.958	2.646	0	0	0	1	0	0	0	0	2.646	0
Echinops_telfairi	1.352	1.942	0	0	0	0	0	0	0	0	0	0
Echinosorex_gymnura	2.231	2.921	0	0	0	1	0	0	0	0	2.921	0
Erinaceus_europaeus	2.036	2.929	0	0	0	1	0	0	0	0	2.929	0
Euroscaptor_micrura	1.356	1.617	0	0	0	1	0	0	0	0	1.617	0
Galemys_pyrenaicus	1.561	1.778	0	0	0	1	0	0	0	0	1.778	0
Geogale_aurita	0.615	1	0	0	0	0	0	0	0	0	0	0
Hemicentetes_semispinosus	1.313	2.062	0	0	0	0	0	0	0	0	0	0
Hemiechinus_auritus	1.852	2.371	0	0	0	1	0	0	0	0	2.371	0
Hylomys_suillus	1.573	1.756	0	0	0	1	0	0	0	0	1.756	0
Limnogale_mergulus	1.428	1.964	0	0	0	0	0	0	0	0	0	0
Microgale_dobsoni	1.228	1.504	0	0	0	0	0	0	0	0	0	0
Microgale_talazaci	1.388	1.683	0	0	0	0	0	0	0	0	0	0
Micropotamogale_lamottei	1.28	1.808	0	0	0	0	0	0	0	0	0	0
Micropotamogale_ruwenzorii	1.344	1.986	0	0	0	0	0	0	0	0	0	0
Myosorex_sclateri	1.082	1.23	0	0	0	1	0	0	0	0	1.23	0
Neomys_anomalus	0.913	1.037	0	0	0	1	0	0	0	0	1.037	0
Neomys_fodiens	0.934	1.182	0	0	0	1	0	0	0	0	1.182	0
Oryzorictes_hova	1.317	1.645	0	0	0	0	0	0	0	0	0	0
Parascalops_breweri	1.354	1.731	0	0	0	1	0	0	0	0	1.731	0
Potamogale_velox	1.794	2.791	0	0	0	0	0	0	0	0	0	0
Ruwenzorisorex_suncoides	1.011	1.262	0	0	0	1	0	0	0	0	1.262	0
Scalopus_aquaticus	1.49	2.061	0	0	0	1	0	0	0	0	2.061	0
Scutisorex_somereni	1.252	1.792	0	0	0	1	0	0	0	0	1.792	0
Setifer_setosus	1.83	2.373	0	0	0	0	0	0	0	0	0	0
Solenodon_paradoxus	2.131	2.826	0	0	0	1	0	0	0	0	2.826	0
Sorex_alpinus	0.906	1.033	0	0	0	1	0	0	0	0	1.033	0
Sorex_araneus	0.886	0.987	0	0	0	1	0	0	0	0	0.987	0
Sorex_cinereus	0.689	0.633	0	0	0	1	0	0	0	0	0.633	0
Sorex_fumeus	0.871	0.924	0	0	0	1	0	0	0	0	0.924	0
Sorex_hoyi	0.516	0.42	0	0	0	1	0	0	0	0	0.42	0
Sorex_minutus	0.539	0.633	0	0	0	1	0	0	0	0	0.633	0
Suncus_etruscus	0.238	0.762	0	0	0	1	0	0	0	0	0.762	0
Suncus_murinus	1.045	1.529	0	0	0	1	0	0	0	0	1.529	0
Sylvisorex_granti	0.704	0.591	0	0	0	1	0	0	0	0	0.591	0
