Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m8-fab-005.txt
Log File Name:                   SEP_d1_m8-fab-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2340175287
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m8-fab-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.248843
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.69 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	563.212093	1	-1.747188861769	1.014264760999	-0.020417426946	0.034866556801	0.000058226445	0.979972433755	N\A	0.041649351657	0.005547545251	0.016702400393	37	3	
1050000	555.684561	1	-1.715787466542	0.981520436573	-0.010667726128	0.005224597355	0.000062442420	0.980660966227	N\A	0.042182199728	0.005657262447	0.017639268320	46	4	
1100000	555.284062	1	-1.798284197035	1.064106467014	-0.026617390047	0.011434305907	0.000050739768	0.976533023904	N\A	0.041017546388	0.005001753309	0.016798749594	27	4	
1150000	555.970390	1	-1.948063634111	1.161802256792	-0.039637824241	-0.001836823951	0.000052033142	0.977982091187	N\A	0.040903655193	0.005611342625	0.017047931504	29	4	
1200000	569.898182	1	-1.759691352698	1.045217106170	-0.023004588963	0.005886257494	0.000076506631	0.980490612460	N\A	0.040003803565	0.004637809321	0.015702660237	28	5	
1250000	565.217445	1	-1.841560935208	1.084679864383	-0.031619986978	0.011624651764	0.000073421799	0.976919868358	N\A	0.042844508979	0.005473449787	0.017617788231	32	3	
1300000	547.375655	1	-1.964132117815	1.156072080892	-0.032347399766	-0.033640860541	0.000047294160	0.976562805462	N\A	0.043545079079	0.005732151936	0.017839320750	36	2	
1350000	544.407662	1	-1.898047181028	1.122406651766	-0.031885394948	-0.001570374606	0.000039447157	0.979054652802	N\A	0.039967989884	0.005296238017	0.015666120178	31	2	
1400000	553.899963	1	-1.897930571396	1.141474439162	-0.031717750180	-0.026234946127	0.000065924849	0.974040747731	N\A	0.048121652810	0.006719026762	0.019220348586	35	3	
1450000	561.150249	1	-1.943292900927	1.138526783892	-0.042548359392	0.033261204290	0.000068790338	0.972813495161	N\A	0.043807795202	0.005549466168	0.018488060477	30	3	
