Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m2-glob-004.txt
Log File Name:                   NEO_d1_m2-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1095556777
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m2-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Node	No RJ LS Betas	Global Trend	
1500000	353.198406	1	0.595234430932	1.100396798468	0.767221374387	0.354909086594	1.765770622293	0.565096272565	0.304766952159	-0.398068457114	-0.387286094569	-0.511559447839	-0.474953368517	-0.387057277644	0.000076013775	0.940826587269	N\A	0.101637745562	0.359462465670	0.353348143722	0.371262112934	0.356310128473	0.370763850703	0.103117173645	0.102949890848	0.108759476872	0.105929131258	0.106031412891	40	15	-0.000026753301	Global Trend	
1550000	375.959828	1	0.723728306528	0.793552692277	0.603867048772	0.210009531783	0.886029968175	0.115057493082	0.086856579929	-0.078563106398	-0.058973282871	-0.100802135455	-0.120460047625	-0.136228714348	0.000148257013	0.956197323590	N\A	0.058524020598	0.122007015375	0.114438967478	0.161200762087	0.132700594928	0.160973967348	0.060221373198	0.060123237660	0.067555017920	0.065633946746	0.064135453406	39	17	-0.000451984391	Global Trend	
1600000	367.672645	1	0.768733005882	0.831681368496	0.572516379987	0.185629839450	1.035297151244	0.249072376042	0.059216262779	-0.122846926616	-0.118159760622	-0.124027827731	-0.221085623698	-0.224976749019	0.000094257809	0.956964713683	N\A	0.049038665782	0.154560358052	0.141843882013	0.165105563268	0.169765331938	0.217945379587	0.051192282471	0.050872513954	0.058089127649	0.064251161507	0.052789921186	44	14	-0.000113289125	Global Trend	
1650000	346.669062	1	0.963765346372	0.816695022805	0.533906343295	0.028657300906	0.656397660264	-0.137767497276	0.023343363590	-0.139674863368	-0.109174675698	-0.225013339169	-0.205431832799	-0.239107579653	0.000371906419	0.998339933101	N\A	0.055256456029	0.124578954169	0.110647706769	0.189375155741	0.136083010449	0.218075310987	0.059209320868	0.058705251023	0.067993082909	0.064651864514	0.057337043982	36	13	-0.181824855235	Global Trend	
1700000	359.246263	1	0.605900551940	0.831262359560	0.195910035798	-0.111155490879	0.594588698516	-0.153077315346	0.464899213877	-0.079880808346	-0.070353128943	-0.207687290321	-0.234768699132	-0.160704932374	0.000210852411	0.948384604644	N\A	0.041841643443	0.109958734471	0.094769101328	0.194867978928	0.125683090861	0.176586899457	0.048763451722	0.044844447478	0.057095465051	0.055941169567	0.048159167278	32	13	-0.006084332758	Global Trend	
1750000	373.962660	1	0.794819939270	0.858055953874	0.135253660566	-0.335320618518	1.203769027137	-0.207417579581	0.283439040975	-0.134776015700	-0.109769087458	-0.230186351733	-0.236339088802	-0.223493171919	0.000198378709	0.952199466607	N\A	0.040733314728	0.112049934560	0.094697294096	0.132168214771	0.117793677564	0.169470605562	0.044254514806	0.043651012337	0.051340813167	0.053487091293	0.044928310780	47	11	-0.000774594652	Global Trend	
1800000	364.726003	1	0.750613180523	0.883889896589	-0.271933594347	-0.669416865718	1.049567635400	-0.418249740311	0.554631780336	-0.178195215523	-0.138445026516	-0.236784036868	-0.304912540996	-0.267869151186	0.000220005984	0.935803321275	N\A	0.044490688884	0.169247553379	0.150730962438	0.215177353851	0.209062417713	0.232810363990	0.049556282143	0.047340519491	0.055476971951	0.065995542285	0.051802989994	29	13	0.000223735630	Global Trend	
1850000	362.365418	1	0.610962823325	0.793083697850	-0.221027109545	-0.539278287628	1.666308640615	-0.046747848681	0.036632795794	-0.043041712793	-0.049497966650	-0.226389402798	-0.240671220029	-0.129719997192	0.000337533967	0.999982776862	N\A	0.039731914710	0.107424200010	0.087824099580	0.146503700757	0.130160836234	0.207535412161	0.046322315750	0.042230928377	0.051332989987	0.056201384467	0.047067691589	36	13	1.129213623352	Global Trend	
1900000	373.716222	1	0.822604263501	0.913612955485	0.010572457684	-0.486602129632	2.079645786339	-0.426585635397	0.098223802594	-0.217586385285	-0.194617269477	-0.265730746643	-0.308738214225	-0.211771962077	0.000357392467	0.975137527955	N\A	0.043352954622	0.100240209435	0.085474445101	0.146435524205	0.125971179756	0.204756285649	0.049160906323	0.045851690029	0.052746522980	0.054778274387	0.047852727842	41	15	0.034455157704	Global Trend	
1950000	384.190295	1	1.085857376596	0.804644356555	-0.102098662480	-0.440735665753	1.562561128165	-0.416123211209	0.170814094386	-0.068347436268	-0.070768984320	-0.142020739765	-0.209906486963	-0.130958593230	0.000423033496	0.963172677423	N\A	0.041682426682	0.109460105333	0.094652350409	0.150871593843	0.142087361357	0.226999709340	0.047385311292	0.043834424749	0.051469139577	0.057055192845	0.048050172351	43	14	-0.028237519716	Global Trend	
2000000	361.589859	1	0.908415936243	0.913058017355	-0.348480681657	-0.709149421427	1.638707626556	0.536375242674	0.241743669985	-0.207474364535	-0.171520186280	-0.276380240378	-0.373421381086	-0.242348704517	0.000539241140	0.999847172455	N\A	0.046588163474	0.120996072654	0.104290366601	0.177758247136	0.143653452077	0.259615565941	0.052546369580	0.049127663096	0.060188431447	0.058897537268	0.057977081385	36	11	0.794674648421	Global Trend	
2050000	332.745093	1	0.282922293383	1.086061569633	0.128640225681	-0.386015891909	1.233580847034	0.698895536231	0.790879471338	-0.398182224416	-0.314769991011	-0.307769042766	-0.488856441121	-0.473323270705	0.000704056236	0.939193456472	N\A	0.078582754712	0.168420613963	0.159099895123	0.214936405812	0.172050599337	0.299589967752	0.080606155989	0.080317273022	0.089933812604	0.085505879550	0.083073415742	40	11	-0.001252540330	Global Trend	
2100000	359.163442	1	0.940972978748	0.806619613193	-0.219616580633	-0.659810598246	1.328613732519	0.414038559941	-0.058395923043	-0.069558964408	-0.052688691767	-0.137266988204	-0.243723356965	-0.066763787679	0.000405325470	0.950550947814	N\A	0.063182984018	0.113686009813	0.099539291293	0.154410586180	0.127730324605	0.226263008486	0.066450100407	0.065123114344	0.069117666038	0.071788775998	0.067114692550	38	13	0.016084189086	Global Trend	
2150000	368.008112	1	1.248295170289	0.573731216613	-0.640561219739	-0.980272346089	1.235529763949	-0.072893089515	0.435476838342	0.202170157085	0.161505750018	0.007636675107	0.093552090702	0.019109699294	0.000773998451	0.978072085420	N\A	0.095801100275	0.132661374255	0.125893336050	0.178121137240	0.162097959555	0.278813856508	0.097380011439	0.096696123056	0.099960818324	0.103264350492	0.099510365266	42	11	0.055622848575	Global Trend	
2200000	354.061055	1	0.955898940637	0.651485212184	-0.424108215707	-0.789108452252	1.424136237563	0.176488844989	0.072974540160	0.061585050903	0.069027374018	-0.086737935030	-0.094692039310	-0.019902276489	0.000305376945	0.944605783675	N\A	0.072326051495	0.116276078823	0.106828701152	0.153145948849	0.133336949112	0.201367433178	0.074440372528	0.074336138724	0.078460976884	0.079630360190	0.075280317828	38	13	-0.004352120853	Global Trend	
2250000	367.675168	1	0.903618704296	0.752177451783	-0.442617116767	-1.114565208192	1.546021231763	0.228022223329	0.425827250248	-0.036035518477	0.014308027254	-0.124348611504	-0.111078973864	-0.142125436336	0.000191564770	0.998172505161	N\A	0.058559876040	0.109477147809	0.092955955402	0.163800839076	0.121698109610	0.169458170908	0.061950182788	0.060556745824	0.067192876716	0.067458340818	0.062391347060	43	12	-0.065223492838	Global Trend	
2300000	338.147175	1	0.278564959403	0.730393068806	-0.602698497410	-0.820420542660	1.007323875633	0.353129159602	0.730470872084	-0.026262706651	-0.000049176436	-0.094671366887	-0.171190376859	-0.085341208350	0.000344991082	0.972675410069	N\A	0.064800879906	0.140197146606	0.116111713893	0.196844061639	0.141461503652	0.218312312956	0.067684318764	0.066325348478	0.073707877372	0.072519894357	0.068877862515	48	9	-0.022516909060	Global Trend	
2350000	360.515103	1	0.450043165836	0.873527642349	-0.843629912651	-1.010440921053	1.524736141608	0.556127820041	0.558798580295	-0.133124860731	-0.149686882237	-0.172386706645	-0.283878293027	-0.172374122577	0.000285648060	0.942217136788	N\A	0.057247895122	0.126781881208	0.107359560006	0.216846140236	0.129582262644	0.200834029832	0.059681930973	0.060201247528	0.070385377260	0.064937755397	0.061267714959	45	11	0.002520524572	Global Trend	
2400000	358.092271	1	0.368506309598	0.928824180205	-0.681249250420	-0.757313138012	1.197615851087	0.707453189324	1.015932181749	-0.231167595354	-0.183357483438	-0.121952468137	-0.311544483932	-0.254096345126	0.000256830502	0.945079123386	N\A	0.050536704256	0.108335427105	0.093966624793	0.246328525492	0.115617533299	0.195436188057	0.054126497842	0.052773278420	0.069624011685	0.058243119790	0.056908122943	48	14	0.001592562394	Global Trend	
2450000	359.050789	1	0.627934764720	0.866417055886	-0.558765417157	-0.901314204305	1.285134444949	0.563244516395	0.635439167477	-0.116694346843	-0.099856403071	-0.193057456285	-0.302079527014	-0.180177240106	0.000253179609	0.999483858439	N\A	0.074111698702	0.111228225492	0.103157845241	0.151880848945	0.125867885553	0.187618708954	0.076605478709	0.076103880818	0.080772122052	0.079727081104	0.076342459999	44	7	-0.232714545524	Global Trend	
2500000	358.084338	1	0.379842014109	0.937665741311	1.768987599855	1.392582768190	2.633569717758	2.635094243585	0.559437646934	-0.244413305893	-0.218942560969	-0.201266830363	-0.318758755151	-0.278402604677	0.000308749767	0.945874228124	N\A	0.100714938969	0.355611659996	0.342356845268	0.356999767985	0.345016504198	0.398642823545	0.103516293016	0.101630105916	0.107497330444	0.105855682023	0.104006594715	36	13	-0.000022149985	Global Trend	
2550000	381.595272	1	-0.143934423788	0.837963509754	1.270296726063	0.920127539113	2.663442124495	1.473438003844	0.730538561160	-0.061198955507	-0.088223361930	-0.159065072038	-0.219820680255	-0.171762834636	0.000414111618	0.948760261195	N\A	0.063698248844	0.216025492844	0.210176856787	0.227248138543	0.209527804716	0.293404088266	0.066117357337	0.065584375909	0.072673344674	0.071305811798	0.067911526947	35	17	-0.000599849071	Global Trend	
2600000	388.700772	1	0.956925975768	0.923989260781	0.521898237373	0.211831208462	2.313523690430	1.617943709799	0.734450819864	-0.146178458636	-0.178208590513	-0.254800885796	-0.307889353740	-0.302741856413	0.000538580511	0.947565044464	N\A	0.071694504023	0.234631309607	0.223328435435	0.276532424423	0.267044268889	0.364000903467	0.074749990980	0.073005717419	0.080035920206	0.082669281896	0.074971684287	41	20	0.000243688802	Global Trend	
2650000	366.313271	1	0.940481151978	0.885564267458	-0.005847337181	-0.454421216867	1.005496036007	0.381254835476	0.104344287663	-0.130679937976	-0.132342613726	-0.220437924566	-0.323712857157	-0.181252347816	0.000436898987	0.954608264818	N\A	0.058746050968	0.116027281994	0.104901617803	0.164948271914	0.155542173374	0.231108691945	0.061798827205	0.060424498328	0.068164120450	0.076678986559	0.061954114620	43	19	-0.006730338266	Global Trend	
2700000	385.257065	1	1.661596304254	0.973406059074	0.200795652478	-0.156657098647	1.520781445630	0.669097108113	-0.780561012272	-0.209173383535	-0.245462143816	-0.294286172065	-0.394625833799	-0.283176991279	0.000229152985	0.999994347753	N\A	0.054013101579	0.104761694301	0.090312905727	0.137520407849	0.120453460694	0.195892988844	0.057344258310	0.056032409223	0.061073293572	0.063058706444	0.059112149544	44	18	-1.349150564993	Global Trend	
2750000	364.253728	1	0.992599287343	0.816554970879	-0.608263724018	-0.772416638426	1.486610350741	0.371745203129	0.476725184986	-0.086295549078	-0.102113646703	-0.174018778795	-0.222488134088	-0.185737585415	0.000420055982	0.998609477490	N\A	0.058871279507	0.123597235959	0.103026958564	0.156540821773	0.131592464334	0.227036844992	0.063572608685	0.061192582964	0.067509469208	0.068282915990	0.062642533952	53	16	0.224992070341	Global Trend	
2800000	340.571927	1	1.123511557169	0.719861141522	-0.245300330571	-0.678233009172	1.098599070486	0.188822890074	0.068239287334	0.007884388777	0.053864306035	-0.105493528602	-0.070667953713	-0.035098258165	0.000416762356	0.999728748147	N\A	0.062194911000	0.113958043909	0.099787649754	0.127205801588	0.130855053718	0.227572432564	0.064933510659	0.064786250931	0.066358953739	0.073906088447	0.067795000621	32	12	0.448946807775	Global Trend	
2850000	371.112227	1	1.110682265018	0.746655758536	0.250549145549	-0.149687343406	0.793906482964	-0.056304233173	-0.268921429830	-0.023938466030	-0.017748300779	-0.037085012513	-0.184963604048	-0.052375101611	0.000779027138	0.999785175038	N\A	0.055742915071	0.120451212800	0.108842244615	0.158135041350	0.151629260722	0.273619143456	0.058212234611	0.057671561599	0.063295918471	0.070527244277	0.063804905831	34	12	-1.053414102277	Global Trend	
2900000	362.593664	1	0.737992866429	0.847746205093	-0.018806881233	-0.199976459606	0.707273326011	-0.064848967526	0.508862482783	-0.114008810184	-0.135333287166	-0.148950585658	-0.202391362631	-0.178822901203	0.000494765681	0.999913572000	N\A	0.058110525275	0.113581122641	0.097951193009	0.133005160734	0.122510299512	0.214770238729	0.060699843510	0.060391076957	0.064079965214	0.067169863237	0.063284312803	37	10	0.898307388505	Global Trend	
2950000	376.725903	1	0.744043936357	0.727707160345	0.109997525771	-0.344393170521	0.526996158413	-0.245525436214	0.545842849833	-0.003161749842	0.004622884276	-0.074519164097	-0.128458429740	-0.120906498282	0.000379221869	0.999286260819	N\A	0.055081880139	0.107159516478	0.101423889954	0.150651821163	0.132832605482	0.217956275621	0.057376597829	0.057454388778	0.063761375208	0.065755612018	0.059048653249	45	15	0.286873288921	Global Trend	
3000000	364.435198	1	0.768521279399	0.763455129006	-0.039940977785	-0.551729410785	1.080428324680	-0.404315445272	0.318207860872	-0.081635528426	-0.015479538910	-0.070971720151	-0.103568936748	-0.098088164266	0.000367095667	0.942305841140	N\A	0.086446583117	0.213842918330	0.205851751620	0.221637872921	0.209921166697	0.274918123430	0.088327146962	0.087928201029	0.091752055783	0.093252264219	0.089868862359	28	17	-0.000566128916	Global Trend	
