Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m7-fab-003.txt
Log File Name:                   NEO_d1_m7-fab-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            547745634
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m7-fab-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	640.038355	1	-1.156781437388	1.140361819673	-0.012699505607	-0.006903504233	0.000014485975	0.992347825320	N\A	0.015040850295	0.013854077113	0.001795056217	41	3	
1050000	640.960513	1	-1.020542533002	1.108214749961	-0.029992879899	0.000247962061	0.000013279062	0.992417020699	N\A	0.014155867100	0.013949894585	0.001656092254	43	6	
1100000	637.809562	1	-1.107905607402	1.103390464899	0.007139354551	-0.005496883586	0.000016972152	0.992361446819	N\A	0.014879205108	0.013685552788	0.001586011512	45	4	
1150000	661.478772	1	-1.168318345877	1.168000579730	-0.050497229648	0.000266779711	0.000009849264	0.991890814792	N\A	0.017124183280	0.016147012854	0.002130693646	51	5	
1200000	639.350149	1	-1.157587136646	1.159244890630	-0.033230060444	-0.002010688491	0.000019540883	0.993995363076	N\A	0.013016506538	0.014776875367	0.001706262279	37	2	
1250000	653.482502	1	-1.067024095830	1.121759873099	-0.001952912053	-0.006366371064	0.000027219523	0.991899535887	N\A	0.015530962488	0.015018346030	0.001916641674	49	4	
1300000	658.326031	1	-1.084681762327	1.143916671055	-0.015555138878	-0.003556466492	0.000186491432	0.991176914633	N\A	0.018651804956	0.016152368144	0.001978935913	46	4	
1350000	658.064576	1	-1.023488798217	1.146171277962	-0.019477187233	-0.005780759298	0.000016174654	0.991624851103	N\A	0.015335071555	0.014737264184	0.001907798511	34	7	
1400000	640.651339	1	-1.070558879127	1.123291903023	-0.028667467981	0.000470946462	0.000018648149	0.991268122309	N\A	0.016009390443	0.015032328231	0.001904563032	49	5	
1450000	644.246451	1	-1.068876512727	1.094435754903	0.023406672456	-0.005247182364	0.000063370974	0.991068175556	N\A	0.015819728802	0.014343039086	0.001795609375	39	5	
1500000	655.772106	1	-1.019591954020	1.106263331774	0.016982298207	-0.006420248634	0.000059651668	0.993954282352	N\A	0.011964248939	0.012617785687	0.001635109195	45	7	
1550000	662.744510	1	-1.143206850900	1.128468300243	-0.027244698141	0.000182246512	0.000063591097	0.993378611329	N\A	0.013352480408	0.012406670618	0.001590885662	45	5	
1600000	658.582864	1	-1.258125638476	1.168131435188	-0.030310747189	-0.005103131704	0.000027905895	0.991646294861	N\A	0.017748393235	0.016329502207	0.001749314116	50	8	
1650000	653.685359	1	-1.061956913519	1.093661910596	0.021976313412	-0.005677341403	0.000055301301	0.993804111771	N\A	0.012523425948	0.011843894175	0.001614157924	42	6	
1700000	648.269538	1	-1.006591862834	1.108294919886	-0.024413228059	-0.000075384614	0.000041900899	0.994992303386	N\A	0.012626181401	0.014067203242	0.001815735918	48	6	
1750000	651.078542	1	-1.235947858752	1.160304427586	-0.034372391758	-0.000699732107	0.000018820013	0.991192812640	N\A	0.019540441974	0.017398931833	0.001996298274	38	6	
1800000	654.878181	1	-1.083276465054	1.124404213253	0.001100597874	-0.006125683826	0.000016185546	0.992262428113	N\A	0.014423832443	0.013963743712	0.001754028261	41	6	
1850000	661.984617	1	-1.118325247774	1.135067574604	-0.041608105955	-0.000080672578	0.000023637049	0.992059893256	N\A	0.015909771408	0.015342289687	0.001981005705	39	6	
1900000	657.130527	1	-1.185358587937	1.127716927116	0.007903494567	-0.006945775573	0.000060618092	0.992052580001	N\A	0.015376703106	0.014328842327	0.001850399664	37	6	
1950000	667.134534	1	-1.085176569314	1.106858755454	0.002812876339	-0.004458947955	0.000056212253	0.992147146644	N\A	0.015283980959	0.014463057649	0.001735382518	37	6	
2000000	655.755097	1	-1.089191284819	1.090818007303	0.030314454982	-0.006127786375	0.000047457615	0.992778506023	N\A	0.014419934511	0.014340263803	0.001718472136	39	6	
2050000	651.153528	1	-1.018790012048	1.078452811268	0.017124647550	-0.004083248222	0.000059044475	0.992296232961	N\A	0.013472370370	0.013269854917	0.001718979307	39	5	
2100000	660.226065	1	-1.089807585478	1.124923303533	-0.023297516680	-0.002993938606	0.000051901236	0.994216273307	N\A	0.013490688058	0.009614409254	0.001465396865	45	7	
2150000	652.540707	1	-1.161605761390	1.153909967715	-0.045809110188	-0.000100653923	0.000020770746	0.991243287206	N\A	0.019316585894	0.017316623939	0.001985349236	38	4	
2200000	649.777177	1	-1.105551416285	1.119491035116	-0.004214695146	-0.004093527573	0.000117646492	0.991855486437	N\A	0.014602324334	0.015166146327	0.001855671001	38	4	
2250000	648.317244	1	-1.118400461777	1.132992370827	-0.013494172448	-0.003647351289	0.000044532250	0.991504260265	N\A	0.016441989580	0.015487865671	0.001947217407	53	4	
2300000	660.595926	1	-1.078871286264	1.122725399530	-0.007111433831	-0.003611725259	0.000101078961	0.992781404026	N\A	0.014650277316	0.013434669485	0.001668398363	36	5	
2350000	657.135781	1	-1.091248425367	1.129679587307	-0.004896098931	-0.005827518309	0.000037037946	0.993820851520	N\A	0.015213449080	0.014823565027	0.001734930487	46	5	
2400000	664.501411	1	-1.026604939661	1.089720111073	0.009175867108	-0.005404918827	0.000029863022	0.993925768164	N\A	0.011784763621	0.012003324743	0.001526510301	44	4	
2450000	651.413883	1	-1.050726245089	1.146332146845	-0.015508082069	-0.005422725668	0.000031558407	0.992132414295	N\A	0.017417887872	0.015495857251	0.001686315821	31	3	
2500000	654.428090	1	-1.081474796186	1.169975071963	-0.045085599235	-0.002857261140	0.000041455102	0.991514805517	N\A	0.017674697796	0.014858573818	0.001881417131	30	7	
2550000	653.614233	1	-0.958296453260	1.091441449831	0.019483906409	-0.005710932223	0.000067072919	0.991881431707	N\A	0.014766805341	0.014479647063	0.001872561858	45	5	
2600000	665.043886	1	-1.099125169235	1.117717200053	-0.006610019218	-0.003986987429	0.000042418964	0.993317749578	N\A	0.013950586625	0.013515261429	0.001535387105	37	6	
2650000	647.377055	1	-1.158268693680	1.156610169015	-0.041999962619	-0.000199505206	0.000050301409	0.990850762190	N\A	0.019391756929	0.015746531273	0.001975958404	39	6	
2700000	657.703762	1	-1.126614738690	1.130925761155	-0.007858393052	-0.005853075983	0.000021271946	0.993132236541	N\A	0.013874810898	0.013881593604	0.001577367027	51	5	
2750000	651.709024	1	-1.115106314712	1.122623641482	-0.022040624380	-0.001925090026	0.000029477648	0.991790700171	N\A	0.018495105722	0.016907695799	0.001821352089	40	6	
2800000	648.791316	1	-1.012960182149	1.110106033202	0.006810407355	-0.005435000985	0.000061356725	0.993862421006	N\A	0.012906505791	0.013799366752	0.001580913816	40	6	
2850000	649.850764	1	-1.074983487889	1.155695052017	-0.038282503544	-0.000668767359	0.000060989719	0.990903664748	N\A	0.018111349044	0.016770873222	0.002062590595	39	4	
2900000	645.332836	1	-1.185119381886	1.122239604545	-0.007575819871	-0.003178012902	0.000036100826	0.991289270856	N\A	0.017042947052	0.015300900346	0.001913534804	40	5	
2950000	646.185548	1	-1.067661913994	1.126290056724	-0.020030431878	-0.002955219389	0.000040957189	0.993017392722	N\A	0.014193699415	0.013799081601	0.001604627428	52	4	
3000000	646.172696	1	-1.044661316235	1.097617180908	0.003222663332	-0.001742444311	0.000110080043	0.991688024232	N\A	0.015771361000	0.013912758328	0.001816758761	48	5	
3050000	637.445335	1	-0.999267661368	1.062617933786	0.027131477527	-0.003386738845	0.000056647317	0.993252449944	N\A	0.011030749803	0.012259591580	0.001661090865	43	5	
3100000	643.089427	1	-0.992775565758	1.083330869753	-0.002956751120	-0.001413542349	0.000014018065	0.992111138939	N\A	0.015371770449	0.015748884544	0.001932291801	43	5	
3150000	663.177402	1	-1.060139372204	1.104899225063	0.004421102838	-0.004547899926	0.000020960080	0.992360590689	N\A	0.015150984294	0.013846251878	0.001831243158	52	5	
3200000	642.567883	1	-1.151506543618	1.144582111812	-0.031720396127	-0.001436287092	0.000102379691	0.991187471868	N\A	0.017212030207	0.014523343679	0.001787532562	40	4	
3250000	649.790342	1	-1.237329284424	1.192258771951	-0.077593904610	0.000616221450	0.000030844549	0.991488740549	N\A	0.016620221389	0.015387388939	0.001675416507	40	6	
3300000	665.732471	1	-1.066795484541	1.107329651732	0.019056948487	-0.007021949155	0.000060278781	0.993065290806	N\A	0.012847580466	0.013372262473	0.001689466396	41	5	
3350000	650.456610	1	-1.132189889919	1.127450264152	-0.018867683205	-0.001540135818	0.000020965741	0.991843840131	N\A	0.015871597964	0.014773322382	0.001882714196	35	5	
3400000	653.287968	1	-1.058791910920	1.119005054331	-0.009467153545	-0.004725591087	0.000024372824	0.991162976227	N\A	0.016934663724	0.015577075534	0.002093836937	40	7	
3450000	657.556187	1	-0.953157395002	1.098120373281	0.002393176587	-0.003772407634	0.000046832767	0.993962743764	N\A	0.013576522055	0.013148660439	0.001448273690	44	4	
3500000	645.937937	1	-0.984151004797	1.108421543595	-0.005324391869	-0.002347182060	0.000062314666	0.993859755402	N\A	0.012403915524	0.012532432433	0.001775483233	44	3	
3550000	637.459967	1	-1.001104926453	1.121779155317	-0.003612008735	-0.004546701807	0.000055941850	0.992618621018	N\A	0.013103895281	0.013097294285	0.001657667438	34	4	
3600000	640.337088	1	-0.725243117059	1.091530803650	0.030930831689	-0.007533089318	0.000052346151	0.991037582463	N\A	0.015652512676	0.015047902134	0.001948837115	43	5	
3650000	645.851504	1	-1.029135930294	1.089392582772	0.033240504643	-0.008020869995	0.000050717588	0.992845373808	N\A	0.013516106481	0.013922481849	0.001714774606	51	6	
3700000	660.243088	1	-1.128634602315	1.147124772555	-0.046843102772	-0.000329402312	0.000053245272	0.992375287069	N\A	0.017573241414	0.015739320543	0.001735257631	32	5	
3750000	648.700004	1	-1.061603186745	1.125638266450	-0.011610116529	-0.003358102981	0.000063952366	0.991511763935	N\A	0.015983762743	0.014941478008	0.002007036023	44	5	
3800000	667.059565	1	-1.143315279941	1.119103730801	0.014110928332	-0.007899180660	0.000046380767	0.992550806605	N\A	0.014518139916	0.014142472631	0.001889437050	39	5	
3850000	662.868138	1	-1.125037386982	1.121781709384	0.004228722222	-0.007101462527	0.000052159621	0.992720890692	N\A	0.013987274505	0.013968613873	0.001725286811	29	6	
3900000	666.207967	1	-1.094763939477	1.128965497357	-0.022079407135	-0.002485304404	0.000027613249	0.992293566168	N\A	0.016610020820	0.015128942881	0.001858759784	41	8	
3950000	655.276064	1	-0.999741024335	1.108125878972	-0.008901745176	-0.004037310761	0.000055373692	0.993688970936	N\A	0.013362911155	0.013109938205	0.001507577432	37	5	
4000000	653.490538	1	-1.156605815576	1.136338348142	-0.014714377462	-0.004797942321	0.000055646442	0.993371616105	N\A	0.016195699568	0.013017812397	0.001349810626	47	5	
4050000	681.219912	1	-1.066324528866	1.115130946061	-0.002484414512	-0.005568900433	0.000044210397	0.992648596282	N\A	0.016711107441	0.014939444385	0.001708790494	50	6	
4100000	648.306162	1	-1.197524037479	1.171467343483	-0.071744130773	0.002587460126	0.000025452132	0.990751576223	N\A	0.019860613381	0.018014249215	0.001956652835	40	6	
4150000	663.385035	1	-1.117380573062	1.144494320362	-0.016119451415	-0.004930237577	0.000025595939	0.993610022143	N\A	0.014753492367	0.014328176092	0.001538181256	46	4	
4200000	650.117203	1	-1.076787740715	1.118764972913	0.001561728452	-0.005292985998	0.000058577578	0.990758941935	N\A	0.019314006079	0.017710801779	0.002287428196	42	5	
4250000	653.181472	1	-1.167137752952	1.142865526374	-0.019269855009	-0.003528430454	0.000046519889	0.992461485806	N\A	0.017372072129	0.015674839752	0.001724215811	40	4	
4300000	657.723813	1	-1.141116484133	1.114336460548	-0.006159244168	-0.002917991189	0.000046000883	0.992915391963	N\A	0.012473987545	0.011629772472	0.001468930228	40	4	
4350000	651.915913	1	-1.184142730518	1.128038712487	-0.011459805166	-0.004122469195	0.000024297302	0.994006991904	N\A	0.012475283601	0.012575516353	0.001624438181	37	5	
4400000	642.696587	1	-1.110499203935	1.128484176458	-0.001847785611	-0.005557989902	0.000035040617	0.992186301907	N\A	0.014897326497	0.014222139153	0.001729006023	52	4	
4450000	654.875258	1	-1.181373043170	1.158665881553	-0.033794720628	-0.002894376976	0.000069146425	0.992900202910	N\A	0.016451745505	0.015418859241	0.001866358843	47	5	
4500000	648.313998	1	-1.052755284785	1.114457493319	0.010567907432	-0.007292888460	0.000038089804	0.993188327664	N\A	0.012213732849	0.012292175224	0.001686361696	40	5	
4550000	652.291549	1	-1.076553666214	1.133464205380	-0.030661647455	-0.001480030260	0.000013093271	0.991541562326	N\A	0.015505096231	0.015107792436	0.001917836478	45	4	
4600000	648.890136	1	-1.120942498860	1.125077305633	-0.003774872071	-0.004718083789	0.000019241693	0.992598290394	N\A	0.015392491131	0.014429701914	0.001649744694	47	4	
4650000	643.857786	1	-1.144013391275	1.185016184163	-0.042271050232	-0.004336206855	0.000004496206	0.991982801144	N\A	0.017387389093	0.016223351271	0.001765976969	33	3	
4700000	654.685297	1	-1.047529973098	1.103221191783	-0.001530029708	-0.002883990105	0.000006704522	0.993417579049	N\A	0.013232183919	0.013358637310	0.001763405706	47	6	
4750000	657.471491	1	-0.982647172071	1.104611536185	-0.001885205528	-0.003453196195	0.000064144992	0.994256203454	N\A	0.012141075302	0.011858332693	0.001618625351	42	3	
4800000	636.690259	1	-0.924328937131	1.105268198790	-0.001413363166	-0.005529757064	0.000054756421	0.993041146697	N\A	0.013729423370	0.012274364224	0.001670767350	40	3	
4850000	639.474335	1	-1.038857496205	1.102123148661	0.020828916409	-0.006089250480	0.000072398096	0.991707909750	N\A	0.017084901973	0.015545457269	0.001712514794	32	2	
4900000	636.871690	1	-1.038378585889	1.100642800686	0.018295708881	-0.005488317586	0.000102336316	0.992549337805	N\A	0.011136411775	0.012077183482	0.001524661524	41	4	
4950000	653.586604	1	-1.247528540634	1.157175347771	-0.027040457463	-0.004476155203	0.000054088643	0.992438131938	N\A	0.017443418359	0.015368603283	0.001815247514	40	4	
5000000	648.084533	1	-1.148174455578	1.124514192219	-0.003164404652	-0.005097683849	0.000086458385	0.991038843144	N\A	0.017306643631	0.015593358150	0.001965182350	45	5	
5050000	667.239717	1	-1.120146904727	1.114982065887	-0.009942337172	-0.004085061452	0.000032200798	0.992822629696	N\A	0.013367327524	0.012206619769	0.001627839017	45	6	
5100000	653.781143	1	-1.111560749901	1.113808671391	0.005341557110	-0.004751487798	0.000034042593	0.991425642031	N\A	0.017200433443	0.015504556123	0.001900128753	37	4	
5150000	654.128922	1	-1.084609755816	1.100974840674	-0.002832465979	-0.003570200190	0.000036767890	0.994466539135	N\A	0.010908317650	0.011631181171	0.001515483266	38	4	
5200000	660.940293	1	-1.049686233007	1.087188186791	0.018714373900	-0.005303180961	0.000067035087	0.992631274720	N\A	0.013144468021	0.012621310685	0.001660364448	50	5	
5250000	646.003475	1	-1.117617259095	1.119573698160	-0.020947873022	-0.002797217102	0.000133126822	0.992615531244	N\A	0.013484403599	0.013800713192	0.001603646342	32	7	
5300000	658.477435	1	-1.097961348782	1.100775350184	0.011636041926	-0.005405819347	0.000070501676	0.993020946427	N\A	0.012265785081	0.012155563550	0.001574868710	53	4	
5350000	659.480171	1	-1.103306734588	1.121631184382	0.000595359802	-0.006277341547	0.000064659780	0.994751942320	N\A	0.013125387235	0.012804723332	0.001347257024	34	4	
5400000	648.979958	1	-0.939349450108	1.153091109618	-0.015847790699	-0.002775736014	0.000150944799	0.992156915317	N\A	0.013269460210	0.016202737543	0.001978880960	37	3	
5450000	646.528722	1	-1.021310083518	1.116585536416	-0.020178656483	-0.001226195394	0.000064240326	0.991974934113	N\A	0.015705774061	0.015681627408	0.001990247530	45	4	
5500000	642.586799	1	-0.985122254039	1.096707747312	0.003490091641	-0.003694953849	0.000062566519	0.994942922224	N\A	0.010677165853	0.012222666726	0.001591319240	39	4	
5550000	654.156647	1	-1.055767663178	1.098316162484	0.020110066909	-0.006603285681	0.000036661027	0.993976467637	N\A	0.012131185255	0.012382769094	0.001633392682	44	3	
5600000	652.893464	1	-1.017142804221	1.099150514878	0.001955832286	-0.004399605966	0.000041446442	0.993855624712	N\A	0.013054619635	0.012991808694	0.001673896377	49	4	
5650000	654.005630	1	-1.146987915758	1.145364179841	-0.007503122520	-0.006262897528	0.000023495054	0.992454098087	N\A	0.013312528339	0.014587289753	0.002152736546	30	6	
5700000	643.550459	1	-1.040679472086	1.115585185618	0.008451076216	-0.005540379478	0.000034072649	0.992918177286	N\A	0.013638332645	0.013197468026	0.001669629129	42	3	
