Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m9-VR-002.txt
Log File Name:                   MOB_d1_m9-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2033277167
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m9-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
2150000	242.820278	1	-1.814957406364	1.538073002534	-0.150641667722	0.107300006511	0.028813146987	0.000114862440	0.869593288132	N\A	0.209990105004	0.031756839475	0.091385599508	0.018493432694	59	27	
2200000	230.882006	1	-2.372499482266	1.928816866544	-0.199150331348	-0.053244369147	0.057257678783	0.000068292382	0.880383533060	N\A	0.204344824118	0.032894322668	0.085051170110	0.017462865214	47	26	
2250000	246.391788	1	-2.298790825859	1.939337825457	-0.193081566606	-0.077543915900	0.050380663077	0.000526568056	0.915463058847	N\A	0.140814968585	0.025768172233	0.054910196292	0.014185726309	53	25	
2300000	247.213301	1	-1.870774371565	1.533089264975	-0.139701900674	0.134232165440	0.014248017264	0.000324429847	0.890426609330	N\A	0.183030153069	0.028981235518	0.072149650432	0.015589480251	37	27	
2350000	238.399976	1	-2.460708389992	1.919394833406	-0.187912566152	-0.038203821760	0.046293999908	0.001056925395	0.899659530739	N\A	0.200385554437	0.029852153606	0.083844642102	0.016168306093	37	29	
2400000	224.499512	1	-2.413104453977	1.869218534229	-0.164690066322	-0.061061587599	0.040934536270	0.000479565364	0.894710104376	N\A	0.177414552020	0.028860349769	0.069864860363	0.015647504917	49	33	
2450000	227.211041	1	-1.672316180222	1.394932293017	-0.130806814501	0.201411002705	0.017816163920	0.000380308626	0.892377985468	N\A	0.216424379847	0.033532221611	0.086560558949	0.017665721256	53	32	
2500000	242.303659	1	-1.911893105950	1.490831597216	-0.124481570588	0.123315414509	0.012714900734	0.000349219911	0.896976778375	N\A	0.192676270309	0.031983725270	0.071423761782	0.015936263501	41	29	
2550000	217.135002	1	-1.798117821524	1.496928761675	-0.114932041279	0.029901961481	0.015644305711	0.000460663403	0.870963623260	N\A	0.226790634766	0.036316124515	0.089133988330	0.018946058930	60	32	
2600000	243.161372	1	-2.029776900799	1.540182529481	-0.115977622205	0.061954750699	0.007959625456	0.000638655810	0.922167968274	N\A	0.137791388230	0.023997811873	0.051695795889	0.012810276524	43	31	
2650000	228.280230	1	-1.851283577528	1.473585302457	-0.147203896695	0.195570639995	0.022769342547	0.000551038250	0.897339362179	N\A	0.203588104545	0.031667586312	0.074311449306	0.016171814007	67	30	
2700000	239.827391	1	-2.479051061752	1.977925100290	-0.188495192920	-0.085004748996	0.044692569764	0.000361036384	0.884071736849	N\A	0.201662546447	0.030944541709	0.085395697955	0.017197883938	38	21	
2750000	240.510980	1	-2.602983753655	2.010835187273	-0.191741950508	-0.081505640952	0.045421737149	0.000419253615	0.888547429961	N\A	0.197477235968	0.028451743281	0.083227853796	0.016239280414	42	32	
2800000	231.267255	1	-1.768070858992	1.367297310253	-0.082856016578	0.077882549620	0.002433147613	0.000491340466	0.915760394300	N\A	0.207803868574	0.035688017673	0.072085181528	0.017829608656	46	36	
2850000	239.006846	1	-1.958528677299	1.470199665538	-0.107476817011	0.079176730140	0.014130753699	0.000513629263	0.903858693109	N\A	0.199884701015	0.033007534474	0.070108117749	0.016520108543	38	39	
2900000	220.320120	1	-1.908940382176	1.482830346414	-0.139396565828	0.225138662808	0.003760486049	0.000454797740	0.894876098783	N\A	0.204934847889	0.032387681183	0.084878787254	0.017512304948	52	31	
2950000	234.613361	1	-2.027744391209	1.734179734877	-0.185407781213	0.040206162297	0.052772713546	0.000269585962	0.891451872634	N\A	0.207646438404	0.030869823454	0.086642546780	0.016834757030	61	43	
3000000	238.589654	1	-2.228331497067	1.655119722252	-0.132564305339	0.068633090647	0.004725346703	0.000662195792	0.880142924143	N\A	0.201460312160	0.032158817473	0.079913184472	0.016671292335	47	28	
3050000	226.452224	1	-2.482565904314	1.850387878191	-0.161018402569	0.016500595012	0.014995849391	0.000412847835	0.877274989477	N\A	0.216758699760	0.034323303435	0.082698083719	0.018071013268	54	32	
3100000	236.276499	1	-1.894917425763	1.573376399466	-0.148494554139	0.141501006638	0.012085070984	0.000673192743	0.912029928742	N\A	0.199808295105	0.032607489430	0.079969273094	0.017343846221	46	32	
3150000	248.357098	1	-2.119674137241	1.629325835706	-0.143049617025	0.078109790462	0.014450373321	0.000439408093	0.908267766623	N\A	0.154216937218	0.026175601838	0.064902251539	0.015201222534	55	33	
3200000	231.995651	1	-2.388787333818	1.817202489765	-0.157452260060	-0.014275370735	0.026766668091	0.000415301955	0.887545929238	N\A	0.190287457430	0.032545503864	0.064793490408	0.016501953285	46	27	
3250000	240.438764	1	-2.122152939708	1.678629163440	-0.152816553663	-0.044709978521	0.050832787671	0.000444802249	0.904769706873	N\A	0.153751088176	0.026999093702	0.060125911468	0.014828200819	50	30	
3300000	250.108412	1	-2.259014202718	1.785439526484	-0.167371153278	-0.068121469216	0.049659685756	0.000378881301	0.910377134743	N\A	0.162374516081	0.028194669830	0.065768741144	0.015983922434	58	32	
3350000	220.025855	1	-2.352254393077	1.881233180405	-0.194617487871	0.062900212423	0.025731916966	0.000573903073	0.862105610328	N\A	0.237679627793	0.035890919053	0.088436353390	0.018639553337	54	30	
3400000	208.973649	1	-2.347171746123	1.783476585332	-0.178350957802	0.094684168926	0.021329518056	0.000523336565	0.869701243001	N\A	0.218262782754	0.033033722889	0.095683862080	0.019101302498	48	30	
3450000	235.133249	1	-2.221838698569	1.787875952594	-0.158344728088	-0.008516626737	0.025762684992	0.000496114571	0.896712506422	N\A	0.211322536952	0.032945823577	0.087552861511	0.018657347772	46	29	
3500000	240.775232	1	-2.091870834032	1.691453095537	-0.170691896101	0.071230976912	0.036356411955	0.000415953358	0.888246636170	N\A	0.201766636365	0.030764890774	0.084487579191	0.017039518348	48	37	
