Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m8-VR-005.txt
Log File Name:                   SCH_d1_m8-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3079218938
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m8-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
2350000	454.990604	1	-2.034171783258	1.348771329755	-0.048774308619	-0.041741129221	0.000124469143	0.956895636855	N\A	0.055904942066	0.008037577320	0.026652860666	58	15	
2400000	462.799525	1	-1.855343266023	1.276429531118	-0.033833558306	-0.063483422655	0.000037792740	0.959761182655	N\A	0.054367862931	0.007235703852	0.025493880593	42	37	
2450000	457.790776	1	-1.719226941701	1.192009342397	-0.035553066513	0.001499821454	0.000027755282	0.960888889512	N\A	0.056545106364	0.008068173321	0.025406081888	55	29	
2500000	459.593100	1	-1.667304551623	1.160228458689	-0.041613343643	0.039224462100	0.000021079201	0.958885137978	N\A	0.059958343588	0.007803167373	0.025852047004	42	25	
2550000	450.697740	1	-1.784703997740	1.243766453785	-0.035369093246	-0.048155727930	0.000011014617	0.957184466043	N\A	0.063555605078	0.008482462562	0.024931315428	52	30	
2600000	450.177556	1	-1.928089173417	1.304566733297	-0.038171787911	-0.059337717451	0.000028186385	0.960074301112	N\A	0.061677040214	0.008256659090	0.026194957467	43	19	
2650000	462.817809	1	-1.713098321809	1.186960234249	-0.034559364542	-0.003317840973	0.000108110752	0.962278936595	N\A	0.056361857735	0.008409189570	0.024965111836	33	21	
2700000	451.440094	1	-1.747759388234	1.197882030994	-0.039751374312	0.020187735538	0.000152363137	0.961179757880	N\A	0.057489066054	0.007618312462	0.025303108653	42	17	
2750000	455.019724	1	-1.675979138394	1.159547133836	-0.040967704062	0.047600540793	0.000134782462	0.966344345309	N\A	0.057847937492	0.008080782189	0.025053003101	49	24	
2800000	458.636207	1	-1.854369157022	1.267125383604	-0.049240202522	0.008388813940	0.000127779553	0.961118608863	N\A	0.053878366800	0.007889715475	0.024609525563	46	27	
2850000	450.838770	1	-1.844382924909	1.303485911191	-0.052033393940	-0.029001496218	0.000107551365	0.960364906544	N\A	0.058623788783	0.008277554300	0.027427594631	54	30	
2900000	456.651695	1	-1.698408512353	1.169845057688	-0.037846390408	0.019686490454	0.000122498668	0.961560195589	N\A	0.054286536300	0.007225500517	0.024560594005	44	18	
2950000	470.782335	1	-1.762099786897	1.202522971534	-0.030900520012	-0.032817316525	0.000161647018	0.963222188856	N\A	0.056553407402	0.007886606632	0.026101377694	38	21	
3000000	462.046742	1	-1.814033694055	1.246370351298	-0.050262651128	0.024236972866	0.000171840939	0.965563360622	N\A	0.052703633787	0.007905300173	0.025282643631	48	19	
3050000	460.393721	1	-1.805081012140	1.235866557638	-0.041095836322	-0.018320108667	0.000134028805	0.963120338046	N\A	0.053038275101	0.007442680753	0.024260700115	45	24	
3100000	459.070367	1	-1.764126377545	1.209558349977	-0.033937908608	-0.026076758440	0.000165452595	0.962191113365	N\A	0.059246016414	0.008147677856	0.026391858485	43	25	
3150000	470.017811	1	-1.692865812766	1.162844723084	-0.028156439506	-0.019911491420	0.000116641903	0.961035510522	N\A	0.054720737287	0.007619366547	0.025782040994	52	19	
3200000	469.327412	1	-1.649913739983	1.187046140436	-0.042074191070	0.015336735958	0.000103260306	0.967162800003	N\A	0.056879411426	0.007886711909	0.025226116673	46	23	
3250000	464.259091	1	-1.779045417936	1.219904689115	-0.034922552175	-0.026674806104	0.000135611704	0.964035710412	N\A	0.054661702148	0.007832341201	0.024542280009	40	14	
3300000	469.135946	1	-1.746992844843	1.211264166123	-0.033401391869	-0.027573411505	0.000094671795	0.966808230686	N\A	0.052392574205	0.006775462094	0.022501956234	53	27	
3350000	463.472145	1	-2.009252590023	1.359295894837	-0.053690301494	-0.038746356946	0.000124669501	0.966751832614	N\A	0.052380725178	0.007271870998	0.023912216903	49	22	
3400000	469.125972	1	-1.996279430773	1.383137483809	-0.054339664770	-0.065046981510	0.000064901667	0.969018213754	N\A	0.052172884384	0.007818024543	0.023414248474	60	30	
3450000	453.167561	1	-1.800425932341	1.208465719730	-0.022680596970	-0.052558227864	0.000109200373	0.958637791355	N\A	0.057224536376	0.006990382388	0.025021481120	49	23	
3500000	465.849989	1	-1.655336646133	1.166889879258	-0.033137334890	-0.010883662225	0.000064186253	0.967440630113	N\A	0.056200777845	0.007685111333	0.025630590675	47	27	
3550000	455.986994	1	-1.765782374746	1.235197957163	-0.038478638308	-0.038462005411	0.000108789877	0.963721609733	N\A	0.054501918038	0.007730774672	0.024926400743	44	21	
3600000	461.728217	1	-1.795502282961	1.262890330058	-0.046823625168	-0.023794084182	0.000121574827	0.961189794030	N\A	0.054751059088	0.008429363931	0.026450744761	53	23	
3650000	470.769515	1	-1.811550236906	1.243344459402	-0.038462536546	-0.025916023945	0.000119465903	0.960074123594	N\A	0.056952622682	0.008019849206	0.026515134689	45	19	
3700000	464.733965	1	-1.916086623397	1.321588930652	-0.050477686265	-0.028947615249	0.000099208051	0.966173034005	N\A	0.053336478400	0.007742836700	0.024894386866	38	30	
3750000	461.049297	1	-1.687865206263	1.192404427254	-0.041396554503	0.011337078786	0.000128032672	0.963260197435	N\A	0.053253600907	0.008021844228	0.023720671710	53	30	
3800000	454.491143	1	-1.861970943668	1.259002504335	-0.041009272804	-0.017139796425	0.000145554407	0.960515346172	N\A	0.054927019849	0.007981132223	0.025521306836	56	19	
