Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  STR_d1_m7-fab-006.txt
Log File Name:                   STR_d1_m7-fab-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            569594791
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   STR_d1_m7-fab-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.147241
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.77 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
2350000	560.708635	1	-1.475962331974	1.095366390313	-0.092490396323	0.005553531739	0.000058858608	0.986172466103	N\A	0.024160751358	0.021761038835	0.002767861464	32	3	
2400000	542.378112	1	-1.533026780170	1.129698667601	-0.093026776199	0.000471988396	0.000122628032	0.978176072867	N\A	0.026368793121	0.024454843952	0.003131799311	33	3	
2450000	546.651996	1	-1.532644083222	1.102861249736	-0.104838005413	0.005715100620	0.000173629137	0.983187044785	N\A	0.026480372689	0.023390673480	0.003078984838	43	2	
2500000	558.193498	1	-1.551086213133	1.133354991370	-0.097278959804	0.002578007370	0.000079224962	0.982078514724	N\A	0.028610928971	0.025603972165	0.002960937650	38	2	
2550000	551.836376	1	-1.493390892427	1.102204999313	-0.066828462985	-0.003240143895	0.000073974838	0.976093328567	N\A	0.028678041266	0.026666625101	0.003257170217	34	4	
2600000	542.951737	1	-1.443550955306	1.075346413992	-0.059444358388	0.002569494373	0.000074137945	0.981419421326	N\A	0.027908463748	0.024961255849	0.002880326908	38	2	
2650000	556.198955	1	-1.529200040893	1.139366653595	-0.120375006739	0.005956727732	0.000108563841	0.980515522413	N\A	0.026192375128	0.023848390796	0.003007229923	43	2	
2700000	555.601056	1	-1.507868343967	1.100082986769	-0.063725241949	0.000289270916	0.000071253734	0.983312384709	N\A	0.027251999100	0.024678136794	0.002887716573	39	2	
2750000	549.245166	1	-1.464752973026	1.087337867248	-0.068631633741	0.002891076243	0.000091577156	0.985454349555	N\A	0.025165443157	0.021211198089	0.003012818678	42	3	
2800000	545.542294	1	-1.522621850654	1.123975672060	-0.102210990183	0.005514734188	0.000075071575	0.981571174317	N\A	0.024488819402	0.022557749345	0.003153877134	45	2	
2850000	545.940146	1	-1.481121159197	1.088416380165	-0.063972763015	0.001519947318	0.000092268016	0.986278001858	N\A	0.023283341696	0.021146221329	0.002623339571	46	1	
2900000	530.536811	1	-1.708696973181	1.196724577397	-0.141990223239	0.002893805400	0.000040059833	0.982714625547	N\A	0.026320513614	0.024612829567	0.003179988303	33	1	
2950000	538.750431	1	-1.514016785676	1.101962275186	-0.066985056481	0.003378875299	0.000083550564	0.986012791231	N\A	0.021374861687	0.024695097113	0.003590223551	40	2	
3000000	548.711896	1	-1.656965174287	1.162344255447	-0.091852224782	-0.001886023650	0.000118395180	0.979744933423	N\A	0.029997841737	0.028082327346	0.003761595953	35	3	
3050000	520.189923	1	-1.547354830137	1.124262784169	-0.080504699010	-0.001809758406	0.000122106575	0.973560348446	N\A	0.031045924802	0.028353344296	0.003439433619	32	2	
3100000	540.235583	1	-1.475354703859	1.095287367133	-0.067835871636	0.000898962549	0.000018251637	0.982837461482	N\A	0.025671863771	0.024805278042	0.003537537987	42	1	
3150000	548.932239	1	-1.457630209322	1.081888500806	-0.067507164461	0.000041312662	0.000041544776	0.980354626688	N\A	0.025880727440	0.024270348613	0.003168952600	40	1	
3200000	542.136545	1	-1.485495828838	1.078801464562	-0.017781761615	-0.007717019337	0.000094989969	0.978964428849	N\A	0.029183990084	0.026558793053	0.002990997520	41	3	
3250000	558.235437	1	-1.487932746368	1.102344374829	-0.067378962277	-0.001102889989	0.000102520997	0.984039348634	N\A	0.025849261522	0.023188522400	0.002940187899	38	3	
3300000	542.408022	1	-1.544357753585	1.131020577387	-0.095019825236	0.001578244350	0.000089431879	0.982286367010	N\A	0.026505558030	0.024411525239	0.003087295565	44	0	
3350000	550.688493	1	-1.544059358501	1.152796378911	-0.134060719547	0.005201675737	0.000176064669	0.982702903876	N\A	0.025205974015	0.022888568810	0.002983828175	39	2	
3400000	538.554497	1	-1.462286992888	1.087226748668	-0.075325333702	0.002674053123	0.000098533338	0.983518608476	N\A	0.024831065916	0.021371029914	0.002949127782	27	0	
3450000	522.873202	1	-1.322484610589	1.006666657474	-0.021983020371	0.003553102385	0.000091386401	0.979519433516	N\A	0.029080242996	0.025013111325	0.003391173377	31	2	
3500000	538.531525	1	-1.487075231883	1.107122908345	-0.091378857408	0.003645352547	0.000166556122	0.984875860678	N\A	0.025171826502	0.022799600451	0.002838756480	39	1	
3550000	541.272843	1	-1.502163670880	1.104010926960	-0.067021973697	0.000076754529	0.000133884557	0.979330184935	N\A	0.030452152118	0.026829723454	0.003298726406	29	2	
3600000	550.230608	1	-1.492579056314	1.095288602124	-0.074722993001	0.004106007120	0.000081435458	0.984811788640	N\A	0.024916699591	0.022696570226	0.003009271315	43	0	
3650000	545.651230	1	-1.521287229187	1.126404147420	-0.096492774741	0.003015676450	0.000135591156	0.982768633750	N\A	0.025025293592	0.024259549760	0.003085564427	38	2	
3700000	539.248897	1	-1.542257504528	1.131759978055	-0.107577782317	0.005165349839	0.000121828962	0.976724787722	N\A	0.029693296845	0.027334720996	0.003747141647	40	1	
3750000	543.930081	1	-1.528497101155	1.134752969219	-0.106916531721	0.000493340780	0.000163595088	0.977963228601	N\A	0.029273411637	0.026133836639	0.003160544687	32	1	
3800000	524.470353	1	-1.508570782309	1.110980337330	-0.088860067399	0.003035131525	0.000076765242	0.985422002411	N\A	0.027143963368	0.023934079397	0.003001792238	43	0	
3850000	545.668169	1	-1.625804011222	1.168526167943	-0.135976833704	0.006609409477	0.000046256156	0.977985761136	N\A	0.030357854744	0.026315559338	0.003376217641	45	1	
3900000	532.826117	1	-1.557412793070	1.167551166717	-0.149660669333	0.006751952880	0.000119535699	0.975795154913	N\A	0.030810940192	0.028390033553	0.003341006107	37	2	
3950000	537.166647	1	-1.603779856746	1.126613373548	-0.074586686368	-0.001236103853	0.000067216864	0.980570302056	N\A	0.026090539202	0.023984313485	0.003430915028	47	2	
4000000	544.397257	1	-1.514990454344	1.107628193022	-0.067797059624	-0.000084294638	0.000097207809	0.983972192001	N\A	0.024974295183	0.022653618679	0.002925327438	36	1	
4050000	548.821445	1	-1.508922500209	1.107338187831	-0.085661477336	0.001484371790	0.000085279240	0.980785552362	N\A	0.026433635334	0.023416740624	0.003161518123	42	2	
