Species_TTOL	MES	rest_of_brain	BOD
Marmosops_impavidus	2.011993	3.05568408388292	1.845098
Monodelphis_brevicaudata	1.914872	2.94537022663038	1.924279
Notoryctes_typhlops	1.662758	2.91376083971985	1.531479
Petauroides_volans	2.580925	3.62032345471659	3.09691
Petaurus_australis	2.467756	3.77024778429207	2.748188
Petaurus_breviceps	2.209515	3.32467344517594	2.113943
Petaurus_norfolcensis	2.276002	3.45766979672993	2.374748
Petrogale_inornata	2.918502	4.23497248958282	3.628389
Petrogale_lateralis	2.8238	4.16786355239828	3.556303
Petrogale_penicillata	3.071514	4.31879823891567	3.690196
Petrogale_purpureicollis	2.959852	4.24652097310723	3.740363
Petropseudes_dahli	2.574379	3.69722055952986	3.127105
Phascolarctos_cinereus	2.994361	4.22355030391757	3.968483
Planigale_ingrami	1.041393	1.97840863192174	0.826075
Planigale_maculata	1.313867	2.30272041723985	1.041393
Potorous_tridactylus_tridactylus	2.766785	3.99808497676137	3.089905
Pseudochirulus_canescens	2.158061	3.33597913853393	2.447158
Pseudochirulus_forbesi	2.376029	3.47922966682932	2.70757
Sarcophilus_harrisii	2.940516	4.14834965764349	3.732394
Sminthopsis_crassicaudata	1.526339	2.53750425778387	1.146128
Sminthopsis_leucopus	1.635484	2.66164229549523	1.361728
Phalanger_gymnotis	2.822626	4.06032757480693	3.451786
Thylacinus_cynocephalus	3.365113	4.70915133299125	4.342423
Thylogale_billardierii	3.093772	4.34805949126278	3.845098
Thylogale_stigmatica	3.028571	4.25065668458073	3.653213
Trichosurus_vulpecula	2.769599	4.00237325530746	3.30103
Vombatus_ursinus	3.280123	4.68410274637518	4.357935
Wallabia_bicolor	3.234264	4.55349934894676	4.198657
Balionycteris_maculata	1.477	2.68604357258994	1.158
Casinycteris_argynnis	1.732	2.89835140151989	1.428
Chironax_melanocephalus	1.491	2.75718362381577	1.248
Cynopterus_brachyotis	1.708	2.966833649282	1.53
Cynopterus_horsfieldii	1.875	3.11468350641045	1.773
Cynopterus_sphinx	1.82	3.05354966776212	1.713
Dobsonia_inermis	2.041	3.40766797562694	2.173
Dobsonia_moluccensis	2.262	3.63531672034154	2.543
Dobsonia_praedatrix	2.104	3.45265177566025	2.25
Eidolon_helvum	2.303	3.60406636908379	2.418
Eonycteris_spelaea	1.854	3.09326062869164	1.769
Epomophorus_labiatus	1.968	3.17341455082117	1.806
Epomops_franqueti	2.143	3.3178958890353	2.072
Hypsignathus_monstrosus	2.334	3.51177917774895	2.491
Macroglossus_minimus	1.528	2.72492739657078	1.164
Megaerops_ecaudatus	1.644	2.87855040696948	1.38
Megaloglossus_woermanni	1.583	2.80962194180342	1.253
Melonycteris_melanops	1.782	3.08827988670424	1.675
Melonycteris_woodfordi	1.684	2.98478330621441	1.549
Epomophorus_pusillus	1.685	2.8916991691473	1.4
Myonycteris_torquata	1.824	3.04038415947288	1.561
Notopteris_macdonaldi	1.821	3.14143861060649	1.841
Nyctimene_albiventer	1.675	2.89166094946112	1.473
Nyctimene_robinsoni	1.859	3.06521908417013	1.673
Nyctimene_vizcaccia	1.748	2.97019608506253	1.549
Paranyctimene_raptor	1.626	2.83904237199348	1.417
Pteropus_alecto	2.5	3.82069860124938	2.775
Pteropus_conspicillatus	2.525	3.89493121910952	2.875
Pteropus_hypomelanus	2.379	3.69716131393364	2.591
Pteropus_lylei	2.381	3.75598421253182	2.497
Pteropus_neohibernicus	2.558	3.92848620624869	2.924
Pteropus_poliocephalus	2.528	3.83016987335255	2.842
Pteropus_samoensis	2.4	3.73626675041077	2.491
Pteropus_scapulatus	2.373	3.70549571470575	2.574
Pteropus_temminckii	2.353	3.66354900940771	2.398
Pteropus_tonganus	2.394	3.75825829746648	2.652
Pteropus_vampyrus	2.581	3.92972371176801	3.027
Rousettus_aegyptiacus	2.038	3.32486399626551	2.111
Rousettus_amplexicaudatus	1.914	3.1617898919156	1.856
Scotonycteris_zenkeri	1.623	2.8251361190744	1.328
Sphaerias_blanfordi	1.69	2.89058047078486	1.47
Syconycteris_australis	1.517	2.75449107699007	1.207
Anoura_caudifer	1.394	2.5806238378183	1.025
Anoura_geoffroyi	1.538	2.74657171798292	1.204
Ardops_nichollsi	1.528	2.72119019257957	1.352
Artibeus_cinereus	1.473	2.64696591916355	1.1
Artibeus_concolor	1.634	2.77277474031503	1.288
Artibeus_jamaicensis	1.77	2.98333261088124	1.613
Artibeus_lituratus	1.838	3.06496819373968	1.748
Aselliscus_stoliczkanus	1.152	2.14627742243429	0.69
Aselliscus_tricuspidatus	1.146	2.0993562087761	0.643
Brachyphylla_cavernarum	1.834	3.05292228999784	1.648
Cardioderma_cor	1.823	2.79992584642206	1.415
Carollia_perspicillata	1.561	2.71324648190518	1.25
Chalinolobus_gouldii	1.373	2.35195774032069	1.068
Chalinolobus_morio	1.286	2.24071974568802	0.919
Chiroderma_salvini	1.741	2.88624082329356	1.417
Chiroderma_trinitatum	1.549	2.70539048497075	1.137
Chiroderma_villosum	1.713	2.82351695180044	1.394
Choeroniscus_minor	1.382	2.5659450134905	0.982
Coleura_afra	1.42	2.38684133903795	1.061
Cormura_brevirostris	1.436	2.31547900333038	0.914
Craseonycteris_thonglongyai	1.025	1.91186407137902	0.408
Desmodus_rotundus	1.766	2.97496949473285	1.56
Diphylla_ecaudata	1.724	2.87975236516861	1.49
Emballonura_monticola	1.301	2.19689550326823	0.724
Emballonura_raffrayana	1.33	2.21750313113026	0.771
Eptesicus_brasiliensis	1.336	2.27704088235613	0.964
Eptesicus_fuscus_bahamensis	1.354	2.3513653086034	1.134
Eumops_auripendulus	1.779	2.75999624802448	1.529
Eumops_glaucinus	1.809	2.79101278730558	1.562
Furipterus_horrens	1.104	2.07959239815975	0.535
Glischropus_tylopus	1.049	1.97312302120491	0.69
Glossophaga_longirostris	1.444	2.6169266719764	1.053
Glossophaga_soricina	1.412	2.57354501835856	0.996
Harpiocephalus_harpia	1.481	2.62086344715862	1.13
Hesperoptenus_blanfordi	1.281	2.16984821507198	0.863
Hipposideros_armiger	1.89	2.87560056473481	1.748
Hipposideros_ater	1.369	2.30545128539469	0.839
Hipposideros_caffer	1.477	2.4627759440208	1.041
Macronycteris_commersoni	1.769	2.84697711567035	1.997
Hipposideros_diadema	1.84	2.82568898250015	1.622
Hipposideros_fulvus	1.401	2.34735841257385	0.845
Hipposideros_lankadiva	1.799	2.83381440820857	1.686
Hipposideros_larvatus	1.61	2.59070379701993	1.312
Hipposideros_ridleyi	1.453	2.40319100137588	0.982
Hipposideros_speoris	1.458	2.42782469906196	1.061
Hipposideros_turpis	1.758	2.74970813235674	1.542
Ia_io	1.848	2.85693377655639	1.727
Kerivoula_papillosa	1.36	2.47004291344843	1.004
Lasiurus_borealis	1.272	2.20786055220101	0.892
Leptonycteris_curasoae	1.547	2.76007259430502	1.389
Leptonycteris_nivalis	1.555	2.74009904764629	1.358
Lonchophylla_mordax	1.494	2.61273847911539	1.029
Hsunycteris_thomasi	1.332	2.50023862095974	0.839
Lophostoma_silvicolum	1.792	2.85331808051172	1.509
Macroderma_gigas	2.16	3.20498065502424	2.078
Macrophyllum_macrophyllum	1.456	2.4790378028068	0.934
Megaderma_lyra	1.906	2.93241161841455	1.587
Megaderma_spasma	1.792	2.78365497627165	1.354
Mesophylla_macconnelli	1.386	2.5144416036305	0.875
Micronycteris_brachyotis	1.456	2.58328686142129	1.167
Micronycteris_megalotis	1.369	2.41295245824855	0.813
Micronycteris_minuta	1.316	2.43110917339505	0.839
Micronycteris_schmidtorum	1.364	2.46261324325241	0.892
Gardnerycteris_crenulatum	1.48	2.48743694137244	1.072
Miniopterus_australis	1.255	2.28796870242141	0.851
Miniopterus_inflatus	1.438	2.48807198431177	1.173
Miniopterus_magnater	1.43	2.4849865990346	1.176
Miniopterus_pusillus	1.26	2.31097785415854	0.934
Miniopterus_tristis	1.477	2.49587912679333	1.193
Molossus_molossus	1.516	2.47483774200244	1.137
Molossus_rufus	1.731	2.69716719929339	1.526
Monophyllus_plethodon	1.455	2.62023584937206	1.176
Mormoops_megalophylla	1.489	2.56247160047249	1.196
Murina_cyclotis	1.326	2.37139315447136	0.851
Murina_huttoni	1.31	2.38592275334146	0.944
Myotis_adversus	1.417	2.3772871201093	1.049
Myotis_albescens	1.111	2.07780309246655	0.602
Myotis_annectans	1.31	2.31710569964846	0.991
Myotis_bechsteinii	1.358	2.39586985328546	0.978
Myotis_bocagii	1.303	2.25339686523018	0.845
Myotis_dasycneme	1.513	2.46431986810657	1.176
Myotis_myotis	1.669	2.65907694339085	1.408
Myotis_nigricans	1.173	2.11100026230064	0.663
Myotis_siligorensis	1.045	1.98557890358024	0.539
Natalus_tumidirostris	1.283	2.36796538095518	0.839
Noctilio_albiventris	1.69	2.74963685311494	1.515
Noctilio_leporinus	1.953	3.04342425236468	1.763
Nyctalus_noctula	1.576	2.52928534798622	1.431
Nycteris_arge	1.574	2.51972165509131	1.025
Nycteris_grandis	1.862	2.82882341601125	1.474
Nycteris_hispida	1.479	2.43216548536531	0.892
Nycteris_javanica	1.733	2.65047090615567	1.265
Nycteris_macrotis	1.585	2.56570573628551	1.161
Nycteris_thebaica	1.516	2.4880134922472	0.949
Nyctophilus_geoffroyi	1.19	2.1954325071819	0.857
Otomops_martiensseni	1.777	2.85387267955123	1.618
Peropteryx_macrotis	1.286	2.18774408447669	0.748
Phylloderma_stenops	1.852	3.10305487853701	1.664
Phyllostomus_discolor	1.802	3.01289560068157	1.563
Phyllostomus_elongatus	1.806	2.91962973558399	1.652
Phyllostomus_hastatus	1.981	3.15775224544109	1.963
Pipistrellus_javanicus	1.121	2.04743835568333	0.653
Pipistrellus_tenuis	1.017	1.94445839594312	0.591
Afronycteris_nana	1.009	1.97624949883145	0.591
Hypsugo_pulveratus	1.188	2.12583275320563	0.724
Perimyotis_subflavus	1.117	2.0689992385851	0.724
Pteronotus_gymnonotus	1.41	2.50919392843789	1.134
Pteronotus_parnellii_mesoamericanus	1.612	2.71076396835588	1.305
Pteronotus_personatus	1.276	2.33437416842607	0.908
Rhinolophus_cornutus	1.255	2.26307067478927	0.82
Rhinolophus_eloquens	1.558	2.58228368121921	1.281
Rhinolophus_hipposideros	1.182	2.14741999328989	0.663
Rhinolophus_landeri	1.446	2.41927248180996	0.987
Rhinolophus_lepidus	1.281	2.24246038366786	0.778
Rhinolophus_luctus	1.749	2.76563752486781	1.516
Rhinolophus_macrotis	1.305	2.29216841823355	0.799
Rhinolophus_malayanus	1.31	2.28065583157794	0.806
Rhinolophus_megaphyllus	1.382	2.39284327871508	0.991
Rhinolophus_pearsonii	1.474	2.49680535567541	1.143
Rhinolophus_pusillus	1.204	2.19036275728536	0.672
Rhinolophus_trifoliatus	1.588	2.51948592306197	1.164
Rhinolophus_yunnanensis	1.614	2.61598611233896	1.371
Rhinonicteris_aurantia	1.403	2.36980993185743	0.934
Rhinophylla_pumilio	1.356	2.52389337701925	0.949
Rhinopoma_hardwickii	1.481	2.41517493551946	1.111
Rhinopoma_microphyllum	1.605	2.56167523073907	1.468
Rhogeessa_parvula	1.111	2.02540404611476	0.653
Rhynchonycteris_naso	1.164	2.04732050651951	0.58
Saccopteryx_bilineata	1.456	2.33483311530367	0.924
Saccopteryx_canescens	1.246	2.08934484317686	0.531
Saccopteryx_leptura	1.346	2.18322541361085	0.708
Scotomanes_ornatus	1.637	2.55494722650546	1.338
Scotophilus_dinganii	1.658	2.6152095371468	1.386
Scotophilus_kuhlii	1.575	2.50605597481635	1.31
Sphaeronycteris_toxophyllum	1.62	2.69540272673135	1.265
Sturnira_lilium	1.521	2.7664442150746	1.305
Sturnira_ludovici	1.603	2.79971581818209	1.413
Sturnira_tildae	1.562	2.82056767486967	1.387
Tadarida_aegyptiaca	1.545	2.56759514736225	1.248
Taphozous_australis	1.737	2.68911434548403	1.38
Taphozous_hildegardeae	1.725	2.71134274302204	1.438
Taphozous_mauritianus	1.811	2.71797961523504	1.462
Taphozous_melanopogon	1.715	2.70480831622297	1.356
Tonatia_bidens	1.801	2.87212442061372	1.468
Lophostoma_schulzi	1.71	2.67681030271887	1.328
Trachops_cirrhosus	1.912	2.97719852358353	1.567
Triaenops_persicus	1.415	2.41026109600416	1.137
Tylonycteris_pachypus	0.987	1.87843900376487	0.681
Tylonycteris_robustula	1.127	2.03440793493338	0.857
Uroderma_bilobatum	1.614	2.76341624316696	1.21
Vampyressa_pusilla	1.413	2.55572901399533	0.934
Vampyrum_spectrum	2.19	3.38883839645361	2.238
Alouatta_seniculus	2.994	4.69064476860801	3.806
Aotus_trivirgatus	2.612	4.20956514451613	2.919
Ateles_geoffroyi	3.171	5.00423671459412	3.903
Avahi_laniger	2.535	3.99079117597203	3.109
Plecturocebus_moloch	2.724	4.24999973790912	2.954
Callimico_goeldii	2.531	4.02141427425862	2.681
Callithrix_jacchus	2.47	3.86010428447601	2.447
Cebuella_pygmaea	2.283	3.63358773263483	2.146
Cebus_albifrons	3.087	4.8258408678735	3.491
Cercopithecus_ascanius	3.065	4.80297404128273	3.531
Cercopithecus_mitis_mitis	3.132	4.84835244065239	3.799
Cheirogaleus_major	2.382	3.80396492768725	2.653
Cheirogaleus_medius	2.161	3.4708780230274	2.248
Daubentonia_madagascariensis	2.953	4.6294722319675	3.447
Erythrocebus_patas	3.21	5.01330305301563	3.892
Eulemur_fulvus_fulvus	2.771	4.34468914865517	3.146
Galago_senegalensis	2.312	3.65384583826705	2.27
Galagoides_demidoff	2.13	3.50526524207999	1.908
Gorilla_gorilla	3.639	5.67214160105073	5.021
Homo_sapiens	3.908	6.09769523952942	4.813
Hylobates_lar	3.164	4.98887970833346	3.756
Indri_indri	2.99	4.55944787748954	3.796
Lagothrix_lagotricha	3.199	4.980177796679	3.716
Lepilemur_mustelinus	2.415	3.85550540645094	2.961
Lophocebus_albigena	3.248	4.9893093148895	3.898
Loris_tardigradus_tardigradus	2.342	3.79701647977618	2.508
Macaca_mulatta	3.14	4.94427327976376	3.892
Microcebus_murinus	1.93	3.22499777943092	1.732
Miopithecus_talapoin	2.917	4.57720824492106	3.079
Nasalis_larvatus	3.192	4.97211427746941	4.146
Nycticebus_coucang	2.538	4.07016900764897	2.903
Otolemur_crassicaudatus	2.584	3.98509131950917	2.929
Pan_troglodytes	3.573	5.58232825551133	4.663
Papio_cynocephalus	3.433	5.28121407692444	4.398
Perodicticus_potto	2.592	4.12079897970986	3.061
Pithecia_monachus	2.872	4.51688705271499	3.176
Piliocolobus_badius	3.125	4.86832778778568	3.845
Propithecus_verreauxi	2.892	4.40135338583513	3.542
Pygathrix_nemaeus	3.129	4.86047259819674	3.875
Saguinus_midas	2.521	3.98108200720884	2.531
Saguinus_oedipus	2.522	3.97903342592802	2.58
Saimiri_sciureus_sciureus	2.721	4.35321967494396	2.82
Tarsius_tarsier	2.294	3.53020840861181	2.097
Varecia_variegata	3.008	4.47260429620756	3.477
