Species_TTOL	MES	rest_of_brain	BOD
Anourosorex_squamipes	1.274	2.5613393948666	1.307
Atelerix_algirus	2.194	3.45937494595256	2.867
Blarina_brevicauda	1.274	2.56526016953364	1.267
Chrysochloris_asiatica	1.635	2.8124927980164	1.69
Chrysochloris_stuhlmanni	1.62	2.83356529108882	1.626
Crocidura_attenuata	1.176	2.29369840905507	0.968
Crocidura_flavescens	1.427	2.58207746336137	1.467
Crocidura_hildegardeae	1.173	2.30064063157812	0.996
Crocidura_denti	1.253	2.36479451634544	1.079
Crocidura_russula	1.137	2.26471093422473	1.049
Crocidura_suaveolens	1.137	2.25063238800831	1.013
Cryptotis_parvus	1.104	2.36248471949945	0.991226075692495
Desmana_moschata	2.34	3.55635615102067	2.646
Echinops_telfairi	1.643	2.74834886210844	1.942
Echinosorex_gymnura	2.557	3.7443098228403	2.921
Erinaceus_europaeus	2.18	3.47896517613914	2.929
Euroscaptor_micrura	1.653	2.88161190363473	1.617
Galemys_pyrenaicus	1.793	3.0873915761491	1.778
Geogale_aurita	1.104	2.08153227068238	1
Hemicentetes_semispinosus	1.662	2.87971667978679	2.062
Hemiechinus_auritus	2.037	3.22302557506589	2.371
Hylomys_suillus	1.924	3.04265473490601	1.756
Limnogale_mergulus	1.829	3.01708868959485	1.964
Microgale_dobsoni	1.575	2.70344201843958	1.504
Microgale_talazaci	1.658	2.85130596152045	1.683
Micropotamogale_lamottei	1.768	2.86835860528116	1.808
Micropotamogale_ruwenzorii	1.86	3.0239960099372	1.986
Myosorex_sclateri	1.279	2.52863027572128	1.23
Neomys_anomalus	1.204	2.4253493121911	1.037
Neomys_fodiens	1.283	2.4844525337294	1.182
Oryzorictes_hova	1.425	2.72555444984195	1.645
Parascalops_breweri	1.551	2.9176407015745	1.731
Potamogale_velox	2.415	3.58573403914356	2.791
Ruwenzorisorex_suncoides	1.398	2.54319142403048	1.262
Scalopus_aquaticus	1.761	3.09133564705225	2.061
Scutisorex_somereni	1.563	2.77648055519446	1.792
Setifer_setosus	1.884	3.13780347988815	2.373
Solenodon_paradoxus	2.32	3.63091110993978	2.826
Sorex_alpinus	1.097	2.39429748323639	1.033
Sorex_araneus	1.061	2.30376222600923	0.987
Sorex_cinereus	0.919	2.19894571979351	0.633
Sorex_fumeus	1.045	2.35557876339451	0.924
Sorex_hoyi	0.681	1.95473569737117	0.42
Sorex_minutus	0.806	2.03191366086741	0.633
Suncus_etruscus	0.672	1.76381793243763	0.762
Suncus_murinus	1.391	2.54992986543294	1.529
Sylvisorex_granti	1.057	2.19026550669	0.591
Suncus_megalura	1.152	2.24721153694055	0.74
Talpa_europaea	1.699	2.9763963558453	1.908
Tenrec_ecaudatus	2.125	3.35823796436117	2.935
Aepyprymnus_rufescens	2.811106	4.0785367274352	3.392697
Antechinus_flavipes	1.729165	2.78774994860876	1.568202
Antechinus_minimus	1.763428	2.86153430048589	1.724276
Bettongia_gaimardi	2.796505	4.04663551459762	3.176091
Bettongia_penicillata	2.726972	3.98021273823091	3.079181
Burramys_parvus	1.802774	2.92464113314859	1.770852
Cercartetus_nanus	1.669317	2.67775290596171	1.278754
Dactylopsila_trivirgata	2.436163	3.76646475332113	2.643453
Dasycercus_cristicauda	2.124178	3.16814378922862	2
Dasyuroides_byrnei	2.148603	3.1709361619783	2.146128
Dasyurus_geoffroii	2.611405	3.70221513935253	2.69897
Dasyurus_hallucatus	2.367169	3.45874340368618	3.021189
Dendrolagus_lumholtzi	2.977037	4.32056441398414	3.78533
Distoechurus_pennatus	1.839478	2.99668674974598	1.633468
Dorcopsis	2.934902	4.18833195300086	3.462398
Echymipera_kalubu	2.416141	3.52847956017657	2.819544
Gymnobelideus_leadbeateri	2.144263	3.34769853893654	2.041393
Hypsiprymnodon_moschatus	2.50147	3.74212014161771	2.748188
Isoodon_macrourus	2.417804	3.58290385753117	3.033424
Isoodon_obesulus_obesulus	2.495128	3.62554911049539	3.004321
Osphranter_antilopinus	3.373464	4.71459609027679	4.537819
Macropus_giganteus	3.390759	4.77506983526938	4.563481
Notamacropus_irma	3.071145	4.36841530467472	3.819544
Notamacropus_parma	2.969882	4.20117855029655	3.536558
Notamacropus_parryi	3.196176	4.51970786965636	4.170262
Osphranter_robustus	3.260548	4.66347772236744	4.409933
Osphranter_rufus	3.387034	4.6959083965357	4.494155
Thylamys_pallidior	1.793092	2.76345797589405	1.477121
