Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  AMY_d1_m7-VR-006.txt
Log File Name:                   AMY_d1_m7-VR-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3967620313
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   AMY_d1_m7-VR-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
2400000	489.845822	1	-0.966025822486	0.738190206341	0.196173969948	-0.031138950901	0.000095928169	0.961774507754	N\A	0.028259830669	0.025993758972	0.003701360965	40	35	
2450000	487.772343	1	-0.903551617396	0.687470461343	0.251276682332	-0.035484390821	0.000080797142	0.956500984273	N\A	0.034064135918	0.030396328259	0.004211295506	43	24	
2500000	485.736707	1	-0.933649443822	0.701350494536	0.243824051618	-0.032432428479	0.000102531790	0.958048212933	N\A	0.035904285415	0.031070615222	0.004056974631	50	21	
2550000	487.227818	1	-1.003017395645	0.720230486613	0.255581146054	-0.039578698897	0.000087216173	0.961409424083	N\A	0.031540960342	0.028188558552	0.003904265539	50	19	
2600000	473.291725	1	-1.001239647996	0.744900006588	0.205218720873	-0.031629208296	0.000105155441	0.956442249592	N\A	0.034573176914	0.031236592827	0.004091432467	60	18	
2650000	480.003818	1	-0.969049094653	0.732714787204	0.199129038787	-0.030482999158	0.000101760997	0.956387844359	N\A	0.032137500434	0.030148566374	0.004200293668	49	32	
2700000	484.206317	1	-0.882442404947	0.687650283391	0.228119614281	-0.028959424580	0.000099877939	0.957464952109	N\A	0.034428238710	0.031084620905	0.004035831343	44	27	
2750000	475.900504	1	-1.102468972376	0.804277437611	0.151743782359	-0.029037672432	0.000119585971	0.957835635466	N\A	0.033393911924	0.028726949457	0.003646028849	51	31	
2800000	487.635073	1	-0.966356810992	0.723037469770	0.225108156968	-0.034672922502	0.000102053849	0.954359052173	N\A	0.036144750550	0.032539398372	0.004540681415	40	22	
2850000	481.708968	1	-0.956668185934	0.724352616924	0.229253513225	-0.036334845581	0.000098298268	0.957319395548	N\A	0.031643934203	0.028685897116	0.004092996585	45	25	
2900000	475.805590	1	-0.976557913710	0.725969674465	0.231465437268	-0.036274370082	0.000096202881	0.969485912772	N\A	0.034775288670	0.028103665089	0.003934742376	42	21	
2950000	489.772516	1	-1.134654471973	0.818611247910	0.133501944852	-0.026261127059	0.000100127956	0.957740043691	N\A	0.034061871857	0.030488003266	0.003801652844	49	29	
3000000	471.453884	1	-1.171809071018	0.842463719665	0.149267577003	-0.036135938963	0.000107608663	0.954072666568	N\A	0.037322011410	0.031766677599	0.004138996081	51	24	
3050000	482.670308	1	-0.990407905297	0.735079408264	0.204134156149	-0.029855697943	0.000112525317	0.957237526194	N\A	0.031926830086	0.029646209251	0.004075799301	52	24	
3100000	480.985973	1	-1.008328540490	0.762027250248	0.158609693724	-0.023402618583	0.000085634872	0.956913373777	N\A	0.033877539307	0.029500583117	0.004213335649	44	23	
3150000	476.004023	1	-0.950535891384	0.729805017059	0.199981265209	-0.031196806815	0.000102440123	0.955945535785	N\A	0.035621574713	0.032270949493	0.004294618932	55	26	
3200000	472.913116	1	-1.115773025735	0.828663071556	0.124376969214	-0.027981394801	0.000115715795	0.958118256695	N\A	0.031546951656	0.029421626036	0.004101497800	56	25	
3250000	494.746224	1	-0.878357820104	0.701947264292	0.231769716219	-0.032704897526	0.000086796467	0.961573139903	N\A	0.031692259284	0.025948350150	0.003646558273	44	37	
3300000	483.866200	1	-0.837607088145	0.659331978643	0.257727966823	-0.034955199448	0.000102651561	0.957387484491	N\A	0.032702735199	0.027165860807	0.003719168407	54	23	
3350000	484.723207	1	-0.863206347722	0.693543915278	0.197761906837	-0.024525946202	0.000124386495	0.961356544312	N\A	0.034656555364	0.029195742790	0.003633726336	47	21	
3400000	491.687030	1	-0.839304929242	0.676176735860	0.233600667145	-0.028056011836	0.000105054959	0.958303172119	N\A	0.035103552252	0.030299155957	0.003954579979	53	23	
3450000	479.759286	1	-1.025907565288	0.777305716942	0.178569076322	-0.034953742523	0.000080965687	0.958494654710	N\A	0.035593638002	0.032259540053	0.004312070667	45	22	
3500000	489.398358	1	-0.974642839501	0.742591097753	0.205975983494	-0.034188405634	0.000090719361	0.960643507951	N\A	0.035896441998	0.028822473480	0.003859235115	42	27	
3550000	479.262904	1	-0.919317134574	0.684789052819	0.257043722312	-0.034680215481	0.000106481512	0.957536097772	N\A	0.032458363802	0.029680858810	0.004077734223	40	26	
3600000	476.115074	1	-1.037481230225	0.763354236914	0.204362411951	-0.034761454483	0.000126179443	0.955367752030	N\A	0.030681425937	0.031295761829	0.004284091392	47	23	
3650000	482.465931	1	-0.911616805968	0.726156916339	0.177377383943	-0.026736974327	0.000096089578	0.975837843482	N\A	0.030076733834	0.019147698174	0.003430417934	43	31	
3700000	489.595048	1	-1.054853538218	0.783685392308	0.161966156094	-0.030120947305	0.000102311940	0.960202139147	N\A	0.033022371389	0.029364739818	0.004200260016	41	25	
