Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m8-VR-005.txt
Log File Name:                   MOB_d1_m8-VR-005.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4068857349
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m8-VR-005.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	235.489141	1	-1.804997746123	1.359894124240	-0.088805848210	0.123061818092	0.000647851341	0.877545921730	N\A	0.108978546538	0.016568907836	0.048638214957	43	28	
1050000	235.723667	1	-2.226562623754	1.603115099895	-0.104810354960	0.028408129681	0.000542628650	0.889569567248	N\A	0.098620709018	0.015352695058	0.045340027085	54	35	
1100000	226.854826	1	-1.812643792607	1.392729662804	-0.118702736379	0.220531530492	0.000533746164	0.886597559487	N\A	0.113712763115	0.015703503831	0.043401398323	49	27	
1150000	233.201574	1	-1.874606895879	1.450315607806	-0.102000859534	0.079698641476	0.000748048095	0.921697344224	N\A	0.079893153785	0.012978502360	0.030882703980	49	29	
1200000	256.632243	1	-1.729721889735	1.354342929163	-0.089921873200	0.127935047681	0.000343486169	0.904396496762	N\A	0.098024578932	0.014656595020	0.037239750969	49	27	
1250000	228.563446	1	-1.799819171079	1.372781106817	-0.105252820324	0.153389130637	0.000523807284	0.890683650710	N\A	0.108172074655	0.015028103175	0.045735889001	47	34	
1300000	222.264518	1	-1.766268096569	1.395841252576	-0.110850700576	0.163501017924	0.000466912372	0.875673527668	N\A	0.118270299829	0.016505731134	0.046805746821	45	24	
1350000	215.134605	1	-1.614370246215	1.284843822855	-0.083515929094	0.108860015701	0.000495927608	0.877912515073	N\A	0.106219705871	0.015738792555	0.041375616213	57	27	
1400000	242.583346	1	-1.633145415498	1.275180381372	-0.098467934166	0.214291547709	0.000541007530	0.910142983888	N\A	0.092585771500	0.013201390712	0.036536407544	56	26	
1450000	234.578014	1	-1.484437003271	1.166208861826	-0.082165154524	0.228454066849	0.000411877745	0.878409311420	N\A	0.106944723080	0.014965822736	0.046974267340	42	35	
1500000	218.570232	1	-2.003180624052	1.532189151193	-0.108136095100	0.060253937404	0.000570695769	0.862041887507	N\A	0.116913979975	0.016519656293	0.048864429897	45	32	
1550000	257.904329	1	-1.837713080406	1.422675438875	-0.103992886203	0.144911827005	0.000473638985	0.906391173647	N\A	0.096207670361	0.014457032715	0.033710844946	48	31	
1600000	239.749972	1	-1.731092813438	1.349691301217	-0.101041058969	0.163276681171	0.000729430167	0.891321925906	N\A	0.103409674269	0.014232873945	0.033722121952	44	35	
1650000	240.551632	1	-1.860812584413	1.469056135748	-0.119807925396	0.132344121047	0.000507484057	0.882938859495	N\A	0.109771188818	0.015829603220	0.045192619714	45	36	
1700000	238.202672	1	-1.706699840872	1.347840337150	-0.107321344978	0.197040860138	0.000414441725	0.926449886965	N\A	0.097163496434	0.014771963283	0.030913702533	51	41	
1750000	241.030235	1	-1.931904540568	1.511795779800	-0.124419032087	0.139605832485	0.000508570845	0.895055716220	N\A	0.101779384480	0.014102370933	0.036894012074	44	24	
1800000	223.838458	1	-1.901342448781	1.514287324177	-0.131037575877	0.172237947621	0.000422934800	0.898881822321	N\A	0.111491212305	0.016225826920	0.035502349632	49	29	
1850000	219.946733	1	-1.597563617591	1.254436663738	-0.093496982185	0.193032911465	0.000552820166	0.876950295879	N\A	0.112336574816	0.015528514096	0.050009780633	41	29	
1900000	251.569263	1	-1.685617529507	1.313599514649	-0.091089320957	0.152009179237	0.000634890278	0.909671809837	N\A	0.098165717249	0.014438998888	0.035288376959	50	31	
1950000	230.061331	1	-2.115329754973	1.681787855597	-0.120157591046	-0.016073508870	0.000543712686	0.894682005284	N\A	0.088609748096	0.014552133862	0.039524722366	32	30	
2000000	233.006851	1	-2.027437077089	1.607561727271	-0.152262426631	0.180495074575	0.000947981797	0.877682004577	N\A	0.110944262424	0.016090348934	0.042677947826	42	33	
2050000	224.098440	1	-1.869270951430	1.452933668631	-0.096125485043	0.073176679118	0.000754445221	0.883749991847	N\A	0.099449776036	0.015131075597	0.042191962274	43	33	
2100000	234.316815	1	-1.795892409372	1.364428598301	-0.098441200265	0.148665040724	0.000554841449	0.909747561948	N\A	0.104058670179	0.014698058203	0.035095361496	50	33	
2150000	242.381267	1	-1.698072457042	1.366489634463	-0.105949585965	0.174920554386	0.000351941745	0.915286132997	N\A	0.101751739419	0.014417171319	0.031587577258	45	26	
2200000	232.287888	1	-2.173110672416	1.625516990162	-0.131802935409	0.085296739855	0.000663797137	0.893589012563	N\A	0.089795061800	0.014967054360	0.046271620811	47	35	
2250000	233.002430	1	-1.801196829869	1.415171198301	-0.128511485668	0.232610675167	0.000555237326	0.880393069160	N\A	0.109481811367	0.014414371490	0.039325670701	49	21	
2300000	240.618502	1	-1.792490814072	1.418845687834	-0.113302999007	0.150468532469	0.000506197185	0.877857038319	N\A	0.102244917473	0.015227570008	0.044480835314	55	34	
2350000	239.521587	1	-1.903531247409	1.426106088967	-0.095073596047	0.090466140373	0.000491326451	0.893737609034	N\A	0.098624789281	0.014767191322	0.040170359029	49	28	
2400000	251.663267	1	-1.567578633556	1.252774876564	-0.083691465874	0.163234891051	0.000585153021	0.955964256408	N\A	0.071333991917	0.011172674652	0.026884388799	40	28	
2450000	237.332602	1	-1.731603904342	1.316304169947	-0.092993377593	0.130928134328	0.001023228082	0.881779944538	N\A	0.110742178472	0.016342202546	0.040093438904	46	26	
2500000	227.079253	1	-1.680299449170	1.270544836552	-0.082852809365	0.154828494477	0.000418298787	0.876085323289	N\A	0.112102461935	0.015870281291	0.045675469366	53	37	
2550000	220.455539	1	-2.213976365333	1.670486943332	-0.149822451974	0.151482652920	0.000444657011	0.921526525849	N\A	0.102584086236	0.014754320290	0.030116771658	51	30	
2600000	240.479543	1	-1.794186258275	1.435862616503	-0.120463091513	0.196996903175	0.000484131040	0.883338901701	N\A	0.102346760964	0.014776841067	0.044704005270	37	35	
2650000	236.680595	1	-1.397030684461	1.145969191194	-0.070066772357	0.161162121817	0.000668311285	0.881965346721	N\A	0.104041187992	0.015447497582	0.049995089907	40	33	
2700000	248.684897	1	-1.978922333676	1.492902395070	-0.117995098814	0.118479383450	0.000483863520	0.912554802836	N\A	0.093728154044	0.014087298184	0.030578391435	48	28	
2750000	239.389720	1	-1.498954405546	1.177369474304	-0.069401306827	0.155818810627	0.000399891372	0.938820658978	N\A	0.088211690667	0.014240432428	0.027872630443	56	31	
2800000	249.410301	1	-1.549489927894	1.286736293430	-0.083959236561	0.146494747324	0.000430388255	0.900884286761	N\A	0.104519481805	0.015026862209	0.043343400186	49	29	
2850000	239.533344	1	-1.832544679376	1.443482217071	-0.116256563714	0.157983050257	0.000614165266	0.900093061523	N\A	0.106635954507	0.016156845357	0.027694256908	49	21	
2900000	242.680226	1	-2.082384403539	1.638852235369	-0.132947544441	0.077179490112	0.000429807884	0.895491665772	N\A	0.106344158036	0.015188919270	0.044967665290	44	29	
2950000	231.196309	1	-1.633629236176	1.250812597842	-0.084493007939	0.151646084698	0.000353773218	0.883867121183	N\A	0.108651476715	0.015559792268	0.043108974928	44	34	
3000000	226.631983	1	-1.612453871758	1.346658469858	-0.099044224949	0.135322203124	0.000658759228	0.873017879203	N\A	0.102053658696	0.015416211117	0.048329706028	44	27	
3050000	227.599334	1	-2.167728290894	1.596857256955	-0.128417786166	0.124981776050	0.001167843276	0.910901388079	N\A	0.110573402385	0.015154720202	0.050211292314	41	26	
3100000	253.841792	1	-2.100120701266	1.577300324246	-0.120575650966	0.101999140896	0.000356770445	0.916239539903	N\A	0.102065782177	0.014195636069	0.032736468347	53	31	
3150000	237.331891	1	-1.604589375780	1.258218846218	-0.092233315160	0.188953189696	0.000486182186	0.894922807012	N\A	0.097006913388	0.013904203966	0.035189963363	46	31	
3200000	235.797928	1	-1.918566336737	1.464167563755	-0.111049690777	0.122877397977	0.000715631499	0.890054833709	N\A	0.090325306504	0.015531272342	0.044079597708	47	33	
3250000	246.165005	1	-1.685954209484	1.207835191040	-0.070270379374	0.124668939513	0.000401328173	0.901933778460	N\A	0.098739424034	0.014547294696	0.041092819689	34	20	
3300000	223.494405	1	-1.395931237071	1.175500476043	-0.076542702191	0.148278927243	0.000135160848	0.896275424674	N\A	0.097187710392	0.014868367477	0.050681176771	40	31	
3350000	258.125568	1	-1.718046429253	1.352585706722	-0.104641735686	0.169744096462	0.000480790953	0.960082326693	N\A	0.091627355136	0.011912827106	0.033641973514	49	33	
3400000	243.728271	1	-1.790188021961	1.412306406150	-0.097362796892	0.104573394881	0.000428697172	0.934284879705	N\A	0.098246172578	0.013670155242	0.033438441569	49	35	
3450000	228.581900	1	-1.703928944196	1.355591001240	-0.092592438919	0.107337538670	0.000589920978	0.883840814316	N\A	0.117660528366	0.017013979931	0.047523998807	39	32	
3500000	248.620494	1	-1.879718003993	1.497890011336	-0.111340869909	0.101247762994	0.000711898104	0.954678771363	N\A	0.095447402797	0.013065585443	0.041875314126	52	29	
3550000	240.677070	1	-1.692493010975	1.353459660691	-0.113420150597	0.198407318063	0.000411346768	0.922765671569	N\A	0.091513393890	0.013929103732	0.026965757326	51	22	
3600000	238.080980	1	-1.654027788646	1.346572784357	-0.107634282306	0.170160771229	0.000570099388	0.921486764771	N\A	0.092143895825	0.014912954559	0.032042512509	51	31	
3650000	248.945555	1	-1.623642850108	1.364156341448	-0.095553698267	0.120198931739	0.000691114215	0.889955505984	N\A	0.101085782254	0.015817289395	0.046406136032	51	31	
3700000	246.102117	1	-1.858199133370	1.511715969304	-0.114598359771	0.098885470074	0.000594648296	0.920483385406	N\A	0.102128053816	0.013913239370	0.031464259558	43	25	
3750000	248.314017	1	-1.851840641344	1.492853651607	-0.119403940637	0.130725910255	0.000609510812	0.928623606687	N\A	0.099251174932	0.014072399678	0.034915011455	45	24	
3800000	229.088675	1	-2.125426114782	1.575018652251	-0.131568002463	0.161466988054	0.000447480501	0.890636010198	N\A	0.111445439982	0.016411111088	0.048753870719	47	35	
3850000	251.147217	1	-1.643821880447	1.320707981385	-0.092438039097	0.132430174794	0.000427466522	0.893229412298	N\A	0.105056567774	0.015504306615	0.038525543573	62	36	
3900000	214.709427	1	-1.400533798709	1.206899003656	-0.077964913996	0.187866992847	0.000409376775	0.887373874227	N\A	0.120644615136	0.016891535761	0.041953237209	46	25	
3950000	241.713929	1	-1.544002371940	1.280054403378	-0.100100006854	0.211247730148	0.000341902307	0.912855785463	N\A	0.104620546039	0.015036714932	0.032383400808	46	25	
4000000	236.414646	1	-1.881027187121	1.563557507013	-0.134585407697	0.144910255655	0.000336717388	0.897487456070	N\A	0.104716485355	0.015596774479	0.037637835801	49	33	
4050000	245.737311	1	-2.012518174192	1.446349099257	-0.096088590391	0.115400046862	0.000333801491	0.919531500530	N\A	0.104321374898	0.015058708023	0.030519616641	50	22	
4100000	236.615275	1	-1.556325165065	1.270037167309	-0.097459025401	0.201585819599	0.000444540591	0.906954220487	N\A	0.091547708596	0.014110561882	0.038042783780	42	29	
4150000	246.520233	1	-1.614655513050	1.390934776869	-0.102262257720	0.110051594799	0.000339965333	0.902869654738	N\A	0.097155531392	0.015367227531	0.035707533603	36	26	
4200000	245.699791	1	-1.799461597479	1.252862484937	-0.086801028777	0.159462161913	0.000352401757	0.891920454003	N\A	0.103939627670	0.015046686210	0.040421974339	45	27	
4250000	236.232150	1	-1.625412781139	1.336396475953	-0.109941909962	0.195870973730	0.000547591039	0.900507650179	N\A	0.103935774951	0.015123684142	0.039833236170	44	20	
4300000	247.150172	1	-1.915050973631	1.511490754827	-0.121583847223	0.127466641175	0.000271766232	0.900467711525	N\A	0.099650965013	0.014442036151	0.038553566174	55	25	
4350000	258.829454	1	-1.993649451632	1.583853116363	-0.127961144523	0.133073930953	0.000324516839	0.915588260438	N\A	0.095510668816	0.014903549248	0.028505937350	56	30	
4400000	228.393033	1	-2.135266124062	1.566834578503	-0.104682860820	0.069681091472	0.000910885175	0.917624708422	N\A	0.107756094701	0.015456151520	0.034200153528	47	26	
4450000	244.349431	1	-1.581999529021	1.329382043348	-0.098052380540	0.163377942311	0.000313264835	0.937566863281	N\A	0.103010636257	0.014055724564	0.032348214920	45	24	
4500000	246.522206	1	-1.844292335170	1.468783185455	-0.122222910897	0.169934493702	0.000367563224	0.949482193044	N\A	0.104714696287	0.014717100917	0.044080585792	44	28	
4550000	220.439610	1	-1.834499580734	1.420320698118	-0.116294160346	0.181218996272	0.000425968453	0.899172004005	N\A	0.104882913731	0.016278301590	0.028092993289	62	27	
4600000	225.566091	1	-1.938525196264	1.471315415081	-0.126949536445	0.206337356385	0.000530003658	0.915151776334	N\A	0.109992726790	0.015818718974	0.032207586040	39	25	
4650000	244.995004	1	-1.921373144372	1.539951360200	-0.112296529813	0.093557524006	0.000795262607	0.904824914342	N\A	0.104997878939	0.015672396943	0.034163991971	50	36	
4700000	236.637376	1	-1.842522771191	1.419095900517	-0.104867629827	0.118662887601	0.000431188314	0.898486233931	N\A	0.108824154180	0.015397008528	0.046500167985	64	24	
4750000	236.804611	1	-1.655085552587	1.353415474558	-0.112336325708	0.196010156314	0.000429567365	0.882142606835	N\A	0.110887591666	0.015551490926	0.043829115504	47	30	
4800000	249.703953	1	-1.744384294796	1.435706937975	-0.121771037707	0.187601425776	0.000557166552	0.913226222070	N\A	0.101907959506	0.014348252308	0.031714936972	49	27	
4850000	239.645887	1	-1.767769676696	1.386363483430	-0.101035965009	0.147150358117	0.000368867746	0.885271492587	N\A	0.105700836054	0.015437478856	0.043394638615	48	33	
4900000	231.904418	1	-1.936760438226	1.528686907787	-0.134374757309	0.180846117667	0.000392530413	0.898472697509	N\A	0.107635150990	0.015045239268	0.035148702744	44	27	
4950000	239.069212	1	-1.849929185052	1.443274283381	-0.110007754346	0.133016927106	0.000518929134	0.895695124962	N\A	0.104969156651	0.014988334211	0.040197901475	59	24	
5000000	235.757894	1	-2.001176345527	1.516911281298	-0.137373808270	0.215447377165	0.000417070364	0.900533888897	N\A	0.103487334286	0.013916909908	0.033810145889	43	31	
5050000	249.145507	1	-1.731853068154	1.392926468910	-0.102342735269	0.141257188069	0.000482808296	0.920545367052	N\A	0.101109302584	0.014445778586	0.032814598066	38	27	
5100000	231.328874	1	-2.042009502646	1.597480672207	-0.120503532533	0.042771236830	0.000568717595	0.872977450102	N\A	0.105920488176	0.015903781403	0.049746941012	56	24	
5150000	239.793101	1	-1.847044017396	1.401979785306	-0.090908542023	0.081287556303	0.000874651298	0.899235344668	N\A	0.089089676071	0.013801279516	0.038686014694	55	23	
5200000	257.219514	1	-1.906271679011	1.366711247989	-0.116409722121	0.235128056440	0.000679737578	0.888147832282	N\A	0.102027526017	0.014935279006	0.047019552326	53	29	
5250000	248.530537	1	-1.506940906276	1.298130730794	-0.089200680327	0.129292421986	0.000538630005	0.904741417464	N\A	0.097380573688	0.014674115554	0.043635701753	37	42	
5300000	237.842558	1	-1.402479350945	1.193307233746	-0.078592214056	0.181327048489	0.000880522490	0.943908993401	N\A	0.097487379263	0.014393422446	0.025705991017	52	27	
5350000	212.153288	1	-2.130857675639	1.622744953237	-0.123126929360	0.059216177590	0.000461111652	0.902658930808	N\A	0.112543947424	0.016944876064	0.038528714538	47	37	
5400000	243.241581	1	-1.757161394844	1.284278397425	-0.080476086182	0.106651774450	0.000783974088	0.909595653165	N\A	0.100820945145	0.014637575178	0.043874293970	56	32	
5450000	242.988531	1	-1.819805418862	1.352440294999	-0.086531946591	0.127037612618	0.000450569590	0.908444344102	N\A	0.103415374876	0.015584056693	0.040233313251	53	36	
5500000	238.128824	1	-1.853078808994	1.402384945047	-0.094689588452	0.108505579337	0.000498043651	0.910400870125	N\A	0.107785742609	0.015480542780	0.035111507286	49	36	
5550000	227.816279	1	-1.934829051476	1.499273620476	-0.114012710526	0.101724053091	0.000622366197	0.903169861935	N\A	0.099514524397	0.014493843571	0.036248673370	42	29	
5600000	235.635353	1	-1.600631397267	1.246919013609	-0.090655329995	0.163305381734	0.000714137983	0.887951315273	N\A	0.105957909088	0.015101099228	0.049636113494	37	33	
5650000	259.768818	1	-1.680961549662	1.359842846773	-0.095456530356	0.131232227291	0.000509143070	0.910544999604	N\A	0.085973306891	0.013521389606	0.034736295146	49	33	
5700000	211.409108	1	-1.883088907900	1.456414582333	-0.108209363637	0.138780243450	0.000441764019	0.908644387927	N\A	0.093159306947	0.014352036542	0.043678531099	45	29	
5750000	232.336795	1	-1.941588897137	1.533954470242	-0.136757520855	0.193755450729	0.000441519009	0.914188941287	N\A	0.104849344182	0.015079373049	0.039337717630	49	31	
5800000	218.112094	1	-2.093578154613	1.555393468501	-0.106534439119	0.049789783664	0.000432065709	0.877987329796	N\A	0.107504628192	0.015625282189	0.045260256538	38	23	
5850000	240.616706	1	-1.886235928789	1.522425470435	-0.136246754849	0.181457772640	0.000347975008	0.903540367359	N\A	0.079460279333	0.013981554282	0.042766015696	54	29	
5900000	226.714462	1	-1.693080667972	1.346835836225	-0.109914821125	0.220000129473	0.000481880305	0.880230010745	N\A	0.108582229364	0.015750784795	0.044504655565	46	32	
5950000	234.741286	1	-1.686191809660	1.366917328900	-0.103039431097	0.146528623353	0.000459819386	0.882170341004	N\A	0.102522098844	0.015670415759	0.047118435596	43	29	
6000000	235.894827	1	-1.625197931882	1.273052065334	-0.095884502090	0.176964734230	0.000466843831	0.874031968474	N\A	0.103558103073	0.014722022740	0.045389021964	49	39	
