Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m8-fab-001.txt
Log File Name:                   SCH_d1_m8-fab-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            883926312
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m8-fab-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.179389
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	478.562183	1	-1.693516552906	1.165227534681	-0.025524565258	-0.030815392025	0.000129886270	0.968275706882	N\A	0.053397431054	0.007771080345	0.025372238207	38	5	
1050000	499.392235	1	-1.816230967903	1.252398684779	-0.034648563891	-0.050812030320	0.000086732297	0.969960307981	N\A	0.050317843802	0.007354447519	0.020739572368	40	6	
1100000	473.761011	1	-1.951557096215	1.347778339561	-0.054823347835	-0.032153098302	0.000094099790	0.962528418521	N\A	0.062842519490	0.008243745720	0.026384363440	33	3	
1150000	495.570819	1	-1.740818861744	1.234585768690	-0.051840664628	0.022836690962	0.000095570901	0.970012932586	N\A	0.051167251063	0.007873944985	0.024358126296	31	6	
1200000	484.340656	1	-1.645037359818	1.155249651666	-0.042723564022	0.048723215235	0.000098938172	0.966063414438	N\A	0.053776244996	0.007412691450	0.025160408495	39	3	
1250000	496.975403	1	-1.706694454090	1.180413734383	-0.038569723964	0.021850194938	0.000120655116	0.965611611438	N\A	0.050017454589	0.007092739627	0.015425158024	28	6	
1300000	476.189464	1	-1.659984597365	1.177835995867	-0.041858076819	0.019387452317	0.000086714752	0.962115575362	N\A	0.056374172000	0.008023155659	0.026474237454	39	1	
1350000	474.297332	1	-1.779835905681	1.245309675725	-0.045981100852	-0.004527268265	0.000134430226	0.963477211205	N\A	0.053337404092	0.007399126141	0.026566151889	36	3	
1400000	481.483178	1	-1.801346777775	1.250403246126	-0.050371305783	0.017831330886	0.000106023092	0.963908357919	N\A	0.055804244861	0.007737483188	0.024888343392	33	4	
1450000	500.048061	1	-1.781378276308	1.238275842710	-0.034829951041	-0.041003905672	0.000085693344	0.968987222806	N\A	0.052497693463	0.006600737152	0.023614998298	34	7	
1500000	476.387316	1	-1.897170182127	1.283644282843	-0.047737706970	-0.000307256616	0.000096724673	0.965561281624	N\A	0.056332924069	0.006535717041	0.023503672455	42	6	
1550000	482.357729	1	-1.652796625493	1.135442618223	-0.021938576179	-0.026536875034	0.000091921274	0.964145812443	N\A	0.054394705112	0.007956259893	0.025339855010	41	4	
1600000	466.889513	1	-1.762931761574	1.235165834293	-0.031042660250	-0.052654752272	0.000122908463	0.957579334873	N\A	0.059667191619	0.008129866686	0.027336947404	32	3	
1650000	480.708494	1	-1.624586105561	1.143428732211	-0.050075622367	0.098579299903	0.000090607065	0.962479225956	N\A	0.054206915665	0.007532107338	0.024930634601	28	2	
1700000	485.874885	1	-1.735474753825	1.243400866983	-0.047278524560	-0.014228665795	0.000082555918	0.968324639549	N\A	0.053712822073	0.007090819827	0.023116861465	34	3	
1750000	487.978379	1	-1.817958043897	1.236098162396	-0.038830611016	-0.017014123173	0.000088215953	0.966007420688	N\A	0.054116119353	0.007243144960	0.024582255739	22	5	
1800000	481.007166	1	-1.719682948409	1.191946279602	-0.029592654159	-0.025452433144	0.000101369232	0.967498815573	N\A	0.051710713910	0.007799798883	0.025659959112	38	6	
1850000	459.285768	1	-1.835643991285	1.277031391156	-0.043181313177	-0.039773592938	0.000097127784	0.953053422189	N\A	0.062177528859	0.008145846411	0.027390409264	29	3	
1900000	471.337806	1	-1.826777245203	1.269561339594	-0.048017101290	-0.011986040040	0.000054341592	0.966105086803	N\A	0.056970032546	0.007976295098	0.027152661513	30	2	
1950000	469.641625	1	-1.943066095728	1.313900784289	-0.042443507086	-0.062191549146	0.000079982035	0.967375860639	N\A	0.052558388388	0.008228364897	0.026218983382	36	2	
2000000	475.449642	1	-1.738392002139	1.233446010081	-0.037109380033	-0.035954228182	0.000122930197	0.966295609361	N\A	0.055164798063	0.007625352488	0.026011564495	40	6	
2050000	489.155430	1	-1.644272477168	1.160302243358	-0.033191592058	-0.002764980737	0.000071003555	0.968351952602	N\A	0.052443338882	0.007150035816	0.024840646969	44	3	
2100000	480.705941	1	-1.827432810075	1.256411732877	-0.047884778146	0.008785728475	0.000120179584	0.963847071896	N\A	0.057154848274	0.007926436349	0.026621498074	39	4	
2150000	485.807276	1	-1.858049283939	1.292818510436	-0.046925052505	-0.029685685794	0.000074594748	0.964561968829	N\A	0.054605142748	0.006768230626	0.023732214940	41	4	
2200000	480.542864	1	-2.031539090429	1.386265444093	-0.053336555826	-0.050512307907	0.000061194537	0.966941186996	N\A	0.055812792652	0.007957734178	0.025086059344	34	7	
2250000	481.724008	1	-1.785143170500	1.226155717996	-0.039010586386	-0.004647405700	0.000099290379	0.964349212960	N\A	0.052502120155	0.007254220928	0.024784452489	43	2	
2300000	458.139161	1	-1.801005274050	1.233019949531	-0.039267919876	-0.013850384692	0.000119305214	0.959377149066	N\A	0.061359364531	0.008249645241	0.027353766542	28	0	
2350000	477.791482	1	-1.620279290711	1.119814963246	-0.029169426157	0.014963071772	0.000252231962	0.963005588873	N\A	0.058287376791	0.007188019136	0.025829641027	31	7	
2400000	495.279865	1	-1.847614968269	1.300891908916	-0.046477705052	-0.040257591360	0.000045284745	0.969002415092	N\A	0.053233961030	0.007375888501	0.025109759228	36	6	
2450000	494.493469	1	-1.684154893143	1.184759699145	-0.046555958962	0.038789230656	0.000126211635	0.967115936226	N\A	0.054406014808	0.007358576445	0.024951549738	45	6	
2500000	480.121371	1	-1.747290477590	1.244620572080	-0.053153892455	0.023529081552	0.000090443327	0.963580286652	N\A	0.058281880873	0.007814116028	0.025551272761	33	6	
2550000	481.708491	1	-1.871206558696	1.291162462934	-0.060491215041	0.037615493384	0.000092530895	0.963987999404	N\A	0.057464415909	0.007784710112	0.025264522426	31	2	
2600000	481.371508	1	-1.879439301035	1.312547793816	-0.062375707386	0.023060904139	0.000092572531	0.965408685805	N\A	0.055769241430	0.007932577338	0.027018280769	38	5	
2650000	483.080962	1	-1.697576271691	1.170147481830	-0.035642112184	0.010257741854	0.000105290167	0.964045115753	N\A	0.054307819660	0.007157093927	0.025530907969	38	5	
2700000	473.667504	1	-1.669165217721	1.173542199053	-0.040003648667	0.022663576041	0.000071394679	0.969824236141	N\A	0.051645690332	0.006834103964	0.024377610811	53	3	
2750000	462.841311	1	-1.814079689020	1.254211238384	-0.043613262795	-0.007986805429	0.000092851444	0.963875750547	N\A	0.054725536160	0.007607634711	0.025453292479	36	5	
2800000	463.089139	1	-1.940177672401	1.308548872976	-0.048647269888	-0.010177414620	0.000033720942	0.961709562169	N\A	0.056612286904	0.007729963301	0.025969578127	45	1	
2850000	489.201244	1	-1.859671959151	1.283969409337	-0.052383593706	0.007489561395	0.000137684059	0.963356773742	N\A	0.056938380175	0.007706100552	0.025857467061	36	5	
2900000	473.156896	1	-1.742574389768	1.198091212793	-0.027155490457	-0.048602189463	0.000106340912	0.959525477566	N\A	0.059009776437	0.007836790317	0.025499644007	30	3	
2950000	494.139985	1	-1.727907135101	1.201359561823	-0.035915817089	-0.018254587835	0.000115434875	0.965588098322	N\A	0.054443964969	0.006983958767	0.023871881893	36	6	
3000000	498.107253	1	-1.849436697267	1.294840325384	-0.041388123434	-0.067722162587	0.000113850099	0.972565720990	N\A	0.048687985915	0.006354117320	0.019237340644	49	7	
3050000	475.547066	1	-1.957284469838	1.345098915300	-0.044220224286	-0.082312335667	0.000087987914	0.961804792817	N\A	0.055316406969	0.007120312749	0.023871098115	29	2	
