Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m7-VR-003.txt
Log File Name:                   HIP_d1_m7-VR-003.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            3985275238
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m7-VR-003.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
2400000	436.903634	1	-0.763598389486	0.895321733185	0.003563157430	-0.001551080515	0.000026518337	0.952745395749	N\A	0.036713886903	0.032220152452	0.004431500094	50	40	
2450000	453.983826	1	-0.925639337954	0.970052766118	0.012190045229	-0.017436380565	0.000009029944	0.958508475303	N\A	0.037153098041	0.033577218094	0.004249893839	53	31	
2500000	435.427303	1	-0.925291485619	0.997144839194	-0.049450258696	-0.006707033127	0.000010473913	0.954349629917	N\A	0.034319616316	0.032730339408	0.004760970473	39	32	
2550000	422.312794	1	-0.791911094021	0.883277948256	0.084079060184	-0.017386654256	0.000004617469	0.955073884768	N\A	0.038968221487	0.034299568119	0.004679429764	52	29	
2600000	443.683947	1	-0.819486586888	0.897006483553	0.068625040299	-0.017191773646	0.000014592017	0.964604218294	N\A	0.037137856294	0.030020885553	0.003895190258	34	38	
2650000	436.859432	1	-0.888210618656	0.925345145960	0.067937528788	-0.022004108729	0.000017414738	0.955553759216	N\A	0.038957260684	0.035780439596	0.004789370931	33	30	
2700000	426.179448	1	-0.942492846645	0.963667792786	0.033528511279	-0.017026485821	0.000006495053	0.959017358470	N\A	0.036248067124	0.033283445568	0.004749178378	49	31	
2750000	439.675749	1	-0.742451964029	0.866180598161	0.080138083412	-0.015458591518	0.000005210116	0.957171660771	N\A	0.036204631456	0.032583441606	0.004404723940	45	32	
2800000	408.038053	1	-0.806347984804	0.908794026222	0.044604602471	-0.013444144696	0.000006550050	0.948734522674	N\A	0.036603355358	0.035688832649	0.005005778260	56	18	
2850000	429.389442	1	-0.866761192769	0.918385694802	0.070695042279	-0.019302248618	0.000023767478	0.957471554544	N\A	0.035735420092	0.032498163976	0.004497023885	32	25	
2900000	425.030846	1	-0.935581905568	0.947511637334	0.040401219520	-0.020244470016	0.000012716788	0.959107166424	N\A	0.034900581988	0.031794541747	0.004389337872	46	39	
2950000	437.310945	1	-0.880389105089	0.904229656382	0.097888490002	-0.023172570089	0.000030235399	0.957075569445	N\A	0.036480203044	0.032911519904	0.004626412958	37	29	
3000000	432.469610	1	-1.017630418094	0.980229993473	-0.001541244907	-0.011195405372	0.000121506239	0.956963801828	N\A	0.036366011848	0.033605785181	0.004335495057	39	30	
3050000	425.024110	1	-0.794375877042	0.868583583953	0.066628143294	-0.009387007734	0.000108782345	0.951579417777	N\A	0.036716747132	0.034024778989	0.004765074721	56	19	
3100000	442.712423	1	-0.887471271209	0.930804557559	0.024946067972	-0.011772968145	0.000116519522	0.961555787058	N\A	0.031602262106	0.025558927831	0.004030503086	48	34	
3150000	449.387254	1	-0.991475009232	0.963893948842	0.058095453571	-0.024031927241	0.000093987378	0.971165301762	N\A	0.034705098000	0.029099673208	0.003447751397	46	25	
3200000	443.042989	1	-0.819697326151	0.880820251648	0.072244869874	-0.015410003030	0.000110248985	0.954911972206	N\A	0.039481936956	0.035664481286	0.004513410370	34	36	
3250000	422.651277	1	-0.782959511346	0.858200807625	0.077576228330	-0.010290180308	0.000092288829	0.962883061423	N\A	0.036982332309	0.033692199367	0.004302720132	37	25	
3300000	422.084983	1	-0.830415656870	0.918754255289	0.015664612135	-0.013326702850	0.000127143255	0.954775742005	N\A	0.028389925360	0.026000556305	0.004792016334	43	31	
3350000	433.140303	1	-0.917317794117	0.930802136904	0.053739526330	-0.019326755668	0.000097051581	0.957830834681	N\A	0.037908613802	0.033296198239	0.004244481133	40	32	
3400000	424.093035	1	-0.860189190180	0.898451283845	0.061460152245	-0.014982258180	0.000117300672	0.954753286570	N\A	0.035726900906	0.031654343816	0.004307195662	44	27	
3450000	450.827545	1	-0.777166522175	0.870353549560	0.084518718320	-0.020949853951	0.000077857380	0.956967280283	N\A	0.037581957185	0.034980103874	0.004814371302	50	26	
3500000	441.206168	1	-0.824774597745	0.879419286769	0.075671088094	-0.016272131700	0.000074754958	0.961033858019	N\A	0.036578488951	0.032023323854	0.004198908213	61	29	
3550000	429.409270	1	-0.842419591589	0.894108471569	0.082299769664	-0.021191941791	0.000123391791	0.955159824748	N\A	0.037384913281	0.033570974787	0.004535292280	60	17	
3600000	420.879431	1	-0.798706556765	0.878174552913	0.084505505496	-0.016078672693	0.000197485518	0.951341616422	N\A	0.039801117628	0.035942808631	0.004742728013	55	26	
3650000	455.735494	1	-0.854019519170	0.911500473229	0.053637329852	-0.016928976809	0.000100066539	0.964383359865	N\A	0.037564539020	0.033867349234	0.004846278314	37	23	
3700000	446.794563	1	-0.886186254982	0.897131093164	0.088712007244	-0.021529110583	0.000179062443	0.957930594581	N\A	0.032684752207	0.029012398130	0.004469517238	54	27	
3750000	451.397473	1	-0.942576129008	0.946361715259	0.047623594123	-0.019480070232	0.000090856547	0.963591432714	N\A	0.033373512081	0.030259401462	0.004079174415	44	31	
3800000	433.643491	1	-0.996562732070	0.999907396664	-0.048388816892	-0.006736158336	0.000106095317	0.958316494157	N\A	0.034248215278	0.030175612694	0.004482360433	51	24	
3850000	436.537658	1	-0.874941962278	0.939801021083	0.002546424616	-0.009524786319	0.000121951791	0.949243988586	N\A	0.039404986574	0.034469343333	0.004536448489	46	29	
3900000	436.119074	1	-1.022215416368	0.994879323218	-0.014031069839	-0.012388412834	0.000180036350	0.956194156945	N\A	0.039286994305	0.033420003379	0.004154309622	38	30	
3950000	427.068446	1	-0.972384830234	0.961142105487	0.030940070255	-0.017532093577	0.000223358636	0.953734975027	N\A	0.035284599454	0.032204675411	0.004741761471	42	29	
4000000	422.794002	1	-0.675347437872	0.831912456129	0.106124499374	-0.018499604406	0.000126346491	0.953974079255	N\A	0.038826565418	0.036470100487	0.005188050398	61	18	
4050000	441.141128	1	-0.874245293690	0.930010229050	0.001269138159	-0.005060002013	0.000157401720	0.953661897597	N\A	0.037558526785	0.033791272549	0.004671132200	44	21	
4100000	436.706838	1	-0.696478481111	0.833312087599	0.099643496689	-0.017993388236	0.000140074027	0.953503161296	N\A	0.038206950955	0.035452687991	0.004656135318	43	32	
4150000	423.819843	1	-0.829463147832	0.892980045554	0.061524118110	-0.012831226352	0.000117704213	0.950494495844	N\A	0.037898597795	0.033363802180	0.004243394266	53	27	
4200000	434.418354	1	-0.926785641361	0.920722211864	0.090639984631	-0.028035401881	0.000129210787	0.971107381203	N\A	0.028235358842	0.030451869431	0.004034341396	47	26	
4250000	418.266632	1	-1.021687617102	0.995925830947	0.001277923721	-0.015309906578	0.000194483559	0.956519374011	N\A	0.039649743285	0.036309960280	0.004663973725	48	33	
4300000	424.947094	1	-0.855182383177	0.912645673528	0.028677674645	-0.009733314147	0.000100917646	0.972328417623	N\A	0.029185816994	0.032033114423	0.004456778738	40	42	
4350000	422.514312	1	-0.904425759976	0.945652613958	0.002815492675	-0.008995820847	0.000074727517	0.952023126753	N\A	0.038396312046	0.036407083457	0.004909515788	55	35	
