Species_TTOL	HIP	BOD	BOD2
Macroglossus_minimus	1.672	1.164	1.354896
Megaerops_ecaudatus	1.854	1.38	1.9044
Megaloglossus_woermanni	1.809	1.253	1.570009
Melonycteris_melanops	1.9	1.675	2.805625
Melonycteris_woodfordi	1.825	1.549	2.399401
Epomophorus_pusillus	1.755	1.4	1.96
Myonycteris_torquata	1.933	1.561	2.436721
Notopteris_macdonaldi	1.985	1.841	3.389281
Nyctimene_albiventer	1.836	1.473	2.169729
Nyctimene_robinsoni	2.012	1.673	2.798929
Nyctimene_vizcaccia	1.863	1.549	2.399401
Paranyctimene_raptor	1.795	1.417	2.007889
Pteropus_alecto	2.553	2.775	7.700625
Pteropus_conspicillatus	2.596	2.875	8.265625
Pteropus_hypomelanus	2.453	2.591	6.713281
Pteropus_lylei	2.46	2.497	6.235009
Pteropus_neohibernicus	2.602	2.924	8.549776
Pteropus_poliocephalus	2.554	2.842	8.076964
Pteropus_samoensis	2.51	2.491	6.205081
Pteropus_scapulatus	2.428	2.574	6.625476
Pteropus_temminckii	2.443	2.398	5.750404
Pteropus_tonganus	2.485	2.652	7.033104
Pteropus_vampyrus	2.647	3.027	9.162729
Rousettus_aegyptiacus	2.163	2.111	4.456321
Rousettus_amplexicaudatus	2.066	1.856	3.444736
Scotonycteris_zenkeri	1.868	1.328	1.763584
Sphaerias_blanfordi	1.836	1.47	2.1609
Syconycteris_australis	1.725	1.207	1.456849
Anoura_caudifer	1.529	1.025	1.050625
Anoura_geoffroyi	1.69	1.204	1.449616
Ardops_nichollsi	1.558	1.352	1.827904
Artibeus_cinereus	1.517	1.1	1.21
Artibeus_concolor	1.638	1.288	1.658944
Artibeus_jamaicensis	1.805	1.613	2.601769
Artibeus_lituratus	1.9	1.748	3.055504
Aselliscus_stoliczkanus	1.104	0.69	0.4761
Aselliscus_tricuspidatus	1.021	0.643	0.413449
Brachyphylla_cavernarum	1.897	1.648	2.715904
Cardioderma_cor	1.509	1.415	2.002225
Carollia_perspicillata	1.632	1.25	1.5625
Chalinolobus_gouldii	1.246	1.068	1.140624
Chalinolobus_morio	1.253	0.919	0.844561
Chiroderma_salvini	1.75	1.417	2.007889
Chiroderma_trinitatum	1.526	1.137	1.292769
Chiroderma_villosum	1.646	1.394	1.943236
Choeroniscus_minor	1.538	0.982	0.964324
Coleura_afra	1.093	1.061	1.125721
Cormura_brevirostris	1.049	0.914	0.835396
Craseonycteris_thonglongyai	0.681	0.408	0.166464
Desmodus_rotundus	1.627	1.56	2.4336
Diphylla_ecaudata	1.613	1.49	2.2201
Emballonura_monticola	0.881	0.724	0.524176
Emballonura_raffrayana	0.958	0.771	0.594441
Eptesicus_brasiliensis	1.076	0.964	0.929296
Eptesicus_fuscus_bahamensis	1.294	1.134	1.285956
Eumops_auripendulus	1.398	1.529	2.337841
Eumops_glaucinus	1.461	1.562	2.439844
Furipterus_horrens	0.976	0.535	0.286225
Glischropus_tylopus	0.809	0.69	0.4761
Glossophaga_longirostris	1.587	1.053	1.108809
Glossophaga_soricina	1.497	0.996	0.992016
Harpiocephalus_harpia	1.554	1.13	1.2769
Hesperoptenus_blanfordi	0.97	0.863	0.744769
Hipposideros_armiger	1.759	1.748	3.055504
Hipposideros_ater	1.204	0.839	0.703921
Hipposideros_caffer	1.303	1.041	1.083681
Macronycteris_commersoni	1.679	1.997	3.988009
Hipposideros_diadema	1.68	1.622	2.630884
Hipposideros_fulvus	1.179	0.845	0.714025
Hipposideros_lankadiva	1.688	1.686	2.842596
Hipposideros_larvatus	1.447	1.312	1.721344
Hipposideros_ridleyi	1.272	0.982	0.964324
Hipposideros_speoris	1.225	1.061	1.125721
Hipposideros_turpis	1.615	1.542	2.377764
Ia_io	1.673	1.727	2.982529
Kerivoula_papillosa	1.56	1.004	1.008016
Lasiurus_borealis	0.954	0.892	0.795664
Leptonycteris_curasoae	1.679	1.389	1.929321
Leptonycteris_nivalis	1.625	1.358	1.844164
Lonchophylla_mordax	1.584	1.029	1.058841
Hsunycteris_thomasi	1.52	0.839	0.703921
Lophostoma_silvicolum	1.433	1.509	2.277081
Macroderma_gigas	1.838	2.078	4.318084
Macrophyllum_macrophyllum	1.292	0.934	0.872356
Megaderma_lyra	1.609	1.587	2.518569
Megaderma_spasma	1.493	1.354	1.833316
Mesophylla_macconnelli	1.42	0.875	0.765625
Micronycteris_brachyotis	1.354	1.167	1.361889
Micronycteris_megalotis	1.149	0.813	0.660969
Micronycteris_minuta	1.238	0.839	0.703921
Micronycteris_schmidtorum	1.158	0.892	0.795664
Gardnerycteris_crenulatum	1.26	1.072	1.149184
Miniopterus_australis	1.176	0.851	0.724201
Miniopterus_inflatus	1.279	1.173	1.375929
Miniopterus_magnater	1.305	1.176	1.382976
Miniopterus_pusillus	1.176	0.934	0.872356
Miniopterus_tristis	1.265	1.193	1.423249
Molossus_molossus	1.182	1.137	1.292769
Molossus_rufus	1.387	1.526	2.328676
Monophyllus_plethodon	1.535	1.176	1.382976
Mormoops_megalophylla	1.439	1.196	1.430416
Murina_cyclotis	1.201	0.851	0.724201
Murina_huttoni	1.233	0.944	0.891136
Myotis_adversus	1.121	1.049	1.100401
Myotis_albescens	0.88	0.602	0.362404
Myotis_annectans	1.248	0.991	0.982081
Myotis_bechsteinii	1.407	0.978	0.956484
Myotis_bocagii	0.989	0.845	0.714025
Myotis_dasycneme	1.401	1.176	1.382976
Myotis_myotis	1.551	1.408	1.982464
Myotis_nigricans	0.956	0.663	0.439569
Myotis_siligorensis	0.854	0.539	0.290521
Natalus_tumidirostris	1.433	0.839	0.703921
Noctilio_albiventris	1.332	1.515	2.295225
Noctilio_leporinus	1.703	1.763	3.108169
Nyctalus_noctula	1.283	1.431	2.047761
Nycteris_arge	1.253	1.025	1.050625
Nycteris_grandis	1.559	1.474	2.172676
Nycteris_hispida	1.238	0.892	0.795664
Nycteris_javanica	1.436	1.265	1.600225
Nycteris_macrotis	1.267	1.161	1.347921
Nycteris_thebaica	1.241	0.949	0.900601
Nyctophilus_geoffroyi	1.09	0.857	0.734449
Otomops_martiensseni	1.486	1.618	2.617924
Peropteryx_macrotis	0.91	0.748	0.559504
Phylloderma_stenops	1.962	1.664	2.768896
Phyllostomus_discolor	1.832	1.563	2.442969
Phyllostomus_elongatus	1.691	1.652	2.729104
Phyllostomus_hastatus	1.902	1.963	3.853369
Pipistrellus_javanicus	0.918	0.653	0.426409
Pipistrellus_tenuis	0.797	0.591	0.349281
Afronycteris_nana	0.797	0.591	0.349281
Hypsugo_pulveratus	0.999	0.724	0.524176
Perimyotis_subflavus	1.037	0.724	0.524176
Pteronotus_gymnonotus	1.283	1.134	1.285956
Pteronotus_parnellii_mesoamericanus	1.539	1.305	1.703025
Pteronotus_personatus	1.111	0.908	0.824464
Rhinolophus_cornutus	1.161	0.82	0.6724
Rhinolophus_eloquens	1.459	1.281	1.640961
Rhinolophus_hipposideros	1.134	0.663	0.439569
Rhinolophus_landeri	1.281	0.987	0.974169
Rhinolophus_lepidus	1.104	0.778	0.605284
Rhinolophus_luctus	1.534	1.516	2.298256
Rhinolophus_macrotis	1.286	0.799	0.638401
Rhinolophus_malayanus	1.155	0.806	0.649636
Rhinolophus_megaphyllus	1.322	0.991	0.982081
Rhinolophus_pearsonii	1.405	1.143	1.306449
Rhinolophus_pusillus	1.097	0.672	0.451584
Rhinolophus_trifoliatus	1.362	1.164	1.354896
Rhinolophus_yunnanensis	1.515	1.371	1.879641
Rhinonicteris_aurantia	1.283	0.934	0.872356
Rhinophylla_pumilio	1.481	0.949	0.900601
Rhinopoma_hardwickii	1.207	1.111	1.234321
Rhinopoma_microphyllum	1.412	1.468	2.155024
Rhogeessa_parvula	0.812	0.653	0.426409
Rhynchonycteris_naso	0.739	0.58	0.3364
Saccopteryx_bilineata	1.086	0.924	0.853776
Saccopteryx_canescens	0.832	0.531	0.281961
Saccopteryx_leptura	0.937	0.708	0.501264
Scotomanes_ornatus	1.438	1.338	1.790244
Scotophilus_dinganii	1.356	1.386	1.920996
Scotophilus_kuhlii	1.27	1.31	1.7161
Sphaeronycteris_toxophyllum	1.509	1.265	1.600225
Sturnira_lilium	1.66	1.305	1.703025
Sturnira_ludovici	1.694	1.413	1.996569
Sturnira_tildae	1.733	1.387	1.923769
Tadarida_aegyptiaca	1.36	1.248	1.557504
Taphozous_australis	1.407	1.38	1.9044
Taphozous_hildegardeae	1.405	1.438	2.067844
Taphozous_mauritianus	1.405	1.462	2.137444
Taphozous_melanopogon	1.375	1.356	1.838736
Tonatia_bidens	1.62	1.468	2.155024
Lophostoma_schulzi	1.207	1.328	1.763584
Trachops_cirrhosus	1.704	1.567	2.455489
Triaenops_persicus	1.241	1.137	1.292769
Tylonycteris_pachypus	0.643	0.681	0.463761
Tylonycteris_robustula	0.793	0.857	0.734449
Uroderma_bilobatum	1.63	1.21	1.4641
Vampyressa_pusilla	1.438	0.934	0.872356
Vampyrum_spectrum	2.043	2.238	5.008644
Alouatta_seniculus	3.121	3.806	14.485636
Aotus_trivirgatus	2.732	2.919	8.520561
Ateles_geoffroyi	3.135	3.903	15.233409
Avahi_laniger	2.721	3.109	9.665881
Plecturocebus_moloch	2.769	2.954	8.726116
Callimico_goeldii	2.449	2.681	7.187761
Callithrix_jacchus	2.344	2.447	5.987809
Cebuella_pygmaea	2.124	2.146	4.605316
Cebus_albifrons	2.949	3.491	12.187081
Cercopithecus_ascanius	3.075	3.531	12.467961
Cercopithecus_mitis_mitis	3.135	3.799	14.432401
Cheirogaleus_major	2.54	2.653	7.038409
Cheirogaleus_medius	2.241	2.248	5.053504
Daubentonia_madagascariensis	3.249	3.447	11.881809
Erythrocebus_patas	3.202	3.892	15.147664
Eulemur_fulvus_fulvus	2.876	3.146	9.897316
Galago_senegalensis	2.417	2.27	5.1529
Galagoides_demidoff	2.182	1.908	3.640464
Gorilla_gorilla	3.68	5.021	25.210441
Homo_sapiens	4.012	4.813	23.164969
Hylobates_lar	3.427	3.756	14.107536
Indri_indri	3.182	3.796	14.409616
Lagothrix_lagotricha	3.2	3.716	13.808656
Lepilemur_mustelinus	2.593	2.961	8.767521
Lophocebus_albigena	3.172	3.898	15.194404
Loris_tardigradus_tardigradus	2.281	2.508	6.290064
Macaca_mulatta	3.131	3.892	15.147664
Microcebus_murinus	2	1.732	2.999824
Miopithecus_talapoin	2.848	3.079	9.480241
Nasalis_larvatus	3.294	4.146	17.189316
Nycticebus_coucang	2.753	2.903	8.427409
Otolemur_crassicaudatus	2.664	2.929	8.579041
Pan_troglodytes	3.577	4.663	21.743569
Papio_cynocephalus	3.531	4.398	19.342404
Perodicticus_potto	2.783	3.061	9.369721
Pithecia_monachus	2.921	3.176	10.086976
Piliocolobus_badius	3.223	3.845	14.784025
Propithecus_verreauxi	3.018	3.542	12.545764
Pygathrix_nemaeus	3.361	3.875	15.015625
Saguinus_midas	2.447	2.531	6.405961
Saguinus_oedipus	2.418	2.58	6.6564
Saimiri_sciureus_sciureus	2.547	2.82	7.9524
Tarsius_tarsier	2.185	2.097	4.397409
Varecia_variegata	3.147	3.477	12.089529
