Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  CEREB_d1_m8-fab-002.txt
Log File Name:                   CEREB_d1_m8-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            773471591
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   CEREB_d1_m8-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.111269
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
1000000	560.112917	1	-1.023221476924	1.086512041946	-0.015001859858	0.022922918613	0.000093401151	0.987120977442	N\A	0.040814531970	0.004369727346	0.016301081895	44	4	
1050000	575.125872	1	-0.925863327774	1.026084161049	-0.008578931166	0.041583044587	0.000084125504	0.983112347013	N\A	0.041229562553	0.005017448163	0.016730733964	29	4	
1100000	566.069864	1	-0.982966045969	1.052665220621	-0.006923211013	0.014289969786	0.000085708084	0.986356367668	N\A	0.041333530086	0.004470411532	0.016466912264	33	3	
1150000	577.845851	1	-1.035382287054	1.079064182892	-0.015740463472	0.030356468456	0.000093847948	0.981600338204	N\A	0.044928069022	0.006099014433	0.019554847278	31	5	
1200000	572.121480	1	-1.008921717110	1.068939497661	-0.012182626295	0.035886264935	0.000065085808	0.985186355041	N\A	0.039994255184	0.004635229805	0.017165079135	40	3	
1250000	570.477116	1	-1.020991482124	1.079240139889	-0.010020647006	0.012512975710	0.000079647552	0.984163417981	N\A	0.039191134256	0.004304878204	0.016013737665	36	4	
1300000	566.685150	1	-1.135885089945	1.155936079683	-0.026361217902	0.036469272454	0.000076371424	0.984851221095	N\A	0.040647429918	0.004854341989	0.017064618959	41	4	
1350000	566.354171	1	-0.856509184840	0.985089541157	-0.001869324065	0.037140589696	0.000069266271	0.981024331712	N\A	0.046167248365	0.005735396571	0.018935502752	37	3	
1400000	564.973751	1	-0.910968347148	1.018238514783	-0.011459541879	0.053926378958	0.000036610266	0.986753872075	N\A	0.038962951622	0.004492157119	0.016173589336	36	3	
1450000	554.313939	1	-0.976934616170	1.071358961053	-0.012348353398	0.016975098007	0.000031169303	0.980975007196	N\A	0.043432921929	0.005643667903	0.018121246641	43	5	
1500000	569.094479	1	-1.091645863318	1.120212477348	-0.016116535295	0.012264680131	0.000090009096	0.981365601778	N\A	0.041587386768	0.005038278900	0.018385143479	30	3	
1550000	574.094965	1	-0.899831281966	1.003624160132	-0.000408251716	0.009566652278	0.000061013979	0.987319011118	N\A	0.037087387049	0.003920894175	0.015518055428	43	4	
1600000	557.377473	1	-0.900874999049	0.998905456597	-0.001710113270	0.031868528899	0.000094517143	0.980900401389	N\A	0.044971722373	0.005492122020	0.018581146676	29	3	
1650000	568.866086	1	-0.818004215799	0.974917965072	-0.006865490031	0.056149376134	0.000080083818	0.983611763441	N\A	0.040656136281	0.004538700851	0.017163914331	33	5	
1700000	567.650188	1	-1.032663663687	1.096718050991	-0.013472592795	0.005783626243	0.000060524467	0.980901681900	N\A	0.044220105738	0.005076600918	0.019270238830	39	3	
1750000	578.010626	1	-0.903672311274	1.007887995031	-0.008756921405	0.053693252944	0.000078793780	0.983075011672	N\A	0.041958907367	0.004783003942	0.017482110462	35	4	
1800000	579.560137	1	-0.922917139693	1.024229966396	-0.003345019544	0.016089203892	0.000072466868	0.983104742148	N\A	0.045182063043	0.005430992787	0.018443476917	31	5	
1850000	569.098151	1	-0.987803897755	1.062900684131	-0.010282690260	0.019049788630	0.000081846735	0.986370980375	N\A	0.039898940552	0.004648204342	0.016322808217	28	5	
1900000	569.715080	1	-0.768263712505	0.937099123876	0.001421137216	0.048491787892	0.000081810290	0.984699160600	N\A	0.041647187918	0.004501909032	0.016799161486	33	4	
1950000	565.343948	1	-0.814703081125	0.962015696505	-0.002202042803	0.051961354410	0.000061969995	0.982003392000	N\A	0.044968980843	0.005645957995	0.017924465222	37	3	
2000000	560.803987	1	-0.970557298784	1.043103261356	-0.006379630928	0.024273612387	0.000085351360	0.985262095689	N\A	0.037030708383	0.004326669014	0.017508901118	42	4	
2050000	567.530332	1	-0.898685452672	0.992665261590	-0.004086534858	0.049142835666	0.000089984816	0.983631248267	N\A	0.042465395961	0.004897813505	0.018324915818	39	3	
2100000	560.194627	1	-1.037325764026	1.095160673987	-0.014014556600	0.013339547221	0.000076570426	0.980805431914	N\A	0.043530798198	0.005071150936	0.017896091066	44	3	
2150000	568.085967	1	-0.924934510259	1.008222671902	-0.008577759180	0.058909201600	0.000097511638	0.992316938796	N\A	0.031374126661	0.003573916301	0.013429443093	37	3	
2200000	571.537140	1	-0.990176375822	1.065653787141	-0.010702329385	0.016852397550	0.000088721081	0.985263055510	N\A	0.033185536307	0.004973039768	0.016253199774	34	4	
2250000	564.718205	1	-0.909333882967	0.995910112085	-0.006222818340	0.056366969953	0.000094353907	0.983530524552	N\A	0.043002601330	0.004737264188	0.017520289147	31	4	
2300000	574.911094	1	-1.058333142908	1.111985033752	-0.016480020767	0.013652467455	0.000087103116	0.985364703832	N\A	0.036980238133	0.004713421393	0.016570574620	28	3	
2350000	552.611189	1	-0.870090373645	0.998666677229	-0.003679120547	0.026300741255	0.000063485895	0.983827941528	N\A	0.042355873660	0.004850713314	0.017194815702	34	3	
2400000	561.981600	1	-0.929972888823	1.023071731763	-0.010426845144	0.051906142987	0.000063227867	0.984882867516	N\A	0.042216226748	0.004407440428	0.016860634815	32	3	
2450000	561.094566	1	-0.830463325357	0.964928874803	0.000263053727	0.037191268714	0.000094952747	0.986591242842	N\A	0.044004503598	0.004839472562	0.016963284330	32	3	
2500000	557.025672	1	-0.895667904920	1.004509488099	-0.006386518762	0.046023967571	0.000085335378	0.980564716546	N\A	0.042649484563	0.005375862088	0.017412204632	35	3	
2550000	570.080163	1	-1.023075010422	1.075584951667	-0.015489793480	0.041673904977	0.000098273262	0.980389116074	N\A	0.045456676186	0.005726778475	0.018507858380	37	3	
2600000	566.631629	1	-1.042010512352	1.083881648016	-0.009786293807	0.005234291274	0.000094532541	0.981080202288	N\A	0.042930307802	0.005246273447	0.018108037640	35	3	
2650000	571.542313	1	-1.017338132395	1.079389013483	-0.013686375242	0.023971147002	0.000087853308	0.981829835666	N\A	0.043046303331	0.005420662754	0.017663672264	41	3	
2700000	578.029265	1	-0.986070609166	1.060483955943	-0.012977677982	0.034354362719	0.000084387165	0.982476394097	N\A	0.041915919657	0.005105644838	0.018076585944	29	5	
2750000	563.441792	1	-0.927655321684	1.024821085554	-0.011089130476	0.050331555066	0.000083948506	0.983638596057	N\A	0.040999896005	0.004499687218	0.015969401570	39	4	
2800000	569.477041	1	-0.863282428543	0.984918149003	-0.006179330882	0.062507508777	0.000066164101	0.984014439023	N\A	0.042957115175	0.004528892301	0.016489863276	43	3	
2850000	571.325480	1	-0.898728032464	1.009587244741	-0.007059193320	0.040740819186	0.000083926935	0.986541573214	N\A	0.040403822560	0.004164140411	0.016612254668	39	4	
2900000	574.451624	1	-1.090398097917	1.117377579575	-0.016117477341	0.016382223942	0.000089295878	0.985373177391	N\A	0.034494612173	0.004796432261	0.015879740064	42	4	
2950000	560.499947	1	-0.870645870648	0.989342425068	-0.010977418328	0.080454039144	0.000087582374	0.982677851073	N\A	0.039565099542	0.004453019145	0.017444362320	31	3	
3000000	579.569032	1	-0.895275809076	1.015299347391	-0.007216996101	0.035521332434	0.000101417957	0.981113599649	N\A	0.042326357751	0.004785402779	0.017459637172	23	4	
3050000	580.853990	1	-1.060345531575	1.103179501981	-0.010683965909	-0.014158935172	0.000054480772	0.984435783789	N\A	0.038738512274	0.004244096427	0.014908422155	40	6	
3100000	570.356075	1	-0.737509891366	0.914042485851	0.004349106802	0.055946796249	0.000078282630	0.985798546155	N\A	0.042106290502	0.004542169996	0.015843596099	30	3	
3150000	569.079412	1	-0.866752580396	0.989211441008	-0.001864495220	0.025895999148	0.000072821794	0.983642768876	N\A	0.038564094787	0.004415635502	0.016630545002	37	4	
3200000	567.758242	1	-0.973046066136	1.044574520426	-0.012229941625	0.055127817550	0.000075053263	0.988208933740	N\A	0.037712859385	0.004108849706	0.013666891908	36	4	
3250000	566.016955	1	-1.066127266870	1.105898202116	-0.010674837424	-0.003765973860	0.000061661275	0.982077090067	N\A	0.043199375497	0.005200159911	0.018146470606	32	3	
3300000	577.141666	1	-0.873608597106	0.986637191362	-0.006611489096	0.061198125900	0.000067242105	0.985482164295	N\A	0.039672487858	0.004284604572	0.015722969328	41	3	
3350000	573.133741	1	-0.995048273379	1.068353271776	-0.018453583262	0.057030403114	0.000083490289	0.985645376135	N\A	0.041408283156	0.004475191545	0.016101756503	41	4	
3400000	568.098015	1	-0.897373142425	1.023951035892	-0.014034855033	0.058955779368	0.000063263206	0.986221572450	N\A	0.042347863473	0.004798682011	0.016527722668	32	3	
3450000	561.001658	1	-1.000036617889	1.069402863837	-0.018642312123	0.057135867138	0.000081016108	0.986379385656	N\A	0.041452572939	0.004705917267	0.016018952151	30	3	
3500000	552.313324	1	-0.879161785603	0.982733868397	-0.007571810370	0.077066659365	0.000087182654	0.979274388938	N\A	0.045289393529	0.005071033762	0.019054959803	39	4	
3550000	584.724127	1	-0.933058561369	1.019833594413	-0.007767523108	0.042699323060	0.000072156031	0.988033229793	N\A	0.034892343296	0.004335674275	0.015749077996	51	6	
3600000	571.737262	1	-1.057580227360	1.094630874419	-0.008561610357	0.001389979085	0.000063275861	0.986301103282	N\A	0.042023998355	0.004956208059	0.016807511337	38	3	
3650000	564.756495	1	-0.913757484288	1.012623323556	-0.003651516173	0.027530207293	0.000082554314	0.982560626629	N\A	0.043148490651	0.004666907879	0.017987689111	34	4	
3700000	573.439686	1	-0.982726714430	1.054771353017	-0.014003618485	0.048679550460	0.000090591604	0.982832840614	N\A	0.043280309677	0.005424146521	0.019263496451	42	4	
3750000	574.824789	1	-1.029134993077	1.060290308120	-0.004986472734	0.006311784116	0.000061835934	0.982854883418	N\A	0.044300021418	0.005975343707	0.018529865421	33	5	
3800000	566.450808	1	-0.888262823169	0.999241386574	-0.002141267968	0.029365202046	0.000075016978	0.983261061991	N\A	0.041541712206	0.004737644350	0.018510469541	38	3	
3850000	573.457128	1	-1.108728973416	1.137432515146	-0.016613615231	-0.008852378959	0.000106797633	0.984232472748	N\A	0.034862454404	0.004607993937	0.016040188245	41	3	
3900000	573.062020	1	-1.052731785618	1.097639925741	-0.014490955155	0.015500795622	0.000044671603	0.985265860288	N\A	0.040991458833	0.004569012819	0.016721279629	47	4	
3950000	565.338146	1	-1.041621762166	1.087423917383	-0.008724399362	-0.000474313569	0.000095695882	0.982475601857	N\A	0.040890824721	0.004623320209	0.017829701473	34	3	
4000000	576.820790	1	-0.987692760248	1.053585481726	-0.010575823030	0.031417511610	0.000102775751	0.984130116331	N\A	0.040379221565	0.004536329128	0.017010264317	39	3	
4050000	564.156419	1	-1.033800336701	1.085283521622	-0.007128250371	-0.007500531693	0.000087158796	0.981133831118	N\A	0.042879797591	0.005249019023	0.017858053781	39	5	
4100000	574.253772	1	-0.996523273768	1.063949166939	-0.009284236958	0.024098027096	0.000068989945	0.984167291290	N\A	0.041512797033	0.004564750736	0.016735679562	40	4	
4150000	569.511055	1	-0.953661664010	1.053354129982	-0.009664028580	0.015960012568	0.000060915908	0.984395676501	N\A	0.040099290467	0.004349096483	0.016645983960	35	3	
4200000	564.696957	1	-0.930846081295	1.024983210291	-0.008510954597	0.030597874461	0.000021729063	0.983890848162	N\A	0.030885870933	0.004061463894	0.015418378840	36	5	
4250000	564.447089	1	-0.814656332240	0.959803646494	-0.000832111825	0.045145949530	0.000033986727	0.983694978698	N\A	0.044184991760	0.005142822661	0.018037823922	39	3	
4300000	559.609724	1	-0.959616725607	1.034401861105	-0.009396990736	0.035167032566	0.000020552579	0.984277161976	N\A	0.031677835248	0.004097432721	0.015554100135	37	4	
