Species_TTOL	HIP	rest_of_brain
Cynopterus_brachyotis	1.908	2.966833649282
Cynopterus_horsfieldii	2.043	3.11468350641045
Cynopterus_sphinx	1.978	3.05354966776212
Dobsonia_inermis	2.271	3.40766797562694
Dobsonia_moluccensis	2.451	3.63531672034154
Dobsonia_praedatrix	2.258	3.45265177566025
Eidolon_helvum	2.412	3.60406636908379
Eonycteris_spelaea	1.99	3.09326062869164
Epomophorus_labiatus	2.058	3.17341455082117
Epomops_franqueti	2.204	3.3178958890353
Hypsignathus_monstrosus	2.348	3.51177917774895
Macroglossus_minimus	1.672	2.72492739657078
Megaerops_ecaudatus	1.854	2.87855040696948
Megaloglossus_woermanni	1.809	2.80962194180342
Melonycteris_melanops	1.9	3.08827988670424
Melonycteris_woodfordi	1.825	2.98478330621441
Epomophorus_pusillus	1.755	2.8916991691473
Myonycteris_torquata	1.933	3.04038415947288
Notopteris_macdonaldi	1.985	3.14143861060649
Nyctimene_albiventer	1.836	2.89166094946112
Nyctimene_robinsoni	2.012	3.06521908417013
Nyctimene_vizcaccia	1.863	2.97019608506253
Paranyctimene_raptor	1.795	2.83904237199348
Pteropus_alecto	2.553	3.82069860124938
Pteropus_conspicillatus	2.596	3.89493121910952
Pteropus_hypomelanus	2.453	3.69716131393364
Pteropus_lylei	2.46	3.75598421253182
Pteropus_neohibernicus	2.602	3.92848620624869
Pteropus_poliocephalus	2.554	3.83016987335255
Pteropus_samoensis	2.51	3.73626675041077
Pteropus_scapulatus	2.428	3.70549571470575
Pteropus_temminckii	2.443	3.66354900940771
Pteropus_tonganus	2.485	3.75825829746648
Pteropus_vampyrus	2.647	3.92972371176801
Rousettus_aegyptiacus	2.163	3.32486399626551
Rousettus_amplexicaudatus	2.066	3.1617898919156
Scotonycteris_zenkeri	1.868	2.8251361190744
Sphaerias_blanfordi	1.836	2.89058047078486
Syconycteris_australis	1.725	2.75449107699007
Anoura_caudifer	1.529	2.5806238378183
Anoura_geoffroyi	1.69	2.74657171798292
Ardops_nichollsi	1.558	2.72119019257957
Artibeus_cinereus	1.517	2.64696591916355
Artibeus_concolor	1.638	2.77277474031503
Artibeus_jamaicensis	1.805	2.98333261088124
Artibeus_lituratus	1.9	3.06496819373968
Aselliscus_stoliczkanus	1.104	2.14627742243429
Aselliscus_tricuspidatus	1.021	2.0993562087761
Brachyphylla_cavernarum	1.897	3.05292228999784
Cardioderma_cor	1.509	2.79992584642206
Carollia_perspicillata	1.632	2.71324648190518
Chalinolobus_gouldii	1.246	2.35195774032069
Chalinolobus_morio	1.253	2.24071974568802
Chiroderma_salvini	1.75	2.88624082329356
Chiroderma_trinitatum	1.526	2.70539048497075
Chiroderma_villosum	1.646	2.82351695180044
Choeroniscus_minor	1.538	2.5659450134905
Coleura_afra	1.093	2.38684133903795
Cormura_brevirostris	1.049	2.31547900333038
Craseonycteris_thonglongyai	0.681	1.91186407137902
Desmodus_rotundus	1.627	2.97496949473285
Diphylla_ecaudata	1.613	2.87975236516861
Emballonura_monticola	0.881	2.19689550326823
Emballonura_raffrayana	0.958	2.21750313113026
Eptesicus_brasiliensis	1.076	2.27704088235613
Eptesicus_fuscus_bahamensis	1.294	2.3513653086034
Eumops_auripendulus	1.398	2.75999624802448
Eumops_glaucinus	1.461	2.79101278730558
Furipterus_horrens	0.976	2.07959239815975
Glischropus_tylopus	0.809	1.97312302120491
Glossophaga_longirostris	1.587	2.6169266719764
Glossophaga_soricina	1.497	2.57354501835856
Harpiocephalus_harpia	1.554	2.62086344715862
Hesperoptenus_blanfordi	0.97	2.16984821507198
Hipposideros_armiger	1.759	2.87560056473481
Hipposideros_ater	1.204	2.30545128539469
Hipposideros_caffer	1.303	2.4627759440208
Macronycteris_commersoni	1.679	2.84697711567035
Hipposideros_diadema	1.68	2.82568898250015
Hipposideros_fulvus	1.179	2.34735841257385
Hipposideros_lankadiva	1.688	2.83381440820857
Hipposideros_larvatus	1.447	2.59070379701993
Hipposideros_ridleyi	1.272	2.40319100137588
Hipposideros_speoris	1.225	2.42782469906196
Hipposideros_turpis	1.615	2.74970813235674
Ia_io	1.673	2.85693377655639
Kerivoula_papillosa	1.56	2.47004291344843
Lasiurus_borealis	0.954	2.20786055220101
Leptonycteris_curasoae	1.679	2.76007259430502
Leptonycteris_nivalis	1.625	2.74009904764629
Lonchophylla_mordax	1.584	2.61273847911539
Hsunycteris_thomasi	1.52	2.50023862095974
Lophostoma_silvicolum	1.433	2.85331808051172
Macroderma_gigas	1.838	3.20498065502424
Macrophyllum_macrophyllum	1.292	2.4790378028068
Megaderma_lyra	1.609	2.93241161841455
Megaderma_spasma	1.493	2.78365497627165
Mesophylla_macconnelli	1.42	2.5144416036305
Micronycteris_brachyotis	1.354	2.58328686142129
Micronycteris_megalotis	1.149	2.41295245824855
Micronycteris_minuta	1.238	2.43110917339505
Micronycteris_schmidtorum	1.158	2.46261324325241
Gardnerycteris_crenulatum	1.26	2.48743694137244
Miniopterus_australis	1.176	2.28796870242141
Miniopterus_inflatus	1.279	2.48807198431177
Miniopterus_magnater	1.305	2.4849865990346
Miniopterus_pusillus	1.176	2.31097785415854
Miniopterus_tristis	1.265	2.49587912679333
Molossus_molossus	1.182	2.47483774200244
Molossus_rufus	1.387	2.69716719929339
Monophyllus_plethodon	1.535	2.62023584937206
Mormoops_megalophylla	1.439	2.56247160047249
Murina_cyclotis	1.201	2.37139315447136
Murina_huttoni	1.233	2.38592275334146
Myotis_adversus	1.121	2.3772871201093
Myotis_albescens	0.88	2.07780309246655
Myotis_annectans	1.248	2.31710569964846
Myotis_bechsteinii	1.407	2.39586985328546
Myotis_bocagii	0.989	2.25339686523018
Myotis_dasycneme	1.401	2.46431986810657
Myotis_myotis	1.551	2.65907694339085
Myotis_nigricans	0.956	2.11100026230064
Myotis_siligorensis	0.854	1.98557890358024
Natalus_tumidirostris	1.433	2.36796538095518
Noctilio_albiventris	1.332	2.74963685311494
Noctilio_leporinus	1.703	3.04342425236468
Nyctalus_noctula	1.283	2.52928534798622
Nycteris_arge	1.253	2.51972165509131
Nycteris_grandis	1.559	2.82882341601125
Nycteris_hispida	1.238	2.43216548536531
Nycteris_javanica	1.436	2.65047090615567
Nycteris_macrotis	1.267	2.56570573628551
Nycteris_thebaica	1.241	2.4880134922472
Nyctophilus_geoffroyi	1.09	2.1954325071819
Otomops_martiensseni	1.486	2.85387267955123
Peropteryx_macrotis	0.91	2.18774408447669
Phylloderma_stenops	1.962	3.10305487853701
Phyllostomus_discolor	1.832	3.01289560068157
Phyllostomus_elongatus	1.691	2.91962973558399
Phyllostomus_hastatus	1.902	3.15775224544109
Pipistrellus_javanicus	0.918	2.04743835568333
Pipistrellus_tenuis	0.797	1.94445839594312
Afronycteris_nana	0.797	1.97624949883145
Hypsugo_pulveratus	0.999	2.12583275320563
Perimyotis_subflavus	1.037	2.0689992385851
Pteronotus_gymnonotus	1.283	2.50919392843789
Pteronotus_parnellii_mesoamericanus	1.539	2.71076396835588
Pteronotus_personatus	1.111	2.33437416842607
Rhinolophus_cornutus	1.161	2.26307067478927
Rhinolophus_eloquens	1.459	2.58228368121921
Rhinolophus_hipposideros	1.134	2.14741999328989
Rhinolophus_landeri	1.281	2.41927248180996
Rhinolophus_lepidus	1.104	2.24246038366786
Rhinolophus_luctus	1.534	2.76563752486781
Rhinolophus_macrotis	1.286	2.29216841823355
Rhinolophus_malayanus	1.155	2.28065583157794
Rhinolophus_megaphyllus	1.322	2.39284327871508
Rhinolophus_pearsonii	1.405	2.49680535567541
Rhinolophus_pusillus	1.097	2.19036275728536
Rhinolophus_trifoliatus	1.362	2.51948592306197
Rhinolophus_yunnanensis	1.515	2.61598611233896
Rhinonicteris_aurantia	1.283	2.36980993185743
Rhinophylla_pumilio	1.481	2.52389337701925
Rhinopoma_hardwickii	1.207	2.41517493551946
Rhinopoma_microphyllum	1.412	2.56167523073907
Rhogeessa_parvula	0.812	2.02540404611476
Rhynchonycteris_naso	0.739	2.04732050651951
Saccopteryx_bilineata	1.086	2.33483311530367
Saccopteryx_canescens	0.832	2.08934484317686
Saccopteryx_leptura	0.937	2.18322541361085
Scotomanes_ornatus	1.438	2.55494722650546
Scotophilus_dinganii	1.356	2.6152095371468
Scotophilus_kuhlii	1.27	2.50605597481635
Sphaeronycteris_toxophyllum	1.509	2.69540272673135
Sturnira_lilium	1.66	2.7664442150746
Sturnira_ludovici	1.694	2.79971581818209
Sturnira_tildae	1.733	2.82056767486967
Tadarida_aegyptiaca	1.36	2.56759514736225
Taphozous_australis	1.407	2.68911434548403
Taphozous_hildegardeae	1.405	2.71134274302204
Taphozous_mauritianus	1.405	2.71797961523504
Taphozous_melanopogon	1.375	2.70480831622297
Tonatia_bidens	1.62	2.87212442061372
Lophostoma_schulzi	1.207	2.67681030271887
Trachops_cirrhosus	1.704	2.97719852358353
Triaenops_persicus	1.241	2.41026109600416
Tylonycteris_pachypus	0.643	1.87843900376487
Tylonycteris_robustula	0.793	2.03440793493338
Uroderma_bilobatum	1.63	2.76341624316696
Vampyressa_pusilla	1.438	2.55572901399533
Vampyrum_spectrum	2.043	3.38883839645361
Alouatta_seniculus	3.121	4.69064476860801
Aotus_trivirgatus	2.732	4.20956514451613
Ateles_geoffroyi	3.135	5.00423671459412
Avahi_laniger	2.721	3.99079117597203
Plecturocebus_moloch	2.769	4.24999973790912
Callimico_goeldii	2.449	4.02141427425862
Callithrix_jacchus	2.344	3.86010428447601
Cebuella_pygmaea	2.124	3.63358773263483
Cebus_albifrons	2.949	4.8258408678735
Cercopithecus_ascanius	3.075	4.80297404128273
Cercopithecus_mitis_mitis	3.135	4.84835244065239
Cheirogaleus_major	2.54	3.80396492768725
Cheirogaleus_medius	2.241	3.4708780230274
Daubentonia_madagascariensis	3.249	4.6294722319675
Erythrocebus_patas	3.202	5.01330305301563
Eulemur_fulvus_fulvus	2.876	4.34468914865517
Galago_senegalensis	2.417	3.65384583826705
Galagoides_demidoff	2.182	3.50526524207999
Gorilla_gorilla	3.68	5.67214160105073
Homo_sapiens	4.012	6.09769523952942
Hylobates_lar	3.427	4.98887970833346
Indri_indri	3.182	4.55944787748954
Lagothrix_lagotricha	3.2	4.980177796679
Lepilemur_mustelinus	2.593	3.85550540645094
Lophocebus_albigena	3.172	4.9893093148895
Loris_tardigradus_tardigradus	2.281	3.79701647977618
Macaca_mulatta	3.131	4.94427327976376
Microcebus_murinus	2	3.22499777943092
Miopithecus_talapoin	2.848	4.57720824492106
Nasalis_larvatus	3.294	4.97211427746941
Nycticebus_coucang	2.753	4.07016900764897
Otolemur_crassicaudatus	2.664	3.98509131950917
Pan_troglodytes	3.577	5.58232825551133
Papio_cynocephalus	3.531	5.28121407692444
Perodicticus_potto	2.783	4.12079897970986
Pithecia_monachus	2.921	4.51688705271499
Piliocolobus_badius	3.223	4.86832778778568
Propithecus_verreauxi	3.018	4.40135338583513
Pygathrix_nemaeus	3.361	4.86047259819674
Saguinus_midas	2.447	3.98108200720884
Saguinus_oedipus	2.418	3.97903342592802
Saimiri_sciureus_sciureus	2.547	4.35321967494396
Tarsius_tarsier	2.185	3.53020840861181
Varecia_variegata	3.147	4.47260429620756
