Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m7-VR-002.txt
Log File Name:                   DIE_d1_m7-VR-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            4019149458
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m7-VR-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Branch	No RJ Local Node	
1000000	736.569791	1	-0.942291184782	0.922041311453	0.066804178794	-0.007891113494	0.000019931641	0.992849267788	N\A	0.015654690819	0.014538375883	0.002092966948	52	26	
1050000	719.175275	1	-0.996698576618	0.942397990078	0.050535478502	-0.003972104125	0.000024106534	0.992370181819	N\A	0.017361598751	0.015805111236	0.002183448897	41	21	
1100000	722.956802	1	-0.973182736390	0.929462303975	0.064903493505	-0.006086592543	0.000023303767	0.992047216067	N\A	0.017721638208	0.016260820422	0.001903243730	39	28	
1150000	720.781059	1	-1.010967124673	0.944229525229	0.051731827616	-0.003476848117	0.000025264076	0.991899014315	N\A	0.016643204704	0.015568906443	0.002120589845	48	26	
1200000	730.764550	1	-0.998284207917	0.933557274762	0.082287138047	-0.010389678108	0.000021337535	0.991906262833	N\A	0.019047467436	0.016523903862	0.001974086006	48	18	
1250000	726.660051	1	-0.977061860278	0.933114382156	0.063429787246	-0.005684655377	0.000020968861	0.992071005848	N\A	0.017508191395	0.015795189896	0.002128938532	43	25	
1300000	728.800254	1	-0.948732984194	0.917726642353	0.078130245120	-0.009079902941	0.000022339987	0.992404526914	N\A	0.016070409305	0.015529994094	0.002167280168	44	22	
1350000	714.276841	1	-0.992147758286	0.941039813258	0.064194777419	-0.007297263014	0.000075944505	0.993709062882	N\A	0.015923965971	0.014451605050	0.002100581783	51	30	
1400000	718.586895	1	-1.003710484327	0.936157245471	0.070990171518	-0.006815085814	0.000024309155	0.992343436070	N\A	0.016734615308	0.015829808278	0.002188080195	68	19	
1450000	720.916385	1	-1.029726526611	0.948397820150	0.070107813093	-0.009605528138	0.000027419792	0.991735369557	N\A	0.017551523742	0.015985133718	0.002130176637	51	10	
