Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  HIP_d1_m9-VR-001.txt
Log File Name:                   HIP_d1_m9-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            487227208
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   HIP_d1_m9-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Branch	No RJ Local Node	
2150000	438.439714	1	-1.339053316347	1.298924540436	-0.060775211537	-0.072888753902	0.013174370543	0.000129212736	0.955154738877	N\A	0.102095067033	0.015022087373	0.045297330605	0.008739220178	44	28	
2200000	441.420815	1	-1.443434439128	1.366847587696	-0.068202827184	-0.111426394642	0.019455154767	0.000126441554	0.961432031159	N\A	0.107780788384	0.015860975026	0.043254958325	0.008533138238	43	24	
2250000	434.152405	1	-1.456407383164	1.411897403007	-0.069077468192	-0.172584206484	0.024514007633	0.000135245653	0.954102068721	N\A	0.096045748609	0.014127321832	0.044381937037	0.008172864774	57	27	
2300000	429.376048	1	-1.355193955380	1.300346282256	-0.051850383913	-0.126713422480	0.018561538102	0.000096535366	0.953680603100	N\A	0.133045527275	0.018775615292	0.051881938608	0.009349701958	45	33	
2350000	444.158011	1	-1.566647421103	1.492530137994	-0.083561201035	-0.192918536487	0.033061352383	0.000081968041	0.955876865331	N\A	0.109976774274	0.016426170714	0.046987255494	0.009318214742	46	21	
2400000	436.314427	1	-1.334342776342	1.315110136410	-0.070278389367	-0.051667136806	0.016508755449	0.000095384071	0.957067631863	N\A	0.099732471171	0.015526225026	0.041334877850	0.008757392989	42	27	
2450000	434.644505	1	-1.548067410218	1.491752061899	-0.091179650824	-0.190088812453	0.040801589952	0.000111873924	0.954978631468	N\A	0.114279678423	0.017621876881	0.045896181124	0.009473644200	36	25	
2500000	431.305536	1	-1.291840521838	1.224086787596	-0.042016724535	-0.073544275359	0.005749839923	0.000102544488	0.955838008939	N\A	0.103567381794	0.015586158091	0.044709663139	0.008849268544	52	25	
2550000	445.024431	1	-1.321061983243	1.297850297701	-0.052664413692	-0.110251971632	0.013240146450	0.000119569789	0.957517686024	N\A	0.105963683905	0.014840915521	0.046795838319	0.008514237721	40	34	
2600000	450.068072	1	-1.720176238997	1.536299283175	-0.076282151473	-0.188271059488	0.021083772466	0.000087460640	0.952677288733	N\A	0.110998319141	0.015858552644	0.047851519455	0.009171962281	55	31	
2650000	419.270577	1	-1.597002264363	1.454919208165	-0.076655290651	-0.125452396509	0.018270524623	0.000160211965	0.955179951303	N\A	0.130857993872	0.018445088935	0.053229779038	0.009979593774	56	24	
2700000	433.482820	1	-1.574102921117	1.459198111157	-0.076078993561	-0.169181534419	0.025046631036	0.000195907062	0.948678403309	N\A	0.099483661334	0.014087561566	0.045078302083	0.008163142699	40	23	
2750000	418.589946	1	-1.302420871579	1.240271290364	-0.045185740409	-0.055526802081	0.004288698301	0.000129688009	0.950642832571	N\A	0.113652622608	0.016222947273	0.050743450953	0.009406503924	42	23	
2800000	435.369329	1	-1.110192996534	1.149087565710	-0.040427423081	-0.032159125419	0.003523824424	0.000100329669	0.946923584365	N\A	0.125447245292	0.017761092125	0.050629887992	0.009195174460	47	25	
2850000	453.114962	1	-1.216658605917	1.228280467369	-0.054533325032	-0.059668821009	0.014914622676	0.000088595154	0.956480946927	N\A	0.107373030794	0.016032014147	0.045316444054	0.008790083560	36	29	
2900000	429.204479	1	-1.336318227941	1.266514044978	-0.050245465148	-0.079798559357	0.008348807981	0.000136416935	0.957217126070	N\A	0.111800968708	0.016086539181	0.048720318351	0.008917950957	46	25	
2950000	432.127339	1	-1.443614508659	1.448178438769	-0.080261818128	-0.183530047189	0.032564673035	0.000106915511	0.950237600034	N\A	0.129816022465	0.018111816682	0.055115752762	0.009578365827	46	24	
3000000	440.172363	1	-1.554699667476	1.478639400690	-0.081846941959	-0.154141334086	0.023453220278	0.000125939391	0.952008994765	N\A	0.113071869739	0.015998650734	0.048372039335	0.008856768600	56	22	
3050000	433.336135	1	-1.268268934294	1.256014760502	-0.050555694012	-0.093050974419	0.012499219197	0.000102999923	0.948229535258	N\A	0.120101817618	0.016698700611	0.052313850703	0.009408627458	43	24	
3100000	440.437951	1	-1.378299739262	1.338075409023	-0.072844907753	-0.062302612958	0.017140087825	0.000098299480	0.957695221351	N\A	0.096520451596	0.013629822449	0.043723025286	0.007826324558	31	26	
3150000	439.854630	1	-1.417835818832	1.330570037761	-0.063868857142	-0.099539550579	0.020644029123	0.000094514776	0.961171572118	N\A	0.094706830989	0.014205933682	0.039915090886	0.007774615552	48	29	
3200000	442.726220	1	-1.084743932854	1.116300213058	-0.031690529524	-0.057132975343	0.008781998145	0.000063924077	0.963511413492	N\A	0.086744273895	0.013525867787	0.039527318289	0.008097390866	44	27	
3250000	423.393556	1	-1.555186327956	1.401510615099	-0.067371607868	-0.079698385633	0.008913863258	0.000116552223	0.960051558604	N\A	0.119446450714	0.018221171119	0.049079536842	0.010097084033	40	29	
3300000	423.140823	1	-0.916218432477	0.985843282614	-0.013585044699	0.023476294807	-0.006478131526	0.000152628510	0.948598280754	N\A	0.128387744737	0.019245856906	0.051372355239	0.009991843432	44	20	
3350000	427.971643	1	-1.380377217882	1.327715988107	-0.059878615745	-0.111854639862	0.017490159632	0.000186819837	0.962078085924	N\A	0.106876936817	0.015520817325	0.045942851192	0.008970680064	38	34	
3400000	439.891683	1	-1.430003290819	1.371504990473	-0.060478502394	-0.161362801540	0.023430399798	0.000085550350	0.957012430353	N\A	0.127898965375	0.017660191918	0.053930583797	0.010150434567	48	34	
3450000	442.313016	1	-1.374389243820	1.342479186679	-0.073269652991	-0.079318578195	0.022514304428	0.000099442281	0.952147440628	N\A	0.115822378615	0.017074792103	0.049591518315	0.009360777060	54	32	
3500000	451.038828	1	-1.233227676384	1.219220969898	-0.050925963035	-0.038142507061	0.007521730294	0.000142058476	0.957168376415	N\A	0.100844410592	0.013700372366	0.044871582268	0.007878000392	43	28	
3550000	433.750701	1	-1.531782441116	1.471577253143	-0.099892632326	-0.113062237507	0.038577942524	0.000076807395	0.957815271655	N\A	0.127250687415	0.018155714166	0.053108483431	0.010406627990	40	28	
3600000	437.270200	1	-1.390611024486	1.366687882857	-0.070225102813	-0.121774282087	0.024423776885	0.000193460160	0.964240613714	N\A	0.101045369894	0.014995338665	0.043781548979	0.009163169853	49	29	
3650000	432.055176	1	-1.288920016458	1.254424563634	-0.049277819915	-0.081431483814	0.009610909702	0.000125958880	0.957225873979	N\A	0.099330748342	0.015803962608	0.042285895648	0.009058291829	48	30	
3700000	437.839914	1	-1.409667884579	1.347625872854	-0.066443972706	-0.098942988253	0.017140683949	0.000153337641	0.951330041412	N\A	0.111547620602	0.017349736168	0.046019225351	0.009394106592	50	28	
3750000	431.161592	1	-1.206064811649	1.216596084626	-0.056950066006	-0.026486682255	0.009759004356	0.000113044158	0.947824417329	N\A	0.113052067318	0.016543488074	0.048330268585	0.009108010765	49	29	
3800000	446.589677	1	-1.326096721282	1.273461978113	-0.052913783912	-0.081559457979	0.011120101494	0.000119013486	0.960915095013	N\A	0.102813983791	0.014767374345	0.044248307989	0.008283347857	33	26	
3850000	433.297006	1	-1.441921389356	1.361857195939	-0.062250179716	-0.129808154882	0.019403620036	0.000136560715	0.951875667916	N\A	0.105201517619	0.014874372686	0.041374612825	0.008089922549	43	28	
3900000	454.146335	1	-1.231081461562	1.178619634164	-0.037182529700	-0.043478885796	0.002881932015	0.000115661554	0.957478240206	N\A	0.103788182390	0.016079468712	0.043176972491	0.008635615808	39	33	
3950000	418.356249	1	-1.426743256535	1.377205951017	-0.063982149154	-0.124968560474	0.014258363470	0.000115721792	0.950453438238	N\A	0.114456870934	0.017034725474	0.048433487103	0.009045636528	48	27	
4000000	437.970109	1	-1.227151414587	1.201553461658	-0.047458030745	-0.023289621910	0.004422401879	0.000130639211	0.950580754279	N\A	0.107321849436	0.015390648450	0.047155117325	0.008625921225	37	19	
4050000	443.427999	1	-1.381884566064	1.334357765387	-0.065356252635	-0.085697559853	0.013849923170	0.000095547217	0.950954629477	N\A	0.111633064054	0.016094089988	0.046364564056	0.008505527606	39	28	
4100000	442.807001	1	-1.327264177549	1.300404669615	-0.058417107532	-0.100034974120	0.014002061680	0.000077846254	0.964028246296	N\A	0.102207083104	0.014943795362	0.045642940725	0.008882932652	50	30	
4150000	440.496040	1	-1.388008099374	1.348016934003	-0.066940872340	-0.120984856217	0.021713410024	0.000255801236	0.954643942022	N\A	0.099068603475	0.012978967714	0.045224632239	0.007719871623	54	28	
4200000	433.352104	1	-1.300763677815	1.314716223285	-0.078877048701	-0.032867825038	0.019259775048	0.000179024616	0.954080621148	N\A	0.112267907641	0.016927046756	0.048231123004	0.009914221250	53	26	
