Species_TTOL	SCH	rest_of_brain	BOD	BOD2
Anourosorex_squamipes	1.156	2.5613393948666	1.86328760196422	3.47184068763358
Atelerix_algirus	2.047	3.45937494595256	1.86328760196422	3.47184068763358
Blarina_brevicauda	1.173	2.56526016953364	1.86328760196422	3.47184068763358
Chrysochloris_asiatica	1.321	2.8124927980164	1.86328760196422	3.47184068763358
Chrysochloris_stuhlmanni	1.329	2.83356529108882	1.86328760196422	3.47184068763358
Crocidura_attenuata	0.819	2.29369840905507	1.86328760196422	3.47184068763358
Crocidura_flavescens	1.122	2.58207746336137	1.86328760196422	3.47184068763358
Crocidura_hildegardeae	0.752	2.30064063157812	1.86328760196422	3.47184068763358
Crocidura_denti	0.852	2.36479451634544	1.86328760196422	3.47184068763358
Crocidura_russula	0.767	2.26471093422473	1.86328760196422	3.47184068763358
Crocidura_suaveolens	0.795	2.25063238800831	1.86328760196422	3.47184068763358
Cryptotis_parvus	0.984	2.36248471949945	1.86328760196422	3.47184068763358
Desmana_moschata	2.213	3.55635615102067	1.86328760196422	3.47184068763358
Echinops_telfairi	1.12	2.74834886210844	1.86328760196422	3.47184068763358
Echinosorex_gymnura	2.298	3.7443098228403	1.86328760196422	3.47184068763358
Erinaceus_europaeus	2.13	3.47896517613914	1.86328760196422	3.47184068763358
Euroscaptor_micrura	1.461	2.88161190363473	1.86328760196422	3.47184068763358
Galemys_pyrenaicus	1.651	3.0873915761491	1.86328760196422	3.47184068763358
Geogale_aurita	0.305	2.08153227068238	1.86328760196422	3.47184068763358
Hemicentetes_semispinosus	1.464	2.87971667978679	1.86328760196422	3.47184068763358
Hemiechinus_auritus	1.832	3.22302557506589	1.86328760196422	3.47184068763358
Hylomys_suillus	1.712	3.04265473490601	1.86328760196422	3.47184068763358
Limnogale_mergulus	1.561	3.01708868959485	1.86328760196422	3.47184068763358
Microgale_dobsoni	1.211	2.70344201843958	1.86328760196422	3.47184068763358
Microgale_talazaci	1.354	2.85130596152045	1.86328760196422	3.47184068763358
Micropotamogale_lamottei	1.517	2.86835860528116	1.86328760196422	3.47184068763358
Micropotamogale_ruwenzorii	1.571	3.0239960099372	1.86328760196422	3.47184068763358
Myosorex_sclateri	0.918	2.52863027572128	1.86328760196422	3.47184068763358
Neomys_anomalus	1.079	2.4253493121911	1.86328760196422	3.47184068763358
Neomys_fodiens	1.039	2.4844525337294	1.86328760196422	3.47184068763358
Oryzorictes_hova	1.371	2.72555444984195	1.86328760196422	3.47184068763358
Parascalops_breweri	1.529	2.9176407015745	1.86328760196422	3.47184068763358
Potamogale_velox	2.092	3.58573403914356	1.86328760196422	3.47184068763358
Ruwenzorisorex_suncoides	1.115	2.54319142403048	1.86328760196422	3.47184068763358
Scalopus_aquaticus	1.829	3.09133564705225	1.86328760196422	3.47184068763358
Scutisorex_somereni	1.283	2.77648055519446	1.86328760196422	3.47184068763358
Setifer_setosus	1.681	3.13780347988815	1.86328760196422	3.47184068763358
Solenodon_paradoxus	2.199	3.63091110993978	1.86328760196422	3.47184068763358
Sorex_alpinus	0.988	2.39429748323639	1.86328760196422	3.47184068763358
Sorex_araneus	0.861	2.30376222600923	1.86328760196422	3.47184068763358
Sorex_cinereus	0.736	2.19894571979351	1.86328760196422	3.47184068763358
Sorex_fumeus	1	2.35557876339451	1.86328760196422	3.47184068763358
Sorex_hoyi	0.575	1.95473569737117	1.86328760196422	3.47184068763358
Sorex_minutus	0.627	2.03191366086741	1.86328760196422	3.47184068763358
Suncus_etruscus	0.276	1.76381793243763	1.86328760196422	3.47184068763358
Suncus_murinus	1.106	2.54992986543294	1.86328760196422	3.47184068763358
Sylvisorex_granti	0.636	2.19026550669	1.86328760196422	3.47184068763358
Suncus_megalura	0.589	2.24721153694055	1.86328760196422	3.47184068763358
Talpa_europaea	1.599	2.9763963558453	1.86328760196422	3.47184068763358
Tenrec_ecaudatus	1.887	3.35823796436117	1.86328760196422	3.47184068763358
Aepyprymnus_rufescens	2.585461	4.0785367274352	1.86328760196422	3.47184068763358
Antechinus_flavipes	1.298853	2.78774994860876	1.86328760196422	3.47184068763358
Antechinus_minimus	1.348305	2.86153430048589	1.86328760196422	3.47184068763358
Bettongia_gaimardi	2.556303	4.04663551459762	1.86328760196422	3.47184068763358
Bettongia_penicillata	2.439806	3.98021273823091	1.86328760196422	3.47184068763358
Burramys_parvus	1.39794	2.92464113314859	1.86328760196422	3.47184068763358
Cercartetus_nanus	1.281033	2.67775290596171	1.86328760196422	3.47184068763358
Dactylopsila_trivirgata	2.213518	3.76646475332113	1.86328760196422	3.47184068763358
Dasycercus_cristicauda	1.64836	3.16814378922862	1.86328760196422	3.47184068763358
Dasyuroides_byrnei	1.653213	3.1709361619783	1.86328760196422	3.47184068763358
Dasyurus_geoffroii	2.150449	3.70221513935253	1.86328760196422	3.47184068763358
Dasyurus_hallucatus	1.847573	3.45874340368618	1.86328760196422	3.47184068763358
Dendrolagus_lumholtzi	2.684486	4.32056441398414	1.86328760196422	3.47184068763358
Distoechurus_pennatus	1.498311	2.99668674974598	1.86328760196422	3.47184068763358
Dorcopsis	2.689486	4.18833195300086	1.86328760196422	3.47184068763358
Echymipera_kalubu	2.047664	3.52847956017657	1.86328760196422	3.47184068763358
Gymnobelideus_leadbeateri	1.850033	3.34769853893654	1.86328760196422	3.47184068763358
Hypsiprymnodon_moschatus	2.249443	3.74212014161771	1.86328760196422	3.47184068763358
Isoodon_macrourus	2.067443	3.58290385753117	1.86328760196422	3.47184068763358
Isoodon_obesulus_obesulus	2.134814	3.62554911049539	1.86328760196422	3.47184068763358
Osphranter_antilopinus	3.078457	4.71459609027679	1.86328760196422	3.47184068763358
Macropus_giganteus	3.175802	4.77506983526938	1.86328760196422	3.47184068763358
Notamacropus_irma	2.81278	4.36841530467472	1.86328760196422	3.47184068763358
Notamacropus_parma	2.620032	4.20117855029655	1.86328760196422	3.47184068763358
Notamacropus_parryi	2.923658	4.51970786965636	1.86328760196422	3.47184068763358
Osphranter_robustus	3.016616	4.66347772236744	1.86328760196422	3.47184068763358
Osphranter_rufus	3.020775	4.6959083965357	1.86328760196422	3.47184068763358
Thylamys_pallidior	1.385606	2.76345797589405	1.86328760196422	3.47184068763358
Marmosops_impavidus	1.650308	3.05568408388292	1.86328760196422	3.47184068763358
Monodelphis_brevicaudata	1.49276	2.94537022663038	1.86328760196422	3.47184068763358
Notoryctes_typhlops	1.523746	2.91376083971985	1.86328760196422	3.47184068763358
Petauroides_volans	2.036629	3.62032345471659	1.86328760196422	3.47184068763358
Petaurus_australis	2.198382	3.77024778429207	1.86328760196422	3.47184068763358
