Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SEP_d1_m5-bm-006.txt
Log File Name:                   SEP_d1_m5-bm-006.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            637285677
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SEP_d1_m5-bm-006.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	
1000000	510.170121	1	-1.838961131128	1.065862808147	-0.025188254552	0.000129171150	0.962263378975	N\A	0.038889986699	0.005663834486	
1050000	510.082199	1	-1.885391811200	1.101649953463	-0.031452981753	0.000129237196	0.962244084080	N\A	0.038899927736	0.005665282272	
1100000	506.170861	1	-1.840679255668	1.099916569724	-0.034842958687	0.000132209764	0.961375665142	N\A	0.039344750552	0.005730065087	
1150000	508.614370	1	-1.767784629841	1.046714597465	-0.025866257858	0.000130344811	0.961920500559	N\A	0.039066266183	0.005689507362	
1200000	510.145773	1	-1.795847710374	1.045103919625	-0.022961661947	0.000129189437	0.962258036640	N\A	0.038892739409	0.005664235383	
1250000	509.994819	1	-1.895496872345	1.106564111695	-0.031988856488	0.000129302869	0.962224898236	N\A	0.038909810070	0.005666721509	
1300000	508.958823	1	-1.946312196906	1.137377923434	-0.036440382493	0.000130084040	0.961996683421	N\A	0.039027168111	0.005683813223	
1350000	510.330775	1	-1.863509856027	1.085376241158	-0.028671003543	0.000129050556	0.962298609873	N\A	0.038871828620	0.005661189991	
1400000	509.964807	1	-1.890168221275	1.105624172588	-0.032181723144	0.000129325432	0.962218306376	N\A	0.038913204857	0.005667215917	
1450000	509.793604	1	-1.868310330760	1.079217376947	-0.026480317588	0.000129454222	0.962180681137	N\A	0.038932576068	0.005670037089	
1500000	509.751282	1	-1.815464484643	1.048980210801	-0.022371420247	0.000129486079	0.962171374275	N\A	0.038937366184	0.005670734708	
1550000	507.904787	1	-1.691894870168	0.985411132975	-0.014817633394	0.000130883657	0.961763079697	N\A	0.039146932980	0.005701255461	
1600000	506.113039	1	-1.687658559332	0.970037428343	-0.010759981225	0.000132254217	0.961362678491	N\A	0.039351364435	0.005731028315	
1650000	507.844266	1	-1.762048425970	1.011081848335	-0.016106445815	0.000130929719	0.961749622971	N\A	0.039153820868	0.005702258594	
1700000	509.856759	1	-1.835653080556	1.060669746492	-0.023980890651	0.000129406698	0.962194565135	N\A	0.038925429067	0.005668996218	
1750000	510.378557	1	-1.825305790318	1.064106310723	-0.025870273697	0.000129014711	0.962309081952	N\A	0.038866429653	0.005660403700	
1800000	509.774001	1	-1.778095892736	1.031996466375	-0.020732023543	0.000129468977	0.962176370462	N\A	0.038934794787	0.005670360217	
1850000	510.033660	1	-1.828444330638	1.058474181159	-0.023975787870	0.000129273672	0.962233427724	N\A	0.038905416972	0.005666081710	
1900000	509.294734	1	-1.803614760781	1.065116792593	-0.028047841954	0.000129830238	0.962070830361	N\A	0.038989077252	0.005678265771	
1950000	508.944822	1	-1.815717217313	1.043712412760	-0.020832828772	0.000130094629	0.961993589887	N\A	0.039028756517	0.005684044554	
2000000	509.055588	1	-1.879376719920	1.080656710302	-0.025932168873	0.000130010876	0.962018057755	N\A	0.039016191476	0.005682214615	
2050000	508.684437	1	-1.811336632400	1.073269503069	-0.029723387870	0.000130291724	0.961936009769	N\A	0.039058309820	0.005688348619	
2100000	510.337021	1	-1.815842940008	1.059970752796	-0.025502701094	0.000129045870	0.962299978883	N\A	0.038871122858	0.005661087206	
2150000	508.647451	1	-1.715526283232	0.999538032719	-0.016829375276	0.000130319745	0.961927823662	N\A	0.039062509568	0.005688960259	
2200000	509.221149	1	-1.774832897671	1.025146060071	-0.019043588070	0.000129885793	0.962054600075	N\A	0.038997418275	0.005679480536	
2250000	508.846956	1	-1.883256449622	1.081817530993	-0.025928919149	0.000130168673	0.961971958483	N\A	0.039039861574	0.005685661865	
2300000	509.678906	1	-1.777444737362	1.044847949889	-0.024488626822	0.000129540578	0.962155452889	N\A	0.038945559339	0.005671927938	
2350000	509.658072	1	-1.918077888585	1.113543505288	-0.032034179274	0.000129556270	0.962150868523	N\A	0.038947918137	0.005672271467	
2400000	510.084569	1	-1.888140169436	1.102348854748	-0.031415149292	0.000129235415	0.962244604264	N\A	0.038899659762	0.005665243245	
2450000	509.910023	1	-1.776846904967	1.040635544728	-0.023327865686	0.000129366630	0.962206270589	N\A	0.038919402485	0.005668118523	
2500000	509.135019	1	-1.943541268557	1.127601128946	-0.033866635096	0.000129950851	0.962035593914	N\A	0.039007183602	0.005680902732	
2550000	510.209179	1	-1.874805925392	1.094936693878	-0.030440963572	0.000129141821	0.962271947418	N\A	0.038885571286	0.005663191437	
2600000	509.727354	1	-1.804812740741	1.043401894178	-0.021691882559	0.000129504095	0.962166111203	N\A	0.038940074754	0.005671129177	
2650000	509.921387	1	-1.842310592767	1.064984270020	-0.024643991296	0.000129358084	0.962208767459	N\A	0.038918116844	0.005667931286	
2700000	509.849793	1	-1.809749389921	1.046973315771	-0.022290720441	0.000129411939	0.962193033918	N\A	0.038926217348	0.005669111022	
2750000	509.475776	1	-1.886696495957	1.109422831296	-0.033577329034	0.000129693654	0.962110732566	N\A	0.038968563231	0.005675278164	
2800000	508.168167	1	-1.970685648934	1.153042138055	-0.038830179017	0.000130683391	0.961821586396	N\A	0.039116971956	0.005696892017	
2850000	508.217947	1	-1.972568319620	1.152746738804	-0.038581381533	0.000130645575	0.961832634219	N\A	0.039111311837	0.005696067692	
2900000	510.138055	1	-1.833094861667	1.062207960653	-0.024646254971	0.000129195234	0.962256343186	N\A	0.038893611944	0.005664362457	
2950000	508.826972	1	-1.873037257297	1.075501851220	-0.024999470592	0.000130183797	0.961967539984	N\A	0.039042129540	0.005685992166	
3000000	509.889527	1	-1.841778110644	1.064387650338	-0.024518537721	0.000129382047	0.962201766645	N\A	0.038921721462	0.005668456253	
3050000	509.706446	1	-1.916444847824	1.117495240713	-0.033313930615	0.000129519838	0.962161511898	N\A	0.038942441572	0.005671473875	
3100000	509.971650	1	-1.882278912168	1.102382493415	-0.031934636042	0.000129320287	0.962219809528	N\A	0.038912430765	0.005667103180	
3150000	509.892273	1	-1.835729957986	1.079525575906	-0.029402833654	0.000129379981	0.962202370149	N\A	0.038921410740	0.005668411000	
3200000	507.679348	1	-1.687212703599	0.981562684714	-0.014116904539	0.000131055318	0.961712930126	N\A	0.039172596116	0.005704992972	
3250000	509.188007	1	-1.919062987475	1.126070109166	-0.035554930487	0.000129910823	0.962047287803	N\A	0.039001175595	0.005680027742	
3300000	510.109117	1	-1.803839764966	1.047336298061	-0.022909232794	0.000129216972	0.962249992465	N\A	0.038896883912	0.005664838978	
3350000	509.850179	1	-1.908665172157	1.109842666617	-0.031787402625	0.000129411648	0.962193118836	N\A	0.038926173632	0.005669104655	
3400000	509.321086	1	-1.771533565185	1.024497237552	-0.019143761100	0.000129810348	0.962076641084	N\A	0.038986090587	0.005677830801	
3450000	508.162735	1	-1.727756181073	0.997704382522	-0.015237728291	0.000130687518	0.961820380644	N\A	0.039117589648	0.005696981976	
3500000	510.273854	1	-1.813868205525	1.061144133989	-0.026012278825	0.000129093270	0.962286131145	N\A	0.038878261153	0.005662126809	
3550000	510.006885	1	-1.780849090262	1.037751581680	-0.022149463941	0.000129293798	0.962227548275	N\A	0.038908445225	0.005666522737	
3600000	509.120897	1	-1.776363448647	1.049059112409	-0.025795077276	0.000129961520	0.962032476893	N\A	0.039008784887	0.005681135939	
3650000	509.454006	1	-1.768776909180	1.024590174028	-0.019410286906	0.000129710070	0.962105936583	N\A	0.038971029453	0.005675637338	
3700000	510.229747	1	-1.811485311481	1.060550707399	-0.026048690205	0.000129126379	0.962276458579	N\A	0.038883246433	0.005662852852	
3750000	508.915035	1	-1.786530116369	1.028615500653	-0.019025042671	0.000130117161	0.961987007377	N\A	0.039032136158	0.005684536756	
3800000	510.178331	1	-1.868741439778	1.084201526741	-0.027877766807	0.000129164985	0.962265180193	N\A	0.038889058553	0.005663699313	
