Species_TTOL	HIP	rest_of_brain	BOD
Phalanger_gymnotis	2.940018	4.06032757480693	1.86328760196422
Thylacinus_cynocephalus	3.281942	4.70915133299125	1.86328760196422
Thylogale_billardierii	3.256237	4.34805949126278	1.86328760196422
Thylogale_stigmatica	3.130977	4.25065668458073	1.86328760196422
Trichosurus_vulpecula	2.81644	4.00237325530746	1.86328760196422
Vombatus_ursinus	3.428021	4.68410274637518	1.86328760196422
Wallabia_bicolor	3.412629	4.55349934894676	1.86328760196422
Balionycteris_maculata	1.738	2.68604357258994	1.86328760196422
Casinycteris_argynnis	1.857	2.89835140151989	1.86328760196422
Chironax_melanocephalus	1.755	2.75718362381577	1.86328760196422
Cynopterus_brachyotis	1.908	2.966833649282	1.86328760196422
Cynopterus_horsfieldii	2.043	3.11468350641045	1.86328760196422
Cynopterus_sphinx	1.978	3.05354966776212	1.86328760196422
Dobsonia_inermis	2.271	3.40766797562694	1.86328760196422
Dobsonia_moluccensis	2.451	3.63531672034154	1.86328760196422
Dobsonia_praedatrix	2.258	3.45265177566025	1.86328760196422
Eidolon_helvum	2.412	3.60406636908379	1.86328760196422
Eonycteris_spelaea	1.99	3.09326062869164	1.86328760196422
Epomophorus_labiatus	2.058	3.17341455082117	1.86328760196422
Epomops_franqueti	2.204	3.3178958890353	1.86328760196422
Hypsignathus_monstrosus	2.348	3.51177917774895	1.86328760196422
Macroglossus_minimus	1.672	2.72492739657078	1.86328760196422
Megaerops_ecaudatus	1.854	2.87855040696948	1.86328760196422
Megaloglossus_woermanni	1.809	2.80962194180342	1.86328760196422
Melonycteris_melanops	1.9	3.08827988670424	1.86328760196422
Melonycteris_woodfordi	1.825	2.98478330621441	1.86328760196422
Epomophorus_pusillus	1.755	2.8916991691473	1.86328760196422
Myonycteris_torquata	1.933	3.04038415947288	1.86328760196422
Notopteris_macdonaldi	1.985	3.14143861060649	1.86328760196422
Nyctimene_albiventer	1.836	2.89166094946112	1.86328760196422
Nyctimene_robinsoni	2.012	3.06521908417013	1.86328760196422
Nyctimene_vizcaccia	1.863	2.97019608506253	1.86328760196422
