Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m2-VR-001.txt
Log File Name:                   SCH_d1_m2-VR-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1092621456
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m2-VR-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 True Threshold 0.000000
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            False
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        VRBL - sgamma 1.10 1.00 
        VRNode - sgamma 1.10 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	No RJ Local Branch	No RJ Local Node	
1500000	309.682897	1	0.169473496566	0.685078443948	0.531068309259	-0.130399470273	0.237944927180	-0.022652199597	0.659964876671	-0.134451820833	0.010891137740	-0.091023895556	-0.001413541066	-0.150341717316	0.000544613527	0.900389402339	N\A	0.091171599778	0.303573388899	0.291562089478	0.297946936360	0.299250401708	0.410864680549	0.095369611346	0.093478254366	0.095048802938	0.098790993266	0.094064288409	47	34	
1550000	328.390986	1	0.207228501499	0.586029263795	0.460508404590	0.037455490979	0.527696519083	0.242347624615	0.354382071439	0.023720448831	0.104687299868	0.011172023664	0.042737625586	-0.037591277682	0.000283707100	0.911828109313	N\A	0.082044897072	0.232341663874	0.217008615341	0.231940290377	0.224624110296	0.260654618280	0.085195060614	0.084098636338	0.086812842226	0.088009460007	0.085524596132	50	26	
1600000	332.323623	1	-0.031866638638	0.662027699462	0.747491963018	0.206891448816	0.717003135239	0.215528811544	0.798377361950	-0.075560579491	0.013495367449	-0.130239672480	-0.020523128541	-0.100188718779	0.000304735730	0.919947137624	N\A	0.070707815700	0.239230526072	0.220673081376	0.236893981366	0.223807071431	0.305480508128	0.074843113914	0.072634810845	0.077107123989	0.075657216508	0.074449837941	49	32	
1650000	333.765893	1	-0.171488443651	0.930523340377	0.874609050091	0.462984768508	0.829247237911	0.534516281589	0.723840922592	-0.309246735025	-0.244433970202	-0.322441176419	-0.289085103414	-0.404678117712	0.000292393907	0.914337271623	N\A	0.098962920792	0.467261535475	0.457285912829	0.466704945313	0.458896907275	0.497758652001	0.101808445248	0.100553824318	0.103584240143	0.103461719690	0.101643187980	46	28	
1700000	316.174503	1	0.261874613095	0.661413578342	0.530688485322	0.013531985230	0.553289232973	0.541963909923	0.226457560335	-0.085345312807	0.036949637094	-0.099438615515	-0.100069644497	-0.149875830683	0.000465562791	0.921039683311	N\A	0.068329246116	0.270013752052	0.260049521494	0.278650516939	0.262414483869	0.355233912118	0.070942596590	0.070204871477	0.078039258472	0.076746314557	0.074945928481	59	28	
1750000	338.617857	1	-0.150232001873	0.785854233439	1.066310494811	0.598730437702	0.981071798209	0.672862284979	0.629799307671	-0.189573817320	-0.086375867072	-0.230091404825	-0.141500038152	-0.226097504415	0.000213626968	0.922495265646	N\A	0.149558400055	0.329666410719	0.318155493853	0.326283943444	0.320940570169	0.348564300525	0.152095376732	0.150529119780	0.152353255372	0.152303918541	0.150773785704	41	33	
1800000	308.374139	1	0.156985664937	0.672369638855	0.533378387791	0.220981548332	0.528778641529	0.133092385519	0.698305716186	-0.081690217629	-0.032761439337	-0.170809893989	-0.068839195187	-0.199520798104	0.000343807871	0.901662408734	N\A	0.105100579732	0.297396298691	0.280360040703	0.291380004486	0.289100233411	0.354652590109	0.107269443094	0.107132049963	0.109799408611	0.113749709908	0.107150732854	45	26	
1850000	324.701113	1	0.223236715234	0.649662626048	-0.071762272203	-0.091092051166	0.357241921338	0.204021288289	0.570511336842	-0.086990191661	0.024798052484	-0.059519456848	-0.068836887857	-0.157658508373	0.000271060768	0.905960542085	N\A	0.090174824954	0.415203142238	0.245969288512	0.263501448451	0.251691526043	0.313854646784	0.093327121032	0.091960285630	0.096562874878	0.095918789836	0.093387603398	47	17	
1900000	323.125930	1	0.425021996558	0.567494005734	-0.642555229504	-1.021138425759	0.071293083008	-0.050229197137	0.321233222866	0.082175695953	0.085831569452	0.030944129667	0.071374958650	-0.069901561509	0.000307807233	0.917701234707	N\A	0.093276132091	0.669572974324	0.456667905419	0.269253548496	0.311098131043	0.324957657430	0.095509054465	0.095215890363	0.096927373727	0.097791821600	0.096308455074	55	27	
1950000	334.889546	1	0.053088221850	0.689347911949	0.687603058718	0.263696175603	0.702621554655	0.363711308187	0.584703316602	-0.100049409390	-0.008649208664	-0.129922340729	-0.079845007422	-0.165253744568	0.000413786162	0.920008837568	N\A	0.052746047441	0.241369942661	0.227293485924	0.248365441353	0.238243540150	0.326424679140	0.056893096878	0.055174202958	0.063444748512	0.066129090976	0.058428709361	35	26	
