Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  SCH_d1_m2-bm-001.txt
Log File Name:                   SCH_d1_m2-bm-001.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            550834898
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   SCH_d1_m2-bm-001.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     11
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
    Beta-5                       None
    Beta-6                       None
    Beta-7                       None
    Beta-8                       None
    Beta-9                       None
    Beta-10                      None
    Beta-11                      None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Beta-5 - normal 0.00 5.00 
        Beta-6 - normal 0.00 5.00 
        Beta-7 - normal 0.00 5.00 
        Beta-8 - normal 0.00 5.00 
        Beta-9 - normal 0.00 5.00 
        Beta-10 - normal 0.00 5.00 
        Beta-11 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      12
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Beta 5	Beta 6	Beta 7	Beta 8	Beta 9	Beta 10	Beta 11	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	s.e. Beta-5	s.e. Beta-6	s.e. Beta-7	s.e. Beta-8	s.e. Beta-9	s.e. Beta-10	s.e. Beta-11	
1550000	255.231135	1	0.816395544331	0.622033278153	0.099277624297	-0.555802650532	-0.101999483606	-0.405604587410	-0.504481690782	-0.070329267227	0.043900236516	-0.065105499291	-0.009056015095	-0.052090910271	0.000568693530	0.855078620743	N\A	0.073012860298	0.311595428048	0.281845779876	0.295430230185	0.286326844922	0.388228061769	0.081240634487	0.078402562839	0.081503042078	0.084698537239	0.077414526394	
1600000	256.842504	1	0.183608989700	0.733414595038	0.858614750274	0.619968329192	0.624373444477	0.327235021097	0.107065294141	-0.092502228189	-0.036469626075	-0.144653588349	-0.036088504878	-0.226251167311	0.000563390647	0.856429965820	N\A	0.072671652345	0.310139262140	0.280528641757	0.294049608422	0.284988765630	0.386413771774	0.080860976021	0.078036167415	0.081122157314	0.084302719101	0.077052748319	
1650000	256.613765	1	0.130495839623	0.803999690334	-0.068072555199	-0.217259472331	0.558658004756	-0.276191021248	0.618756322900	-0.158508843954	-0.139123882782	-0.241803365448	-0.068900400447	-0.277296007694	0.000564140386	0.856238908309	N\A	0.072719990597	0.310345554266	0.280715238093	0.294245198359	0.285178328660	0.386670798626	0.080914761480	0.078088073925	0.081176116500	0.084358793869	0.077104000699	
1700000	257.998439	1	-0.493635601571	0.866256231430	1.125185014701	0.763422536819	1.142813732483	0.879003722627	1.268940309721	-0.290504231162	-0.203453764658	-0.278058840924	-0.257332989674	-0.366928415055	0.000559617044	0.857391601107	N\A	0.072427865264	0.309098857206	0.279587569733	0.293063178451	0.284032731505	0.385117493476	0.080589716724	0.077774384327	0.080850021848	0.084019914001	0.076794264247	
1750000	261.978456	1	-0.099974010772	0.719345664643	1.070987744745	0.404817607792	0.880639946790	0.337883730452	0.746273870636	-0.164869587756	-0.053446396889	-0.178277004745	-0.072364067739	-0.180072432858	0.000546816384	0.860653620378	N\A	0.071594717190	0.305543248926	0.276371434006	0.289692030873	0.280765462448	0.380687431971	0.079662681707	0.076879734482	0.079919992505	0.083053420936	0.075910888862	
1800000	260.882970	1	0.091263430446	0.769157121347	0.824941559063	0.251852596873	0.467129632433	0.562398124961	0.320835957731	-0.206519890091	-0.051278632253	-0.162402273609	-0.116756278428	-0.238383325535	0.000550310229	0.859763276503	N\A	0.071823077698	0.306517818200	0.277252956045	0.290616040659	0.281660999802	0.381901683228	0.079916776020	0.077124952228	0.080174907543	0.083318330445	0.076153016352	
1850000	256.148522	1	0.225002918600	0.779540507729	0.615785490191	-0.145262160675	0.290089840273	0.189855189890	0.470723383458	-0.171629326686	-0.079883110470	-0.215111936765	-0.194185434134	-0.279319647336	0.000565668395	0.855849522523	N\A	0.072818407291	0.310765565093	0.281095148285	0.294643419527	0.285564279043	0.387194105371	0.081024268691	0.078193755595	0.081285977419	0.084472962112	0.077208350559	
1900000	258.503512	1	0.207278996727	0.621937428116	0.316278144726	-0.212666022756	0.173626447855	0.148662311068	0.601610754210	-0.053301559631	0.103667268561	-0.057898799872	0.056451334635	-0.109910424185	0.000557976157	0.857809751792	N\A	0.072321602256	0.308645360833	0.279177371035	0.292633208926	0.283616011059	0.384552465872	0.080471479003	0.077660277140	0.080731402219	0.083896643645	0.076681595049	
1950000	257.397746	1	-0.334401046853	0.822637832765	0.789554161898	0.427373201813	0.902862475151	0.258256383859	1.030961624522	-0.225727362501	-0.175180524493	-0.183172555537	-0.103762261961	-0.258112727211	0.000561574870	0.856892684145	N\A	0.072554449465	0.309639077905	0.280076212732	0.293575373146	0.284529143437	0.385790574067	0.080730565621	0.077910312789	0.080991325687	0.084166757950	0.076928479725	
2000000	259.926274	1	-0.005118247225	0.662268367864	0.369095815939	0.076853862199	0.806826219330	0.202924452547	0.747845681777	-0.021888410931	0.064443872538	-0.104714389099	-0.019617750621	-0.141287819933	0.000553379685	0.858981080451	N\A	0.072023102363	0.307371459202	0.278025095468	0.291425395788	0.282445415467	0.382965265559	0.080139341342	0.077339742422	0.080398191752	0.083550368973	0.076365099739	
