Species_TTOL	NEO	rest_of_brain	BOD
Dasyurus_geoffroii	3.090611	3.70221513935253	2.69897
Dasyurus_hallucatus	2.810904	3.45874340368618	3.021189
Dendrolagus_lumholtzi	3.924538	4.32056441398414	3.78533
Distoechurus_pennatus	2.42111	2.99668674974598	1.633468
Dorcopsis	3.735359	4.18833195300086	3.462398
Echymipera_kalubu	2.67587	3.52847956017657	2.819544
Gymnobelideus_leadbeateri	2.825491	3.34769853893654	2.041393
Hypsiprymnodon_moschatus	3.219323	3.74212014161771	2.748188
Isoodon_macrourus	2.771734	3.58290385753117	3.033424
Isoodon_obesulus_obesulus	2.823474	3.62554911049539	3.004321
Osphranter_antilopinus	4.354185	4.71459609027679	4.537819
Macropus_giganteus	4.476817	4.77506983526938	4.563481
Notamacropus_irma	3.973359	4.36841530467472	3.819544
Notamacropus_parma	3.824386	4.20117855029655	3.536558
Notamacropus_parryi	4.144294	4.51970786965636	4.170262
Osphranter_robustus	4.347545	4.66347772236744	4.409933
Osphranter_rufus	4.360082	4.6959083965357	4.494155
Thylamys_pallidior	2.036629	2.76345797589405	1.477121
Marmosops_impavidus	2.345178	3.05568408388292	1.845098
Monodelphis_brevicaudata	2.126131	2.94537022663038	1.924279
Notoryctes_typhlops	2.064083	2.91376083971985	1.531479
Petauroides_volans	3.110253	3.62032345471659	3.09691
Petaurus_australis	3.313445	3.77024778429207	2.748188
Petaurus_breviceps	2.806655	3.32467344517594	2.113943
Petaurus_norfolcensis	2.949048	3.45766979672993	2.374748
Petrogale_inornata	3.828724	4.23497248958282	3.628389
Petrogale_lateralis	3.764251	4.16786355239828	3.556303
Petrogale_penicillata	3.91981	4.31879823891567	3.690196
Petrogale_purpureicollis	3.827305	4.24652097310723	3.740363
Petropseudes_dahli	3.178113	3.69722055952986	3.127105
Phascolarctos_cinereus	3.804071	4.22355030391757	3.968483
Planigale_ingrami	0.974972	1.97840863192174	0.826075
Planigale_maculata	1.414973	2.30272041723985	1.041393
Potorous_tridactylus_tridactylus	3.462398	3.99808497676137	3.089905
Pseudochirulus_canescens	2.769156	3.33597913853393	2.447158
Pseudochirulus_forbesi	2.93892	3.47922966682932	2.70757
Sarcophilus_harrisii	3.581153	4.14834965764349	3.732394
Sminthopsis_crassicaudata	1.725095	2.53750425778387	1.146128
Sminthopsis_leucopus	1.864511	2.66164229549523	1.361728
Phalanger_gymnotis	3.547036	4.06032757480693	3.451786
Thylacinus_cynocephalus	4.326295	4.70915133299125	4.342423
Thylogale_billardierii	3.925776	4.34805949126278	3.845098
Thylogale_stigmatica	3.829368	4.25065668458073	3.653213
Trichosurus_vulpecula	3.523356	4.00237325530746	3.30103
Vombatus_ursinus	4.31161	4.68410274637518	4.357935
Wallabia_bicolor	4.162594	4.55349934894676	4.198657
Balionycteris_maculata	2.13	2.68604357258994	1.158
Casinycteris_argynnis	2.369	2.89835140151989	1.428
Chironax_melanocephalus	2.226	2.75718362381577	1.248
Cynopterus_brachyotis	2.459	2.966833649282	1.53
Cynopterus_horsfieldii	2.636	3.11468350641045	1.773
Cynopterus_sphinx	2.547	3.05354966776212	1.713
Dobsonia_inermis	2.922	3.40766797562694	2.173
Dobsonia_moluccensis	3.18	3.63531672034154	2.543
Dobsonia_praedatrix	2.97	3.45265177566025	2.25
Eidolon_helvum	3.148	3.60406636908379	2.418
Eonycteris_spelaea	2.584	3.09326062869164	1.769
Epomophorus_labiatus	2.664	3.17341455082117	1.806
Epomops_franqueti	2.789	3.3178958890353	2.072
Hypsignathus_monstrosus	3.024	3.51177917774895	2.491
Macroglossus_minimus	2.192	2.72492739657078	1.164
Megaerops_ecaudatus	2.392	2.87855040696948	1.38
Megaloglossus_woermanni	2.279	2.80962194180342	1.253
Melonycteris_melanops	2.617	3.08827988670424	1.675
Melonycteris_woodfordi	2.505	2.98478330621441	1.549
Epomophorus_pusillus	2.385	2.8916991691473	1.4
Myonycteris_torquata	2.527	3.04038415947288	1.561
Notopteris_macdonaldi	2.623	3.14143861060649	1.841
Nyctimene_albiventer	2.341	2.89166094946112	1.473
Nyctimene_robinsoni	2.525	3.06521908417013	1.673
Nyctimene_vizcaccia	2.41	2.97019608506253	1.549
Paranyctimene_raptor	2.297	2.83904237199348	1.417
Pteropus_alecto	3.434	3.82069860124938	2.775
Pteropus_conspicillatus	3.524	3.89493121910952	2.875
Pteropus_hypomelanus	3.28	3.69716131393364	2.591
Pteropus_lylei	3.378	3.75598421253182	2.497
Pteropus_neohibernicus	3.565	3.92848620624869	2.924
