Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  DIE_d1_m7-glob-004.txt
Log File Name:                   DIE_d1_m7-glob-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            2220186194
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   DIE_d1_m7-glob-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.175894
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.74 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	735.123042	1	-0.941222247573	0.925197343627	0.083823727686	-0.008735611327	0.000025753209	0.999995238134	N\A	0.014682322590	0.016014275761	0.001622518958	28	0	0.987795898762	Global Trend	
1050000	734.221945	1	-1.000562177445	0.939345880448	0.070068246272	-0.008511750242	0.000026109610	0.997612019465	N\A	0.014481714475	0.015311172694	0.001657154075	33	0	0.030156391088	Global Trend	
1100000	731.872009	1	-0.995497982940	0.934242629244	0.073477396585	-0.007920030018	0.000024657795	0.999045617611	N\A	0.013528818585	0.014813982798	0.001608575410	40	0	-0.045139415086	Global Trend	
1150000	731.293443	1	-0.940017457588	0.912197726451	0.086707972227	-0.007041784265	0.000025551693	0.995625941645	N\A	0.015181500590	0.015510837679	0.001895165532	40	0	-0.014999542588	Global Trend	
1200000	717.185430	1	-1.064300687143	0.971210686516	0.033146625180	-0.003945721847	0.000026319712	0.999970028096	N\A	0.014169031068	0.015500893004	0.001643795530	40	1	-0.264942202459	Global Trend	
1250000	730.994076	1	-0.967285943626	0.956845817823	0.028699924478	-0.004012680136	0.000028317236	0.992598583196	N\A	0.015708975686	0.015339345472	0.002008224124	31	0	-0.008076208941	Global Trend	
1300000	728.723865	1	-0.881431521667	0.905311218384	0.106452661482	-0.012705821044	0.000072356730	0.999854519696	N\A	0.014886318587	0.016288493633	0.001728317430	32	0	-0.511829437688	Global Trend	
1350000	725.948836	1	-1.006347342146	0.939591358073	0.067793301249	-0.007309886056	0.000026645460	0.995857363336	N\A	0.015089256713	0.015513777941	0.001738027016	33	0	0.019428361653	Global Trend	
1400000	733.724896	1	-0.942461580317	0.927024655987	0.080879635982	-0.010271916158	0.000025512634	0.999695602098	N\A	0.014245073875	0.015613071107	0.001662246082	33	0	-0.085386116588	Global Trend	
1450000	734.391000	1	-1.024341196400	0.955012414391	0.048958661380	-0.004278278638	0.000023211609	0.999819327867	N\A	0.014696869306	0.016138427127	0.001731490902	32	0	-0.111292077306	Global Trend	
1500000	724.251545	1	-0.957342612015	0.938300236515	0.065627089792	-0.006395232488	0.000025096619	0.999668715580	N\A	0.014521813606	0.015843133135	0.001717060871	30	0	-0.087985447115	Global Trend	
1550000	721.883968	1	-0.993058898493	0.950382364953	0.052986273854	-0.005719060388	0.000025948328	0.999523251908	N\A	0.014659856283	0.016042609446	0.001700080026	26	1	-0.054246273459	Global Trend	
1600000	731.130434	1	-0.984837737167	0.946392201454	0.050692886808	-0.004649114512	0.000043954071	0.996337257179	N\A	0.014748231200	0.015940763160	0.002057367463	36	0	-0.034017650218	Global Trend	
1650000	728.959665	1	-1.014956446978	0.945560585642	0.063190814020	-0.006760162134	0.000025742055	0.995739213080	N\A	0.014488761703	0.015070149380	0.001740083705	32	0	0.016996132883	Global Trend	
1700000	731.005721	1	-1.009968915909	0.956365689157	0.051639541829	-0.007549969083	0.000025759271	0.999910969640	N\A	0.014521531265	0.015915877554	0.001702060000	43	1	0.178680665357	Global Trend	
1750000	725.325890	1	-1.000730072513	0.951312565983	0.053330455879	-0.005231879487	0.000025260297	0.999955124659	N\A	0.013626906575	0.014915692393	0.001572359979	45	0	-0.173191978956	Global Trend	
1800000	726.744335	1	-0.997122809373	0.945500855700	0.056863304841	-0.003283027347	0.000022762306	0.999925369336	N\A	0.013569729765	0.014904217869	0.001630387335	34	0	-0.149398969516	Global Trend	
1850000	734.511462	1	-0.916456676556	0.916343953167	0.092609775668	-0.010830307462	0.000025150842	0.999837729610	N\A	0.015003433885	0.016457027926	0.001737140892	40	0	-0.138110893938	Global Trend	
1900000	736.148410	1	-0.949993303436	0.926297228131	0.081410206150	-0.007986204618	0.000018769009	0.999996774137	N\A	0.014030620230	0.015348200250	0.001576927232	31	0	-0.653821499809	Global Trend	
1950000	722.076308	1	-0.963101076688	0.921783362657	0.084261529023	-0.006753457600	0.000023497112	0.999899391565	N\A	0.014859507981	0.016276833637	0.001716971858	35	0	-0.121903035098	Global Trend	
2000000	734.402096	1	-1.056720357923	0.959486778756	0.047222586567	-0.006855183728	0.000027334752	0.999997410012	N\A	0.014078967755	0.015426110043	0.001636413139	40	2	1.054109980656	Global Trend	
2050000	733.927848	1	-0.918456182357	0.915665670907	0.094953622444	-0.010126205446	0.000033794245	0.999977144556	N\A	0.014043176027	0.015358163119	0.001599117756	34	0	0.622485146814	Global Trend	
2100000	738.202941	1	-0.943577853555	0.922921069283	0.072097914536	-0.005255425775	0.000020513909	0.996483977333	N\A	0.014709958542	0.015633151723	0.001882712297	29	0	-0.014190817804	Global Trend	
2150000	733.611354	1	-1.018979191423	0.966205167393	0.037779419082	-0.003688300441	0.000028317584	0.999986224750	N\A	0.014084608081	0.015403682499	0.001618969323	35	1	0.582102309385	Global Trend	
2200000	723.332017	1	-0.954202450853	0.928334909136	0.082866608417	-0.010902341568	0.000025761155	0.999989219613	N\A	0.014492333221	0.015918913268	0.001715562932	41	0	0.349412246601	Global Trend	
2250000	729.514189	1	-0.988725730885	0.938095417268	0.070162777029	-0.007725458974	0.000028428459	0.999923177825	N\A	0.015055933936	0.016500383466	0.001750840072	43	0	0.184195080816	Global Trend	
2300000	730.049693	1	-0.980896640538	0.926581380820	0.085079903151	-0.011500572433	0.000027232298	0.999592997302	N\A	0.014220064832	0.015594590193	0.001618485322	43	0	-0.088462510407	Global Trend	
2350000	727.466877	1	-1.000837296130	0.942134308889	0.066743831228	-0.007691120954	0.000022442930	0.996158261552	N\A	0.016161636559	0.016900391789	0.001905205690	33	1	0.019177264130	Global Trend	
2400000	729.506909	1	-0.994183690563	0.929501487417	0.078331540428	-0.006469982281	0.000031171183	0.998388836743	N\A	0.014680018338	0.015736142522	0.001759718678	32	0	0.034097257654	Global Trend	
2450000	741.352513	1	-1.017792659666	0.956307984788	0.048360970712	-0.004522774593	0.000027473149	0.999988527438	N\A	0.013743695333	0.015113068759	0.001640119631	33	2	0.630811168144	Global Trend	
2500000	731.857654	1	-0.925800768546	0.928114567069	0.054628487635	-0.003279467942	0.000030589839	0.994894451751	N\A	0.014625491614	0.014726474513	0.001976588702	34	1	-0.010368945788	Global Trend	
2550000	729.468780	1	-0.965353915857	0.928929908643	0.082189455087	-0.008809104935	0.000025205426	0.999600484295	N\A	0.015337217293	0.016647449725	0.001706389209	35	0	0.078073944521	Global Trend	
2600000	728.470826	1	-0.996739436740	0.941869437088	0.066077806045	-0.008028095513	0.000032782891	0.999997591173	N\A	0.014860086601	0.016308293449	0.001740030528	35	0	-1.168627290085	Global Trend	
2650000	724.482737	1	-0.974262777613	0.936724244711	0.073692930885	-0.009096202398	0.000028131039	0.999560337700	N\A	0.015005305904	0.016270060862	0.001700032559	28	0	0.097601698960	Global Trend	
2700000	743.000331	1	-0.987995594550	0.966436255105	0.034811484650	-0.003424479507	0.000012829776	0.999882570651	N\A	0.014264489522	0.015717035304	0.001726505414	28	1	-0.089067513254	Global Trend	
2750000	738.130287	1	-0.966639404331	0.942609911482	0.065713071450	-0.007773429865	0.000018935913	0.999987378844	N\A	0.013711336171	0.014940965639	0.001485108594	35	0	0.365944623803	Global Trend	
2800000	728.612827	1	-0.984588265508	0.932220444962	0.078720653927	-0.008720553033	0.000025335678	0.997684002179	N\A	0.014507910811	0.015413143718	0.001720827311	31	0	0.030772488728	Global Trend	
2850000	729.722003	1	-1.055002880348	0.975637843974	0.040885085173	-0.006446757296	0.000023721700	0.994223687094	N\A	0.016053204576	0.015693323790	0.001813684929	26	0	0.007654579196	Global Trend	
2900000	730.149210	1	-0.920439345260	0.930732087437	0.079138393107	-0.009100344732	0.000028698266	0.999984969851	N\A	0.015852623572	0.017368103840	0.001847235133	32	0	0.556904162553	Global Trend	
2950000	731.610940	1	-0.988297015196	0.965747907475	0.041881060993	-0.007334833532	0.000028867325	0.999996894819	N\A	0.013367112002	0.014696231534	0.001634096864	34	0	0.985347869303	Global Trend	
3000000	733.748772	1	-0.977814157022	0.928334482659	0.079405185981	-0.007465428445	0.000024004354	0.999985336834	N\A	0.013879604265	0.015237269414	0.001661677562	29	1	0.365334940681	Global Trend	
3050000	738.529854	1	-0.995001494904	0.951952214629	0.047674040276	-0.005236798562	0.000022984241	0.997520485399	N\A	0.014657776056	0.015784956830	0.001767086578	34	0	-0.020984728385	Global Trend	
3100000	728.553669	1	-0.999667076051	0.937390043374	0.070450128476	-0.007913057688	0.000025277941	0.997142260942	N\A	0.014721155894	0.015435638703	0.001704856408	35	0	0.018964342082	Global Trend	
3150000	742.035962	1	-0.902127115091	0.897549635238	0.105645827858	-0.009024117898	0.000023554874	0.998584449395	N\A	0.014628137566	0.015875686942	0.001718491755	32	0	-0.037239987268	Global Trend	
3200000	733.236756	1	-0.996973395342	0.937700299175	0.067870612343	-0.006717352850	0.000025023522	0.997652798785	N\A	0.014469816564	0.015579206144	0.001776398712	30	0	-0.032516975310	Global Trend	
3250000	737.966684	1	-0.982951120851	0.950373373971	0.049891619301	-0.005783075696	0.000025595928	0.997839615457	N\A	0.014563664393	0.015778512529	0.001784352547	38	0	-0.027969765614	Global Trend	
3300000	746.976962	1	-1.005025150215	0.950242567098	0.053650868468	-0.005030455578	0.000019896058	0.999746693176	N\A	0.013351277098	0.014635161344	0.001589690733	35	0	-0.068712599624	Global Trend	
3350000	728.571686	1	-1.003302816776	0.946223833658	0.061365604827	-0.007893597819	0.000022412628	0.999763287193	N\A	0.013978631112	0.015183281166	0.001473019222	37	0	-0.075968030104	Global Trend	
3400000	743.073538	1	-0.946085103810	0.948760655334	0.055738828568	-0.006431255814	0.000023328976	0.999904784160	N\A	0.013443488126	0.014740253946	0.001593278384	33	0	-0.182766795392	Global Trend	
3450000	728.379944	1	-0.951875826082	0.931819677684	0.069581945669	-0.006930067369	0.000020193380	0.998800959915	N\A	0.014419544479	0.015683365785	0.001638781410	40	0	-0.028316074192	Global Trend	
3500000	737.093150	1	-0.974799301599	0.928813247420	0.079241995517	-0.007932516433	0.000027899138	0.999993631939	N\A	0.014327630355	0.015699845036	0.001651935336	36	0	0.722585352556	Global Trend	
