Species_TTOL	CEREB	rest_of_brain	BOD
Tenrec_ecaudatus	2.493	3.35823796436117	2.935
Aepyprymnus_rufescens	3.172778	4.0785367274352	3.392697
Antechinus_flavipes	1.933993	2.78774994860876	1.568202
Antechinus_minimus	1.959995	2.86153430048589	1.724276
Bettongia_gaimardi	3.194653	4.04663551459762	3.176091
Bettongia_penicillata	3.075255	3.98021273823091	3.079181
Burramys_parvus	2.017451	2.92464113314859	1.770852
Cercartetus_nanus	1.85187	2.67775290596171	1.278754
Dactylopsila_trivirgata	2.920123	3.76646475332113	2.643453
Dasycercus_cristicauda	2.329601	3.16814378922862	2
Dasyuroides_byrnei	2.3638	3.1709361619783	2.146128
Dasyurus_geoffroii	2.907519	3.70221513935253	2.69897
Dasyurus_hallucatus	2.610021	3.45874340368618	3.021189
Dendrolagus_lumholtzi	3.530584	4.32056441398414	3.78533
Distoechurus_pennatus	2.128399	2.99668674974598	1.633468
Dorcopsis	3.354108	4.18833195300086	3.462398
Echymipera_kalubu	2.807603	3.52847956017657	2.819544
Gymnobelideus_leadbeateri	2.569023	3.34769853893654	2.041393
Hypsiprymnodon_moschatus	2.870872	3.74212014161771	2.748188
Isoodon_macrourus	2.78326	3.58290385753117	3.033424
Isoodon_obesulus_obesulus	2.846894	3.62554911049539	3.004321
Osphranter_antilopinus	3.876737	4.71459609027679	4.537819
Macropus_giganteus	3.87944	4.77506983526938	4.563481
Notamacropus_irma	3.469969	4.36841530467472	3.819544
Notamacropus_parma	3.284882	4.20117855029655	3.536558
Notamacropus_parryi	3.64953	4.51970786965636	4.170262
Osphranter_robustus	3.782616	4.66347772236744	4.409933
Osphranter_rufus	3.925931	4.6959083965357	4.494155
Thylamys_pallidior	1.893762	2.76345797589405	1.477121
Marmosops_impavidus	2.177536	3.05568408388292	1.845098
Monodelphis_brevicaudata	2.022016	2.94537022663038	1.924279
Notoryctes_typhlops	1.992995	2.91376083971985	1.531479
Petauroides_volans	2.848497	3.62032345471659	3.09691
Petaurus_australis	2.955976	3.77024778429207	2.748188
Petaurus_breviceps	2.467904	3.32467344517594	2.113943
Petaurus_norfolcensis	2.649821	3.45766979672993	2.374748
Petrogale_inornata	3.428135	4.23497248958282	3.628389
Petrogale_lateralis	3.359835	4.16786355239828	3.556303
Petrogale_penicillata	3.504335	4.31879823891567	3.690196
Petrogale_purpureicollis	3.460447	4.24652097310723	3.740363
Petropseudes_dahli	2.885248	3.69722055952986	3.127105
Phascolarctos_cinereus	3.444981	4.22355030391757	3.968483
Planigale_ingrami	1.068186	1.97840863192174	0.826075
Planigale_maculata	1.404834	2.30272041723985	1.041393
Potorous_tridactylus_tridactylus	3.123656	3.99808497676137	3.089905
Pseudochirulus_canescens	2.548389	3.33597913853393	2.447158
Pseudochirulus_forbesi	2.647383	3.47922966682932	2.70757
Sarcophilus_harrisii	3.328991	4.14834965764349	3.732394
Sminthopsis_crassicaudata	1.638489	2.53750425778387	1.146128
Sminthopsis_leucopus	1.758912	2.66164229549523	1.361728
Phalanger_gymnotis	3.25358	4.06032757480693	3.451786
Thylacinus_cynocephalus	3.972157	4.70915133299125	4.342423
Thylogale_billardierii	3.578181	4.34805949126278	3.845098
Thylogale_stigmatica	3.364739	4.25065668458073	3.653213
Trichosurus_vulpecula	3.207365	4.00237325530746	3.30103
Vombatus_ursinus	3.830313	4.68410274637518	4.357935
Wallabia_bicolor	3.764624	4.55349934894676	4.198657
Balionycteris_maculata	1.763	2.68604357258994	1.158
Casinycteris_argynnis	2.068	2.89835140151989	1.428
Chironax_melanocephalus	1.863	2.75718362381577	1.248
Cynopterus_brachyotis	2.09	2.966833649282	1.53
Cynopterus_horsfieldii	2.258	3.11468350641045	1.773
Cynopterus_sphinx	2.201	3.05354966776212	1.713
Dobsonia_inermis	2.553	3.40766797562694	2.173
Dobsonia_moluccensis	2.785	3.63531672034154	2.543
Dobsonia_praedatrix	2.574	3.45265177566025	2.25
Eidolon_helvum	2.666	3.60406636908379	2.418
Eonycteris_spelaea	2.237	3.09326062869164	1.769
Epomophorus_labiatus	2.316	3.17341455082117	1.806
Epomops_franqueti	2.504	3.3178958890353	2.072
Hypsignathus_monstrosus	2.696	3.51177917774895	2.491
Macroglossus_minimus	1.899	2.72492739657078	1.164
Megaerops_ecaudatus	1.954	2.87855040696948	1.38
Megaloglossus_woermanni	2.014	2.80962194180342	1.253
Melonycteris_melanops	2.179	3.08827988670424	1.675
Melonycteris_woodfordi	2.126	2.98478330621441	1.549
Epomophorus_pusillus	2.034	2.8916991691473	1.4
Myonycteris_torquata	2.193	3.04038415947288	1.561
Notopteris_macdonaldi	2.325	3.14143861060649	1.841
Nyctimene_albiventer	2.049	2.89166094946112	1.473
Nyctimene_robinsoni	2.21	3.06521908417013	1.673
Nyctimene_vizcaccia	2.132	2.97019608506253	1.549
Paranyctimene_raptor	2.005	2.83904237199348	1.417
Pteropus_alecto	2.926	3.82069860124938	2.775
Pteropus_conspicillatus	2.995	3.89493121910952	2.875
Pteropus_hypomelanus	2.789	3.69716131393364	2.591
Pteropus_lylei	2.852	3.75598421253182	2.497
Pteropus_neohibernicus	3.003	3.92848620624869	2.924
Pteropus_poliocephalus	2.945	3.83016987335255	2.842
Pteropus_samoensis	2.86	3.73626675041077	2.491
Pteropus_scapulatus	2.834	3.70549571470575	2.574
Pteropus_temminckii	2.762	3.66354900940771	2.398
Pteropus_tonganus	2.864	3.75825829746648	2.652
Pteropus_vampyrus	3.009	3.92972371176801	3.027
Rousettus_aegyptiacus	2.46	3.32486399626551	2.111
Rousettus_amplexicaudatus	2.278	3.1617898919156	1.856
Scotonycteris_zenkeri	1.949	2.8251361190744	1.328
Sphaerias_blanfordi	2.061	2.89058047078486	1.47
Syconycteris_australis	1.827	2.75449107699007	1.207
Anoura_caudifer	1.87	2.5806238378183	1.025
Anoura_geoffroyi	2.04	2.74657171798292	1.204
Ardops_nichollsi	1.928	2.72119019257957	1.352
Artibeus_cinereus	1.912	2.64696591916355	1.1
Artibeus_concolor	2.058	2.77277474031503	1.288
Artibeus_jamaicensis	2.24	2.98333261088124	1.613
Artibeus_lituratus	2.346	3.06496819373968	1.748
Aselliscus_stoliczkanus	1.535	2.14627742243429	0.69
Aselliscus_tricuspidatus	1.364	2.0993562087761	0.643
Brachyphylla_cavernarum	2.247	3.05292228999784	1.648
Cardioderma_cor	2.048	2.79992584642206	1.415
Carollia_perspicillata	1.964	2.71324648190518	1.25
Chalinolobus_gouldii	1.698	2.35195774032069	1.068
Chalinolobus_morio	1.542	2.24071974568802	0.919
Chiroderma_salvini	2.187	2.88624082329356	1.417
Chiroderma_trinitatum	1.989	2.70539048497075	1.137
Chiroderma_villosum	2.122	2.82351695180044	1.394
Choeroniscus_minor	1.894	2.5659450134905	0.982
Coleura_afra	1.691	2.38684133903795	1.061
Cormura_brevirostris	1.59	2.31547900333038	0.914
Craseonycteris_thonglongyai	1.117	1.91186407137902	0.408
Desmodus_rotundus	2.221	2.97496949473285	1.56
Diphylla_ecaudata	2.121	2.87975236516861	1.49
Emballonura_monticola	1.502	2.19689550326823	0.724
Emballonura_raffrayana	1.494	2.21750313113026	0.771
Eptesicus_brasiliensis	1.558	2.27704088235613	0.964
Eptesicus_fuscus_bahamensis	1.588	2.3513653086034	1.134
Eumops_auripendulus	2.135	2.75999624802448	1.529
Eumops_glaucinus	2.173	2.79101278730558	1.562
Furipterus_horrens	1.449	2.07959239815975	0.535
Glischropus_tylopus	1.255	1.97312302120491	0.69
Glossophaga_longirostris	1.966	2.6169266719764	1.053
Glossophaga_soricina	1.912	2.57354501835856	0.996
Harpiocephalus_harpia	1.837	2.62086344715862	1.13
Hesperoptenus_blanfordi	1.398	2.16984821507198	0.863
Hipposideros_armiger	2.153	2.87560056473481	1.748
Hipposideros_ater	1.613	2.30545128539469	0.839
Hipposideros_caffer	1.808	2.4627759440208	1.041
Macronycteris_commersoni	2.109	2.84697711567035	1.997
Hipposideros_diadema	2.093	2.82568898250015	1.622
Hipposideros_fulvus	1.62	2.34735841257385	0.845
Hipposideros_lankadiva	2.105	2.83381440820857	1.686
Hipposideros_larvatus	1.843	2.59070379701993	1.312
Hipposideros_ridleyi	1.673	2.40319100137588	0.982
Hipposideros_speoris	1.705	2.42782469906196	1.061
Hipposideros_turpis	2.041	2.74970813235674	1.542
Ia_io	2.163	2.85693377655639	1.727
Kerivoula_papillosa	1.819	2.47004291344843	1.004
Lasiurus_borealis	1.612	2.20786055220101	0.892
