Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  NEO_d1_m8-fab-004.txt
Log File Name:                   NEO_d1_m8-fab-004.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1836151085
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   NEO_d1_m8-fab-004.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     3
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.036913
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.86 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      4
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	No RJ Local Node	No RJ LS Betas	
2350000	669.930965	1	-0.308406896508	1.267438222465	-0.015820842223	-0.043633141594	0.000037139164	0.993332040569	N\A	0.024949155268	0.002545725916	0.008392204155	43	13	
2400000	670.217730	1	-0.186001081839	1.234135212161	-0.013340109616	-0.035310040428	0.000032178458	0.994739753339	N\A	0.024241916091	0.002208556424	0.008098583239	38	11	
2450000	659.503117	1	-0.243495542832	1.266775572284	-0.014441861942	-0.049652129284	0.000019284291	0.993166423038	N\A	0.028510347334	0.002577221292	0.010198814141	40	11	
2500000	656.964290	1	-0.162594918610	1.225554766388	-0.012507382970	-0.035814953950	0.000045419769	0.991553324860	N\A	0.029297994314	0.002891642445	0.011416947785	50	11	
2550000	662.192734	1	-0.122643224514	1.212757861833	-0.010323981901	-0.032819187114	0.000029201146	0.995163361942	N\A	0.023873275579	0.002174961999	0.007481257542	38	13	
2600000	661.453258	1	-0.313159102677	1.286256051353	-0.015224027810	-0.063459764189	0.000016844004	0.991769288608	N\A	0.027417899726	0.002790927280	0.010099868971	43	12	
2650000	656.979547	1	-0.243440497336	1.208707980125	-0.010072681727	-0.027226502993	0.000007181088	0.994313998182	N\A	0.019526806548	0.002550254532	0.003622369515	52	10	
2700000	651.544286	1	-0.397173241968	1.317208461899	-0.021804281765	-0.046673882597	0.000025210763	0.993379982172	N\A	0.028380588936	0.002615266061	0.009953659833	48	11	
2750000	672.777544	1	-0.236597039016	1.235113831975	-0.013463653767	-0.036505070381	0.000044741895	0.993740225422	N\A	0.025577786663	0.002365736027	0.009214625804	49	12	
2800000	661.452725	1	-0.150001633984	1.218929990054	-0.011623903057	-0.039942164269	0.000044941782	0.993599472565	N\A	0.027116740086	0.002546810151	0.009668199965	46	10	
2850000	653.905304	1	-0.311247938160	1.288728585083	-0.015554074335	-0.060117633319	0.000037659984	0.991915526017	N\A	0.028547510394	0.002688874713	0.010880712844	39	11	
2900000	657.019738	1	-0.177948387237	1.240864416190	-0.013969857951	-0.037182741943	0.000020893606	0.993595003210	N\A	0.025219248503	0.002366265883	0.009307817717	33	12	
2950000	659.596061	1	-0.249566956130	1.264098605454	-0.014011477536	-0.046068731204	0.000048532823	0.994155958486	N\A	0.026180763432	0.002514304028	0.009051299852	43	12	
3000000	660.474231	1	-0.171741851791	1.242621942360	-0.014761252274	-0.023206445083	0.000011594144	0.993750185988	N\A	0.027989065647	0.002708205520	0.009423458697	35	13	
3050000	661.739480	1	-0.240257664193	1.299886990304	-0.017078922615	-0.052488946673	0.000023803255	0.992653436498	N\A	0.028457855173	0.002785730254	0.011084481893	42	12	
3100000	669.318519	1	-0.100320922837	1.228039163649	-0.013263411639	-0.036694763557	0.000029208436	0.993809846210	N\A	0.024723536022	0.002287469802	0.008825009025	38	14	
3150000	678.293241	1	-0.121093596986	1.251478790184	-0.014608239924	-0.045113778841	0.000016724397	0.994240245509	N\A	0.025991310485	0.002422487316	0.009556571146	40	13	
3200000	646.442975	1	-0.011991326279	1.136984845749	-0.005268235243	-0.011484147219	0.000044814107	0.992026028575	N\A	0.028130674986	0.002636221638	0.010753906999	41	10	
