Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  MOB_d1_m6-glob-002.txt
Log File Name:                   MOB_d1_m6-glob-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1954402095
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   MOB_d1_m6-glob-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.114840
Restrictions:
    Beta-1                       None
    Beta-2                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.79 2.11 
        VRNode - gamma 1.20 5.00 
        GlobalTrend - normal 0.00 1.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      3
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	No RJ Local Node	No RJ LS Betas	Global Trend	
1000000	344.278562	1	-0.855408865058	0.889694701878	0.108600343948	0.000292035517	0.999774566559	N\A	0.024529076632	0.024435864103	48	29	-0.286289264891	Global Trend	
1050000	326.202254	1	-0.567568551960	0.748925648989	0.182020478944	0.000183141741	0.954533782220	N\A	0.037906384904	0.027493223027	41	26	-0.007843109866	Global Trend	
1100000	331.764630	1	-0.841320548115	0.899961217072	0.094085260970	0.000169040706	0.999013384901	N\A	0.017205279530	0.016962989664	38	23	-0.093660183497	Global Trend	
1150000	323.341123	1	-0.491781527841	0.761789079678	0.174361427410	0.000176457292	0.978771360947	N\A	0.028095184194	0.024497593143	57	18	-0.016932204806	Global Trend	
1200000	320.389661	1	-0.676017439861	0.879735927000	0.094535771721	0.000221830379	0.996361367623	N\A	0.024557596992	0.023743941772	46	22	-0.054886441196	Global Trend	
1250000	325.568865	1	-0.872464117518	0.907712455677	0.116383981229	0.000204332453	0.990098427692	N\A	0.024883453699	0.022990522668	50	23	0.026227038777	Global Trend	
1300000	306.013738	1	-0.526951805331	0.864051034019	0.090056279693	0.000980697871	0.970762448435	N\A	0.030666124484	0.024881025974	33	26	-0.072495179086	Global Trend	
1350000	297.995218	1	-0.670488438860	1.003612607841	0.009386823932	0.000922393794	0.997500894459	N\A	0.026132066145	0.025750492192	48	21	0.325967714579	Global Trend	
1400000	295.175923	1	-0.841396813994	0.983038864990	0.006847261152	0.000295621049	0.998106417120	N\A	0.030969347242	0.030605046160	35	18	-0.126739699776	Global Trend	
1450000	301.348374	1	-0.921607160404	0.878163868256	0.111094121575	0.000239192097	0.974382040812	N\A	0.034503414949	0.029624354918	42	21	-0.016294222870	Global Trend	
1500000	302.115880	1	-0.499503628152	0.803652749383	0.119758326488	0.000334562363	0.955751833641	N\A	0.037826207562	0.029908494067	42	20	-0.021081728186	Global Trend	
1550000	278.012916	1	-1.047684208357	0.982247243208	0.022429528271	0.000375568148	0.998853527320	N\A	0.031371826169	0.031255876475	42	18	0.142252017682	Global Trend	
1600000	305.730529	1	-0.673699856279	0.841216304268	0.093114655092	0.000192996963	0.954390696195	N\A	0.035646154006	0.027061527180	44	22	-0.009930032409	Global Trend	
1650000	316.956241	1	-0.692676441982	0.805904295457	0.141400916778	0.000216561513	0.951729850213	N\A	0.031537933661	0.022302595428	36	26	-0.007928290898	Global Trend	
1700000	339.618180	1	-0.684187176952	0.852977289025	0.113278504076	0.000368448018	0.986404460244	N\A	0.022463158140	0.019525384020	39	29	-0.049709123693	Global Trend	
1750000	318.933110	1	-0.652588559259	0.790842695239	0.145057587359	0.000258419103	0.939485173624	N\A	0.037130987481	0.026386960217	38	26	-0.004992636991	Global Trend	
1800000	292.950773	1	-0.852187267613	0.921270708130	0.077405438533	0.000274205883	0.999945037219	N\A	0.027628010535	0.027605468282	41	20	-0.566513574072	Global Trend	
1850000	325.116379	1	-0.815825884407	0.888396322213	0.109317225488	0.000341296829	0.999909401492	N\A	0.023947185577	0.023919479505	44	24	-0.432847047921	Global Trend	
1900000	322.868860	1	-0.479261268935	0.735391557061	0.164381616797	0.000205076632	0.949405629950	N\A	0.037517585154	0.028627924168	46	21	-0.007527751034	Global Trend	
1950000	312.847223	1	-0.970248996230	0.978362143316	0.021322083150	0.000362084126	0.999909641221	N\A	0.027057760042	0.027042481166	44	23	-0.507759157733	Global Trend	
2000000	313.708699	1	-0.902550520991	0.947335637153	0.051729106284	0.000271313826	0.999877557516	N\A	0.025003107943	0.024979421256	32	26	-0.403552937759	Global Trend	
2050000	318.492327	1	-0.847125951457	0.980852743528	0.024226027525	0.000615195736	0.999140724477	N\A	0.025282518622	0.025194541801	41	19	0.416913896444	Global Trend	
2100000	303.521693	1	-0.863946447862	0.908270732179	0.092180804341	0.000228651364	0.999996493217	N\A	0.026263900582	0.026271667006	49	19	1.825722354438	Global Trend	
2150000	292.831332	1	-0.819518364573	0.920609631178	0.091177987980	0.000196205148	0.998643284269	N\A	0.030853003071	0.030789737584	38	15	0.091371236011	Global Trend	
2200000	315.921781	1	-0.877864818235	0.896539278436	0.105205588640	0.000129890993	0.999870346378	N\A	0.025076096033	0.025104225083	45	23	0.210070194491	Global Trend	
2250000	332.638467	1	-0.844030615327	1.002184804497	-0.005442761336	0.000289452891	0.999764639109	N\A	0.025717048148	0.025648218755	39	24	-0.316194625114	Global Trend	
2300000	321.499675	1	-0.951583265353	0.953568455984	0.035864666566	0.000337908215	0.983550331454	N\A	0.030300068804	0.027562958686	49	24	-0.035575627452	Global Trend	
2350000	294.450111	1	-0.890745413874	0.985434396578	0.016372408715	0.000841358392	0.999786599247	N\A	0.023972366859	0.023972643662	46	21	0.839345777956	Global Trend	
2400000	311.121343	1	-0.660607087325	0.880390233843	0.086119927306	0.000222640009	0.976808662130	N\A	0.031851413906	0.027735901192	47	21	-0.024950007045	Global Trend	
2450000	307.384146	1	-0.690000956648	0.925377595644	0.064320177633	0.000395706005	0.998175070796	N\A	0.027887432653	0.027585200522	45	21	-0.152713928474	Global Trend	
2500000	317.124257	1	-0.958914761924	0.956851592246	0.056787499082	0.000206267818	0.995165511002	N\A	0.025425290477	0.024431991594	31	21	0.043727639959	Global Trend	
2550000	319.998893	1	-0.821406627376	0.909077007970	0.062919807953	0.000252390660	0.985496621811	N\A	0.026697714952	0.023849691087	33	24	-0.034709775108	Global Trend	
2600000	318.757120	1	-0.849878773990	0.894846193864	0.090116111862	0.000327653614	0.988308208079	N\A	0.027442630453	0.025365501849	51	21	-0.037165725557	Global Trend	
2650000	318.503447	1	-0.966783649877	0.988688422008	0.019824835505	0.000417343688	0.997244103418	N\A	0.023470341347	0.023095799932	35	20	0.128125114411	Global Trend	
2700000	303.985112	1	-0.750118795755	0.886359838908	0.080475471843	0.000998709667	0.963613624575	N\A	0.033414972081	0.026681072138	41	25	-0.061522571330	Global Trend	
2750000	310.113917	1	-1.003645995815	0.922409186470	0.077558554693	0.000225857775	0.999996603634	N\A	0.026323915992	0.026326748669	44	22	1.585689236871	Global Trend	
2800000	319.037957	1	-1.024692239985	1.010804783267	-0.011214153391	0.000353117355	0.999968858474	N\A	0.021730787283	0.021708662409	38	28	-1.248494998603	Global Trend	
2850000	310.293897	1	-0.777288567102	0.844529026918	0.104310796288	0.000284586843	0.937231248038	N\A	0.043540776318	0.031797998565	44	25	-0.006966679881	Global Trend	
2900000	290.743632	1	-0.643050229596	0.741045218612	0.189857951529	0.000266009553	0.940666326384	N\A	0.043617148964	0.031661940286	43	21	-0.005318191548	Global Trend	
2950000	303.905601	1	-0.809151180358	0.916509211380	0.087546657761	0.000550341786	0.999557396789	N\A	0.026615270583	0.026578091055	36	19	0.380540659573	Global Trend	
3000000	312.769802	1	-0.921585491190	0.954346955393	0.044709251725	0.000361051187	0.999890715208	N\A	0.022025226844	0.021994287968	33	25	-0.638948587231	Global Trend	
3050000	302.521192	1	-0.921999748341	0.875449336973	0.094200526850	0.000151062098	0.979031858431	N\A	0.029987424624	0.025929315460	48	20	-0.010877820715	Global Trend	
3100000	334.895224	1	-0.767765786489	0.904237463109	0.094325315380	0.000127971205	0.999986557264	N\A	0.020787015464	0.020772557799	46	27	-0.554046599745	Global Trend	
3150000	308.040217	1	-0.694069933899	0.904648662857	0.068183343046	0.000219091513	0.994810130275	N\A	0.027182062607	0.026236410042	34	18	-0.055680743708	Global Trend	
3200000	295.798438	1	-0.829002360399	0.886281997171	0.076985713791	0.000203927532	0.967278666183	N\A	0.037116109328	0.031272638885	37	24	-0.013686740446	Global Trend	
3250000	291.738208	1	-1.012724478794	1.001113682197	-0.005994030033	0.000306240595	0.998883403794	N\A	0.017347541795	0.017044025730	40	21	-0.124257738167	Global Trend	
3300000	300.961745	1	-0.987044757672	0.931309602652	0.049060851843	0.001040970076	0.965785081247	N\A	0.031967589533	0.021099667352	37	22	-0.031195831639	Global Trend	
3350000	292.017677	1	-1.010901685756	0.992090712573	0.014317911389	0.000243102984	0.997797487176	N\A	0.024161508683	0.023808143482	37	27	0.072690268225	Global Trend	
3400000	303.519897	1	-0.990170881943	0.984829989128	0.022536271820	0.000165420291	0.999285493182	N\A	0.025159369061	0.025094461082	49	14	0.077344525271	Global Trend	
3450000	293.429292	1	-1.006123867272	0.985001287183	0.016685806924	0.000172686373	0.999959305918	N\A	0.027065016293	0.027056292529	38	21	0.320131178911	Global Trend	
3500000	316.277633	1	-1.080218770275	1.009072633823	-0.005301756997	0.000206517048	0.985315139256	N\A	0.030485490003	0.028348135749	42	23	0.019128131032	Global Trend	
3550000	327.578207	1	-0.983040768709	0.989818331190	0.011051340168	0.000509362990	0.999829086453	N\A	0.026372304220	0.026361481614	44	28	0.642917358056	Global Trend	
3600000	313.899800	1	-1.069689252103	0.975500258996	0.024176670565	0.000231672925	0.999789969751	N\A	0.028669940994	0.028682293034	33	28	0.208763426314	Global Trend	
3650000	325.139692	1	-1.016238684097	0.996866694813	0.015132450862	0.000287817586	0.983730557282	N\A	0.028059885183	0.025189748370	45	27	0.026493234671	Global Trend	
