Species_TTOL	SCH	rest_of_brain	rest_of_brain2
Phalanger_gymnotis	2.443576	4.06032757480693	16.4862600147375
Thylacinus_cynocephalus	2.876507	4.70915133299125	22.1761062770133
Thylogale_billardierii	2.784118	4.34805949126278	18.9056213395604
Thylogale_stigmatica	2.681874	4.25065668458073	18.0680822501708
Trichosurus_vulpecula	2.524915	4.00237325530746	16.0189916748004
Vombatus_ursinus	3.128302	4.68410274637518	21.9408185385995
Wallabia_bicolor	2.943049	4.55349934894676	20.7343563208586
Balionycteris_maculata	1.373	2.68604357258994	7.21483007385172
Casinycteris_argynnis	1.539	2.89835140151989	8.40044084669229
Chironax_melanocephalus	1.423	2.75718362381577	7.60206153543787
Cynopterus_brachyotis	1.585	2.966833649282	8.80210190251193
Cynopterus_horsfieldii	1.754	3.11468350641045	9.70125334510528
Cynopterus_sphinx	1.646	3.05354966776212	9.32416557349017
Dobsonia_inermis	1.977	3.40766797562694	11.6122010321134
Dobsonia_moluccensis	2.146	3.63531672034154	13.2155276571947
Dobsonia_praedatrix	1.969	3.45265177566025	11.9208042839698
Eidolon_helvum	2.181	3.60406636908379	12.9892943927608
Eonycteris_spelaea	1.744	3.09326062869164	9.56826131701383
Epomophorus_labiatus	1.733	3.17341455082117	10.0705599113635
Epomops_franqueti	1.915	3.3178958890353	11.0084331304774
Hypsignathus_monstrosus	2.057	3.51177917774895	12.3325929932711
Macroglossus_minimus	1.358	2.72492739657078	7.42522931658202
Megaerops_ecaudatus	1.562	2.87855040696948	8.28605244546414
Megaloglossus_woermanni	1.5	2.80962194180342	7.89397545586321
Melonycteris_melanops	1.709	3.08827988670424	9.53747265862198
Melonycteris_woodfordi	1.622	2.98478330621441	8.90893138505621
Epomophorus_pusillus	1.471	2.8916991691473	8.36192408484716
Myonycteris_torquata	1.673	3.04038415947288	9.24393583717363
Notopteris_macdonaldi	1.718	3.14143861060649	9.86863654420925
Nyctimene_albiventer	1.474	2.89166094946112	8.36170304663836
Nyctimene_robinsoni	1.641	3.06521908417013	9.39556803396076
Nyctimene_vizcaccia	1.501	2.97019608506253	8.82206478372075
Paranyctimene_raptor	1.431	2.83904237199348	8.06016158997434
Pteropus_alecto	2.344	3.82069860124938	14.597737801589
Pteropus_conspicillatus	2.416	3.89493121910952	15.170489201594
Pteropus_hypomelanus	2.294	3.69716131393364	13.6690017812475
Pteropus_lylei	2.27	3.75598421253182	14.1074174047883
Pteropus_neohibernicus	2.452	3.92848620624869	15.4330038726862
Pteropus_poliocephalus	2.354	3.83016987335255	14.6702012587375
Pteropus_samoensis	2.335	3.73626675041077	13.959689230225
Pteropus_scapulatus	2.31	3.70549571470575	13.7306984917027
Pteropus_temminckii	2.219	3.66354900940771	13.4215913443322
Pteropus_tonganus	2.303	3.75825829746648	14.1245054304756
Pteropus_vampyrus	2.47	3.92972371176801	15.4427284508318
Rousettus_aegyptiacus	1.919	3.32486399626551	11.0547205936626
Rousettus_amplexicaudatus	1.679	3.1617898919156	9.99691532061967
Scotonycteris_zenkeri	1.5	2.8251361190744	7.98139409129878
Sphaerias_blanfordi	1.526	2.89058047078486	8.35545545808283
Syconycteris_australis	1.386	2.75449107699007	7.5872210932179
Anoura_caudifer	1.196	2.5806238378183	6.65961939231605
Anoura_geoffroyi	1.382	2.74657171798292	7.54365620202365
Ardops_nichollsi	1.297	2.72119019257957	7.40487606419122
Artibeus_cinereus	1.301	2.64696591916355	7.00642857721331
Artibeus_concolor	1.403	2.77277474031503	7.68827976052911
Artibeus_jamaicensis	1.644	2.98333261088124	8.9002734671475
Artibeus_lituratus	1.695	3.06496819373968	9.39403002863586
Aselliscus_stoliczkanus	0.626	2.14627742243429	4.60650677405116
Aselliscus_tricuspidatus	0.644	2.0993562087761	4.40729649132678
Brachyphylla_cavernarum	1.566	3.05292228999784	9.32033450876568
Cardioderma_cor	1.356	2.79992584642206	7.83958474546228
Carollia_perspicillata	1.301	2.71324648190518	7.36170647157086
Chalinolobus_gouldii	0.854	2.35195774032069	5.53170521225439
Chalinolobus_morio	0.797	2.24071974568802	5.02082497871619
Chiroderma_salvini	1.441	2.88624082329356	8.33038609004629
Chiroderma_trinitatum	1.236	2.70539048497075	7.31913767617029
Chiroderma_villosum	1.358	2.82351695180044	7.97224797710447
Choeroniscus_minor	1.217	2.5659450134905	6.58407381225677
Coleura_afra	0.89	2.38684133903795	5.69701157774045
Cormura_brevirostris	0.791	2.31547900333038	5.36144301486384
Craseonycteris_thonglongyai	0.38	1.91186407137902	3.65522422742997
Desmodus_rotundus	1.501	2.97496949473285	8.85044349459105
Diphylla_ecaudata	1.365	2.87975236516861	8.29297368469423
Emballonura_monticola	0.643	2.19689550326823	4.82634985228017
Emballonura_raffrayana	0.719	2.21750313113026	4.91732013657249
Eptesicus_brasiliensis	0.794	2.27704088235613	5.18491517992119
Eptesicus_fuscus_bahamensis	0.992	2.3513653086034	5.52891881450355
Eumops_auripendulus	1.258	2.75999624802448	7.6175792891092
Eumops_glaucinus	1.365	2.79101278730558	7.78975237890325
Furipterus_horrens	0.575	2.07959239815975	4.32470454248383
Glischropus_tylopus	0.394	1.97312302120491	3.89321445680878
Glossophaga_longirostris	1.23	2.6169266719764	6.84830520650148
Glossophaga_soricina	1.173	2.57354501835856	6.62313396151816
Harpiocephalus_harpia	1.236	2.62086344715862	6.86892520865216
Hesperoptenus_blanfordi	0.613	2.16984821507198	4.70824127645104
Hipposideros_armiger	1.4	2.87560056473481	8.26907860790317
Hipposideros_ater	0.802	2.30545128539469	5.31510562932804
Hipposideros_caffer	0.955	2.4627759440208	6.06526535044753
Macronycteris_commersoni	1.427	2.84697711567035	8.10527869715067
Hipposideros_diadema	1.342	2.82568898250015	7.98451822582275
Hipposideros_fulvus	0.791	2.34735841257385	5.51009151708124
Hipposideros_lankadiva	1.38	2.83381440820857	8.0305041001705
Hipposideros_larvatus	1.057	2.59070379701993	6.7117461638935
Hipposideros_ridleyi	0.906	2.40319100137588	5.775326989094
Hipposideros_speoris	0.86	2.42782469906196	5.89433276937531
Hipposideros_turpis	1.248	2.74970813235674	7.5608948131488
Ia_io	1.425	2.85693377655639	8.16207060362878
Kerivoula_papillosa	0.919	2.47004291344843	6.10111199427681
Lasiurus_borealis	0.663	2.20786055220101	4.87464821796536
Leptonycteris_curasoae	1.364	2.76007259430502	7.61800072583367
Leptonycteris_nivalis	1.35	2.74009904764629	7.50814279091213
Lonchophylla_mordax	1.193	2.61273847911539	6.82640236025021
Hsunycteris_thomasi	1.13	2.50023862095974	6.25119316173868
Lophostoma_silvicolum	1.262	2.85331808051172	8.14142406857511
Macroderma_gigas	1.687	3.20498065502424	10.2719009990796
Macrophyllum_macrophyllum	0.965	2.4790378028068	6.14562842774516
Megaderma_lyra	1.415	2.93241161841455	8.59903789981263
Megaderma_spasma	1.336	2.78365497627165	7.74873502692193
Mesophylla_macconnelli	1.13	2.5144416036305	6.32241657806794
Micronycteris_brachyotis	1.049	2.58328686142129	6.67337100839185
Micronycteris_megalotis	0.88	2.41295245824855	5.8223395657677
Micronycteris_minuta	0.955	2.43110917339505	5.91029181296557
Micronycteris_schmidtorum	0.957	2.46261324325241	6.06446398584217
Gardnerycteris_crenulatum	0.952	2.48743694137244	6.18734253730427
Miniopterus_australis	0.781	2.28796870242141	5.2348007832599
Miniopterus_inflatus	0.971	2.48807198431177	6.19050219911712
Miniopterus_magnater	0.903	2.4849865990346	6.17515839738155
Miniopterus_pusillus	0.798	2.31097785415854	5.34061864241123
Miniopterus_tristis	0.847	2.49587912679333	6.22941261556266
Molossus_molossus	0.938	2.47483774200244	6.12482184923971
Molossus_rufus	1.164	2.69716719929339	7.27471090094414
Monophyllus_plethodon	1.185	2.62023584937206	6.86563590633451
Mormoops_megalophylla	1.025	2.56247160047249	6.56626070322802
Murina_cyclotis	0.898	2.37139315447136	5.62350549307361
Murina_huttoni	0.874	2.38592275334146	5.69262738491251
Myotis_adversus	0.865	2.3772871201093	5.65149405143757
Myotis_albescens	0.574	2.07780309246655	4.31726569106356
Myotis_annectans	0.926	2.31710569964846	5.3689788233434
Myotis_bechsteinii	0.963	2.39586985328546	5.74019235388207
Myotis_bocagii	0.754	2.25339686523018	5.07779743222921
Myotis_dasycneme	1.049	2.46431986810657	6.07287241234477
Myotis_myotis	1.236	2.65907694339085	7.07069019087282
Myotis_nigricans	0.611	2.11100026230064	4.45632210743337
Myotis_siligorensis	0.486	1.98557890358024	3.9425235823429
Natalus_tumidirostris	0.934	2.36796538095518	5.60726004540222
Noctilio_albiventris	1.114	2.74963685311494	7.56050282400782
Noctilio_leporinus	1.444	3.04342425236468	9.26243117988151
Nyctalus_noctula	1.021	2.52928534798622	6.39728437153778
Nycteris_arge	0.942	2.51972165509131	6.34899721913611
Nycteris_grandis	1.236	2.82882341601125	8.00224191897357
Nycteris_hispida	0.906	2.43216548536531	5.91542894820225
Nycteris_javanica	1.013	2.65047090615567	7.02499602437764
Nycteris_macrotis	1.017	2.56570573628551	6.5828459252084
Nycteris_thebaica	0.925	2.4880134922472	6.19021113760409
Nyctophilus_geoffroyi	0.754	2.1954325071819	4.819923893591
Otomops_martiensseni	1.316	2.85387267955123	8.1445892710889
Peropteryx_macrotis	0.789	2.18774408447669	4.78622417916275
Phylloderma_stenops	1.708	3.10305487853701	9.62894957921231
Phyllostomus_discolor	1.593	3.01289560068157	9.07753990060635
Phyllostomus_elongatus	1.401	2.91962973558399	8.52423779290623
Phyllostomus_hastatus	1.685	3.15775224544109	9.97139924358827
Pipistrellus_javanicus	0.56	2.04743835568333	4.19200382032326
Pipistrellus_tenuis	0.476	1.94445839594312	3.78091845355368
Afronycteris_nana	0.462	1.97624949883145	3.90556208163155
Hypsugo_pulveratus	0.688	2.12583275320563	4.51916489460183
Perimyotis_subflavus	0.658	2.0689992385851	4.28075784926571
Pteronotus_gymnonotus	0.949	2.50919392843789	6.29605417050955
Pteronotus_parnellii_mesoamericanus	1.134	2.71076396835588	7.34824129213654
Pteronotus_personatus	0.783	2.33437416842607	5.44930275821491
Rhinolophus_cornutus	0.802	2.26307067478927	5.12148887909114
Rhinolophus_eloquens	1.134	2.58228368121921	6.66818901029102
Rhinolophus_hipposideros	0.739	2.14741999328989	4.61141262758114
Rhinolophus_landeri	0.904	2.41927248180996	5.85287934124292
Rhinolophus_lepidus	0.775	2.24246038366786	5.0286285723198
Rhinolophus_luctus	1.332	2.76563752486781	7.64875091895694
Rhinolophus_macrotis	0.87	2.29216841823355	5.2540360575473
Rhinolophus_malayanus	0.772	2.28065583157794	5.20139102211046
Rhinolophus_megaphyllus	0.943	2.39284327871508	5.72569895649193
Rhinolophus_pearsonii	1.064	2.49680535567541	6.23403698412942
Rhinolophus_pusillus	0.719	2.19036275728536	4.79768900850274
Rhinolophus_trifoliatus	1.033	2.51948592306197	6.34780931650745
Rhinolophus_yunnanensis	1.21	2.61598611233896	6.84338333995029
Rhinonicteris_aurantia	0.864	2.36980993185743	5.61599911313013
Rhinophylla_pumilio	1.104	2.52389337701925	6.37003777856165
Rhinopoma_hardwickii	0.986	2.41517493551946	5.83306996916144
Rhinopoma_microphyllum	1.143	2.56167523073907	6.56217998778205
Rhogeessa_parvula	0.537	2.02540404611476	4.10226155001805
Rhynchonycteris_naso	0.479	2.04732050651951	4.19152125641528
Saccopteryx_bilineata	0.952	2.33483311530367	5.45144567631863
Saccopteryx_canescens	0.611	2.08934484317686	4.36536187370975
Saccopteryx_leptura	0.692	2.18322541361085	4.76647320663625
Scotomanes_ornatus	1.124	2.55494722650546	6.52775533022796
Scotophilus_dinganii	1.1	2.6152095371468	6.83932092318357
Scotophilus_kuhlii	0.989	2.50605597481635	6.28031654891271
Sphaeronycteris_toxophyllum	1.312	2.69540272673135	7.26519585927081
Sturnira_lilium	1.365	2.7664442150746	7.6532135951197
Sturnira_ludovici	1.386	2.79971581818209	7.83840866257902
Sturnira_tildae	1.444	2.82056767486967	7.95560200851967
Tadarida_aegyptiaca	1.134	2.56759514736225	6.59254484075817
Taphozous_australis	1.246	2.68911434548403	7.23133596308799
Taphozous_hildegardeae	1.204	2.71134274302204	7.3513794701383
Taphozous_mauritianus	1.255	2.71797961523504	7.3874131888332
Taphozous_melanopogon	1.21	2.70480831622297	7.31598802750896
Tonatia_bidens	1.35	2.87212442061372	8.24909868748569
Lophostoma_schulzi	1.004	2.67681030271887	7.1653133967419
Trachops_cirrhosus	1.453	2.97719852358353	8.86371104882793
Triaenops_persicus	0.823	2.41026109600416	5.80935855091118
Tylonycteris_pachypus	0.36	1.87843900376487	3.52853309086516
Tylonycteris_robustula	0.556	2.03440793493338	4.1388156457199
Uroderma_bilobatum	1.453	2.76341624316696	7.636469332999
Vampyressa_pusilla	1.173	2.55572901399533	6.53175079297756
Vampyrum_spectrum	1.816	3.38883839645361	11.4842256772783
Alouatta_seniculus	2.708	4.69064476860801	22.0021483452696
Aotus_trivirgatus	2.386	4.20956514451613	17.7204387059251
Ateles_geoffroyi	2.865	5.00423671459412	25.0423850956918
Avahi_laniger	2.382	3.99079117597203	15.9264142102162
Plecturocebus_moloch	2.369	4.24999973790912	18.0624977722276
Callimico_goeldii	2.14	4.02141427425862	16.171772765211
Callithrix_jacchus	1.954	3.86010428447601	14.9004050870301
Cebuella_pygmaea	1.913	3.63358773263483	13.2029598107543
Cebus_albifrons	2.591	4.8258408678735	23.2887400820381
Cercopithecus_ascanius	2.841	4.80297404128273	23.0685596412358
Cercopithecus_mitis_mitis	2.79	4.84835244065239	23.5065213887799
Cheirogaleus_major	2.173	3.80396492768725	14.4701491710746
Cheirogaleus_medius	1.815	3.4708780230274	12.0469942507346
Daubentonia_madagascariensis	3.019	4.6294722319675	21.4320131465581
Erythrocebus_patas	2.841	5.01330305301563	25.1332075013758
Eulemur_fulvus_fulvus	2.625	4.34468914865517	18.876323798442
Galago_senegalensis	2.029	3.65384583826705	13.3505894098214
Galagoides_demidoff	1.777	3.50526524207999	12.2868844173341
Gorilla_gorilla	3.436	5.67214160105073	32.1731903423703
Homo_sapiens	3.788	6.09769523952942	37.1818872341798
Hylobates_lar	3.055	4.98887970833346	24.8889207442213
Indri_indri	2.928	4.55944787748954	20.7885649475439
Lagothrix_lagotricha	2.833	4.980177796679	24.8021708865345
Lepilemur_mustelinus	2.288	3.85550540645094	14.8649219391724
Lophocebus_albigena	2.799	4.9893093148895	24.8932074396431
Loris_tardigradus_tardigradus	1.999	3.79701647977618	14.4173341476919
Macaca_mulatta	2.806	4.94427327976376	24.4458382649859
Microcebus_murinus	1.603	3.22499777943092	10.4006106773343
Miopithecus_talapoin	2.413	4.57720824492106	20.9508353173733
Nasalis_larvatus	2.932	4.97211427746941	24.7219203882152
Nycticebus_coucang	2.326	4.07016900764897	16.5662757508262
Otolemur_crassicaudatus	2.258	3.98509131950917	15.8809528248273
Pan_troglodytes	3.305	5.58232825551133	31.1623887522802
Papio_cynocephalus	3.117	5.28121407692444	27.8912221263048
Perodicticus_potto	2.516	4.12079897970986	16.9809842311778
Pithecia_monachus	2.461	4.51688705271499	20.4022686469843
Piliocolobus_badius	2.911	4.86832778778568	23.7006154493262
Propithecus_verreauxi	2.646	4.40135338583513	19.3719116270023
Pygathrix_nemaeus	2.859	4.86047259819674	23.6241938778213
Saguinus_midas	2.079	3.98108200720884	15.8490139481219
Saguinus_oedipus	2.029	3.97903342592802	15.8327070046525
Saimiri_sciureus_sciureus	2.225	4.35321967494396	18.9505215383192
Tarsius_tarsier	1.839	3.53020840861181	12.4623714082335
Varecia_variegata	2.784	4.47260429620756	20.0041891904543
