Species_TTOL	STR	rest_of_brain	rest_of_brain2	BOD	BOD2
Anourosorex_squamipes	1.304	3.0789623596587	9.48000921219507	1.307	1.708249
Atelerix_algirus	2.155	3.0789623596587	9.48000921219507	2.867	8.219689
Blarina_brevicauda	1.348	3.0789623596587	9.48000921219507	1.267	1.605289
Chrysochloris_asiatica	1.647	3.0789623596587	9.48000921219507	1.69	2.8561
Chrysochloris_stuhlmanni	1.636	3.0789623596587	9.48000921219507	1.626	2.643876
Crocidura_attenuata	0.88	3.0789623596587	9.48000921219507	0.968	0.937024
Crocidura_flavescens	1.229	3.0789623596587	9.48000921219507	1.467	2.152089
Crocidura_hildegardeae	0.948	3.0789623596587	9.48000921219507	0.996	0.992016
Crocidura_denti	0.989	3.0789623596587	9.48000921219507	1.079	1.164241
Crocidura_russula	0.937	3.0789623596587	9.48000921219507	1.049	1.100401
Crocidura_suaveolens	0.906	3.0789623596587	9.48000921219507	1.013	1.026169
Cryptotis_parvus	1.11	3.0789623596587	9.48000921219507	0.991226075692495	0.982529133132744
Desmana_moschata	2.346	3.0789623596587	9.48000921219507	2.646	7.001316
Echinops_telfairi	1.384	3.0789623596587	9.48000921219507	1.942	3.771364
Echinosorex_gymnura	2.321	3.0789623596587	9.48000921219507	2.921	8.532241
Erinaceus_europaeus	2.17	3.0789623596587	9.48000921219507	2.929	8.579041
Euroscaptor_micrura	1.682	3.0789623596587	9.48000921219507	1.617	2.614689
Galemys_pyrenaicus	1.871	3.0789623596587	9.48000921219507	1.778	3.161284
Geogale_aurita	0.581	3.0789623596587	9.48000921219507	1	1
Hemicentetes_semispinosus	1.444	3.0789623596587	9.48000921219507	2.062	4.251844
Hemiechinus_auritus	1.904	3.0789623596587	9.48000921219507	2.371	5.621641
Hylomys_suillus	1.584	3.0789623596587	9.48000921219507	1.756	3.083536
Limnogale_mergulus	1.763	3.0789623596587	9.48000921219507	1.964	3.857296
Microgale_dobsoni	1.361	3.0789623596587	9.48000921219507	1.504	2.262016
Microgale_talazaci	1.509	3.0789623596587	9.48000921219507	1.683	2.832489
Micropotamogale_lamottei	1.514	3.0789623596587	9.48000921219507	1.808	3.268864
Micropotamogale_ruwenzorii	1.774	3.0789623596587	9.48000921219507	1.986	3.944196
Myosorex_sclateri	1.27	3.0789623596587	9.48000921219507	1.23	1.5129
Neomys_anomalus	1.273	3.0789623596587	9.48000921219507	1.037	1.075369
Neomys_fodiens	1.301	3.0789623596587	9.48000921219507	1.182	1.397124
Oryzorictes_hova	1.512	3.0789623596587	9.48000921219507	1.645	2.706025
Parascalops_breweri	1.781	3.0789623596587	9.48000921219507	1.731	2.996361
Potamogale_velox	2.172	3.0789623596587	9.48000921219507	2.791	7.789681
Ruwenzorisorex_suncoides	1.241	3.0789623596587	9.48000921219507	1.262	1.592644
Scalopus_aquaticus	1.882	3.0789623596587	9.48000921219507	2.061	4.247721
Scutisorex_somereni	1.416	3.0789623596587	9.48000921219507	1.792	3.211264
Setifer_setosus	1.761	3.0789623596587	9.48000921219507	2.373	5.631129
Solenodon_paradoxus	2.411	3.0789623596587	9.48000921219507	2.826	7.986276
Sorex_alpinus	1.221	3.0789623596587	9.48000921219507	1.033	1.067089
Sorex_araneus	1.061	3.0789623596587	9.48000921219507	0.987	0.974169
Sorex_cinereus	1.071	3.0789623596587	9.48000921219507	0.633	0.400689
Sorex_fumeus	1.159	3.0789623596587	9.48000921219507	0.924	0.853776
Sorex_hoyi	0.798	3.0789623596587	9.48000921219507	0.42	0.1764
Sorex_minutus	0.848	3.0789623596587	9.48000921219507	0.633	0.400689
Suncus_etruscus	0.433	3.0789623596587	9.48000921219507	0.762	0.580644
Suncus_murinus	1.181	3.0789623596587	9.48000921219507	1.529	2.337841
Sylvisorex_granti	0.882	3.0789623596587	9.48000921219507	0.591	0.349281
Suncus_megalura	0.98	3.0789623596587	9.48000921219507	0.74	0.5476
Talpa_europaea	1.781	3.0789623596587	9.48000921219507	1.908	3.640464
Tenrec_ecaudatus	1.995	3.0789623596587	9.48000921219507	2.935	8.614225
Aepyprymnus_rufescens	2.744371	3.0789623596587	9.48000921219507	3.392697	11.510392933809
Antechinus_flavipes	1.394452	3.0789623596587	9.48000921219507	1.568202	2.459257512804
Antechinus_minimus	1.532754	3.0789623596587	9.48000921219507	1.724276	2.973127724176
Bettongia_gaimardi	2.745387	3.0789623596587	9.48000921219507	3.176091	10.087554040281
Bettongia_penicillata	2.676053	3.0789623596587	9.48000921219507	3.079181	9.481355630761
Burramys_parvus	1.671173	3.0789623596587	9.48000921219507	1.770852	3.135916805904
Cercartetus_nanus	1.344392	3.0789623596587	9.48000921219507	1.278754	1.635211792516
Dactylopsila_trivirgata	2.530712	3.0789623596587	9.48000921219507	2.643453	6.987843763209
Dasycercus_cristicauda	1.716003	3.0789623596587	9.48000921219507	2	4
Dasyuroides_byrnei	1.71433	3.0789623596587	9.48000921219507	2.146128	4.605865392384
Dasyurus_geoffroii	2.24279	3.0789623596587	9.48000921219507	2.69897	7.2844390609
Dasyurus_hallucatus	2.03862	3.0789623596587	9.48000921219507	3.021189	9.127582973721
Dendrolagus_lumholtzi	3.111934	3.0789623596587	9.48000921219507	3.78533	14.3287232089
Distoechurus_pennatus	1.70927	3.0789623596587	9.48000921219507	1.633468	2.668217707024
Dorcopsis	2.818754	3.0789623596587	9.48000921219507	3.462398	11.988199910404
Echymipera_kalubu	2.149527	3.0789623596587	9.48000921219507	2.819544	7.949828367936
Gymnobelideus_leadbeateri	2.094122	3.0789623596587	9.48000921219507	2.041393	4.167285380449
Hypsiprymnodon_moschatus	2.401745	3.0789623596587	9.48000921219507	2.748188	7.552537283344
Isoodon_macrourus	2.173478	3.0789623596587	9.48000921219507	3.033424	9.201661163776
Isoodon_obesulus_obesulus	2.267641	3.0789623596587	9.48000921219507	3.004321	9.025944671041
Osphranter_antilopinus	3.330819	3.0789623596587	9.48000921219507	4.537819	20.591801276761
Macropus_giganteus	3.35526	3.0789623596587	9.48000921219507	4.563481	20.825358837361
Notamacropus_irma	3.03862	3.0789623596587	9.48000921219507	3.819544	14.588916367936
Notamacropus_parma	2.867173	3.0789623596587	9.48000921219507	3.536558	12.507242487364
Notamacropus_parryi	3.197005	3.0789623596587	9.48000921219507	4.170262	17.391085148644
Osphranter_robustus	3.322012	3.0789623596587	9.48000921219507	4.409933	19.447509064489
Osphranter_rufus	3.323046	3.0789623596587	9.48000921219507	4.494155	20.197429164025
Thylamys_pallidior	1.330414	3.0789623596587	9.48000921219507	1.477121	2.181886448641
