Options:
Model:                           Independent Contrasts: Regression
Tree File Name:                  regions_tree.trees
Data File Name:                  PAL_d1_m9-fab-002.txt
Log File Name:                   PAL_d1_m9-fab-002.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      True
Summary:                         False
Seed:                            1591381474
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   50000
Iterations:                      51000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   PAL_d1_m9-fab-002.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     4
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
Homogenous fabric model:         False
RJ Local Branch:                 False
RJ Local Node:                   True Threshold 0.000000
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
RJ Local FabricBeta:            True Threshold -2.207006
Restrictions:
    Beta-1                       None
    Beta-2                       None
    Beta-3                       None
    Beta-4                       None
Prior Information:
    Priors
        Beta-1 - normal 0.00 5.00 
        Beta-2 - normal 0.00 5.00 
        Beta-3 - normal 0.00 5.00 
        Beta-4 - normal 0.00 5.00 
        Var - uniform 0.00 100.00 
        FabricBeta - weibull 0.72 2.11 
        VRNode - gamma 1.20 5.00 
Tree Information
     Trees:                      1
     Taxa:                       344
     Sites:                      5
Checkpoint:                      False
Re Set Itterations:              False
Re Set Seed:                     False
RJLockMode:                      True
Iteration	Lh	Tree No	Alpha	Beta 1	Beta 2	Beta 3	Beta 4	Var	R^2	s.e. Alpha	s.e. Beta-1	s.e. Beta-2	s.e. Beta-3	s.e. Beta-4	No RJ Local Node	No RJ LS Betas	
2150000	462.710774	1	-1.244462045378	1.255919686590	-0.044422741683	-0.064214202633	0.005979846622	0.000278072000	0.962959705091	N\A	0.098921093984	0.015531480565	0.041928654329	0.008466818577	49	15	
2200000	466.850585	1	-1.245237465717	1.246220933465	-0.056572496980	0.029886335608	0.003354249570	0.000192970915	0.962240779859	N\A	0.094057501670	0.012132394681	0.043258423004	0.007230048468	41	18	
2250000	460.387424	1	-1.315905399034	1.340677772288	-0.068530462296	-0.039398192914	0.009606206163	0.000172499654	0.957794787097	N\A	0.078879345911	0.009945754806	0.040081275856	0.006815606757	39	15	
2300000	465.424435	1	-1.332683195452	1.315699023637	-0.062808341587	-0.012204871917	0.008422924193	0.000201765164	0.962880400955	N\A	0.080305515617	0.011423543517	0.038440180390	0.007446736488	39	18	
2350000	443.497431	1	-1.512521825969	1.472811251456	-0.087507436428	-0.078606971786	0.022330301098	0.000162726821	0.951128159205	N\A	0.101001744043	0.012701946011	0.049197752091	0.007809938784	30	16	
2400000	440.694840	1	-1.685643055696	1.549134244922	-0.088661257671	-0.118745521891	0.020190696447	0.000107463416	0.955061766994	N\A	0.095200602189	0.013430063194	0.042037225012	0.007150843340	40	15	
2450000	445.142875	1	-1.192266444534	1.189045413376	-0.033866123961	-0.013621091190	-0.002971695619	0.000108576954	0.952244290136	N\A	0.109531316196	0.015452157853	0.048195820443	0.008123322840	41	13	
2500000	460.908165	1	-1.392635968723	1.374135759419	-0.071505012818	-0.077842548001	0.015500715117	0.000194257233	0.954903285252	N\A	0.115962870515	0.016705182638	0.049338067638	0.008731978861	44	17	
2550000	447.028691	1	-1.337474737380	1.296225680632	-0.054456308153	-0.016476502682	0.000061420942	0.000123904326	0.956211399170	N\A	0.103481217953	0.014454436789	0.043155883848	0.008010064127	43	15	
2600000	446.569298	1	-1.568104768709	1.542850478410	-0.092117982904	-0.161894537503	0.031305852207	0.000319001501	0.962845235646	N\A	0.080581651154	0.012143516377	0.037398194344	0.007562005387	42	14	
2650000	450.202451	1	-1.394141109449	1.408198078971	-0.072987083171	-0.085224919914	0.016492472748	0.000163317822	0.952734306893	N\A	0.114728084266	0.016475358564	0.047925413186	0.008570465117	32	18	
2700000	455.757261	1	-1.359668460901	1.401434129378	-0.083852108869	-0.042418821186	0.021924972137	0.000122825081	0.953599137250	N\A	0.089193089633	0.010796365475	0.046118009947	0.007118031829	37	15	
2750000	452.912585	1	-1.452061188509	1.436331524763	-0.085909833988	-0.079992231535	0.025530370398	0.000100232516	0.957866658084	N\A	0.086880864693	0.011119298865	0.040355810067	0.006875654038	42	17	
2800000	473.532251	1	-1.511472502317	1.460511456894	-0.086276576158	-0.079599953161	0.021060579270	0.000024307987	0.962766597198	N\A	0.087672258524	0.011067183610	0.042351565486	0.006943863256	42	20	
2850000	442.482529	1	-1.256503247592	1.258868958884	-0.056888189355	-0.001398278957	0.002747874216	0.000142314762	0.955246570981	N\A	0.117958809987	0.018544417192	0.049176757074	0.010249678884	33	13	
2900000	463.258868	1	-1.153198964954	1.175615161269	-0.043714647864	0.021248511671	-0.001507714767	0.000098482542	0.953192256081	N\A	0.115208139727	0.016794237425	0.046534279825	0.009114746681	36	19	
2950000	460.000520	1	-0.784616434266	0.908330040994	0.004507042476	0.055424188138	-0.015055647376	0.000090606198	0.956734678401	N\A	0.100923150828	0.013934124550	0.044621817766	0.008166159963	36	17	
3000000	446.333964	1	-1.598197526967	1.539756735176	-0.101526863845	-0.074566671116	0.022077527604	0.000290206849	0.952438048726	N\A	0.108516287644	0.016791601989	0.043796851453	0.008758490143	43	14	
3050000	457.245854	1	-1.362734545107	1.362376482128	-0.082418072015	-0.002951225841	0.014999299475	0.000183547601	0.955985077997	N\A	0.097571101372	0.012893612756	0.048083508062	0.008134880361	40	15	
3100000	462.735135	1	-1.670501657785	1.581762474567	-0.099661443095	-0.136965817011	0.026810078787	0.000243360120	0.963325994142	N\A	0.081131396474	0.013136132586	0.036030685491	0.007834160211	39	14	
3150000	455.339143	1	-1.210825656903	1.242913382630	-0.058502957212	-0.000612744871	0.009178196279	0.000293312977	0.961160600363	N\A	0.086017591443	0.012408034271	0.039776951978	0.007641869811	41	13	
3200000	457.670405	1	-1.319850411063	1.365536472423	-0.071271954389	-0.080900557525	0.018865466730	0.000090437164	0.963304787961	N\A	0.066092461560	0.008686992500	0.033347946639	0.006047806536	46	16	
3250000	447.790950	1	-1.612317100784	1.549827812883	-0.093969456718	-0.121331418539	0.026924326807	0.000228038405	0.962623579785	N\A	0.070803657171	0.010511337471	0.034341836511	0.006590664912	34	17	
3300000	464.331692	1	-1.118844951113	1.205544671628	-0.059825280518	0.024864560298	0.011466386892	0.000238108714	0.955112784722	N\A	0.103654291531	0.012929138324	0.048479785673	0.008032413832	36	14	
